,date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
0,2020-09-30,MAG,2020-09-30,2020-09-30,Q3,136045000,0.0,0.0,1852000.0,0.0,0.0,138410000,10708000,0.0,300958000,0.0,161300000,0.0,0.0,310418000,0.0,310418000,510000.0,0.0,,0.0,0.0,596000.0,0.0,0.0,0.0,0.0,0.0,8475000.0,9460000.0,493656000,-217062000,24364000,300958000,300958000,0.0,0.0,0.0,0.0,,
0,2020-06-30,MAG,2020-08-13 00:00:00,2020-08-13 06:00:27,Q2,87108000,0.0,87108000,314000.0,0.0,1019000.0,88441000,9214000.0,0.0,0.0,0.0,164944000,9165000.0,0.0,174158000,0.0,262599000,677000.0,0.0,0.0,0.0,0.0,759000.0,403000.0,0.0,0.0,286000.0,9854000.0,286000.0,10613000,442858000,-196943000,12142000,6071000.0,251986000,262599000,164944000,485000.0,-86623000,https://www.sec.gov/Archives/edgar/data/1230992/000117184320005881/0001171843-20-005881-index.htm,https://www.sec.gov/Archives/edgar/data/1230992/000117184320005881/f6k_081120.htm
0,2020-03-31,MAG,2020-04-23 00:00:00,2020-04-23 06:00:35,Q1,70327000,0.0,70327000,94000.0,0.0,700000.0,71121000,8658000.0,0.0,0.0,0.0,132551000,10676000,0.0,141209000,0.0,212330000,602000.0,0.0,0.0,0.0,0.0,678000.0,408000.0,0.0,0.0,286000.0,11370000,286000.0,12048000,400828000,-199088000,-2916000.0,-1458000.0,200282000,212330000,132551000,484000.0,-69843000,https://www.sec.gov/Archives/edgar/data/1230992/000117184320002779/0001171843-20-002779-index.html,https://www.sec.gov/Archives/edgar/data/1230992/000117184320002779/f6k_042320.htm
0,2019-12-31,MAG,2020-02-11 00:00:00,2020-02-11 06:30:12,Q4,72360000,0.0,72360000,83000.0,0.0,269000.0,72712000,8047000.0,0.0,0.0,0.0,138051000,1982000.0,0.0,146098000,0.0,218810000,780000.0,0.0,0.0,0.0,0.0,854000.0,467000.0,0.0,0.0,260000.0,2709000.0,260000.0,3563000.0,399995000,-183733000,-1015000.0,784000.0,215247000,218810000,138051000,541000.0,-71819000,https://www.sec.gov/Archives/edgar/data/1230992/000117184320000855/0001171843-20-000855-index.html,https://www.sec.gov/Archives/edgar/data/1230992/000117184320000855/f6k_021120.htm
0,2019-09-30,MAG,2019-11-08 00:00:00,2019-11-08 06:52:34,Q3,94599000,0.0,94599000,174000.0,0.0,558000.0,95331000,7038000.0,0.0,0.0,0.0,116216000,2139000.0,0.0,123254000,0.0,218585000,365000.0,0.0,0.0,0.0,0.0,436000.0,477000.0,0.0,0.0,260000.0,2876000.0,260000.0,3312000.0,399628000,-183095000,-1260000.0,784000.0,215273000,218585000,116216000,548000.0,-94051000,https://www.sec.gov/Archives/edgar/data/1230992/000117184319007355/0001171843-19-007355-index.html,https://www.sec.gov/Archives/edgar/data/1230992/000117184319007355/f6k_110819.htm
0,2019-06-30,MAG,,,Q2,113833000,0.0,113833000,261000.0,0.0,688000.0,114782000,5520000.0,0.0,0.0,0.0,98712000,1545000.0,0.0,104232000,0.0,219014000,386000.0,0.0,0.0,0.0,0.0,456000.0,501000.0,0.0,0.0,260000.0,2306000.0,260000.0,2762000.0,398442000,-181061000,-1129000.0,784000.0,216252000,219014000,98712000,571000.0,-113262000,,
0,2019-03-31,MAG,2019-04-01 00:00:00,2019-04-01 08:55:14,Q1,128607000,0.0,128607000,267000.0,0.0,555000.0,129429000,4575000.0,0.0,0.0,0.0,83198000,1794000.0,0.0,87773000,0.0,217202000,1351000.0,0.0,0.0,0.0,0.0,1418000.0,508000.0,0.0,0.0,0.0,2302000.0,0.0,3720000.0,392916000,-178606000,-828000.0,784000.0,213482000,217202000,83198000,575000.0,-128032000,https://www.sec.gov/Archives/edgar/data/1230992/000117184319002098/0001171843-19-002098-index.html,https://www.sec.gov/Archives/edgar/data/1230992/000117184319002098/f6k_040119.htm
0,2018-12-31,MAG,2019-03-05 00:00:00,2019-03-05 16:38:10,Q4,130180000,0.0,130180000,372000.0,0.0,327000.0,130879000,3683000.0,0.0,0.0,0.0,82995000,2113000.0,0.0,86678000,0.0,217557000,1563000.0,0.0,0.0,0.0,0.0,1563000.0,0.0,0.0,0.0,0.0,2113000.0,0.0,3676000.0,392916000,-178354000,-681000.0,784000.0,213881000,217557000,82995000,0.0,-130180000,https://www.sec.gov/Archives/edgar/data/1230992/000117184319001516/0001171843-19-001516-index.html,https://www.sec.gov/Archives/edgar/data/1230992/000117184319001516/f6k_030519.htm
0,2018-09-30,MAG,2018-11-13 00:00:00,2018-11-13 17:21:52,Q3,141776000,0.0,141776000,392000.0,0.0,254000.0,142422000,3012000.0,0.0,0.0,0.0,73803000,541000.0,0.0,76815000,0.0,219237000,557000.0,0.0,0.0,0.0,0.0,557000.0,0.0,0.0,0.0,0.0,541000.0,0.0,1098000.0,392916000,-174647000,-130000.0,784000.0,218139000,219237000,73803000,0.0,-141776000,https://www.sec.gov/Archives/edgar/data/1230992/000117184318007918/0001171843-18-007918-index.html,https://www.sec.gov/Archives/edgar/data/1230992/000117184318007918/f6k_111318.htm
0,2018-06-30,MAG,,,Q2,151400000,0.0,151400000,400000.0,0.0,400000.0,152200000,2200000.0,0.0,0.0,0.0,64600000,1400000.0,0.0,66800000,0.0,219000000,500000.0,0.0,0.0,0.0,0.0,500000.0,0.0,0.0,0.0,0.0,1400000.0,0.0,1900000.0,392900000,-175700000,-100000.0,800000.0,217100000,219000000,64600000,0.0,-151400000,,
