,date,symbol,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2020-09-30,CE,2020-10-26,2020-10-26 16:51:10,Q3,209000000,90000000,-75000000,-3000000.0,-85000000,29000000,51000000,0.0,362000000,0.0,431000000,-72000000,-12000000,0.0,0.0,0.0,-78000000,-7000000.0,0.0,0.0,-73000000,0.0,-290000000,0.0,76000000,615000000,539000000,431000000,72000000,359000000,https://www.sec.gov/Archives/edgar/data/1306830/000130683020000204/0001306830-20-000204-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683020000204/ce-20200930.htm
0,2020-06-30,CE,2020-07-29,2020-07-29 16:31:54,Q2,109000000,89000000,-8000000.0,10000000,-480000000,178000000,38000000,0.0,447000000,36000000,379000000,-88000000,-88000000,0.0,0.0,0.0,-181000000,-7000000.0,0.0,0.0,-74000000,0.0,-232000000,3000000.0,-31000000,539000000,570000000,379000000,-88000000,291000000,https://www.sec.gov/Archives/edgar/data/1306830/000130683020000161/0001306830-20-000161-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683020000161/ce-10q63020.htm
0,2020-03-31,CE,2020-04-28,2020-04-28 16:19:33,Q1,220000000,86000000,-7000000.0,10000000,-84000000,-11000000,-11000000,0.0,927000000,-25000000,259000000,-119000000,0.0,0.0,0.0,0.0,-128000000,-9000000.0,0.0,-167000000,-74000000,0.0,-16000000,-8000000.0,107000000,570000000,463000000,259000000,-119000000,140000000,https://www.sec.gov/Archives/edgar/data/1306830/000130683020000105/0001306830-20-000105-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683020000105/ce-10q33120.htm
0,2019-12-31,CE,2020-02-06,2020-02-06 16:24:03,Q4,45000000,91000000,-10000000,-23000000,-299000000,-55000000,164000000,-74000000,1011000000,64000000,326000000,-33000000,53000000,-207000000,0.0,224000000,-168000000,176000000,0.0,-234000000,-75000000,265000000,-199000000,7000000.0,-34000000,463000000,497000000,326000000,-144000000,182000000,https://www.sec.gov/Archives/edgar/data/1306830/000130683020000018/0001306830-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683020000018/ce-20191231x10k.htm
0,2019-09-30,CE,2019-10-22,2019-10-22 16:23:32,Q3,265000000,95000000,-4000000.0,11000000,-158000000,3000000.0,-5000000.0,0.0,1310000000,-36000000,397000000,-82000000,0.0,0.0,0.0,0.0,-82000000,-6000000.0,0.0,-275000000,-77000000,0.0,-299000000,-10000000,6000000.0,497000000,491000000,397000000,-82000000,315000000,https://www.sec.gov/Archives/edgar/data/1306830/000130683019000191/0001306830-19-000191-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683019000191/ce-10q93019.htm
0,2019-06-30,CE,2019-07-23,2019-07-23 16:28:33,Q2,210000000,86000000,-12000000,13000000,406000000,46000000,-1000000.0,0.0,1468000000,78000000,424000000,-65000000,0.0,0.0,0.0,0.0,-66000000,-341000000,0.0,-276000000,-78000000,0.0,-307000000,-1000000.0,50000000,491000000,441000000,424000000,-65000000,359000000,https://www.sec.gov/Archives/edgar/data/1306830/000130683019000165/0001306830-19-000165-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683019000165/ce-10q63019.htm
0,2019-03-31,CE,2019-04-23,2019-04-23 16:19:57,Q1,338000000,84000000,-5000000.0,14000000,-33000000,6000000.0,40000000,0.0,1062000000,14000000,307000000,-79000000,-91000000,0.0,0.0,0.0,-177000000,-7000000.0,0.0,-212000000,-70000000,0.0,-130000000,2000000.0,2000000.0,441000000,439000000,307000000,-79000000,228000000,https://www.sec.gov/Archives/edgar/data/1306830/000130683019000092/0001306830-19-000092-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683019000092/ce-10q33119.htm
0,2018-12-31,CE,2019-02-07,2019-02-07 16:44:31,Q4,101000000,91000000,94000000,24000000,-553000000,114000000,-61000000,-111000000,1095000000,150000000,363000000,-70000000,125000000,-305000000,0.0,269000000,-98000000,-459000000,0.0,-555000000,-71000000,-11000000,-526000000,-3000000.0,-264000000,439000000,703000000,363000000,-93000000,270000000,https://www.sec.gov/Archives/edgar/data/1306830/000130683019000014/0001306830-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683019000014/ce-20181231x10k.htm
0,2018-09-30,CE,2018-10-19,2018-10-19 16:29:55,Q3,402000000,90000000,-12000000,14000000,105000000,61000000,-125000000,0.0,1648000000,-27000000,467000000,-79000000,0.0,0.0,0.0,0.0,-78000000,-13000000,0.0,-150000000,-73000000,0.0,-383000000,-11000000,-5000000.0,703000000,708000000,467000000,-79000000,388000000,https://www.sec.gov/Archives/edgar/data/1306830/000130683018000221/0001306830-18-000221-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683018000221/ce-10q93018.htm
0,2018-06-30,CE,2018-07-20,2018-07-20 16:13:08,Q2,345000000,88000000,59000000,17000000,139000000,15000000,10000000,0.0,1543000000,-27000000,585000000,-79000000,0.0,0.0,0.0,0.0,-96000000,-12000000,0.0,-100000000,-73000000,0.0,-254000000,-17000000,218000000,708000000,490000000,585000000,-79000000,506000000,https://www.sec.gov/Archives/edgar/data/1306830/000130683018000171/0001306830-18-000171-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683018000171/ce-10q63018.htm
