,date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
0,2019-12-31,BVN,2020-04-10,2020-04-10 17:35:33,FY,481491000,0.0,481491000,1887000.0,552197000,579353000,1614928000,5690851000,0.0,9337000.0,9337000.0,0.0,0.0,0.0,5700188000,494308000,7809424000,224920000,0.0,13505000,369789000,0.0,420786000,0.0,0.0,0.0,2039389000,2039389000,0.0,2460175000,0.0,4160458000,0.0,1188791000,5349249000,7809424000,0.0,0.0,-481491000,https://www.sec.gov/Archives/edgar/data/1013131/000110465920045603/0001104659-20-045603-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000110465920045603/tm206798d1_20f.htm
0,2018-12-31,BVN,2019-05-01,2019-04-30 20:29:16,FY,501182000,0.0,501182000,1715000.0,487531000,495109000,1485537000,5602902000,0.0,10289000,10289000,0.0,0.0,0.0,5613191000,455984000,7554712000,231136000,0.0,12424000,228248000,0.0,408754000,0.0,0.0,0.0,2037086000,2037086000,0.0,2445840000,0.0,0.0,0.0,5108872000,5108872000,7554712000,0.0,0.0,-501182000,https://www.sec.gov/Archives/edgar/data/1013131/000114420419022630/0001144204-19-022630-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000114420419022630/tv519058_20f.htm
0,2017-12-31,BVN,2018-04-30,2018-04-30 16:59:49,FY,600027000,0.0,600027000,2735000.0,445626000,515486000,1563874000,5678424000,0.0,11243000,11243000,0.0,0.0,0.0,5689667000,437466000,7691007000,194958000,0.0,170169000,166005000,149827000,510790000,0.0,0.0,0.0,1991055000,1991055000,0.0,2501845000,0.0,4000371000,0.0,1188791000,5189162000,7691007000,0.0,0.0,-600027000,https://www.sec.gov/Archives/edgar/data/1013131/000114420418023941/0001144204-18-023941-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000114420418023941/tv488578_20f.htm
0,2016-12-31,BVN,2017-05-01,2017-04-28 21:33:02,FY,677524000,0.0,677524000,1162000.0,71298000,357909000,1107893000,799131000,0.0,10518000,10518000,0.0,0.0,0.0,809649000,128343000,2045885000,168357000,0.0,21863000,335114000,0.0,135136000,0.0,0.0,0.0,0.0,0.0,0.0,1160161000,0.0,487282000,0.0,4351999000,4839281000,2045885000,0.0,0.0,-677524000,https://www.sec.gov/Archives/edgar/data/1013131/000114420417023420/0001144204-17-023420-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000114420417023420/v464888_20f.htm
0,2015-12-31,BVN,2016-05-02,2016-05-02 13:12:56,FY,943761000,0.0,943761000,0.0,56764000,345157000,1345682000,1364610000,0.0,30852000,30852000,0.0,0.0,0.0,1395462000,224286000,2965430000,0.0,0.0,12346000,41574000,90983000,132557000,0.0,0.0,0.0,0.0,0.0,0.0,736605000,0.0,1830383000,0.0,1558853000,3389236000,2965430000,0.0,0.0,-943761000,https://www.sec.gov/Archives/edgar/data/1013131/000114420416098224/0001144204-16-098224-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000114420416098224/v437647_20f.htm
0,2014-12-31,BVN,2015-04-30,2015-04-30 17:31:10,FY,786624000,0.0,786624000,5352000.0,64903000,418409000,1275288000,1098514000,0.0,393195000,393195000,0.0,0.0,0.0,1491709000,716172000,3483169000,0.0,0.0,3556000.0,483479000,0.0,483479000,0.0,0.0,0.0,0.0,0.0,0.0,910149000,0.0,2328423000,0.0,1433702000,3762125000,3483169000,0.0,0.0,-786624000,https://www.sec.gov/Archives/edgar/data/1013131/000114420415026696/0001144204-15-026696-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000114420415026696/v408328_20f.htm
0,2013-12-31,BVN,2014-04-30,2014-04-30 16:48:13,FY,854570000,2452570000,3307140000,7604000.0,163067000,0.0,1453386000,1134276000,0.0,3448000.0,3448000.0,0.0,0.0,0.0,1137724000,2237091000,4828201000,268508000,1326000.0,52740000,113343000,44137000,427314000,1326000.0,0.0,0.0,0.0,1326000.0,0.0,624267000,0.0,2583120000,0.0,1397599000,3980719000,4828201000,2452570000,2652000.0,-851918000,https://www.sec.gov/Archives/edgar/data/1013131/000114420414026370/0001144204-14-026370-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000114420414026370/v376089_20f.htm
0,2012-12-31,BVN,2013-04-30,2013-04-30 15:56:52,FY,1427528000,1399000.0,1428927000,4054000.0,194909000,357140000,1985030000,1799709000,0.0,5078000.0,5078000.0,0.0,0.0,0.0,1804787000,252954000,4042771000,146354000,0.0,7935000.0,240243000,0.0,272468000,0.0,0.0,0.0,0.0,0.0,0.0,593063000,0.0,2260917000,0.0,1703469000,3964386000,4042771000,1399000.0,0.0,-1427528000,https://www.sec.gov/Archives/edgar/data/1013131/000114420413025112/0001144204-13-025112-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000114420413025112/v343000_20f.htm
0,2011-12-31,BVN,2012-04-30,2012-04-30 14:29:57,FY,714454000,0.0,714454000,122950000,40385000,951027000,1828816000,443417000,0.0,6519000.0,6519000.0,0.0,0.0,0.0,449936000,489357000,2768109000,55950000,0.0,56920000,243719000,36259000,335928000,0.0,0.0,0.0,0.0,0.0,0.0,518959000,0.0,1488847000,0.0,0.0,0.0,2768109000,0.0,0.0,-714454000,https://www.sec.gov/Archives/edgar/data/1013131/000114420412024749/0001144204-12-024749-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000114420412024749/v310700_20f.htm
0,2010-12-31,BVN,2011-06-28,2011-06-28 14:59:19,FY,600796000,1404659000,2005455000,160928000,82081000,0.0,971715000,532577000,0.0,0.0,0.0,0.0,0.0,0.0,532577000,1798153000,3302445000,91374000,0.0,26538000,238794000,0.0,253643000,0.0,0.0,0.0,0.0,0.0,0.0,458359000,0.0,1506725000,0.0,1337361000,2844086000,3302445000,1404659000,0.0,-600796000,https://www.sec.gov/Archives/edgar/data/1013131/000114420411037918/0001144204-11-037918-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000114420411037918/v226924_20f.htm
