,date,symbol,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2019-12-31,ALO,,,FY,-140975000,9170000.0,0.0,0.0,5265000.0,-201000.0,1349000.0,5312000.0,0.0,126775000,235000.0,0.0,0.0,0.0,0.0,0.0,-13759000,0.0,0.0,0.0,0.0,0.0,8095000.0,18000.0,-5411000.0,16567000,21978000,235000.0,-15069000,-14834000,,
0,2018-12-31,ALO,2019-03-20 00:00:00,2019-03-19 21:00:02,FY,-12396000,8600000.0,0.0,0.0,-14133000,869000.0,-42314000,-7144000.0,0.0,-464000.0,-18393000,0.0,0.0,0.0,0.0,0.0,24555000,0.0,0.0,0.0,0.0,0.0,-15670000,12000.0,-9496000.0,21978000,31474000,-18393000,-29525000,-47918000,https://www.sec.gov/Archives/edgar/data/1502154/000156459019008521/0001564590-19-008521-index.html,https://www.sec.gov/Archives/edgar/data/1502154/000156459019008521/alo-40f_20181231.htm
0,2017-12-31,ALO,2018-03-15 00:00:00,2018-03-14 19:33:21,FY,20688000,4641000.0,0.0,0.0,-15058000,303000.0,-11649000,-7090000.0,0.0,2799000.0,13070000,0.0,0.0,0.0,0.0,0.0,-55795000,0.0,0.0,2933000.0,0.0,0.0,40107000,215000.0,-2403000.0,31474000,33877000,13070000,-38328000,-25258000,https://www.sec.gov/Archives/edgar/data/1502154/000156459018005686/0001564590-18-005686-index.html,https://www.sec.gov/Archives/edgar/data/1502154/000156459018005686/alo-40f_20171231.htm
0,2016-12-31,ALO,2017-03-21 00:00:00,2017-03-20 19:02:02,FY,35970000,14299000,0.0,0.0,-8801000.0,-1009000.0,-1431000.0,16185000,0.0,-7386000.0,34082000,0.0,0.0,0.0,0.0,0.0,-12378000,0.0,0.0,0.0,0.0,0.0,841000.0,-167000.0,22378000,31561000,9183000.0,34082000,-18979000,15103000,https://www.sec.gov/Archives/edgar/data/1502154/000106299317001433/0001062993-17-001433-index.html,https://www.sec.gov/Archives/edgar/data/1502154/000106299317001433/form40f.htm
0,2015-12-31,ALO,2016-03-30 00:00:00,2016-03-30 15:43:34,FY,-240569000,16542000,0.0,0.0,8179000.0,220000.0,37789000,-9274000.0,0.0,229138000,13290000,0.0,0.0,0.0,0.0,0.0,-31731000,0.0,0.0,0.0,0.0,0.0,3572000.0,-584000.0,-15453000,11499000,26952000,13290000,-31989000,-18699000,https://www.sec.gov/Archives/edgar/data/1502154/000106299316008599/0001062993-16-008599-index.html,https://www.sec.gov/Archives/edgar/data/1502154/000106299316008599/form40f.htm
0,2014-12-31,ALO,,,FY,19959000,18565000,0.0,0.0,-8575000.0,667000.0,-3593000.0,6480000.0,0.0,3105000.0,33054000,0.0,0.0,0.0,0.0,0.0,-47113000,0.0,0.0,165000.0,0.0,0.0,18773000,-538000.0,4176000.0,26976000,22800000,33054000,-47113000,-14059000,,
0,2013-12-31,ALO,,,FY,40240000,15470000,0.0,0.0,-11180000,300000.0,-10200000,-12000000,0.0,7890000.0,52410000,0.0,0.0,0.0,0.0,0.0,-52570000,0.0,0.0,170000.0,0.0,0.0,-1230000.0,-20000.0,-1410000.0,22790000,24200000,52410000,-52570000,-160000.0,,
0,2012-12-31,ALO,2013-04-02 00:00:00,2013-04-02 16:55:45,FY,57140000,7930000.0,0.0,0.0,-27060000,200000.0,-3700000.0,-400000.0,0.0,8860000.0,46870000,0.0,0.0,0.0,0.0,0.0,-34340000,0.0,0.0,3650000.0,0.0,0.0,1780000.0,10000.0,14320000,24220000,9900000.0,46870000,-34340000,12530000,https://www.sec.gov/Archives/edgar/data/1502154/000106299313001661/0001062993-13-001661-index.html,https://www.sec.gov/Archives/edgar/data/1502154/000106299313001661/form40f.htm
0,2011-12-31,ALO,2012-03-30 00:00:00,2012-03-29 17:42:50,FY,32710000,7780000.0,0.0,0.0,-24380000,-1100000.0,-14500000,0.0,0.0,7920000.0,24030000,0.0,0.0,0.0,0.0,0.0,-27370000,0.0,0.0,2020000.0,0.0,0.0,7630000.0,-70000.0,4230000.0,9930000.0,5700000.0,24030000,-29180000,-5150000.0,https://www.sec.gov/Archives/edgar/data/1502154/000120445912000662/0001204459-12-000662-index.html,https://www.sec.gov/Archives/edgar/data/1502154/000120445912000662/form40f.htm
0,2011-03-31,ALO,,,FY,11280000,6950000.0,10830000,0.0,-760000.0,1900000.0,-8400000.0,0.0,0.0,14370000,42670000,0.0,0.0,0.0,0.0,0.0,-30880000,0.0,0.0,6570000.0,0.0,0.0,-9050000.0,0.0,2740000.0,5440000.0,2700000.0,42670000,-5560000.0,37110000,,
