,date,symbol,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2019-12-31,APAM.AS,2019-12-31,2019-12-31,FY,148000000,150000000,0.0,0.0,62000000,0.0,174000000,0.0,0.0,25000000,400000000,0.0,0.0,0.0,0.0,32000000,0.0,0.0,0.0,-93000000,-142000000,-8000000.0,0.0,-29000000,0.0,375000000,199000000,400000000,-151000000,249000000,,
0,2018-12-31,APAM.AS,2018-12-31,2018-12-31,FY,286000000,143000000,0.0,0.0,-205000000,0.0,-230000000,0.0,0.0,-3000000.0,295000000,0.0,0.0,0.0,0.0,5000000.0,0.0,0.0,0.0,-70000000,-130000000,-1000000.0,0.0,16000000,0.0,199000000,306000000,295000000,-192000000,103000000,,
0,2017-12-31,APAM.AS,2017-12-31,2017-12-31,FY,300907940,143368880,0.0,0.0,-124197460,0.0,-110027280,0.0,0.0,30840980,366757600,0.0,0.0,0.0,0.0,833540.0,0.0,-10836020,0.0,-81686920,-100858340,-833540.0,0.0,-5834780.0,0.0,305909180,270900500,366757600,-155038440,211719160,,
0,2016-12-31,APAM.AS,2016-12-31,2016-12-31,FY,203479760,166397000,0.0,0.0,-27574360,0.0,-94133160,0.0,0.0,36131920,396500280,0.0,0.0,0.0,0.0,950840.0,0.0,-11410080,0.0,0.0,-92231480,-950840.0,0.0,-29476040,0.0,309023000,140724320,396500280,-123609200,272891080,,
0,2015-12-31,APAM.AS,2015-12-31,2015-12-31,FY,158236180,159150840,0.0,0.0,5487960.0,0.0,-1829320.0,0.0,0.0,45733000,358546720,0.0,0.0,0.0,0.0,5487960.0,0.0,-257934120,0.0,-12805240,0.0,-2743980.0,0.0,-37501060,0.0,135369680,180188020,358546720,-120735120,237811600,,
0,2014-12-31,APAM.AS,2014-12-31,2014-12-31,FY,78124200,199833480,0.0,0.0,-228616080,0.0,-251642160,0.0,0.0,73190040,197366400,0.0,0.0,0.0,0.0,6578880.0,0.0,-411180000,0.0,-2467080.0,0.0,-9045960.0,0.0,47696880,0.0,162004920,239306760,197366400,-84703080,112663320,,
0,2013-12-31,APAM.AS,2013-12-31,2013-12-31,FY,-71693820,210012200,0.0,0.0,-55761860,0.0,-30415560,0.0,0.0,63727840,147732720,0.0,0.0,0.0,0.0,4345080.0,0.0,-216529820,0.0,0.0,0.0,-5793440.0,0.0,55761860,0.0,210736380,163664680,147732720,-90522500,57210220,,
0,2012-12-31,APAM.AS,2012-12-31,2012-12-31,FY,-81663120,221549020,0.0,0.0,52173660,0.0,-10585960,0.0,0.0,58978920,210206920,0.0,0.0,0.0,0.0,2268420.0,0.0,-195840260,0.0,0.0,-44612260,-1512280.0,0.0,29489460,0.0,170887640,186766580,210206920,-121738540,88468380,,
0,2011-12-31,APAM.AS,2011-12-31,2011-12-31,FY,0.0,236865850,0.0,0.0,-98758400,0.0,135792800,0.0,0.0,20060300,145822950,0.0,0.0,0.0,0.0,6943950.0,0.0,-1317035850,0.0,0.0,-47064550,-4629300.0,0.0,0.0,0.0,190572850,92586000,145822950,-121904900,23918050,,
0,2010-12-31,APAM.AS,2010-12-31,2010-12-31,FY,0.0,220306700,0.0,0.0,-45865900,0.0,-367679100,0.0,0.0,-42106400,272187800,0.0,0.0,0.0,0.0,-227825700,0.0,-161658500,0.0,0.0,-51881100,71430500,0.0,0.0,0.0,90228000,88724200,272187800,-75941900,196245900,,
0,2009-12-31,APAM.AS,2009-12-31,2009-12-31,FY,0.0,222649240,0.0,0.0,132612400,0.0,139592000,0.0,0.0,83057240,149363440,0.0,0.0,0.0,0.0,9073480.0,0.0,-234514560,0.0,0.0,-105391960,32804120,0.0,-46763320,0.0,82359280,87942960,149363440,-80265400,69098040,,
0,2008-12-31,APAM.AS,2008-12-31,2008-12-31,FY,0.0,229150460,0.0,0.0,-190360100,0.0,68242300,0.0,0.0,88355820,350549920,0.0,0.0,0.0,0.0,-10775100,0.0,-206163580,0.0,0.0,-689606400,208318600,0.0,-73270680,0.0,90510840,433159020,350549920,-178148320,172401600,,
0,2007-12-31,APAM.AS,2007-12-31,2007-12-31,FY,0.0,188614250,0.0,0.0,262002340,0.0,233195800,0.0,0.0,70644610,950615820,0.0,0.0,0.0,0.0,5486960.0,0.0,-543894910,0.0,0.0,-109739200,-3429350.0,0.0,-32235890,0.0,413579610,216734920,950615820,-189300120,761315700,,
