,date,symbol,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2020-09-30,GCI,2020-11-03,2020-11-03 16:35:44,Q3,-31448000,61354000,0.0,3844000.0,-8613000.0,0.0,0.0,0.0,16099000,0.0,40000.0,-35803000,0.0,0.0,0.0,0.0,-560000.0,-2790000.0,0.0,0.0,0.0,0.0,59000.0,0.0,34766000,223933000,189167000,40000.0,35803000,-35763000,https://www.sec.gov/Archives/edgar/data/1579684/000157968420000026/0001579684-20-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1579684/000157968420000026/gci-20200930x10q.htm
0,2020-06-30,GCI,2020-08-06,2020-08-06 17:15:34,Q2,-437831000,66328000,0.0,7391000.0,-13910000,0.0,0.0,0.0,24712000,389150000,-35849000,-8374000.0,0.0,0.0,0.0,8767000.0,393000.00000000023,316000.0,1007000.0,679999.9999999999,0.0,-47707000,-5651999.999999999,-2334000.0,-43442000,156209000,199651000,-35849000,-8374000.0,-44223000,https://www.sec.gov/Archives/edgar/data/1579684/000157968420000019/0001579684-20-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1579684/000157968420000019/gci-20200630x10q.htm
0,2020-03-31,GCI,2020-05-07 00:00:00,2020-05-07 17:28:00,Q1,-80606000,78024000,0.0,11577000,-22040000,0.0,0.0,0.0,38622000,-17022000,60489000,-13783000,0.0,0.0,0.0,10364000,-3419000.0,-2036000.0,0.0,-1615000.0,0.0,-14679000,-14679000,1554000.0,43945000,199987000,156042000,60489000,-13783000,46706000,https://www.sec.gov/Archives/edgar/data/1579684/000157968420000012/0001579684-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1579684/000157968420000012/gci-20200331x10q.htm
0,2019-12-31,GCI,2020-03-02 00:00:00,2020-03-02 17:29:01,Q4,-95482000,43149000,-91680000,8790000.0,81392000,-23033000,-460000.0,1543000.0,60662000,44738000,-72995000,-6697000.0,-746836000,0.0,0.0,15106000,-738426999.9999999,-469762000,0.0,-286000.00000000006,-23050000.00000001,1435982000,971811000,-3494000.0,156895000,185536000,28641000,-72995000,-6697000.0,-79692000,https://www.sec.gov/Archives/edgar/data/1579684/000157968420000006/0001579684-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1579684/000157968420000006/gci-20191231x10k.htm
0,2019-09-29,GCI,2019-10-31 00:00:00,2019-10-31 16:22:44,Q3,-18967999.999999996,24482000.000000007,5711000.0,691000.0,-23110000,8934000.0,-677000.0,7377000.0,-20730000,825999.9999999997,40877000,-2347000.0,-10313000,0.0,0.0,3207000.0,-9453000.000000004,0.0,0.0,-16000.000000000015,-22819999.999999993,8596000.0,-22836000,0.0,8584999.999999996,28613999.999999996,20029000,40877000,-2346999.9999999995,38530000,https://www.sec.gov/Archives/edgar/data/1579684/000157968419000013/0001579684-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1579684/000157968419000013/newm10-q09292019doc.htm
0,2019-06-30,GCI,2019-08-07,2019-08-07 09:32:21,Q2,2615000.0,23328000,-1179000.0,707000.0,3972000.0,2023000.0,5299000.0,-15765000,2380000.0,2544000.0000000005,25910999.999999996,-2692000.0,-1400000.0,0.0,0.0,4642000.0,549999.9999999972,-9099000.0,0.0,-11000.00000000001,-22821000,-4579000.0,-31930999.999999996,3000.0,-5466999.999999999,19130000,24597000,25910999.999999996,-2692000.0,23218999.999999996,https://www.sec.gov/Archives/edgar/data/1579684/000157968419000010/newm10-q06302019doc.htm,https://www.sec.gov/Archives/edgar/data/1579684/000157968419000010/newm10-q06302019doc.htm
0,2019-03-31,GCI,2019-05-02 00:00:00,2019-05-02 16:45:27,Q1,-9355000.0,20923000,-617000.0,1136000.0,-51357000,24684000,988000.0,10803000,-1592000.0,3856000.0,31742000,-2242000.0,-37953000,0.0,0.0,2465000.0,-37730000,-2197000.0,0.0,-689000.0,-23245000,31908000,-18131000,0.0,-24119000,24532000,48651000,31742000,-2242000.0,29500000,https://www.sec.gov/Archives/edgar/data/1579684/000157968419000005/0001579684-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1579684/000157968419000005/newm10-q03312019doc.htm
0,2018-12-30,GCI,2019-02-27 00:00:00,2019-02-27 16:50:10,Q4,12937999.999999998,20515000,-1646000.0,657000.0,-6597000.0,-16946000,2631000.0,1970000.0,49765000,4131000.0,37575999.99999999,-3610000.0,-49711000,-792000.0,0.0,2657000.0,-51455999.99999999,-300000.0,0.0,-7999.999999995566,-22774999.99999999,30409000,6841999.999999999,0.0,-7038000.000000001,49653000,56691000,37575999.99999999,-3609999.9999999995,33965999.99999999,https://www.sec.gov/Archives/edgar/data/1635718/000163571819000008/0001635718-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1635718/000163571819000008/gci-20181231x10k.htm
0,2018-09-30,GCI,2018-10-31 00:00:00,2018-10-31 16:24:42,Q3,-5831000.0,25075999.999999993,-451999.99999999977,667000.0,-15438000,1370000.0,-2109000.0,-3694000.0,56362000,508000.0,14383000.000000004,-2988000.0,-5562000.0,0.0,0.0,590000.0,-7920000.000000016,-1031000.0,0.0,15000.000000000568,-22220000,-248000.0,-23516999.999999996,0.0,-17054000,56746000,73800000,14383000.000000004,-3029000.0,11354000.000000004,https://www.sec.gov/Archives/edgar/data/1579684/000157968418000012/0001579684-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1579684/000157968418000012/newm10-q09302018doc.htm
0,2018-07-01,GCI,2018-08-02 00:00:00,2018-08-02 16:35:39,Q2,11700000,20000000.000000004,2400000.0,669000.0,-3600000.0,-3818000.0,-1689000.0,-3836000.0,71800000,-700000.0000000002,38900000.00000001,-3112000.0,-120195000,735000.0,0.0,2643000.0,-120000000,-1031000.0,111099000,111000000,-22200000.000000004,-905000.0,87800000.00000001,0.0,6699999.999999999,73700000,67000000,38900000.00000001,-3100000.0,35800000.00000001,https://www.sec.gov/Archives/edgar/data/1579684/000157968418000009/0001579684-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1579684/000157968418000009/newm_10-qx07012018xdoc.htm
