,date,symbol,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2020-06-30,VIAC,2020-08-06 00:00:00,2020-08-06 11:05:45,Q2,726000000,124000000,75000000,0.0,-268000000,60000000,-406000000,251000000,0.0,138000000,795000000,0.0,0.0,0.0,0.0,0.0,-236000000,0.0,0.0,0.0,-149000000,0.0,1128000000,12000000,1699000000,2288000000,589000000,795000000,-81000000,714000000,https://www.sec.gov/Archives/edgar/data/813828/000081382820000040/0000813828-20-000040-index.htm,https://www.sec.gov/Archives/edgar/data/813828/000081382820000040/viac10q-063020.htm
0,2020-03-31,VIAC,2020-05-07 00:00:00,2020-05-07 10:05:00,Q1,519000000,113000000,149000000,0.0,-514000000,7000000.0,1445000000,-6000000.0,0.0,89000000,356000000,0.0,0.0,0.0,0.0,0.0,49000000,0.0,0.0,-58000000,-152000000,0.0,-479000000,-29000000,-103000000,529000000,632000000,356000000,-51000000,305000000,https://www.sec.gov/Archives/edgar/data/813828/000081382820000022/0000813828-20-000022-index.html,https://www.sec.gov/Archives/edgar/data/813828/000081382820000022/viac10q-033120.htm
0,2019-12-31,VIAC,2020-02-20 00:00:00,2020-02-20 17:33:38,Q4,959000000,285000000,-187000000,174000000,-12839000000,-256000000,-14215000000,297000000,2854000000,12671000000,889000000,-259000000,-360000000,-43000000,0.0,-46000000,-708000000,-959000000,0.0,-42000000,-390000000,1194000000,-198000000,-1000000.0,-18000000,178000000,196000000,889000000,-259000000,630000000,https://www.sec.gov/Archives/edgar/data/813828/000081382820000013/0000813828-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/813828/000081382820000013/a2019k.htm
0,2019-09-30,VIAC,2019-11-12 00:00:00,2019-11-12 16:31:09,Q3,-605000000,-57000000,-47000000,42000000,-258000000,0.0,0.0,0.0,2151000000,119000000,-848000000,-34000000,0.0,0.0,0.0,-315000000,433000000,-50000000,0.0,14000000,94000000,99000000,209000000,0.0,-208000000,8000000.0,216000000,-848000000,48000000,-800000000,https://www.sec.gov/Archives/edgar/data/813828/000081382819000033/0000813828-19-000033-index.html,https://www.sec.gov/Archives/edgar/data/813828/000081382819000033/cbs10q-093019.htm
0,2019-06-30,VIAC,2019-08-08,2019-08-08 17:10:13,Q2,983000000,109000000,36000000,36000000,-897000000,0.0,0.0,0.0,2493000000,29000000,260000000,-33000000,0.0,0.0,0.0,-21000000,-99000000,0.0,0.0,0.0,-149000000,-38000000,-209000000,1000000.0,-47000000,453000000,500000000,260000000,-75000000,185000000,https://www.sec.gov/Archives/edgar/data/813828/000081382819000025/cbs10q-063019.htm,https://www.sec.gov/Archives/edgar/data/813828/000081382819000025/cbs10q-063019.htm
0,2019-03-31,VIAC,2019-05-02 00:00:00,2019-05-02 17:23:57,Q1,1964000000,106000000,-571000000,39000000,-43000000,0.0,0.0,0.0,2240000000,-527000000,929000000,-27000000,-39000000,-14000000,0.0,1036000000,219000000,74000000,0.0,-14000000,-150000000,-884000000,-1018000000,1000000.0,131000000,987000000,856000000,929000000,-67000000,862000000,https://www.sec.gov/Archives/edgar/data/813828/000081382819000014/0000813828-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/813828/000081382819000014/cbs10q-033119.htm
0,2018-12-31,VIAC,2019-02-15 00:00:00,2019-02-15 17:31:44,Q4,2061000000,265000000,0.0,41000000,-11786000000,-254000000,-830000000,-94000000,2179000000,11744000000,2284000000,-66000000,-2000000.0,-89000000,0.0,193000000,-392000000,-300000000,0.0,-83000000,-391000000,600000000,-1467000000,0.0,400000000,582000000,182000000,2284000000,-253000000,2031000000,https://www.sec.gov/Archives/edgar/data/813828/000081382819000006/0000813828-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/813828/000081382819000006/cbs_10k-123118.htm
0,2018-09-30,VIAC,2018-11-01 00:00:00,2018-11-01 17:18:33,Q3,488000000,56000000,0.0,14000000,-442000000,0.0,0.0,0.0,2047000000,35000000,137000000,-37000000,0.0,-103000000,0.0,104000000,-36000000,-4000000.0,0.0,-102000000,-68000000,4000000.0,-171000000,0.0,-70000000,182000000,252000000,137000000,-37000000,100000000,https://www.sec.gov/Archives/edgar/data/813828/000081382818000044/0000813828-18-000044-index.html,https://www.sec.gov/Archives/edgar/data/813828/000081382818000044/cbs_10q-093018.htm
0,2018-06-30,VIAC,2018-08-02 00:00:00,2018-08-02 17:18:58,Q2,400000000,56000000,0.0,47000000,-195000000,0.0,0.0,0.0,2264000000,65000000,326000000,-32000000,-29000000,-208000000,0.0,176000000,-93000000,-153000000,0.0,-202000000,-69000000,302000000,-128000000,0.0,105000000,252000000,147000000,326000000,-32000000,294000000,https://www.sec.gov/Archives/edgar/data/813828/000081382818000036/0000813828-18-000036-index.html,https://www.sec.gov/Archives/edgar/data/813828/000081382818000036/cbs_10q-063018.htm
0,2018-03-31,VIAC,2018-05-04 00:00:00,2018-05-04 16:28:47,Q1,511000000,56000000,0.0,44000000,92000000,0.0,0.0,0.0,2122000000,58000000,717000000,-30000000,0.0,-186000000,0.0,126000000,-90000000,462000000,0.0,-170000000,-71000000,-970000000,-765000000,0.0,-138000000,147000000,285000000,717000000,-30000000,687000000,https://www.sec.gov/Archives/edgar/data/813828/000081382818000026/0000813828-18-000026-index.html,https://www.sec.gov/Archives/edgar/data/813828/000081382818000026/cbs_10q-033118.htm
