,date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
0,2019-12-31,SESG.PA,2019-12-31,2019-12-31,FY,1155300000,0.0,1155300000,0.0,30500000,0.0,1862900000,6109600000,2264300000,2420900000,4685200000,0.0,260500000,0.0,11370300000,0.0,13233200000,81000000,0.0,0.0,0.0,134800000,1729000000,3737200000,434700000,359500000,25400000,5247700000,134800000,6976700000,719000000,296200000,-8206900000,0.0,6173400000,6976700000,0.0,4469200000,3273000000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=S.E.S.G#phrase=S.E.S.G,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=S.E.S.G#phrase=S.E.S.G
0,2018-12-31,SESG.PA,2018-12-31,2018-12-31,FY,909100000,0.0,909100000,0.0,35100000,0.0,1650900000,6014300000,1798500000,2922000000,4720500000,0.0,162300000,0.0,11208400000,0.0,12859300000,113700000,0.0,0.0,0.0,130800000,1537200000,3908500000,467000000,412500000,12900000,5071500000,130800000,6608700000,719000000,278600000,-7803500000,0.0,6148400000,6608700000,0.0,4423000000,3475800000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=S.E.S.G#phrase=S.E.S.G,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=S.E.S.G#phrase=S.E.S.G
0,2017-12-31,SESG.PA,2017-12-31,2017-12-31,FY,269600000,2600000.0,269600000,0.0,30100000,0.0,1073500000,6071600000,2243900000,2387000000,4630900000,0.0,70400000,0.0,11110900000,0.0,12184400000,139700000,2600000.0,0.0,0.0,126600000,1571600000,3413800000,523600000,438500000,6200000.0,4500300000,126600000,6071900000,719000000,596100000,-6884900000,0.0,5987900000,6071900000,0.0,3947900000,3678300000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=S.E.S.G#phrase=S.E.S.G,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=S.E.S.G#phrase=S.E.S.G
0,2016-12-31,SESG.PA,2016-12-31,2016-12-31,FY,587500000,0.0,587500000,0.0,30200000,0.0,1667500000,6545900000,2540900000,2706800000,5247700000,0.0,70500000,0.0,11978400000,0.0,13645900000,195500000,0.0,0.0,0.0,0.0,1287900000,4223100000,434800000,664200000,23000000,5412900000,0.0,6700800000,0.0,0.0,-7094600000,0.0,6806500000,6700800000,0.0,4427400000,3839900000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=S.E.S.G#phrase=S.E.S.G,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=S.E.S.G#phrase=S.E.S.G
0,2015-12-31,SESG.PA,2015-12-31,2015-12-31,FY,639700000,1600000.0,639700000,0.0,8500000.0,0.0,1471500000,5359100000,2175100000,1412300000,3587400000,73500000,59200000,0.0,9194300000,0.0,10665800000,84900000,1600000.0,0.0,0.0,0.0,1249300000,4177900000,434800000,655900000,75900000,5355700000,0.0,6605000000,0.0,0.0,-6385800000,0.0,3932500000,6605000000,73500000,4431700000,3792000000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=S.E.S.G#phrase=S.E.S.G,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=S.E.S.G#phrase=S.E.S.G
0,2014-12-31,SESG.PA,2014-12-31,2014-12-31,FY,524500000,0.0,524500000,0.0,5300000.0,0.0,1305400000,5026400000,1957500000,1349800000,3307300000,93100000,122200000,0.0,8646700000,0.0,9952100000,89800000,0.0,0.0,0.0,0.0,1059200000,4227600000,335100000,676500000,23600000,5403300000,0.0,6462500000,0.0,0.0,-5910100000,0.0,3404700000,6462500000,93100000,4486100000,3961600000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=S.E.S.G#phrase=S.E.S.G,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=S.E.S.G#phrase=S.E.S.G
0,2013-12-31,SESG.PA,2013-12-31,2013-12-31,FY,544200000,9500000.0,544200000,0.0,6400000.0,0.0,1184100000,4847500000,1717800000,1032500000,2750300000,141800000,95700000,0.0,7904700000,0.0,9088800000,72400000,9500000.0,0.0,0.0,100000.0,1585900000,3542200000,227800000,645300000,59700000,4604000000,100000.0,6189900000,0.0,0.0,-5295100000,0.0,2820700000,6189900000,141800000,4345900000,3801700000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=S.E.S.G#phrase=S.E.S.G,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=S.E.S.G#phrase=S.E.S.G
0,2012-12-31,SESG.PA,2012-12-31,2012-12-31,FY,240000000,4300000.0,240000000,0.0,4400000.0,0.0,696300000,5099000000,1802100000,1062300000,2864400000,158400000,89200000,0.0,8304900000,0.0,9001200000,86100000,4300000.0,0.0,0.0,0.0,1983100000,3068000000,0.0,671500000,42500000,4132600000,0.0,6115700000,0.0,0.0,-5026500000,0.0,2806100000,6115700000,158400000,4227700000,3987700000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=S.E.S.G#phrase=S.E.S.G,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=S.E.S.G#phrase=S.E.S.G
0,2011-12-31,SESG.PA,2011-12-31,2011-12-31,FY,218000000,0.0,218000000,0.0,9300000.0,0.0,684900000,5009300000,0.0,2913400000,2913400000,150400000,60500000,0.0,8184900000,0.0,8869800000,444500000,0.0,0.0,0.0,0.0,1687500000,3579800000,0.0,694000000,19500000,4565000000,0.0,6252500000,0.0,0.0,-4578000000,0.0,2534200000,6252500000,150400000,4196600000,3978600000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=S.E.S.G#phrase=S.E.S.G,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=S.E.S.G#phrase=S.E.S.G
0,2010-12-31,SESG.PA,2010-12-31,2010-12-31,FY,321000000,0.0,321000000,0.0,9200000.0,0.0,772400000,4404800000,0.0,2866000000,2866000000,128200000,32000000,0.0,7456100000,0.0,8228500000,348900000,0.0,0.0,0.0,0.0,2018200000,2995900000,0.0,737600000,36200000,4081800000,0.0,6100000000,0.0,0.0,-4148900000,0.0,2093000000,6100000000,128200000,4084500000,3763500000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=S.E.S.G#phrase=S.E.S.G,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=S.E.S.G#phrase=S.E.S.G
