,date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
0,2019-12-31,TKC,2020-04-02,Not found...,FY,25137000000,34165000000,8053000000,0.32036440307117,0.0,0.0,-1555000000,1209000000,-346000000,33819000000,0.0,2846735000000,2846389000000,113.23503202450571,-346000000,-0.0137645701555476,-346000000,3289000000,0.13084298046704063,-785000000,4074000000,0.1620718462823726,-0.0157,-0.0157,-259490445859,-259490445859,https://www.sec.gov/Archives/edgar/data/1071321/000119312520094879/0001193125-20-094879-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000119312520094879/d57951d20f.htm
0,2018-12-31,TKC,2019-03-15,Not found...,FY,21292000000,28291000000,7146000000,0.33561901183543114,0.0,0.0,-1626000000,-140000000,-1626000000,26665000000,0.0,1894445000000,1896622000000,89.07674243847454,2177000000,0.10224497463836182,-140000000,2672000000,0.1254931429644937,-495000000,3167000000,0.1487413112906256,-0.1,-0.1,-31670000000,-31670000000,https://www.sec.gov/Archives/edgar/data/1071321/000119312519076871/0001193125-19-076871-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000119312519076871/d648117d20f.htm
0,2017-12-31,TKC,2018-03-22,Not found...,FY,17632000000,22699000000,6281000000,0.3562273139745917,0.0,0.0,-2005000000,-698000000,-2005000000,20694000000,0.0,1501579000000,1503616000000,85.27767695099818,2037000000,0.11552858439201452,-698000000,2609000000,0.1479696007259528,-571000000,3180000000,0.18035390199637025,0.0,0.0,3507395000000,3507395000000,https://www.sec.gov/Archives/edgar/data/1071321/000119312518092288/0001193125-18-092288-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000119312518092288/d521904d20f.htm
0,2016-12-31,TKC,2017-03-20,Not found...,FY,14100000,9236000.0,4934000.0,0.3499290780141844,0.0,0.0,-1910000.0,-234000.0,-1910000.0,7326000.0,0.0,1281539000,1286473000,91.23921985815603,4934000.0,0.3499290780141844,-234000.0,-423000.0,-0.03,-423000.0,0.0,0.0,-0.42319999999999997,-0.42319999999999997,7865.0,7865.0,https://www.sec.gov/Archives/edgar/data/1071321/000119312517089488/0001193125-17-089488-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000119312517089488/d349357d20f.htm
0,2015-12-31,TKC,2016-03-18,Not found...,FY,12769000,7769000.0,4999000.0,0.3914950270185606,0.0,0.0,-1901000.0,-270000.0,-1901000.0,5868000.0,0.0,0.0,2570000.0,0.20126869762706556,2570000.0,0.20126869762706556,44000.0,2570000.0,0.20126869762706556,-667000.0,3237000.0,0.25350458140809773,0.3673,0.3673,8812959.0,8812959.0,https://www.sec.gov/Archives/edgar/data/1071321/000119312516510444/0001193125-16-510444-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000119312516510444/d135598d20f.htm
0,2014-12-31,TKC,2015-03-10,Not found...,FY,5512000.0,3375000.0,2137000.0,0.387699564586357,0.0,0.0,-903000.0,-35000.0,-903000.0,2472000.0,0.0,0.0,1005000.0,0.18232946298984035,1005000.0,0.18232946298984035,-35000.0,1005000.0,0.18232946298984035,-334000.0,1339000.0,0.2429245283018868,96.6,96.6,13861.0,13861.0,https://www.sec.gov/Archives/edgar/data/1071321/000119312515085364/0001193125-15-085364-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000119312515085364/d886780d20f.htm
0,2013-12-31,TKC,2014-03-21,Not found...,FY,5975000.0,3693000.0,2282000.0,0.3819246861924686,0.0,0.0,-964000.0,-47000.0,-964000.0,2729000.0,0.0,589786000,591326000,98.96669456066945,1540000.0,0.25774058577405856,18000.0,1540000.0,0.25774058577405856,-310000.0,1850000.0,0.30962343096234307,0.1554,0.1554,11904761,11904761,https://www.sec.gov/Archives/edgar/data/1071321/000110465914021374/0001104659-14-021374-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000110465914021374/a14-8254_120f.htm
0,2012-12-31,TKC,2013-04-08,Not found...,FY,5865000.0,3622000.0,2243000.0,0.3824381926683717,0.0,0.0,-953000.0,-58000.0,-953000.0,2669000.0,0.0,562788000,564226000,96.20221653878943,1438000.0,0.24518329070758738,-58000.0,1438000.0,0.24518329070758738,-291000.0,1729000.0,0.2947996589940324,0.1217,0.1217,14207066,14207066,https://www.sec.gov/Archives/edgar/data/1071321/000119312513146006/0001193125-13-146006-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000119312513146006/d512232d20f.htm
0,2011-12-31,TKC,2012-04-20,Not found...,FY,5609000.0,3528000.0,2080000.0,0.3708325904795864,0.0,0.0,-1010000.0,-128000.0,-1010000.0,2518000.0,0.0,636758000,637775000,113.70565163130682,1017000.0,0.18131574255660546,-128000.0,1017000.0,0.18131574255660546,-292000.0,1309000.0,0.23337493314316277,0.1369,0.1369,9561723.0,9561723.0,https://www.sec.gov/Archives/edgar/data/1071321/000119312512173019/0001193125-12-173019-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000119312512173019/d336307d20f.htm
0,2010-12-31,TKC,2011-04-18,Not found...,FY,5982000.0,3349000.0,2633000.0,0.4401537947174858,0.0,0.0,-1085000.0,-49000.0,-1085000.0,2264000.0,0.0,515515000,516962000,86.41959210966232,1447000.0,0.24189234369775994,-49000.0,1447000.0,0.24189234369775994,-320000.0,1767000.0,0.29538615847542626,0.12279999999999999,0.12279999999999999,14389250,14389250,https://www.sec.gov/Archives/edgar/data/1071321/000119312511100830/0001193125-11-100830-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000119312511100830/d20f.htm
0,2009-12-31,TKC,2010-04-27,Not found...,FY,5790000.0,3097000.0,2692000.0,0.4649395509499136,0.0,0.0,-1085000.0,-110000.0,-1085000.0,2012000.0,0.0,384257000,385701000,66.61502590673575,1444000.0,0.24939550949913644,-110000.0,1444000.0,0.24939550949913644,-340000.0,1784000.0,0.3081174438687392,78.4,78.4,22755.0,22755.0,https://www.sec.gov/Archives/edgar/data/1071321/000119312510094754/0001193125-10-094754-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000119312510094754/d20f.htm
0,2008-12-31,TKC,2009-04-30,Not found...,FY,6970000.0,3409000.0,3561000.0,0.5109038737446198,0.0,0.0,-1351000.0,-3000.0,-1351000.0,2058000.0,0.0,433942000,436246000,62.58909612625538,2304000.0,0.33055954088952655,-3000.0,2304000.0,0.33055954088952655,-549000.0,2853000.0,0.409325681492109,0.103,0.103,27699029,27699029,https://www.sec.gov/Archives/edgar/data/1071321/000119312509094063/0001193125-09-094063-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000119312509094063/d20f.htm
