,date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
0,2020-06-30,CRI.PA,2020-06-30,2020-06-30,Q2,237400000,0.0,237400000,0.0,148300000,0.0,572000000,117500000,204900000,35100000,240000000,10900000,33400000,1900000.0,422400000,0.0,994400000,152900000,0.0,0.0,0.0,0.0,359900000,319000000,0.0,5300000.0,12400000,384600000,0.0,744500000,3800000.0,0.0,0.0,0.0,250100000,744500000,1500000.0,397800000,122400000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.I#phrase=C.R.I,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.I#phrase=C.R.I
0,2019-12-31,CRI.PA,2019-12-31,2019-12-31,Q4,93900000,0.0,93900000,0.0,126100000,0.0,324000000,113200000,135900000,37200000,173100000,12600000,33400000,1000000.0,340000000,0.0,664000000,105600000,0.0,0.0,0.0,0.0,189000000,193500000,0.0,5700000.0,7400000.0,242600000,0.0,431600000,3700000.0,0.0,0.0,0.0,232400000,431600000,2000000.0,242700000,122400000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.I#phrase=C.R.I,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.I#phrase=C.R.I
0,2019-06-30,CRI.PA,2019-06-30,2019-06-30,Q2,98600000,0.0,98600000,0.0,129700000,0.0,340300000,110800000,126800000,30800000,157600000,13000000,31100000,1800000.0,321400000,0.0,661700000,117510000,0.0,0.0,0.0,0.0,190210000,19200000,0.0,4800000.0,3390000.0,236890000,0.0,427100000,0.0,0.0,0.0,0.0,234600000,427100000,0.0,241600000,0.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.I#phrase=C.R.I,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.I#phrase=C.R.I
0,2018-12-31,CRI.PA,2018-12-31,2018-12-31,Q4,110000000,0.0,110000000,0.0,128400000,0.0,335200000,80700000,126800000,31300000,158100000,13100000,32000000,600000.0,290900000,0.0,626100000,116800000,0.0,0.0,0.0,0.0,194100000,0.0,0.0,4800000.0,3500000.0,194800000,0.0,388900000,3700000.0,0.0,0.0,0.0,237200000,388900000,1900000.0,202200000,0.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.I#phrase=C.R.I,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.I#phrase=C.R.I
0,2018-06-30,CRI.PA,2018-06-30,2018-06-30,Q2,195900000,0.0,195900000,0.0,111700000,0.0,398300000,70000000,95900000,6700000.0,102600000,11800000,30600000,0.0,219700000,0.0,618000000,102900000,0.0,0.0,0.0,0.0,180800000,175700000,0.0,900000.0,3200000.0,196500000,0.0,377300000,3800000.0,178600000,0.0,0.0,240700000,377300000,0.0,209600000,13700000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.I#phrase=C.R.I,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.I#phrase=C.R.I
0,2017-12-31,CRI.PA,2017-12-31,2017-12-31,Q4,214800000,0.0,214800000,0.0,107300000,0.0,450500000,63200000,86200000,2100000.0,88300000,11700000,30300000,500000.0,196600000,0.0,647100000,96700000,0.0,0.0,0.0,47800000,217700000,179300000,0.0,0.0,3100000.0,199500000,47800000,417200000,0.0,0.0,0.0,0.0,229900000,417200000,0.0,205900000,0.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.I#phrase=C.R.I,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.I#phrase=C.R.I
0,2017-06-30,CRI.PA,2017-06-30,2017-06-30,Q2,201500000,0.0,201500000,0.0,96700000,0.0,440300000,59700000,84300000,1800000.0,86100000,12600000,29900000,500000.0,194300000,0.0,634600000,99000000,0.0,0.0,0.0,54500000,217400000,169200000,0.0,0.0,3100000.0,189300000,54500000,406700000,0.0,0.0,0.0,0.0,227900000,406700000,0.0,192200000,0.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.I#phrase=C.R.I,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.I#phrase=C.R.I
0,2016-12-31,CRI.PA,2016-12-31,2016-12-31,Q4,161500000,0.0,161500000,0.0,105400000,0.0,390600000,61800000,90200000,1900000.0,92100000,14900000,29000000,500000.0,200700000,0.0,591300000,91300000,0.0,0.0,0.0,50700000,210600000,133100000,0.0,0.0,3100000.0,153400000,50700000,364000000,0.0,0.0,0.0,0.0,227300000,364000000,0.0,158300000,0.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.I#phrase=C.R.I,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.I#phrase=C.R.I
0,2016-06-30,CRI.PA,2016-06-30,2016-06-30,Q2,148200000,0.0,148200000,0.0,94100000,0.0,377000000,56100000,75500000,1700000.0,77200000,13400000,26700000,500000.0,175800000,0.0,552800000,86700000,0.0,0.0,0.0,55800000,216100000,103500000,0.0,0.0,2100000.0,122700000,55800000,338800000,0.0,0.0,0.0,0.0,214000000,338800000,0.0,131300000,0.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.I#phrase=C.R.I,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.I#phrase=C.R.I
0,2015-12-31,CRI.PA,2015-12-31,2015-12-31,Q4,97700000,0.0,97700000,0.0,101000000,0.0,318200000,55900000,76700000,1800000.0,78500000,18100000,27100000,500000.0,182200000,0.0,500400000,90600000,0.0,0.0,0.0,48900000,205500000,49100000,0.0,0.0,8100000.0,72500000,48900000,278000000,3700000.0,141400000,0.0,0.0,219300000,278000000,0.0,74400000,0.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.I#phrase=C.R.I,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.I#phrase=C.R.I
