,date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
0,2020-09-30,SRI,2020-10-28,2020-10-28 17:26:08,Q3,68288000,0.0,68288000,129518000,88144000,0.0,319815000,135915000,37499000,52030000,89529000,0.0,0.0,0.0,262135000,0.0,581950000,76716000,0.0,0.0,0.0,0.0,133261000,144059000,0.0,11556000,13560000,184317000,0.0,317578000,0.0,195012000,0.0,0.0,264372000,317578000,0.0,166716000,83286000,https://www.sec.gov/Archives/edgar/data/1043337/000155837020011918/0001558370-20-011918-index.htm,https://www.sec.gov/Archives/edgar/data/1043337/000155837020011918/sri-20200930x10q.htm
0,2020-06-30,SRI,2020-07-30,2020-07-29 17:58:26,Q2,72412000,0.0,72412000,97404000,96933000,0.0,296643000,137257000,35942000,50968000,86910000,0.0,0.0,0.0,260576000,0.0,557219000,52037000,0.0,0.0,0.0,0.0,103969000,161152000,0.0,11193000,15443000,203988000,0.0,307957000,0.0,188298000,0.0,0.0,249262000,307957000,0.0,182183000,93571000,https://www.sec.gov/Archives/edgar/data/1043337/000155837020008651/0001558370-20-008651-index.htm,https://www.sec.gov/Archives/edgar/data/1043337/000155837020008651/sri-20200630x10q.htm
0,2020-03-31,SRI,2020-05-06 00:00:00,2020-05-06 17:25:18,Q1,81305000,0.0,81305000,138438000,95777000,0.0,349259000,136465000,35279000,51463000,86742000,0.0,0.0,0.0,251231000,0.0,600490000,79222000,0.0,0.0,0.0,0.0,130469000,161255000,0.0,11335000,13569000,202728000,0.0,333197000,0.0,210032000,0.0,0.0,267293000,333197000,0.0,180340000,82466000,https://www.sec.gov/Archives/edgar/data/1043337/000155837020005458/0001558370-20-005458-index.html,https://www.sec.gov/Archives/edgar/data/1043337/000155837020005458/sri-20200506x10q.htm
0,2019-12-31,SRI,2020-02-27 00:00:00,2020-02-27 17:00:54,Q4,69403000,0.0,69403000,138564000,93449000,0.0,331266000,144510000,35874000,58122000,93996000,32437000,0.0,0.0,270943000,0.0,602209000,80701000,0.0,0.0,0.0,0.0,138596000,126454000,0.0,12530000,16754000,173709000,0.0,312305000,0.0,206542000,-288971000,0.0,289904000,312305000,0.0,147097000,59723000,https://www.sec.gov/Archives/edgar/data/1043337/000155837020001657/0001558370-20-001657-index.html,https://www.sec.gov/Archives/edgar/data/1043337/000155837020001657/sri-20191231x10kdbf102.htm
0,2019-09-30,SRI,2019-10-30 00:00:00,2019-10-30 17:24:28,Q3,55263000,0.0,55263000,143628000,103597000,0.0,331242000,138961000,34867000,56926000,91793000,32008000,0.0,0.0,262762000,0.0,594004000,95804000,0.0,0.0,0.0,0.0,160648000,109059000,0.0,13374000,17284000,156776000,0.0,317424000,0.0,202333000,0.0,0.0,276580000,317424000,0.0,128870000,56548000,https://www.sec.gov/Archives/edgar/data/1043337/000155837019009468/0001558370-19-009468-index.html,https://www.sec.gov/Archives/edgar/data/1043337/000155837019009468/sri-20190930x10q7fc40e.htm
0,2019-06-30,SRI,2019-07-31,2019-07-31 16:43:27,Q2,51503000,0.0,51503000,151687000,100751000,0.0,336089000,135924000,36377000,58890000,95267000,28767000,0.0,0.0,259958000,0.0,596047000,100659000,0.0,0.0,0.0,0.0,163515000,104232000,0.0,15042000,17194000,151033000,0.0,314548000,0.0,195672000,0.0,0.0,281499000,314548000,0.0,119666000,53598000,https://www.sec.gov/Archives/edgar/data/1043337/000155837019006672/sri-20190630x10q.htm,https://www.sec.gov/Archives/edgar/data/1043337/000155837019006672/sri-20190630x10q.htm
0,2019-03-31,SRI,2019-05-01 00:00:00,2019-05-01 17:19:38,Q1,53086000,0.0,53086000,155734000,92162000,0.0,323416000,133548000,35899000,59471000,95370000,29929000,0.0,19226000,258847000,0.0,582263000,102564000,0.0,0.0,0.0,0.0,156749000,91846000,0.0,14511000,16541000,137756000,0.0,294505000,0.0,155908000,0.0,0.0,287758000,294505000,0.0,107717000,39773000,https://www.sec.gov/Archives/edgar/data/1043337/000155837019003749/0001558370-19-003749-index.html,https://www.sec.gov/Archives/edgar/data/1043337/000155837019003749/sri-20190331x10q.htm
0,2018-12-31,SRI,2019-02-28 00:00:00,2019-02-27 17:57:06,Q4,81092000,0.0,81092000,139076000,79278000,0.0,320177000,112213000,36717000,62032000,98749000,28380000,0.0,0.0,239342000,0.0,559519000,87894000,0.0,0.0,0.0,8602000.0,147307000,96983000,0.0,14895000,17068000,128946000,8602000.0,276253000,0.0,146251000,-281328000,0.0,283266000,276253000,0.0,98516000,17424000,https://www.sec.gov/Archives/edgar/data/1043337/000155837019001215/0001558370-19-001215-index.html,https://www.sec.gov/Archives/edgar/data/1043337/000155837019001215/sri-20181231x10k.htm
0,2018-09-30,SRI,2018-10-26 00:00:00,2018-10-26 16:22:12,Q3,60655000,0.0,60655000,150393000,86755000,0.0,319910000,111012000,37155000,63052000,100207000,28123000,0.0,0.0,239342000,0.0,559252000,91272000,0.0,0.0,0.0,0.0,145743000,102218000,0.0,17170000,24722000,144110000,0.0,289853000,0.0,133803000,0.0,0.0,269399000,289853000,0.0,104026000,43371000,https://www.sec.gov/Archives/edgar/data/1043337/000114420418055584/0001144204-18-055584-index.html,https://www.sec.gov/Archives/edgar/data/1043337/000114420418055584/tv504413_10q.htm
0,2018-06-30,SRI,2018-08-01 00:00:00,2018-08-01 17:07:42,Q2,58965000,0.0,58965000,147729000,80232000,0.0,315982000,111245000,37389000,66006000,103395000,30024000,0.0,0.0,244664000,0.0,560646000,84461000,0.0,0.0,0.0,0.0,148003000,111790000,0.0,17767000,25040000,154597000,0.0,302600000,0.0,120552000,0.0,0.0,258046000,302600000,0.0,114974000,56009000,https://www.sec.gov/Archives/edgar/data/1043337/000114420418041406/0001144204-18-041406-index.html,https://www.sec.gov/Archives/edgar/data/1043337/000114420418041406/tv498922_10-q.htm
