,date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
0,2020-09-30,SUP,2020-11-02,2020-11-02 16:01:46,Q3,111131000,0.0,111131000,77675000,141287000,20396000,350489000,507037000,0.0,112341000,112341000,0.0,0.0,0.0,619378000,109144000,1079011000,149808000,6034000.0,2208000.0,53307000,21758000,230907000,611706000,0.0,0.0,81321000,693027000,0.0,1079011000,0.0,12320000,-134929000,94058000,-28551000,1079011000,0.0,617740000,506609000,https://www.sec.gov/Archives/edgar/data/95552/000156459020049618/0001564590-20-049618-index.htm,https://www.sec.gov/Archives/edgar/data/95552/000156459020049618/sup-10q_20200930.htm
0,2020-06-30,SUP,2020-08-05,2020-08-05 16:01:01,Q2,130732000,0.0,130732000,65475000,149450000,16774000,362431000,515967000,0.0,113795000,113795000,0.0,0.0,93764000,723526000,110538000,1085957000,90726000,58297000,3530000.0,48365000,3530000.0,216458000,655526000,0.0,6953000.0,95696000,752740000,95696000,969198000,93541000,9336000.0,-312106000,-156053000,116759000,1085957000,4226000.0,713823000,583091000,https://www.sec.gov/Archives/edgar/data/95552/000156459020036771/0001564590-20-036771-index.htm,https://www.sec.gov/Archives/edgar/data/95552/000156459020036771/sup-10q_20200630.htm
0,2020-03-31,SUP,2020-05-08 00:00:00,2020-05-08 16:35:46,Q1,282163000,0.0,282163000,74674000,169864000,28119000,554820000,517630000,0.0,117980000,117980000,0.0,8041000.0,93364000,728974000,121483000,1283794000,138774000,0.0,166000.0,52305000,166000.0,275784000,752991000,0.0,8041000.0,107046000,870303000,107046000,1146087000,92678000,60485000,-361706000,-180853000,137707000,1283794000,4431000.0,809844000,527681000,https://www.sec.gov/Archives/edgar/data/95552/000156459020023603/0001564590-20-023603-index.html,https://www.sec.gov/Archives/edgar/data/95552/000156459020023603/sup-10q_20200331.htm
0,2019-12-31,SUP,2020-02-28 00:00:00,2020-02-28 16:32:43,Q4,77927000,0.0,77927000,81416000,168470000,26375000,354188000,529282000,184832000,137078000,321910000,0.0,12369000,106487000,957679000,132862000,1311867000,123112000,0.0,3148000.0,5880000.0,3148000.0,191115000,611025000,13577000,12369000,78163000,708082000,78163000,899197000,93331000,258437000,-200156000,-100078000,412670000,1311867000,4630000.0,615035000,537108000,https://www.sec.gov/Archives/edgar/data/95552/000156459020007814/0001564590-20-007814-index.html,https://www.sec.gov/Archives/edgar/data/95552/000156459020007814/sup-10k_20191231.htm
0,2019-09-30,SUP,2019-11-04 00:00:00,2019-11-04 16:02:11,Q3,49308000,0.0,49308000,133941000,162079000,20832000,366160000,531971000,278543000,142689000,421232000,0.0,15465000,83999000,1037202000,104831000,1403362000,124402000,0.0,1441000.0,7219000.0,1441000.0,200373000,614682000,9892000.0,15465000,78808000,718091000,78808000,918464000,91310000,365258000,-256704000,-128352000,484898000,1403362000,0.0,617982000,568674000,https://www.sec.gov/Archives/edgar/data/95552/000156459019039771/0001564590-19-039771-index.html,https://www.sec.gov/Archives/edgar/data/95552/000156459019039771/sup-10q_20190930.htm
0,2019-06-30,SUP,2019-08-08,2019-08-08 15:01:53,Q2,56923000,0.0,56923000,128134000,177981000,20811000,383849000,555596000,289831000,154666000,444497000,0.0,18249000,83948000,1084041000,104759000,1467890000,128980000,0.0,3106000.0,6189000.0,3106000.0,202473000,636148000,10464000,18249000,75301000,741729000,75301000,944202000,89532000,379604000,-195892000,-97946000,523688000,1467890000,0.0,639889000,582966000,https://www.sec.gov/Archives/edgar/data/95552/000156459019030674/sup-10q_20190630.htm,https://www.sec.gov/Archives/edgar/data/95552/000156459019030674/sup-10q_20190630.htm
0,2019-03-31,SUP,2019-05-09 00:00:00,2019-05-09 16:02:09,Q1,53639000,0.0,53639000,136988000,166298000,24657000,381582000,544375000,285678000,158801000,444479000,0.0,19021000,89735000,1078589000,114392000,1460171000,113409000,0.0,2589000.0,6619000.0,2589000.0,187506000,656711000,9390000.0,19021000,73276000,761225000,73276000,948731000,88119000,382772000,-215754000,-107877000,511440000,1460171000,0.0,660641000,607002000,https://www.sec.gov/Archives/edgar/data/95552/000156459019017947/0001564590-19-017947-index.html,https://www.sec.gov/Archives/edgar/data/95552/000156459019017947/sup-10q_20190331.htm
0,2018-12-31,SUP,2019-03-07 00:00:00,2019-03-07 16:03:25,Q4,47464000,0.0,48214000,111440000,175578000,35189000,370421000,532767000,291434000,168369000,459803000,0.0,18664000,88625000,1081195000,123814000,1451616000,107274000,0.0,2475000.0,5810000.0,2475000.0,178463000,661426000,8354000.0,18664000,61486000,755425000,61486000,933888000,87723000,391037000,-210990000,-105495000,517728000,1451616000,0.0,664478000,617014000,https://www.sec.gov/Archives/edgar/data/95552/000119312519067169/0001193125-19-067169-index.html,https://www.sec.gov/Archives/edgar/data/95552/000119312519067169/d685768d10k.htm
0,2018-09-30,SUP,2018-11-09 00:00:00,2018-11-09 14:07:17,Q3,11484000,0.0,12234000,162506000,193188000,35588000,403516000,541686000,296529000,177766000,474295000,0.0,32220000,110643000,1126624000,146231000,1530140000,112065000,0.0,3785000.0,5318000.0,3785000.0,184009000,686756000,6598000.0,32220000,68492000,807457000,68492000,991466000,88553000,380875000,-176640000,-88320000,538674000,1530140000,0.0,689861000,678377000,https://www.sec.gov/Archives/edgar/data/95552/000119312518323549/0001193125-18-323549-index.html,https://www.sec.gov/Archives/edgar/data/95552/000119312518323549/d620816d10q.htm
0,2018-06-30,SUP,2018-08-08 00:00:00,2018-08-08 15:18:28,Q2,19100000,800000.0,19800000,183100000,187000000,36900000,426800000,531300000,296200000,184600000,480800000,0.0,23100000,91000000,1103100000,127800000,1529900000,112200000,0.0,790000.0,5314000.0,800000.0,182900000,669600000,6540000.0,23088000,79100000,824400000,79100000,1007300000,87300000,392300000,-220400000,-110200000,522500000,1529900000,800000.0,672700000,653600000,https://www.sec.gov/Archives/edgar/data/95552/000119312518242587/0001193125-18-242587-index.html,https://www.sec.gov/Archives/edgar/data/95552/000119312518242587/d542042d10q.htm
0,2018-03-31,SUP,2018-05-09 00:00:00,2018-05-09 16:03:08,Q1,23300000,800000.0,24100000,207600000,183300000,33800000,448800000,552200000,312400000,201600000,514000000,0.0,29300000,102900000,1169000000,136800000,1617800000,127300000,0.0,1703000.0,5450000.0,1700000.0,208300000,687100000,5638000.0,29268000,64400000,836400000,64400000,1044700000,86300000,392200000,-108400000,-54200000,573100000,1617800000,800000.0,690400000,667100000,https://www.sec.gov/Archives/edgar/data/95552/000119312518157499/0001193125-18-157499-index.html,https://www.sec.gov/Archives/edgar/data/95552/000119312518157499/d566265d10q.htm
0,2017-12-31,SUP,2018-03-15 00:00:00,2018-03-15 17:26:26,Q4,46400000,800000.0,47100000,167100000,174000000,29200000,417400000,536700000,304800000,203500000,508300000,0.0,28500000,88900000,1133900000,118100000,1551300000,118400000,0.0,3849000.0,4654000.0,3800000.0,195100000,679600000,1974000.0,28539000,57700000,817700000,57700000,1012800000,89800000,393100000,-178200000,-89100000,538500000,1551300000,800000.0,683600000,637200000,https://www.sec.gov/Archives/edgar/data/95552/000119312518084240/0001193125-18-084240-index.html,https://www.sec.gov/Archives/edgar/data/95552/000119312518084240/d525981d10k.htm
0,2017-10-01,SUP,2017-11-13 00:00:00,2017-11-13 15:47:09,Q3,30400000,800000.0,31200000,181600000,178100000,19900000,410800000,518300000,321700000,213500000,535200000,0.0,34800000,99100000,1152600000,119100000,1563400000,98900000,0.0,1724000.0,5436000.0,1700000.0,174300000,675100000,2439000.0,34799000,54400000,820200000,54400000,994500000,88700000,407300000,-135600000,-67800000,568800000,1563400000,800000.0,680900000,650500000,https://www.sec.gov/Archives/edgar/data/95552/000119312517340827/0001193125-17-340827-index.html,https://www.sec.gov/Archives/edgar/data/95552/000119312517340827/d480637d10q.htm
0,2017-06-25,SUP,2017-08-04 00:00:00,2017-08-04 16:59:35,Q2,58700000,800000.0,59500000,185500000,172600000,91000000,508600000,501600000,310700000,213000000,523700000,2000000.0,33200000,90400000,1117700000,181400000,1626300000,96800000,0.0,1504000.0,3316000.0,1500000.0,181600000,721100000,5341000.0,33225000,49100000,867300000,49100000,1048900000,88700000,415100000,-147600000,-73800000,577400000,1626300000,2800000.0,739900000,681200000,https://www.sec.gov/Archives/edgar/data/95552/000009555217000009/0000095552-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/95552/000009555217000009/sup10q62517.htm
0,2017-03-26,SUP,2017-04-28 00:00:00,2017-04-28 16:28:07,Q1,28800000,800000.0,29600000,111400000,101400000,12800000,255200000,243100000,0.0,0.0,0.0,2000000.0,4000000.0,63100000,308200000,75800000,563400000,42900000,0.0,280000.0,4917000.0,300000.0,96000000,0.0,2250000.0,3976000.0,45000000,49000000,45000000,145000000,89500000,427700000,-197400000,-98700000,418400000,563400000,2800000.0,0.0,-28800000,https://www.sec.gov/Archives/edgar/data/95552/000009555217000006/0000095552-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/95552/000009555217000006/sup10q32617.htm
0,2016-12-25,SUP,2017-03-03 00:00:00,2017-03-03 17:28:05,Q4,57800000,800000.0,58500000,103000000,82800000,9800000.0,254100000,227400000,0.0,0.0,0.0,2000000.0,3600000.0,59300000,288700000,69000000,542800000,37900000,0.0,7325000.0,5419000.0,1800000.0,86000000,0.0,2593000.0,3628000.0,54900000,58500000,54900000,144500000,89900000,433200000,-249800000,-124900000,398200000,542800000,2800000.0,0.0,-57800000,https://www.sec.gov/Archives/edgar/data/95552/000009555217000003/0000095552-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/95552/000009555217000003/sup10k12252016.htm
0,2016-09-25,SUP,2016-10-28 00:00:00,2016-10-28 10:59:31,Q3,35800000,800000.0,36600000,120600000,73000000,17300000,247500000,227600000,0.0,0.0,0.0,2000000.0,7100000.0,56100000,285700000,73500000,533200000,20200000,0.0,2520000.0,2096000.0,2500000.0,66900000,0.0,6037000.0,7076000.0,55900000,62900000,55900000,129800000,89900000,436200000,-245400000,-122700000,403400000,533200000,2800000.0,0.0,-35800000,https://www.sec.gov/Archives/edgar/data/95552/000009555216000044/0000095552-16-000044-index.html,https://www.sec.gov/Archives/edgar/data/95552/000009555216000044/sup10q92516.htm
0,2016-06-26,SUP,2016-07-29 00:00:00,2016-07-29 14:15:06,Q2,37500000,800000.0,38200000,113000000,73900000,28600000,253700000,223900000,0.0,0.0,0.0,2000000.0,7400000.0,58300000,284100000,86900000,537800000,21000000,0.0,3585000.0,3524000.0,3600000.0,69200000,0.0,4707000.0,7417000.0,53000000,60500000,53000000,129700000,88900000,435200000,-232000000,-116000000,408200000,537800000,2800000.0,0.0,-37500000,https://www.sec.gov/Archives/edgar/data/95552/000009555216000041/0000095552-16-000041-index.html,https://www.sec.gov/Archives/edgar/data/95552/000009555216000041/sup10q62616.htm
0,2016-03-27,SUP,2016-04-29 00:00:00,2016-04-29 17:04:52,Q1,45500000,800000.0,46300000,113700000,63800000,24300000,248100000,230400000,0.0,0.0,0.0,2000000.0,8000000.0,59500000,291900000,83900000,540000000,23100000,0.0,5584000.0,4310000.0,5600000.0,73500000,0.0,3175000.0,7960000.0,46800000,54700000,46800000,128200000,86600000,427700000,-205000000,-102500000,411800000,540000000,2800000.0,0.0,-45500000,https://www.sec.gov/Archives/edgar/data/95552/000009555216000038/0000095552-16-000038-index.html,https://www.sec.gov/Archives/edgar/data/95552/000009555216000038/sup10q32716.htm
0,2015-12-27,SUP,2016-03-11 00:00:00,2016-03-11 16:15:59,Q4,52000000,1000000.0,53000000,113700000,61800000,17300000,245800000,234600000,0.0,0.0,0.0,2000000.0,8100000.0,57500000,294100000,74900000,539900000,20900000,0.0,6735000.0,25598000,6700000.0,73900000,0.0,0.0,7200000.0,44100000,52100000,44100000,126000000,88100000,427500000,-203400000,-101700000,413900000,539900000,3000000.0,0.0,-52000000,https://www.sec.gov/Archives/edgar/data/95552/000009555216000033/0000095552-16-000033-index.html,https://www.sec.gov/Archives/edgar/data/95552/000009555216000033/sup10k12272015.htm
0,2015-09-27,SUP,2015-11-04 00:00:00,2015-11-04 14:29:22,Q3,49900000,1000000.0,50900000,121600000,61800000,24900000,259200000,239800000,0.0,0.0,0.0,2000000.0,14000000,47900000,289700000,72700000,548900000,26200000,0.0,0.0,3183000.0,0.0,70300000,0.0,1397000.0,13951000,51300000,65300000,51300000,135600000,86800000,428400000,-204000000,-102000000,413300000,548900000,3000000.0,0.0,-49900000,https://www.sec.gov/Archives/edgar/data/95552/000009555215000030/0000095552-15-000030-index.html,https://www.sec.gov/Archives/edgar/data/95552/000009555215000030/sup10q92715.htm
0,2015-06-28,SUP,2015-08-06 00:00:00,2015-08-06 16:27:18,Q2,57300000,1200000.0,58500000,103900000,69400000,34300000,266100000,247600000,0.0,0.0,0.0,2000000.0,15200000,45700000,295300000,80000000,561400000,22900000,0.0,0.0,3865000.0,0.0,66600000,0.0,1954000.0,15219000,47300000,62500000,47300000,129100000,86600000,433800000,-176200000,-88100000,432300000,561400000,3200000.0,0.0,-57300000,https://www.sec.gov/Archives/edgar/data/95552/000009555215000027/0000095552-15-000027-index.html,https://www.sec.gov/Archives/edgar/data/95552/000009555215000027/sup10q62815.htm
0,2015-03-29,SUP,2015-05-08 00:00:00,2015-05-07 18:59:39,Q1,44700000,3800000.0,48400000,107200000,75000000,34800000,265400000,254300000,0.0,0.0,0.0,2000000.0,15500000,44800000,301100000,79600000,566500000,22500000,0.0,0.0,4344000.0,0.0,67400000,0.0,2309000.0,15513000,47700000,63200000,47700000,130600000,85400000,436700000,-172400000,-86200000,435900000,566500000,5800000.0,0.0,-44700000,https://www.sec.gov/Archives/edgar/data/95552/000009555215000024/0000095552-15-000024-index.html,https://www.sec.gov/Archives/edgar/data/95552/000009555215000024/sup10q32915.htm
0,2014-12-28,SUP,2015-03-12,2015-03-12 12:48:52,Q4,62500000,3800000.0,66200000,106200000,74700000,28900000,276000000,255000000,0.0,0.0,0.0,2000000.0,15100000,46900000,303900000,75800000,579900000,23900000,0.0,0.0,9897000.0,0.0,72000000,0.0,0.0,17852000,53800000,68900000,53800000,140900000,81500000,439000000,-162800000,-81400000,439000000,579900000,5800000.0,0.0,-62500000,https://www.sec.gov/Archives/edgar/data/95552/000009555215000015/sup10k12312014.htm,https://www.sec.gov/Archives/edgar/data/95552/000009555215000015/sup10k12312014.htm
0,2014-09-28,SUP,2014-11-04 00:00:00,2014-11-04 16:27:35,Q3,83100000,3800000.0,86900000,110400000,77700000,22800000,297800000,258500000,0.0,0.0,0.0,4500000.0,20400000,44800000,307900000,67700000,605700000,26000000,0.0,16400000,5501000.0,0.0,76700000,0.0,2976000.0,20354000,50800000,71100000,50800000,147800000,79200000,442400000,-127400000,-63700000,457900000,605700000,8300000.0,0.0,-83100000,https://www.sec.gov/Archives/edgar/data/95552/000009555214000046/0000095552-14-000046-index.html,https://www.sec.gov/Archives/edgar/data/95552/000009555214000046/sup10q92814.htm
0,2014-06-29,SUP,2014-07-31 00:00:00,2014-07-31 14:57:01,Q2,126700000,3800000.0,130400000,113700000,66600000,20700000,331400000,262500000,0.0,0.0,0.0,4500000.0,21100000,45600000,312500000,66200000,643900000,31700000,0.0,16000000,5168000.0,0.0,97700000,0.0,2086000.0,21072000,50100000,71200000,50100000,168900000,77800000,457100000,-119800000,-59900000,475100000,643900000,8300000.0,0.0,-126700000,https://www.sec.gov/Archives/edgar/data/95552/000009555214000029/0000095552-14-000029-index.html,https://www.sec.gov/Archives/edgar/data/95552/000009555214000029/sup10q62914.htm
0,2014-03-30,SUP,2014-05-02 00:00:00,2014-05-02 14:39:48,Q1,157800000,3800000.0,161500000,112600000,65900000,24500000,364500000,245300000,0.0,0.0,0.0,4600000.0,21000000,46800000,296600000,71200000,661100000,32600000,0.0,15600000,5838000.0,0.0,107500000,0.0,2486000.0,21003000,50000000,71000000,50000000,178500000,76600000,466500000,-121000000,-60500000,482600000,661100000,8400000.0,0.0,-157800000,https://www.sec.gov/Archives/edgar/data/95552/000009555214000017/0000095552-14-000017-index.html,https://www.sec.gov/Archives/edgar/data/95552/000009555214000017/sup10q33014.htm
