,date,symbol,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2020-06-28,FAT,,,Q2,-4251000.0,268000.0,-1206000.0,0.0,1583000.0,-181000.0,0.0,-207000.0,0.0,2982999.9999999995,-623000.0000000002,0.0,0.0,0.0,0.0,0.0,-2913000.0,0.0,0.0,0.0,0.0,0.0,1309999.9999999986,0.0,-2226000.0,2400000.0,4626000.0,-623000.0000000002,-34000.0,-657000.0000000002,,
0,2020-03-29,FAT,2020-04-28 00:00:00,2020-04-27 20:45:34,Q1,-2370000.0,232000.0,-318000.0,0.0,-1470000.0,1856000.0,0.0,147000.0,0.0,555000.0,-3371000.0,0.0,0.0,0.0,0.0,0.0,-3413000.0,0.0,0.0,0.0,0.0,0.0,12473000,0.0,5689000.0,5714000.0,25000.0,-3371000.0,-18000.0,-3389000.0,https://www.sec.gov/Archives/edgar/data/1705012/000149315220007184/0001493152-20-007184-index.html,https://www.sec.gov/Archives/edgar/data/1705012/000149315220007184/form10-k.htm
0,2019-12-29,FAT,2020-04-28,2020-04-27 20:45:34,Q4,-954000.0,250000.0,127000.0,44000.0,-621999.9999999999,8000.0,0.0,396000.0,-35123000,2697000.0,1498000.0000000002,4000.0,0.0,0.0,0.0,-9823000.0,-9819000.0,-226000.0,0.0,1107000.0,0.0,8261000.0,8035000.0,0.0,-286000.0,25000.0,311000.0,1498000.0000000002,4000.0000000000036,1502000.0000000002,https://www.sec.gov/Archives/edgar/data/1705012/000149315220007184/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1705012/000149315220007184/form10-k.htm
0,2019-09-29,FAT,2019-11-08 00:00:00,2019-11-08 17:06:08,Q3,1154000.0,264000.0,407000.00000000006,59000.0,2866000.0,-275000.0,0.0,1038000.0,-33778000,-2134000.0,2557000.0,-15000.0,0.0,0.0,0.0,840000.0,4915999.999999999,-83000.0,-20000000,0.0,0.0,16965000,-7702000.0,0.0,-229000.00000000003,310999.99999999994,540000.0,2557000.0,-15000.0,2542000.0,https://www.sec.gov/Archives/edgar/data/1705012/000149315219016729/0001493152-19-016729-index.html,https://www.sec.gov/Archives/edgar/data/1705012/000149315219016729/form10-q.htm
0,2019-06-30,FAT,2019-08-14 00:00:00,2019-08-14 17:24:07,Q2,-508000.0,140000.0,-430000.00000000006,78000.0,2283000.0,-250000.0,0.0,1093000.0,-32570000,-606000.0000000001,879000.0,-11000.0,-2332000.0,0.0,0.0,870000.0,-4164000.0,-17000.0,0.0,0.0,0.0,850000.0,3135000.0,0.0,-150000.0,540000.0,690000.0,879000.0,-11000.000000000004,868000.0,https://www.sec.gov/Archives/edgar/data/1705012/000149315219012644/0001493152-19-012644-index.html,https://www.sec.gov/Archives/edgar/data/1705012/000149315219012644/form10-q.htm
0,2019-03-31,FAT,2019-05-14 00:00:00,2019-05-14 17:26:29,Q1,-710000.0,131000.0,100000.0,81000.0,-2476000.0,-206000.0,0.0,1244000.0,-6729000.0,1092000.0,-1863000.0,-23000.0,0.0,0.0,0.0,0.0,-1423000.0,-16400000,20000000,0.0,-2000.0,-2557000.0,3323000.0,0.0,37000.0,690000.0,653000.0,-1863000.0,-23000.0,-1886000.0,https://www.sec.gov/Archives/edgar/data/1705012/000149315219007133/0001493152-19-007133-index.html,https://www.sec.gov/Archives/edgar/data/1705012/000149315219007133/form10-q.htm
0,2018-12-30,FAT,2019-03-29 00:00:00,2019-03-29 17:02:00,Q4,-2690000.0,164999.99999999997,-482000.0,69000.0,4146000.0,504000.0,0.0,1193000.0,-24067000,337999.99999999994,1477000.0,-9000.0,0.0,0.0,0.0,82000.0,-6669000.0,0.0,0.0,0.0,-246000.0,-2510000.0,3986000.000000001,0.0,-1206000.0,653000.0,1859000.0,1477000.0,7668000.0,9145000.0,https://www.sec.gov/Archives/edgar/data/1705012/000149315219004280/0001493152-19-004280-index.html,https://www.sec.gov/Archives/edgar/data/1705012/000149315219004280/form10-k.htm
0,2018-09-30,FAT,2018-11-14 00:00:00,2018-11-14 16:49:53,Q3,12000.00000000001,103000.00000000001,48000.00000000001,125000.0,135999.9999999999,-541000.0,0.0,1443000.0,-3260000.0,561000.0,860000.0,-51000.0,0.0,0.0,0.0,-7677000.0,-7726000.0,-2950000.0,16000000,-16000.000000000015,-392000.0,-4889000.0,7773000.0,0.0,906999.9999999999,1867000.0,960000.0,860000.0,-7726000.0,-6866000.0,https://www.sec.gov/Archives/edgar/data/1705012/000149315218016167/0001493152-18-016167-index.html,https://www.sec.gov/Archives/edgar/data/1705012/000149315218016167/form10-q.htm
0,2018-07-01,FAT,2018-08-15 00:00:00,2018-08-15 06:31:48,Q2,370000.0,60000.0,-40000.00000000001,120000.0,-1740000.0,-166000.0,0.0,-1311000.0,-7463000.0,120000.0,-1230000.0,-6000.0,0.0,0.0,0.0,0.0,-9999.999999999995,-7246000.0,0.0,7960000.0,-240000.0,9660000.0,2170000.0,0.0,940000.0000000001,960000.0000000001,20000.0,-1230000.0,-9999.999999999995,-1240000.0,https://www.sec.gov/Archives/edgar/data/1705012/000149315218011963/0001493152-18-011963-index.html,https://www.sec.gov/Archives/edgar/data/1705012/000149315218011963/form10-q.htm
0,2018-04-01,FAT,2018-04-02 00:00:00,2018-04-02 15:53:44,Q1,510000.0,30000.0,-30000.0,125000.0,100000.0,-98000.0,0.0,901000.0,-7708000.0,120000.0,730000.0,-82000.0,0.0,0.0,0.0,0.0,-80000.0,-657000.0,0.0,40000.0,0.0,-3000.0,-660000.0,0.0,-20000.0,10000.0,30000.0,730000.0,-80000.0,650000.0,https://www.sec.gov/Archives/edgar/data/1705012/000149315218004457/0001493152-18-004457-index.html,https://www.sec.gov/Archives/edgar/data/1705012/000149315218004457/form10-k.htm
