,date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
0,2020-09-30,PBL.TO,2020-09-30,2020-09-30,Q3,116644000,88899000,27745000,0.23786049861115874,0.0,14061000,3770000.0,35000.0,-2134000.0,100826000,1008000.0,0.0,25003000,0.21435307431158054,15818000,0.14971194403484106,2653000.0,17463000,0.14971194403484106,4311000.0,13152000,0.11275333493364426,0.51,0.51,25635658,26013158,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pollard Banknote Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pollard Banknote Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2020-06-30,PBL.TO,2020-06-30,2020-06-30,Q2,91502000,72747000,18755000,0.20496819741644992,0.0,12910000,3382000.0,517000.0,-5504000.0,80153000,1214000.0,0.0,19384000,0.21184236410133112,11349000,0.13508994338921554,2226000.0,12361000,0.13508994338921554,3151000.0,9210000.0,0.10065353762759284,0.36,0.36,25635658,26037883,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pollard Banknote Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pollard Banknote Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2020-03-31,PBL.TO,2020-03-31,2020-03-31,Q1,102253000,80528000,21725000,0.2124632040135742,0.0,13948000,3765000.0,469000.0,0.0,94476000,1635000.0,0.0,15280000,0.14943326846156102,7777000.0,-0.0003422882458216385,-6177000.0,-35000.0,-0.0003422882458216385,1223000.0,-1258000.0,-0.012302817521246321,-0.05,-0.05,25635658,26017553,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pollard Banknote Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pollard Banknote Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2019-12-31,PBL.TO,2019-12-31,2019-12-31,Q4,100007000,78027000,21980000,0.2197846150769446,0.0,15046000,4124000.0,565000.0,0.0,93073000,1629000.0,0.0,13823000,0.1382203245772796,6934000.0,0.061985661003729736,894000.0,6199000.0,0.061985661003729736,1582000.0,4617000.0,0.04616676832621717,0.18010070192073868,0.18010070192073868,25635658,25635658,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pollard Banknote Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pollard Banknote Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2019-09-30,PBL.TO,2019-09-30,2019-09-30,Q3,103164000,78535000,24629000,0.2387363809080687,0.0,14699000,4200000.0,354000.0,0.0,93234000,1671000.0,0.0,16181000,0.15684734985072313,9930000.0,0.060747935326276606,-1992000.0,6267000.0,0.060747935326276606,1910000.0,4357000.0,0.042233724942809504,0.17,0.17,25635658,25863158,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pollard Banknote Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pollard Banknote Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2019-06-30,PBL.TO,2019-06-30,2019-06-30,Q2,97122000,75559000,21563000,0.22201972776507897,0.0,14617000,4064000.0,412000.0,0.0,90176000,1628000.0,0.0,12999000,0.13384197195280162,6946000.0,0.06229278639237248,732000.0,6050000.0,0.06229278639237248,1047000.0,5003000.0,0.05151253063157678,0.2,0.2,25632714,25863159,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pollard Banknote Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pollard Banknote Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2019-03-31,PBL.TO,2019-03-31,2019-03-31,Q1,97547000,74615000,22932000,0.23508667616636084,0.0,12174000,3523000.0,657000.0,0.0,86789000,1487000.0,0.0,16749000,0.17170184628948096,10758000,0.10748664746224897,1214000.0,10485000,0.10748664746224897,2445000.0,8040000.0,0.08242180692384184,0.31,0.31,25626332,25863158,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pollard Banknote Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pollard Banknote Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2018-12-31,PBL.TO,2018-12-31,2018-12-31,Q4,70225000,56871000,13354000,0.19016019935920256,0.0,11520000,3602000.0,619000.0,0.0,68391000,1176000.0,0.0,7228000.0,0.10292630829476682,1834000.0,-0.03276610893556426,-2959000.0,-2301000.0,-0.03276610893556426,-374000.0,-1927000.0,-0.027440370238519047,-0.07516873567278827,-0.07516873567278827,25635658,25635658,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pollard Banknote Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pollard Banknote Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2018-09-30,PBL.TO,2018-09-30,2018-09-30,Q3,94468000,71967000,22501000,0.23818647584367192,0.0,12450000,3612000.0,459000.0,0.0,84417000,891000.0,0.0,13938000,0.14754202481263495,10051000,0.10132531650929415,412000.0,9572000.0,0.10132531650929415,2365000.0,7207000.0,0.07629038404539103,0.28,0.28,25613158,25863158,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pollard Banknote Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pollard Banknote Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2018-06-30,PBL.TO,2018-06-30,2018-06-30,Q2,86831000,66315000,20516000,0.23627506305351775,0.0,10793000,3419000.0,546000.0,0.0,77108000,1009000.0,0.0,13937000,0.1605071921318423,9723000.0,0.08359917540970391,-1455000.0,7259000.0,0.08359917540970391,2226000.0,5033000.0,0.057963169835657774,0.2,0.2,25613158,25863158,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pollard Banknote Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pollard Banknote Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
