,date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
0,2019-12-28,CRI,2020-02-24,2020-02-24 16:52:05,FY,214311000,0.0,214311000,251005000,593987000,48454000,1107757000,1007192000,229026000,375768000,604794000,0.0,74370000,33374000,1645360000,33374000,2753117000,183641000,160228000,0.0,74370000,23269000,475500000,594672000,0.0,74370000,728445000,1397487000,728445000,1872987000,440000.0,915324000,-71268000,-35634000,880130000,2753117000,0.0,594672000,380361000,https://www.sec.gov/Archives/edgar/data/1060822/000106082220000004/0001060822-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1060822/000106082220000004/a10k-crix20191228.htm
0,2018-12-29,CRI,2019-02-25,2019-02-25 16:47:56,FY,170077000,0.0,170077000,258259000,574226000,40396000,1042958000,350437000,227101000,410203000,637304000,0.0,87347000,28159000,1015900000,28159000,2058858000,199076000,0.0,0.0,87347000,17415000,327421000,593264000,0.0,87347000,181393000,862004000,181393000,1189425000,456000.0,909816000,-81678000,-40839000,869433000,2058858000,0.0,593264000,423187000,https://www.sec.gov/Archives/edgar/data/1060822/000106082219000004/0001060822-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1060822/000106082219000004/a10k-crix20181229.htm
0,2017-12-30,CRI,2018-02-27,2018-02-27 17:29:46,FY,178494000,0.0,178494000,240561000,548722000,52935000,1020712000,377924000,230424000,413547000,643971000,0.0,84944000,28435000,1050330000,28435000,2071042000,182114000,0.0,0.0,84848000,16252000,331248000,617306000,0.0,84848000,180128000,882378000,180128000,1213626000,472000.0,886037000,-58186000,-29093000,857416000,2071042000,0.0,617306000,438812000,https://www.sec.gov/Archives/edgar/data/1060822/000106082218000006/0001060822-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1060822/000106082218000006/a10k-crix20171230.htm
0,2016-12-31,CRI,2017-02-23,2017-02-23 16:45:47,FY,299358000,0.0,299358000,202471000,487591000,67666000,1057086000,385874000,176009000,308928000,484937000,0.0,130656000,18700000,889511000,54186000,1946597000,158432000,0.0,0.0,35486000,83691000,277609000,580376000,0.0,130656000,169832000,880864000,169832000,1158473000,489000.0,822375000,-69480000,-34740000,788124000,1946597000,0.0,580376000,281018000,https://www.sec.gov/Archives/edgar/data/1060822/000106082217000008/0001060822-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1060822/000106082217000008/a10k-crix20161231.htm
0,2016-01-02,CRI,2016-02-26,2016-02-25 19:17:35,FY,381209000,0.0,381209000,207570000,469934000,71895000,1130608000,371704000,174874000,310848000,485722000,0.0,128838000,15620000,873046000,49700000,2003654000,157648000,0.0,0.0,34080000,3802000.0,262718000,578972000,0.0,128838000,158075000,865885000,158075000,1128603000,518000.0,910900000,-72734000,-36367000,875051000,2003654000,0.0,578972000,197763000,https://www.sec.gov/Archives/edgar/data/1060822/000106082216000038/0001060822-16-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1060822/000106082216000038/a10k-crix20160102.htm
0,2015-01-03,CRI,2015-02-26,2015-02-26 16:57:46,FY,340638000,0.0,340638000,184563000,444844000,71413000,1041458000,333097000,181975000,317297000,499272000,0.0,121536000,19269000,851638000,19269000,1893096000,150243000,0.0,0.0,36625000,61103000,247971000,586000000,0.0,121536000,150905000,858441000,150905000,1106412000,527000.0,809194000,-46074000,-23037000,786684000,1893096000,0.0,586000000,245362000,https://www.sec.gov/Archives/edgar/data/1060822/000106082215000006/0001060822-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1060822/000106082215000006/a10k-crix20150103.htm
0,2013-12-28,CRI,2014-02-26,2014-02-26 12:36:22,FY,286500000,0.0,286500000,193600000,417800000,72500000,970400000,307900000,186100000,330300000,516400000,0.0,121400000,17900000,842100000,55200000,1812500000,164000000,0.0,0.0,37313000,34900000,269100000,586000000,0.0,121434000,135200000,842700000,135200000,1111800000,500000.0,705900000,-20200000,-10100000,700700000,1812500000,0.0,586000000,299500000,https://www.sec.gov/Archives/edgar/data/1060822/000106082214000009/0001060822-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1060822/000106082214000009/a10k-crix20131228.htm
0,2012-12-29,CRI,2013-02-27,2013-02-27 12:28:20,FY,382200000,0.0,382200000,168000000,349500000,58000000,957700000,170100000,189700000,306100000,495800000,0.0,114300000,6500000.0,672400000,42200000,1630100000,149600000,0.0,0.0,35675000,16800000,244200000,186000000,0.0,114341000,100100000,400400000,100100000,644600000,600000.0,745800000,-22400000,-11200000,985500000,1630100000,0.0,186000000,-196200000,https://www.sec.gov/Archives/edgar/data/1060822/000106082213000008/0001060822-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1060822/000106082213000008/cri-2012122910k.htm
0,2011-12-31,CRI,2012-02-29,2012-02-29 15:37:31,FY,233500000,0.0,233500000,157800000,347200000,43600000,782100000,122300000,188700000,306400000,495100000,0.0,114400000,3100000.0,620600000,28300000,1402700000,102800000,0.0,0.0,25165000,49900000,152800000,236000000,0.0,114421000,93800000,444200000,93800000,597000000,600000.0,584700000,-22600000,-11300000,805700000,1402700000,0.0,236000000,2500000.0,https://www.sec.gov/Archives/edgar/data/1060822/000106082212000006/0001060822-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1060822/000106082212000006/form10_k.htm
0,2011-01-01,CRI,2011-03-02,2011-03-02 16:49:11,FY,247400000,0.0,247400000,121500000,298500000,48900000,716300000,95000000,136600000,305700000,442300000,0.0,113800000,3600000.0,540900000,35100000,1257200000,116500000,0.0,0.0,31547000,66900000,183400000,236000000,0.0,113817000,44100000,393800000,44100000,577200000,600000.0,470700000,-3800000.0,-1900000.0,679900000,1257200000,0.0,236000000,-11400000,https://www.sec.gov/Archives/edgar/data/1060822/000106082211000006/0001060822-11-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1060822/000106082211000006/form10_k.htm
