,date,symbol,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2019-12-31,ALLHB.PA,2019-12-31,2019-12-31,FY,795400.0,3789800.0,0.0,0.0,557500.0,0.0,-52400.0,0.0,0.0,0.0,5139200.0,0.0,0.0,0.0,0.0,-1088200.0,0.0,-1103100.0,0.0,0.0,-521900.0,-3300.0,0.0,0.0,0.0,10178800,10463700,5139200.0,-2707500.0,2431700.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.L.H.B#phrase=A.L.L.H.B,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.L.H.B#phrase=A.L.L.H.B
0,2018-12-31,ALLHB.PA,2018-12-31,2018-12-31,FY,3182400.0,2938900.0,0.0,0.0,839100.0,0.0,-60800.0,0.0,0.0,295400.0,7255900.0,0.0,0.0,0.0,0.0,689700.0,0.0,-1103100.0,0.0,0.0,-379600.0,-1200.0,0.0,0.0,0.0,10463700,9404000.0,7255900.0,-5402300.0,1853600.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.L.H.B#phrase=A.L.L.H.B,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.L.H.B#phrase=A.L.L.H.B
0,2017-12-31,ALLHB.PA,2017-12-31,2017-12-31,FY,1560200.0,2858500.0,0.0,0.0,-588500.0,0.0,30000.0,0.0,0.0,29200.0,3859400.0,0.0,0.0,0.0,0.0,-52200.0,0.0,-10669100,0.0,0.0,0.0,4300.0,0.0,0.0,0.0,9404000.0,6679500.0,3859400.0,-1724900.0,2134500.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.L.H.B#phrase=A.L.L.H.B,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.L.H.B#phrase=A.L.L.H.B
0,2016-12-31,ALLHB.PA,2016-12-31,2016-12-31,FY,-147100.0,3117400.0,0.0,0.0,35300.0,0.0,9400.0,0.0,0.0,72800.0,3078300.0,0.0,0.0,0.0,0.0,-362300.0,0.0,-2356800.0,0.0,0.0,-189800.0,-11000.0,0.0,0.0,0.0,6679500.0,8197300.0,3078300.0,-1691000.0,1387300.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.L.H.B#phrase=A.L.L.H.B,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.L.H.B#phrase=A.L.L.H.B
0,2015-12-31,ALLHB.PA,2015-12-31,2015-12-31,FY,-1671000.0,2767100.0,0.0,0.0,1064800.0,0.0,22800.0,0.0,0.0,214100.0,2375000.0,0.0,0.0,0.0,0.0,-1409500.0,0.0,-2630600.0,0.0,0.0,0.0,-5600.0,0.0,0.0,0.0,8197300.0,11826800,2375000.0,-4984100.0,-2609100.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.L.H.B#phrase=A.L.L.H.B,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.L.H.B#phrase=A.L.L.H.B
0,2014-12-31,ALLHB.PA,2014-12-31,2014-12-31,FY,-1401900.0,2992500.0,0.0,0.0,-263400.0,0.0,30300.0,0.0,0.0,13300.0,1340400.0,0.0,0.0,0.0,0.0,-428400.0,0.0,-1832600.0,0.0,0.0,-261000.0,19200.0,0.0,0.0,0.0,11826800,14736000,1340400.0,-9451100.0,-8110700.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.L.H.B#phrase=A.L.L.H.B,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.L.H.B#phrase=A.L.L.H.B
0,2013-12-31,ALLHB.PA,2013-12-31,2013-12-31,FY,813900.0,1601500.0,0.0,0.0,-1580000.0,0.0,-44900.0,0.0,0.0,22400.0,857800.0,0.0,0.0,0.0,0.0,2743000.0,0.0,-1936300.0,0.0,0.0,-379600.0,-2600.0,0.0,0.0,0.0,14736000,17533100,857800.0,-6401500.0,-5543700.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.L.H.B#phrase=A.L.L.H.B,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.L.H.B#phrase=A.L.L.H.B
0,2012-12-31,ALLHB.PA,2012-12-31,2012-12-31,FY,1008000.0,2794900.0,0.0,0.0,405400.0,0.0,48700.0,0.0,0.0,12100.0,4220300.0,0.0,0.0,0.0,0.0,28700.0,0.0,-1943600.0,0.0,0.0,-332100.0,0.0,0.0,0.0,0.0,17533100,14496500,4220300.0,-1944500.0,2275800.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.L.H.B#phrase=A.L.L.H.B,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.L.H.B#phrase=A.L.L.H.B
0,2011-12-31,ALLHB.PA,2011-12-31,2011-12-31,FY,1093900.0,2053600.0,0.0,0.0,823500.0,0.0,-7000.0,0.0,0.0,0.0,3970900.0,0.0,0.0,0.0,0.0,-90400.0,0.0,-1752700.0,0.0,0.0,-284700.0,0.0,0.0,0.0,0.0,14496500,13402700,3970900.0,-778700.0,3192200.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.L.H.B#phrase=A.L.L.H.B,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.L.H.B#phrase=A.L.L.H.B
0,2010-12-31,ALLHB.PA,2010-12-31,2010-12-31,FY,0.0,2734700.0,0.0,0.0,1789300.0,0.0,-48700.0,0.0,0.0,13200.0,3873100.0,0.0,0.0,0.0,0.0,-1810400.0,0.0,-1753800.0,0.0,0.0,-379600.0,0.0,0.0,0.0,0.0,13402700,14454900,3873100.0,-981600.0,2891500.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.L.H.B#phrase=A.L.L.H.B,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.L.H.B#phrase=A.L.L.H.B
0,2009-12-31,ALLHB.PA,2009-12-31,2009-12-31,FY,1110300.0,1029800.0,0.0,0.0,460000.0,0.0,22200.0,0.0,0.0,0.0,2508300.0,0.0,0.0,0.0,0.0,128600.0,0.0,-1445400.0,0.0,0.0,-521900.0,0.0,0.0,0.0,0.0,14454900,20737900,2508300.0,-10044300,-7536000.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.L.H.B#phrase=A.L.L.H.B,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.L.H.B#phrase=A.L.L.H.B
