,date,symbol,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2019-12-31,AN,2020-02-18,2020-02-18 16:47:36,FY,450800000,180500000,45800000,31100000,121400000,0.0,296000000,-258200000,27400000,-1600000.0,769200000,0.0,0.0,0.0,0.0,41600000,0.0,-491000000,0.0,-44700000,0.0,-137300000,0.0,0.0,0.0,42500000,49400000,769200000,-269300000,499900000,https://www.sec.gov/Archives/edgar/data/350698/000035069820000042/0000350698-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069820000042/an10k2019.htm
0,2018-12-31,AN,2019-02-22,2019-02-22 17:16:34,FY,395900000,166200000,14500000,25500000,-51600000,0.0,-319500000,244100000,-109900000,6200000.0,511000000,0.0,0.0,-50000000,0.0,21500000,0.0,-415800000,0.0,-100000000,0.0,-39400000,0.0,0.0,0.0,49400000,71100000,511000000,-400800000,110200000,https://www.sec.gov/Archives/edgar/data/350698/000035069819000047/0000350698-19-000047-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069819000047/an10k2018.htm
0,2017-12-31,AN,2018-02-15,2018-02-14 18:46:25,FY,435000000,158600000,-19000000,20600000,15900000,0.0,39300000,-63900000,102100000,-1700000.0,540100000,0.0,0.0,0.0,0.0,36300000,0.0,-2084000000,0.0,-436000000,0.0,116700000,0.0,0.0,0.0,69200000,64800000,540100000,-313400000,226700000,https://www.sec.gov/Archives/edgar/data/350698/000035069818000032/0000350698-18-000032-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069818000032/an10k2017.htm
0,2016-12-31,AN,2017-02-09,2017-02-08 21:55:28,FY,431700000,143400000,3700000.0,25100000,-32200000,0.0,259100000,-202200000,10200000,-5200000.0,516000000,0.0,0.0,0.0,0.0,11100000,0.0,-1356700000,0.0,-514200000,0.0,154400000,0.0,0.0,0.0,64800000,74100000,516000000,-249500000,266500000,https://www.sec.gov/Archives/edgar/data/350698/000035069817000028/0000350698-17-000028-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069817000028/an10k2016.htm
0,2015-12-31,AN,2016-02-11,2016-02-10 17:49:46,FY,443700000,127400000,10000000,24000000,-82700000,0.0,-548800000,525700000,32200000,6000000.0,507200000,0.0,0.0,0.0,0.0,4100000.0,0.0,-2548000000,0.0,-237300000,0.0,-1800000.0,0.0,0.0,0.0,74100000,75400000,507200000,-257800000,249400000,https://www.sec.gov/Archives/edgar/data/350698/000035069816000276/0000350698-16-000276-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069816000276/an10k2015.htm
0,2014-12-31,AN,2015-02-11,2015-02-11 17:22:30,FY,419800000,106900000,9500000.0,26300000,-49700000,0.0,-27300000,-19700000,77600000,3700000.0,485100000,0.0,0.0,0.0,500000.0,-8600000.0,0.0,-2503900000,0.0,-487700000,0.0,73600000,0.0,0.0,0.0,75400000,69200000,485100000,-209600000,275500000,https://www.sec.gov/Archives/edgar/data/350698/000035069815000045/0000350698-15-000045-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069815000045/an10k2014.htm
0,2013-12-31,AN,2014-02-13,2014-02-13 16:43:54,FY,375800000,95300000,9900000.0,21300000,-3200000.0,0.0,-400100000,400900000,42300000,-1100000.0,484100000,0.0,0.0,0.0,0.0,19600000,0.0,-1089900000,0.0,-67300000,0.0,99000000,0.0,0.0,0.0,69200000,69700000,484100000,-202700000,281400000,https://www.sec.gov/Archives/edgar/data/350698/000035069814000018/0000350698-14-000018-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069814000018/an10k2013.htm
0,2012-12-31,AN,2013-02-15,2013-02-15 06:05:22,FY,317300000,87300000,26800000,18600000,-128100000,0.0,-474700000,439100000,19500000,1600000.0,316600000,0.0,0.0,0.0,400000.0,13400000,0.0,-1262800000,0.0,-575600000,0.0,142100000,0.0,0.0,0.0,69700000,86600000,316600000,-177400000,139200000,https://www.sec.gov/Archives/edgar/data/350698/000035069813000021/0000350698-13-000021-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069813000021/an10k2012.htm
0,2011-12-31,AN,2012-02-13,2012-02-13 17:28:34,FY,2800000.0,83700000,31100000,18400000,-45200000,0.0,70100000,38400000,-8700000.0,282100000,376400000,0.0,0.0,0.0,0.0,-900000.0,0.0,-1166100000,0.0,-579800000,0.0,49200000,0.0,0.0,0.0,86600000,95100000,376400000,-149100000,227300000,https://www.sec.gov/Archives/edgar/data/350698/000035069812000016/0000350698-12-000016-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069812000016/an10k123111.htm
0,2010-12-31,AN,2011-02-15,2011-02-14 20:18:08,FY,235300000,76800000,12800000,15900000,-104500000,0.0,-448600000,364400000,35600000,5800000.0,251800000,0.0,0.0,0.0,1300000.0,15200000,0.0,-463200000,0.0,-524400000,0.0,112800000,0.0,0.0,0.0,95100000,173500000,251800000,-161800000,90000000,https://www.sec.gov/Archives/edgar/data/350698/000119312511035910/0001193125-11-035910-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000119312511035910/d10k.htm
