,date,symbol,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2019-12-31,EBAY,2020-01-31 00:00:00,2020-01-31 16:53:51,FY,1786000000,681000000,117000000,505000000,-200000000,-124000000,0.0,4000000.0,640000000,730000000,3114000000,-554000000,-93000000,-4973000000,50548000000,8374000000,2787000000,-1550000000,106000000,-4867000000,-473000000,-201000000,-7091000000,-33000000,-1223000000,979000000,2202000000,3114000000,-554000000,2560000000,https://www.sec.gov/Archives/edgar/data/1065088/000106508820000006/0001065088-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000106508820000006/ebay201910-k.htm
0,2018-12-31,EBAY,2019-01-30 00:00:00,2019-01-30 17:31:09,FY,2530000000,696000000,-153000000,538000000,-577000000,-98000000,0.0,-47000000,2672000000,162000000,2658000000,-651000000,-302000000,-4502000000,30901000000,8274000000,2894000000,-750000000,109000000,-4393000000,0.0,-255000000,-5398000000,-75000000,79000000,2199000000,2120000000,2658000000,-651000000,2007000000,https://www.sec.gov/Archives/edgar/data/1065088/000106508819000006/0001065088-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000106508819000006/ebay201810-k.htm
0,2017-12-31,EBAY,2018-02-05 00:00:00,2018-02-05 08:57:23,FY,-1016000000,676000000,1729000000,483000000,1116000000,-195000000,0.0,19000000,4204000000,641000000,3146000000,-666000000,-34000000,-2746000000,14520000000,2388000000,-1296000000,-1452000000,120000000,-2626000000,0.0,2294000000,-1784000000,238000000,304000000,2120000000,1816000000,3146000000,-666000000,2480000000,https://www.sec.gov/Archives/edgar/data/1065088/000106508818000009/0001065088-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000106508818000009/ebay201710-k.htm
0,2016-12-31,EBAY,2017-02-06 00:00:00,2017-02-06 17:09:13,FY,7266000000,682000000,-4556000000,416000000,20000000,-48000000,0.0,-28000000,5028000000,-586000000,2826000000,-626000000,-212000000,-14155000000,10063000000,12985000000,-2008000000,-20000000,102000000,-2841000000,0.0,2117000000,-744000000,-90000000,-16000000,1816000000,1832000000,2826000000,-626000000,2200000000,https://www.sec.gov/Archives/edgar/data/1065088/000106508817000007/0001065088-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000106508817000007/ebay201610-k.htm
0,2015-12-31,EBAY,2016-02-01 00:00:00,2016-02-01 17:30:13,FY,1725000000,687000000,-32000000,379000000,-106000000,-105000000,0.0,226000000,5641000000,1759000000,4033000000,-668000000,-24000000,-8893000000,6781000000,5974000000,-3611000000,-850000000,221000000,-1928000000,0.0,-1776000000,-4554000000,-364000000,-4496000000,1832000000,6328000000,4033000000,-668000000,3365000000,https://www.sec.gov/Archives/edgar/data/1065088/000106508816000265/0001065088-16-000265-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000106508816000265/ebay201510-k.htm
0,2014-12-31,EBAY,2015-02-06,2015-02-05 19:54:38,FY,46000000,1490000000,2808000000,675000000,-185000000,16000000,0.0,87000000,9000000000,1518000000,5677000000,-1271000000,-59000000,-13492000000,8524000000,12149000000,-2673000000,343000000,300000000,-4358000000,0.0,3336000000,-1022000000,-148000000,1834000000,6328000000,4494000000,5677000000,-1271000000,4406000000,https://www.sec.gov/Archives/edgar/data/1065088/000106508815000054/ebay201410-k.htm,https://www.sec.gov/Archives/edgar/data/1065088/000106508815000054/ebay201410-k.htm
0,2013-12-31,EBAY,2014-01-31,2014-01-31 16:06:53,FY,2856000000,1400000000,-31000000,609000000,-354000000,-123000000,0.0,7000000.0,10644000000,1124000000,4995000000,-1250000000,-869000000,-1343000000,3943000000,-2502000000,-6012000000,-400000000,437000000,-906000000,0.0,-48000000,-1354000000,48000000,-2323000000,4494000000,6817000000,4995000000,-1250000000,3745000000,https://www.sec.gov/Archives/edgar/data/1065088/000106508814000010/ebay201310-k.htm,https://www.sec.gov/Archives/edgar/data/1065088/000106508814000010/ebay201310-k.htm
0,2012-12-31,EBAY,2013-02-01 00:00:00,2013-01-31 20:09:24,FY,2609000000,1200000000,-35000000,488000000,-756000000,-207000000,0.0,-16000000,10474000000,820000000,3838000000,-1257000000,-143000000,-4026000000,1421000000,1663000000,-3763000000,0.0,483000000,-415000000,0.0,2366000000,1951000000,100000000,2126000000,6817000000,4691000000,3838000000,-1257000000,2581000000,https://www.sec.gov/Archives/edgar/data/1065088/000106508813000004/0001065088-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000106508813000004/ebay2012_10k.htm
0,2011-12-31,EBAY,2012-01-31 00:00:00,2012-01-30 20:50:48,FY,3229400000,940000000,17000000,457188000,-320100000,-291822000,0.0,29424000,5927250000,-592500000,3273700000,-963498000,-3223055000,-3354169000,1596064000,4233860000,-3306900000,-199271000,242210000,-821800000,0.0,182551000,-838500000,-14600000,-886300000,4690700000,5577000000,3273700000,-963500000,2310200000,https://www.sec.gov/Archives/edgar/data/1065088/000106508812000006/0001065088-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000106508812000006/ebay2011q4_10k.htm
0,2010-12-31,EBAY,2011-01-28,2011-01-28 17:31:10,FY,1801000000,762500000,349600000,381492000,-899100000,-111614000,0.0,-9263000.0,6548824000,731800000,2745800000,-723912000,-90568000,-3354582000,1436207000,1886592000,-2282500000,645783000,235527000,-475500000,0.0,1709947000,1234400000,-120100000,1577600000,5577600000,4000000000,2745800000,-723900000,2021900000,https://www.sec.gov/Archives/edgar/data/1065088/000106508811000003/ebay10k20101231.htm,https://www.sec.gov/Archives/edgar/data/1065088/000106508811000003/ebay10k20101231.htm
0,2009-12-31,EBAY,2010-02-17 00:00:00,2010-02-17 17:20:56,FY,2389100000,810900000,-178800000,394807000,220600000,-97494000,0.0,-27235000,4818240000,-333700000,2908100000,-567094000,-1209433000,-1142098000,103572000,0.0,-1149400000,342173000,102526000,102500000,0.0,0.0,-945700000,-2200000.0,810900000,3999900000,3189000000,2908100000,-567100000,2341000000,https://www.sec.gov/Archives/edgar/data/1065088/000119312510033324/0001193125-10-033324-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000119312510033324/d10k.htm
0,2008-12-31,EBAY,2009-02-20 00:00:00,2009-02-19 18:24:04,FY,1779500000,719800000,-206600000,353323000,-147600000,-66853000,0.0,14946000,2581503000,737000000,2882000000,-565890000,-1360293000,-108128000,136200000,0.0,-2057300000,366824000,135141000,-2044600000,0.0,0.0,-1673900000,-183100000,-1032300000,3188700000,4221000000,2882000000,-565900000,2316100000,https://www.sec.gov/Archives/edgar/data/1065088/000095013409003306/0000950134-09-003306-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000095013409003306/f50770e10vk.htm
0,2007-12-31,EBAY,2008-02-29,2008-02-28 20:39:58,FY,348300000,601700000,-123400000,301813000,-172300000,-185616000,0.0,36954000,4022926000,1986800000,2641100000,-453967000,-863565000,-270676000,888757000,0.0,-693100000,363047000,506955000,-978400000,0.0,0.0,-693400000,303800000,1558400000,4221400000,2663000000,2641100000,-454000000,2187100000,https://www.sec.gov/Archives/edgar/data/1065088/000095013408003741/f36571e10vk.htm,https://www.sec.gov/Archives/edgar/data/1065088/000095013408003741/f36571e10vk.htm
0,2006-12-31,EBAY,2007-02-28,2007-02-28 06:02:45,FY,1125600000,544600000,-227900000,5832000.0,204700000,-105540000,0.0,-33975000,2452191000,600800000,2247800000,-292838000,-1036476000,-1754808000,1079548000,0.0,228900000,13875000,650638000,-1353100000,0.0,0.0,-1260700000,133300000,1349200000,2663200000,1314000000,2247800000,-515400000,1732400000,https://www.sec.gov/Archives/edgar/data/1065088/000095013407004291/f27529e10vk.htm,https://www.sec.gov/Archives/edgar/data/1065088/000095013407004291/f27529e10vk.htm
0,2005-12-31,EBAY,2006-02-24,2006-02-23 20:30:17,FY,1082000000,378200000,91700000,31772000,-4200000.0,-151993000,0.0,564000.0,1698302000,462200000,2009900000,-338281000,-2732230000,-1324353000,1928539000,0.0,-2452700000,-126390000,599845000,599800000,0.0,0.0,471600000,-45200000,-16500000,1313500000,1330000000,2009900000,-338300000,1671600000,https://www.sec.gov/Archives/edgar/data/1065088/000095013406003678/f17187e10vk.htm,https://www.sec.gov/Archives/edgar/data/1065088/000095013406003678/f17187e10vk.htm
0,2004-12-31,EBAY,2005-02-28 00:00:00,2005-02-28 06:02:53,FY,778200000,253700000,28700000,5832000.0,-190600000,-105540000,0.0,-33975000,1826279000,415300000,1285300000,-292838000,-1036476000,-1754808000,1079548000,0.0,-2013200000,13875000,650638000,650600000,0.0,0.0,647700000,28800000,-51500000,1330500000,1382000000,1285300000,-292800000,992500000,https://www.sec.gov/Archives/edgar/data/1065088/000095013405003827/0000950134-05-003827-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000095013405003827/f05426e10vk.htm
0,2003-12-31,EBAY,2004-03-08 00:00:00,2004-03-05 19:41:45,FY,441800000,159000000,69800000,5492000.0,-29400000,-153373000,0.0,17348000,1498606000,233000000,874100000,-365384000,-216367000,-2035053000,1297262000,0.0,-1319500000,3519000.0,700817000,700800000,0.0,0.0,688900000,28800000,272200000,1381200000,1109000000,874100000,-365400000,508700000,https://www.sec.gov/Archives/edgar/data/1065088/000089161804000676/0000891618-04-000676-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000089161804000676/f96707ore10vk.htm
0,2002-12-31,EBAY,2003-03-31 00:00:00,2003-03-31 08:17:45,FY,249900000,76600000,8100000.0,5953000.0,31100000,-54583000,0.0,14631000,1082234000,114200000,479900000,-138670000,-59411000,-723307000,727455000,0.0,-157800000,-64000.0,252181000,252200000,0.0,0.0,252100000,11100000,585300000,1109300000,524000000,479900000,-138700000,341200000,https://www.sec.gov/Archives/edgar/data/1065088/000089161803001538/0000891618-03-001538-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000089161803001538/f88540e10vk.htm
