,date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
0,2019-12-31,AC.PA,2019-12-31,2019-12-31,FY,4049000000,107000000,3942000000,0.9735737219066436,0.0,0.0,0.0,0.0,1080000000,3516000000,77000000,328000000,886000000,0.21881946159545568,533000000,0.14892566065695234,0.0,603000000,0.14892566065695234,138000000,464000000,0.11459619659175105,1.55,1.55,271823856,272289941,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.C#phrase=A.C,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.C#phrase=A.C
0,2018-12-31,AC.PA,2018-12-31,2018-12-31,FY,3610000000,97000000,3513000000,0.9731301939058171,0.0,0.0,0.0,33000000,838000000,3063000000,76000000,162000000,840000000,0.23268698060941828,547000000,0.0443213296398892,0.0,160000000,0.0443213296398892,119000000,2233000000,0.6185595567867036,7.61,7.6,288491096,289007464,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.C#phrase=A.C,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.C#phrase=A.C
0,2017-12-31,AC.PA,2017-12-31,2017-12-31,FY,1937000000,67000000,1870000000,0.9654104284976768,0.0,0.0,0.0,-5000000.0,333000000,1448000000,93000000,134000000,679000000,0.35054207537429016,489000000,0.1858544140423335,0.0,360000000,0.1858544140423335,-51000000,441000000,0.22767165720185856,1.4,1.4,287487659,288290924,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.C#phrase=A.C,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.C#phrase=A.C
0,2016-12-31,AC.PA,2016-12-31,2016-12-31,FY,1603000000,61000000,1542000000,0.9619463505926388,0.0,44000000,0.0,40000000,232000000,1214000000,70000000,105000000,530000000,0.330630068621335,389000000,0.10729881472239551,0.0,172000000,0.10729881472239551,-4000000.0,265000000,0.1653150343106675,0.88,0.88,259054000,259925000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.C#phrase=A.C,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.C#phrase=A.C
0,2015-12-31,AC.PA,2015-12-31,2015-12-31,FY,5581000000,322000000,5259000000,0.9423042465507974,0.0,0.0,0.0,0.0,1517000000,4951000000,71000000,329000000,970000000,0.17380397778175954,630000000,0.07346353700053754,0.0,410000000,0.07346353700053754,136000000,244000000,0.04371976348324673,0.88,0.88,234387000,235989000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.C#phrase=A.C,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.C#phrase=A.C
0,2014-12-31,AC.PA,2014-12-31,2014-12-31,FY,5454000000,347000000,5107000000,0.9363769710304364,0.0,0.0,0.0,-93000000,1361000000,4815000000,58000000,318000000,990000000,0.18151815181518152,639000000,0.07682434910157683,0.0,419000000,0.07682434910157683,175000000,223000000,0.040887422075540886,0.97,0.96,230232000,231816000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.C#phrase=A.C,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.C#phrase=A.C
0,2013-12-31,AC.PA,2013-12-31,2013-12-31,FY,5536000000,406000000,5130000000,0.9266618497109826,0.0,0.0,0.0,2000000.0,1402000000,5024000000,0.0,328000000,1004000000,0.1813583815028902,512000000,0.04678468208092486,0.0,259000000,0.04678468208092486,121000000,126000000,0.022760115606936415,0.55,0.55,227613000,228579000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.C#phrase=A.C,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.C#phrase=A.C
0,2012-12-31,AC.PA,2012-12-31,2012-12-31,FY,5649000000,388000000,5261000000,0.9313152770401841,0.0,0.0,0.0,0.0,1386000000,5119000000,84000000,326000000,866000000,0.1533014692865994,530000000,0.04230837316339175,0.0,239000000,0.04230837316339175,143000000,-599000000,-0.10603646663126216,-2.64,-2.64,227266000,227266000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.C#phrase=A.C,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.C#phrase=A.C
0,2011-12-31,AC.PA,2011-12-31,2011-12-31,FY,6100000000,391000000,5709000000,0.9359016393442623,0.0,365000000,0.0,-19000000,1137000000,5570000000,97000000,398000000,974000000,0.15967213114754097,530000000,0.053442622950819675,0.0,326000000,0.053442622950819675,274000000,27000000,0.004426229508196721,0.12,0.12,227107000,227928000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.C#phrase=A.C,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.C#phrase=A.C
0,2010-12-31,AC.PA,2010-12-31,2010-12-31,FY,5948000000,399000000,5549000000,0.9329186281102891,0.0,372000000,0.0,-35000000,1133000000,5502000000,134000000,434000000,871000000,0.14643577673167452,446000000,-0.0020174848688634837,-324000000,-12000000,-0.0020174848688634837,392000000,3600000000,0.605245460659045,15.94,15.87,225838000,226822000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.C#phrase=A.C,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.C#phrase=A.C
