,date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
0,2019-12-31,AIN,2020-02-28 00:00:00,2020-02-28 11:39:29,FY,1054132000,656431000,397701000,0.377278,37569000,161251000,0.0,-1557000.0,204574999.99999994,861005999.9999999,-19650000,70795000,228372000,0.216645,193126000,0.183209,-2466000.0,178212000,0.16906,44829000,132398000,0.125599,4.09622,4.09622,32322000,32322000,https://www.sec.gov/Archives/edgar/data/819793/000089109220002167/0000891092-20-002167-index.html,https://www.sec.gov/Archives/edgar/data/819793/000089109220002167/ain10k2019.htm
0,2018-12-31,AIN,2019-03-14 00:00:00,2019-03-14 15:27:54,FY,982479000,632730000,349749000,0.355986,40582000,152989000,0.0,4037000.0,213835000.00000003,846565000,-20242000,79036000,173913000,0.177014,135914000,0.138338,-2610000.0,115247000,0.117302,32228000,82891000,0.084369,2.56668,2.56668,32295000,32295000,https://www.sec.gov/Archives/edgar/data/819793/000089109219002857/0000891092-19-002857-index.html,https://www.sec.gov/Archives/edgar/data/819793/000089109219002857/e4069-10k.htm
0,2017-12-31,AIN,2018-02-28 00:00:00,2018-02-28 14:49:20,FY,863717000,567434000,296283000,0.343032,41174000,159342000,0.0,4352000.0,215607000.0000001,783041000.0000001,-18602000,71956000,108588000,0.125722,80676000,0.093406,-4243000.0,54708000,0.06334,22123000,33111000,0.038335,1.02689,1.02689,32244000,32244000,https://www.sec.gov/Archives/edgar/data/819793/000089109218001722/0000891092-18-001722-index.html,https://www.sec.gov/Archives/edgar/data/819793/000089109218001722/e77711_10k.htm
0,2016-12-31,AIN,2017-03-01 00:00:00,2017-03-01 15:45:16,FY,779839000,478555000,301284000,0.386341,40306000,154358000,0.0,46000.0,207203000.00000003,685758000,-15541000,67461000,130107000,0.166838,94081000,0.120642,-5883000.0,78266000,0.100362,25454000,52733000,0.06762,1.6392,1.6392,32170000,32170000,https://www.sec.gov/Archives/edgar/data/819793/000089109217001810/0000891092-17-001810-index.html,https://www.sec.gov/Archives/edgar/data/819793/000089109217001810/e73173_10k.htm
0,2015-12-31,AIN,2016-02-26 00:00:00,2016-02-26 16:20:21,FY,709868000,431182000,278686000,0.392588,44753000,139692000,0.0,2433000.0,214790999.99999994,645972999.9999999,-11841000,60114000,99765000,0.14054,63895000,0.09001,-1809000.0,51478000,0.072518,-5787000.0,57279000,0.08069,1.78506,1.78506,32088000,32088000,https://www.sec.gov/Archives/edgar/data/819793/000089109216012779/0000891092-16-012779-index.html,https://www.sec.gov/Archives/edgar/data/819793/000089109216012779/e68310_10k.htm
0,2014-12-31,AIN,2015-02-27,2015-02-27 11:50:53,FY,745300000,453700000,291600000,0.391252,59100000,149200000,0.0,-6853000.0,219200000,672900000,-12254000,64300000,119397000,0.1602,72500000,0.097276,-700000.0,67500000,0.090568,25751000,41600000,0.055816,1.3,1.3,32000000,32000000,https://www.sec.gov/Archives/edgar/data/819793/000089109215001671/e62839-10k.htm,https://www.sec.gov/Archives/edgar/data/819793/000089109215001671/e62839-10k.htm
0,2013-12-31,AIN,2014-02-26,2014-02-26 11:22:01,FY,757400000,466900000,290600000,0.383681,55700000,157700000,0.0,7256000.0,238399999.99999997,705300000,-19000000,63800000.00000001,75672000,0.09991,52100000,0.068788,-2000000.0,31100000,0.041062,13372000,17500000,0.023105,0.54859,0.54859,31900000,31900000,https://www.sec.gov/Archives/edgar/data/819793/000089109214001589/e57527_10k.htm,https://www.sec.gov/Archives/edgar/data/819793/000089109214001589/e57527_10k.htm
0,2012-12-31,AIN,2013-03-01 00:00:00,2013-03-01 10:30:33,FY,760900000,455500000,305400000,0.401367,53000000,289500000,169774000,7629000.0,349600000,805100000,-23300000,63300000,43477000,0.057139,-44100000,-0.057958,-1000000.0,-68400000,-0.089894,-27523000,31000000,0.040741,0.98726,0.98726,31400000,31400000,https://www.sec.gov/Archives/edgar/data/819793/000089109213001806/0000891092-13-001806-index.html,https://www.sec.gov/Archives/edgar/data/819793/000089109213001806/e52100-10k.htm
0,2011-12-31,AIN,2012-02-28 00:00:00,2012-02-28 15:00:40,FY,814700000,485700000,329000000,0.40383,56800000,179800000,179804000,2720000.0,245900000.00000003,731600000,-21400000,66400000,115679000,0.14199,83100000,0.102001,500000.0,62200000,0.076347,35779000,34900000,0.042838,1.10794,1.10794,31500000,31500000,https://www.sec.gov/Archives/edgar/data/819793/000089109212001229/0000891092-12-001229-index.html,https://www.sec.gov/Archives/edgar/data/819793/000089109212001229/e47451_10k.htm
0,2010-12-31,AIN,2011-03-02,2011-03-02 15:16:22,FY,914400000,569100000,345300000,0.377625,57200000,203200000,203159000,-514000.0,264100000,833200000,-18405000,62900000,108977000,0.119179,81200000,0.088801,-500000.0,64500000,0.070538,26882000,37600000,0.04112,1.20513,1.20513,31200000,31200000,https://www.sec.gov/Archives/edgar/data/819793/000114420411012289/b212132_10k.htm,https://www.sec.gov/Archives/edgar/data/819793/000114420411012289/b212132_10k.htm
