,date,symbol,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2020-09-30,TWOU,2020-10-27,2020-10-27 16:06:04,Q3,-52554000,23936000,0.0,22001000,276616000,-25574000,0.0,-4325000.0,388634000,0.0,-214000.0,-1262000.0,0.0,0.0,0.0,0.0,-14865000,-70000.0,299796000,0.0,0.0,0.0,300991000,0.0,286533000,499564000,213031000,-214000.0,1262000.0,-1476000.0,https://www.sec.gov/Archives/edgar/data/1459417/000145941720000012/0001459417-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000145941720000012/twou-20200930.htm
0,2020-06-30,TWOU,2020-07-31,2020-07-31 16:16:28,Q2,-66167000,23985000,0.0,21091000,40477000,3223000.0,0.0,-3784000.0,112018000,42754000.00000001,3218999.9999999995,-1818000.0,9000.0,0.0,0.0,-16514000,-18322999.999999996,-250051000,0.0,3212000.0,0.0,377072000,70418000,230999.99999999997,55545000,193745000,138200000,3218999.9999999995,-18506999.999999996,-15287999.999999998,https://www.sec.gov/Archives/edgar/data/1459417/000145941720000010/0001459417-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000145941720000010/twou-20200630.htm
0,2020-03-31,TWOU,2020-04-30,2020-04-30 16:22:40,Q1,-60106000,23485000,0.0,20870000,-33453000,-42744000,0.0,23390000,71541000,25119000,-9863000.0,-2436000.0,-958000.0,0.0,0.0,-15708000,-19102000,-358000.0,0.0,384000.0,0.0,136084000,-2474000.0,-944000.0,-32383000,138210000,170593000,-9863000.0,-18244000,-28107000,https://www.sec.gov/Archives/edgar/data/1459417/000145941720000006/0001459417-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000145941720000006/a2uq1202010-q.htm
0,2019-12-31,TWOU,2020-02-28,2020-02-27 20:18:07,Q4,-44584000,23204000,0.0,15418000,-24909000,51692000,0.0,4369000.0,104994000,18375999.99999999,33687000.00000001,-2111000.0,0.0,0.0,0.0,-14277000,-16388000.000000034,0.0,0.0,1664000.0000000007,0.0,18266000,1764000.00000001,-24000.00000000002,19038999.99999999,173130000,154091000,33687000.00000001,-16083999.999999996,17603000.000000007,https://www.sec.gov/Archives/edgar/data/1459417/000145941720000003/0001459417-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000145941720000003/a2u201910-k.htm
0,2019-09-30,TWOU,2019-11-12,2019-11-12 16:07:16,Q3,-141112000,22288000.000000004,0.0,16535000,-59149000,-14195000,0.0,-5369000.0,129903000,90848999.99999999,-37712000,-3171000.0,-189000.0,-5000000.0,0.0,-18370000,-26730000.00000002,0.0,0.0,2457000.0,0.0,-62190000,2441999.999999979,-653999.9999999999,-62653999.99999999,156069000,218723000,-37712000,-21690999.999999996,-59402999.99999999,https://www.sec.gov/Archives/edgar/data/1459417/000145941719000008/0001459417-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000145941719000008/a2u10-qq32019.htm
0,2019-06-30,TWOU,2019-07-30,2019-07-30 16:21:21,Q2,-27972000.000000004,14652999.999999998,0.0,9967000.0,-230843000,11974000,0.0,545000.0,189052000,13590000,-15421000,-4975000.0,-387815000,-2500000.0,0.0,-18956000,-414246000,-1953000.0,0.0,451999.99999999994,0.0,34784000,239667000,-122000.0,-190122000,233484000,423606000,-15421000,-23835000,-39256000,https://www.sec.gov/Archives/edgar/data/1459417/000145941719000006/0001459417-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000145941719000006/a2u10-qq22019.htm
0,2019-03-31,TWOU,2019-05-07,2019-05-07 16:14:34,Q1,-21554000,9698000.0,0.0,9584000.0,-33305000,-37522000,0.0,17536000,419895000,12218000,-32528000,-3164000.0,0.0,-2500000.0,0.0,11630000,5966000.0,0.0,0.0,1928000.0,0.0,424251000,645000.0,-249000.0,-26166000,423606000,449772000,-32528000,-16734000,-49262000,https://www.sec.gov/Archives/edgar/data/1459417/000145941719000003/0001459417-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000145941719000003/a2u10-qq12019.htm
0,2018-12-31,TWOU,2019-02-26,2019-02-26 07:32:03,Q4,4829999.999999998,9404999.999999998,0.0,7346000.0,5700000.0,17046000,0.0,-6072000.0,453200000,7350000.000000001,22919999.999999996,-3969000.0,0.0,0.0,0.0,-13477000,-17441000.000000004,0.0,38000.0,3497999.9999999907,0.0,9723000.0,2216999.9999999846,-144000.00000000003,7541999.999999973,449742000,442200000,22919999.999999996,-17446000.000000004,5473999.999999993,https://www.sec.gov/Archives/edgar/data/1459417/000110465919010491/0001104659-19-010491-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000110465919010491/a19-30045_410k.htm
0,2018-09-30,TWOU,2018-11-05,2018-11-05 16:13:08,Q3,-9939999.999999998,8600000.0,0.0,7933000.0,-9500000.0,389000.0,0.0,589000.0,447500000,7930000.0,-5840000.0,-2903000.0,0.0,-25000000,0.0,-11849000,-39760000,0.0,0.0,2229999.9999999614,0.0,-48034000,-1430000.0000000068,410000.00000000006,-46599999.99999996,442200000.00000006,488800000,-5840000.0,-14580000.000000006,-20420000.000000004,https://www.sec.gov/Archives/edgar/data/1459417/000110465918065981/0001104659-18-065981-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000110465918065981/a18-19025_410q.htm
0,2018-06-30,TWOU,2018-08-02,2018-08-02 16:12:53,Q2,-18350000,7399999.999999999,0.0,9009000.0,301600000,-9823000.0,0.0,4197000.0,457000000,9009999.999999998,-1370000.000000001,-3268000.0,0.0,0.0,0.0,-18334000,-21599999.999999996,0.0,330862000,333540000,0.0,306992000,331130000,-1440000.0,306719999.99999994,488819999.99999994,182100000,-1370000.000000001,-21499999.999999996,-22869999.999999996,https://www.sec.gov/Archives/edgar/data/1459417/000110465918049189/0001104659-18-049189-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000110465918049189/a18-14083_110q.htm
0,2018-03-31,TWOU,2018-05-03,2018-05-03 16:12:11,Q1,-14870000,7380000.0,0.0,7122000.0,-34700000,-26109000,0.0,6010000.0,155400000,7120000.0,-18830000,-1856000.0,0.0,0.0,0.0,-21805000,-23660000,0.0,0.0,2120000.0,0.0,183228000,1120000.0,120000.0,-41260000,182140000,223400000,-18830000,-23660000,-42490000,https://www.sec.gov/Archives/edgar/data/1459417/000110465918030256/0001104659-18-030256-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000110465918030256/a18-8655_110q.htm
0,2017-12-31,TWOU,2018-02-27,2018-02-27 16:13:00,Q4,509999.999999998,6300000.000000001,0.0,6393000.0,6400000.0,28281000,0.0,-2597000.0,190100000,6390000.000000001,34190000,-6392000.0,0.0,0.0,0.0,-8573000.0,-14960000.000000007,0.0,-454000.0,2040000.0000000205,0.0,22901000,1509999.999999991,210000.0000000001,20939999.999999996,223340000,202400000,34190000,-13829999.999999998,20360000.000000004,https://www.sec.gov/Archives/edgar/data/1459417/000104746918001109/0001047469-18-001109-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000104746918001109/a2234625z10-k.htm
0,2017-09-30,TWOU,2017-11-07,2017-11-07 16:16:40,Q3,-14740000,5890000.000000001,0.0,6147000.0,65100000,-18349000,0.0,5507000.0,183700000,5119999.999999999,-17939999.999999996,-5475000.0,-97102000,0.0,0.0,-5575000.0,-108149999.99999999,-1517000.0,189917000,191130000,0.0,166723000,190120000,-20000.00000000002,64010000,101410000,37400000,-17939999.999999996,-11050000,-28989999.999999996,https://www.sec.gov/Archives/edgar/data/1459417/000110465917066642/0001104659-17-066642-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000110465917066642/a17-20631_110q.htm
0,2017-06-30,TWOU,2017-08-07,2017-08-07 16:21:23,Q2,-11750000,3780000.0,0.0,5495000.0,-11300000,5246000.0,0.0,-6506000.0,118600000,6520000.0,3459999.999999999,-6065000.0,0.0,0.0,0.0,-5899000.0,-11970000.000000002,0.0,0.0,2390000.0,0.0,-100388000,5070000.0,-1030000.0,-4469999.999999999,138430000,142900000,3459999.999999999,-11970000.000000002,-8510000.000000004,https://www.sec.gov/Archives/edgar/data/1459417/000110465917049907/0001104659-17-049907-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000110465917049907/a17-13350_110q.htm
0,2017-03-31,TWOU,2017-05-04,2017-05-04 16:16:13,Q1,-3440000.0,3650000.0,0.0,3895000.0,-13700000,-20812000,0.0,7100000.0,129900000,3900000.0,-11600000,-9384000.0,0.0,0.0,0.0,-4909000.0,-14290000,0.0,0.0,520000.0,0.0,142940000,50000.0,0.0,-25840000,142860000,168700000,-11600000,-14290000,-25890000,https://www.sec.gov/Archives/edgar/data/1459417/000110465917029892/0001104659-17-029892-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000110465917029892/a17-8896_110q.htm
0,2016-12-31,TWOU,2017-02-24,2017-02-24 15:24:49,Q4,-2199999.999999999,2690000.0000000005,0.0,4230000.0,-4300000.0,13114000,0.0,-1027000.0,143600000,4230000.0,19630000,-3983000.0,0.0,0.0,0.0,-4377000.0,-8360000.0,0.0,0.0,540000.0,0.0,12334000,529999.9999999998,0.0,11800000,168700000,156900000,19630000,-8360000.0,11270000,https://www.sec.gov/Archives/edgar/data/1459417/000104746917000950/0001047469-17-000950-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000104746917000950/a2231003z10-k.htm
0,2016-09-30,TWOU,2016-11-03,2016-11-03 16:39:01,Q3,-6760000.0,2529999.9999999995,0.0,4073000.0,-3800000.0,-15732000,0.0,-832000.0,147900000,4070000.0,-25930000,-2636000.0,0.0,0.0,0.0,-4914000.0,-7550000.000000001,0.0,0.0,2160000.0,0.0,-29169000,2159999.9999999995,0.0,-31320000,156980000,188300000,-25930000,-7549999.999999999,-33480000,https://www.sec.gov/Archives/edgar/data/1459417/000110465916154594/0001104659-16-154594-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000110465916154594/a16-17211_110q.htm
0,2016-06-30,TWOU,2016-08-04,2016-08-04 16:16:24,Q2,-8340000.0,2380000.0000000005,0.0,3976000.0,-8100000.0,-3980000.0,0.0,-762000.0,151700000,3979999.9999999995,5229999.999999999,-684000.0,0.0,0.0,0.0,-3957000.0,-4639999.999999999,0.0,0.0,1140000.0,0.0,2494000.0,950000.0000000001,0.0,1539999.9999999995,188240000,186700000,5229999.999999999,-4570000.0,659999.9999999995,https://www.sec.gov/Archives/edgar/data/1459417/000110465916137033/0001104659-16-137033-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000110465916137033/a16-11607_110q.htm
0,2016-03-31,TWOU,2016-05-05,2016-05-05 16:11:53,Q1,-3380000.0,2150000.0,0.0,3544000.0,-500000.0,-287000.0,0.0,1806000.0,159800000,3540000.0,6280000.0,-345000.0,0.0,0.0,0.0,-3622000.0,-3970000.0,0.0,0.0,1020000.0,0.0,187380000,670000.0,0.0,2980000.0,186680000,183700000,6280000.0,-3900000.0,2380000.0,https://www.sec.gov/Archives/edgar/data/1459417/000110465916118289/0001104659-16-118289-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000110465916118289/a16-6512_110q.htm
0,2015-12-31,TWOU,2016-03-10,2016-03-10 17:04:33,Q4,-3400000.000000002,1929999.9999999998,0.0,3282000.0,-1500000.0,11713000,0.0,214000.0,160300000,4140000.000000001,13350000.000000002,-960000.0,0.0,0.0,0.0,-4648000.0,-5609999.999999999,0.0,-351000.0,659999.9999999966,0.0,9419000.0,660000.0000000108,0.0,8399999.99999999,183700000,175300000,13350000.000000002,-3519999.9999999995,9830000.000000002,https://www.sec.gov/Archives/edgar/data/1459417/000104746916010989/0001047469-16-010989-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000104746916010989/a2227489z10-k.htm
0,2015-09-30,TWOU,2015-10-26,2015-10-26 16:12:09,Q3,-8229999.999999999,1900000.0,0.0,3302000.0,106400000,-8295000.0,0.0,1484000.0,161800000,3320000.0000000005,-28660000,-1096000.0,0.0,0.0,0.0,-2703000.0,-3800000.0,0.0,117463000,119560000,0.0,89195000,119559999.99999999,0.0,87100000.00000001,175300000,88200000,-28660000,-3550000.0,-32210000,https://www.sec.gov/Archives/edgar/data/1459417/000110465915072735/0001104659-15-072735-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000110465915072735/a15-17837_110q.htm
0,2015-06-30,TWOU,2015-08-06,2015-08-06 16:22:58,Q2,-9629999.999999998,1680000.0000000002,0.0,3867000.0,-7400000.0,-88000.0,0.0,-4232000.0,55400000,3870000.0,7330000.0,-1094000.0,0.0,0.0,0.0,-2089000.0,-3180000.0,0.0,0.0,1000000.0,0.0,6148000.0,1000000.0,0.0,5150000.0,88250000,83100000,7330000.0,-3180000.0,4150000.0,https://www.sec.gov/Archives/edgar/data/1459417/000110465915057188/0001104659-15-057188-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000110465915057188/a15-11907_110q.htm
0,2015-03-31,TWOU,2015-05-07,2015-05-07 16:10:55,Q1,-5470000.0,1710000.0,0.0,2048000.0,-3400000.0,-3955000.0,0.0,4785000.0,62800000,2050000.0,-1290000.0,-946000.0,0.0,0.0,0.0,-2409000.0,-3360000.0,0.0,0.0,1230000.0,0.0,83867000,790000.0,0.0,-3850000.0,83050000,86900000,-1290000.0,-3360000.0,-4650000.0,https://www.sec.gov/Archives/edgar/data/1459417/000110465915035575/0001104659-15-035575-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000110465915035575/a15-6993_110q.htm
0,2014-12-31,TWOU,2015-02-26,2015-02-26 17:15:02,Q4,-4020000.0,1330000.0,0.0,2041000.0,-3700000.0,9688000.0,0.0,-2325000.0,66200000,2040000.0,8430000.000000002,-1268000.0,0.0,0.0,0.0,-1859000.0,-3120000.0,0.0,0.0,1060000.0000000023,0.0,7431000.0,1060000.0000000023,0.0,6370000.000000005,86970000,80600000,8430000.000000002,-3119999.999999999,5310000.000000002,https://www.sec.gov/Archives/edgar/data/1459417/000104746915001305/0001047469-15-001305-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000104746915001305/a2223062z10-k.htm
0,2014-09-30,TWOU,2014-11-04,2014-11-04 16:45:52,Q3,-7330000.000000002,1590000.0000000002,0.0,2247000.0,-6500000.0,-9383000.0,0.0,533000.0,69900000,1329999.9999999995,-21760000,-815000.0,0.0,0.0,0.0,-1823000.0,-2640000.0000000005,0.0,0.0,189999.99999999773,0.0,-24005000,189999.99999999773,0.0,-24200000.000000004,80600000,104800000,-21760000,-2630000.0,-24390000,https://www.sec.gov/Archives/edgar/data/1459417/000110465914076553/0001104659-14-076553-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000110465914076553/a14-22991_110q.htm
0,2014-06-30,TWOU,2014-08-06,2014-08-06 16:15:55,Q2,-10599999.999999998,1370000.0,0.0,2044000.0,93400000,-23000.0,0.0,-5017000.0,76400000,2030000.0000000002,-830000.0000000003,-604000.0,0.0,0.0,0.0,-1975000.0,-2579999.9999999995,0.0,100302000,101070000,0.0,101235000,102480000,0.0,99060000,104760000,5700000.0,-830000.0000000003,-2580000.0,-3410000.0000000005,https://www.sec.gov/Archives/edgar/data/1459417/000110465914057593/0001104659-14-057593-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000110465914057593/a14-14212_110q.htm
