,date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
0,2020-06-30,FARM,2020-09-11,,FY,60013000,0.0,60013000,41713000,67408000,7579000.0,176713000,186750000,0.0,20662000,20662000,0.0,1494000.0,8574000.0,215986000,8739000.0,392699000,36987000,5854000.0,0.0,0.0,9296000.0,64292000,122009000,0.0,0.0,92991000,216494000,92991000,280786000,17348000,108536000,-152058000,-76029000,111913000,392699000,175000.0,122009000,61996000,https://www.sec.gov/Archives/edgar/data/34563/000003456320000111/0000034563-20-000111-index.htm,https://www.sec.gov/Archives/edgar/data/34563/000003456320000111/farm-2020x630x10k.htm
0,2019-06-30,FARM,2019-09-11 00:00:00,2019-09-10 18:40:08,FY,6983000.0,0.0,6983000.0,56346000,87910000,8669000.0,159908000,189458000,36224000,28878000,65102000,0.0,1795000.0,10142000,264702000,12007000,424610000,72771000,0.0,0.0,0.0,5866000.0,96072000,92032000,0.0,0.0,77217000,171044000,77217000,267116000,17042000,146177000,-127304000,-63652000,157494000,424610000,2539000.0,92032000,85049000,https://www.sec.gov/Archives/edgar/data/34563/000003456319000064/0000034563-19-000064-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456319000064/farm-2019630x10k.htm
0,2018-06-30,FARM,2018-09-13 00:00:00,2018-09-13 16:48:32,FY,2438000.0,0.0,2438000.0,58803000,104431000,7842000.0,173514000,186589000,36224000,31515000,67739000,0.0,0.0,47689000,302017000,47689000,475531000,56603000,89787000,0.0,39308000,11451000,178457000,58000.0,0.0,0.0,67961000,68019000,67961000,246476000,16952000,220307000,-124078000,-62039000,229055000,475531000,0.0,90035000,87597000,https://www.sec.gov/Archives/edgar/data/34563/000003456318000049/0000034563-18-000049-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456318000049/farm-2018630x10k.htm
0,2017-06-30,FARM,2017-09-28 00:00:00,2017-09-28 17:12:20,FY,6241000.0,368000.0,6609000.0,46764000,79790000,7540000.0,140703000,176066000,10996000,18618000,29614000,0.0,0.0,60770000,266450000,60770000,407153000,39784000,27621000,0.0,63055000,8781000.0,97267000,237000.0,0.0,237000.0,80097000,80334000,80097000,177601000,16846000,236993000,-122986000,-61493000,229552000,407153000,368000.0,28816000,22575000,https://www.sec.gov/Archives/edgar/data/34563/000003456317000064/0000034563-17-000064-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456317000064/farm-2017630x10k.htm
0,2016-06-30,FARM,2016-09-14,2016-09-13 17:37:04,FY,21095000,25591000,46686000,44611000,46378000,15690000,153365000,118416000,0.0,6491000.0,6491000.0,0.0,0.0,90719000,215626000,101852000,368991000,23919000,109000.0,0.0,80786000,2661000.0,56837000,1036000.0,0.0,0.0,128524000,129560000,128524000,186397000,16782000,196782000,-127264000,-63632000,182594000,368991000,25591000,2468000.0,-18627000,https://www.sec.gov/Archives/edgar/data/34563/000003456316000127/farm-2016630x10k.htm,https://www.sec.gov/Archives/edgar/data/34563/000003456316000127/farm-2016630x10k.htm
0,2015-06-30,FARM,2015-09-14 00:00:00,2015-09-14 17:16:00,FY,15160000,23665000,38825000,40696000,50522000,5642000.0,135685000,90201000,0.0,6691000.0,6691000.0,0.0,928000.0,8366000.0,105258000,9368000.0,240943000,27023000,78000.0,0.0,751000.0,8086000.0,64874000,2599000.0,0.0,928000.0,82531000,86058000,82531000,150932000,16658000,106864000,-120840000,-60420000,90011000,240943000,23665000,5926000.0,-9234000.0,https://www.sec.gov/Archives/edgar/data/34563/000003456315000047/0000034563-15-000047-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456315000047/farm-2015630x10k.htm
0,2014-06-30,FARM,2014-09-16 00:00:00,2014-09-15 17:40:31,FY,12000000,22600000,34600000,42500000,71000000,9400000.0,157500000,95600000,0.0,5600000.0,5600000.0,0.0,700000.0,7400000.0,108700000,12600000,266200000,44300000,100000.0,0.0,414000.0,3600000.0,76900000,5900000.0,0.0,689000.0,67800000,74400000,67800000,151300000,16600000,106200000,-55600000,-27800000,114900000,266200000,22600000,9800000.0,-2200000.0,https://www.sec.gov/Archives/edgar/data/34563/000003456314000033/0000034563-14-000033-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456314000033/farm-2014630x10k.htm
0,2013-06-30,FARM,2013-10-09,2013-10-09 17:12:11,FY,2700000.0,20500000,23200000,44300000,60900000,11300000,139700000,92200000,0.0,6300000.0,6300000.0,0.0,900000.0,6000000.0,104400000,14100000,244100000,27700000,9700000.0,0.0,467000.0,13900000,76600000,18800000,0.0,852000.0,66100000,85700000,66100000,162300000,16500000,94100000,-85000000,-42500000,81800000,244100000,20500000,31800000,29100000,https://www.sec.gov/Archives/edgar/data/34563/000003456313000038/farm-2013630x10k.htm,https://www.sec.gov/Archives/edgar/data/34563/000003456313000038/farm-2013630x10k.htm
0,2012-06-30,FARM,2012-09-10 00:00:00,2012-09-07 18:01:51,FY,3900000.0,21000000,24900000,41500000,66000000,3500000.0,135900000,108100000,0.0,7600000.0,7600000.0,0.0,600000.0,3800000.0,119500000,3800000.0,255400000,27700000,29100000,0.0,854000.0,4000000.0,92700000,12100000,0.0,607000.0,81200000,93900000,81200000,186600000,16300000,100500000,-114400000,-57200000,68700000,255400000,21000000,45000000,41100000,https://www.sec.gov/Archives/edgar/data/34563/000003456312000029/0000034563-12-000029-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456312000029/farm-2012630x10k.htm
0,2011-06-30,FARM,2011-09-13 00:00:00,2011-09-12 21:48:40,FY,6100000.0,24900000,31000000,43900000,79800000,2700000.0,157400000,114100000,0.0,14600000,14600000,0.0,1800000.0,3900000.0,132700000,3900000.0,290100000,42500000,31400000,0.0,1005000.0,5400000.0,103500000,7100000.0,0.0,0.0,49600000,58400000,49600000,161900000,16200000,129800000,-47800000,-23900000,128100000,290100000,24900000,40000000,33900000,https://www.sec.gov/Archives/edgar/data/34563/000119312511246167/0001193125-11-246167-index.html,https://www.sec.gov/Archives/edgar/data/34563/000119312511246167/d230339d10k.htm
0,2010-06-30,FARM,2010-09-13 00:00:00,2010-09-13 17:26:17,FY,4100000.0,50900000,55100000,48400000,83700000,2800000.0,190000000,120400000,0.0,25200000,25200000,0.0,1800000.0,3600000.0,149100000,3600000.0,339100000,34100000,37200000,0.0,4000.0,5400000.0,98500000,3100000.0,0.0,0.0,70100000,75000000,70100000,173500000,16200000,186900000,-79400000,-39700000,165600000,339100000,50900000,41000000,36900000,https://www.sec.gov/Archives/edgar/data/34563/000119312510209081/0001193125-10-209081-index.html,https://www.sec.gov/Archives/edgar/data/34563/000119312510209081/d10k.htm
0,2009-06-30,FARM,2009-09-14 00:00:00,2009-09-14 17:27:08,FY,20000000,42900000,63000000,49900000,69000000,4600000.0,186500000,112100000,0.0,28800000,28800000,0.0,0.0,2700000.0,143500000,3800000.0,330000000,34600000,16200000,0.0,1089000.0,11600000,76500000,300000.0,0.0,0.0,56700000,57000000,56700000,133500000,16100000,217800000,-69800000,-34900000,196500000,330000000,42900000,17400000,-2600000.0,https://www.sec.gov/Archives/edgar/data/34563/000104746909008327/0001047469-09-008327-index.html,https://www.sec.gov/Archives/edgar/data/34563/000104746909008327/a2194579z10-k.htm
0,2008-06-30,FARM,2008-09-15 00:00:00,2008-09-15 17:00:22,FY,10000000,113300000,123300000,22700000,54300000,17500000,217800000,69100000,0.0,17600000,17600000,0.0,0.0,8600000.0,95200000,16100000,313000000,12200000,0.0,0.0,7485000.0,8300000.0,28900000,0.0,0.0,0.0,17600000,17600000,17600000,46500000,16100000,257700000,1200000.0,600000.0,266500000,313000000,113300000,0.0,-10000000,https://www.sec.gov/Archives/edgar/data/34563/000104746908010086/0001047469-08-010086-index.html,https://www.sec.gov/Archives/edgar/data/34563/000104746908010086/a2187918z10-k.htm
0,2007-06-30,FARM,2007-09-13 00:00:00,2007-09-13 16:05:58,FY,12600000,158100000,170600000,17700000,45000000,6100000.0,239400000,52700000,0.0,17000000,17000000,0.0,0.0,28600000,98200000,31100000,337600000,8700000.0,0.0,0.0,2462000.0,10900000,27100000,0.0,0.0,0.0,44300000,44300000,44300000,71400000,16100000,272400000,-17600000,-8800000.0,266200000,337600000,158100000,0.0,-12600000,https://www.sec.gov/Archives/edgar/data/34563/000110465907068865/0001104659-07-068865-index.html,https://www.sec.gov/Archives/edgar/data/34563/000110465907068865/a07-23796_110k.htm
0,2006-06-30,FARM,2006-09-13,2006-09-13 16:03:01,FY,5300000.0,176300000,181700000,13300000,45000000,6800000.0,246800000,46400000,0.0,0.0,0.0,0.0,0.0,24000000,70400000,27300000,317200000,4200000.0,0.0,0.0,3300000.0,2100000.0,16600000,0.0,0.0,0.0,31400000,31400000,31400000,48000000,16100000,271700000,-79200000,0.0,269200000,317200000,176300000,0.0,-5300000.0,https://www.sec.gov/Archives/edgar/data/34563/000110465906060879/a06-19524_110k.htm,https://www.sec.gov/Archives/edgar/data/34563/000110465906060879/a06-19524_110k.htm
0,2005-06-30,FARM,,,FY,9800000.0,171100000,180900000,19500000,41100000,3700000.0,245200000,42700000,0.0,0.0,0.0,0.0,0.0,27000000,69700000,27000000,314900000,7900000.0,0.0,0.0,0.0,2500000.0,20700000,0.0,0.0,0.0,29300000,29300000,29300000,50000000,16100000,272800000,-1800000.0,-900000.0,264900000,314900000,171100000,0.0,-9800000.0,,
