,date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
0,2017-12-31,MLCAC.PA,,,FY,15040000,13550000,1490000.0,0.099069,0.0,1100000.0,0.0,-40000.0,1309999.9999999986,14859999.999999998,-260000.0,0.0,-340000.0,-0.022606,180000.0,0.011968,0.0,-80000.0,-0.005319,0.0,-80000.0,-0.005319,-0.16327,-0.16327,490000.0,490000.0,,
0,2016-12-31,MLCAC.PA,,,FY,15950000,15190000,750000.0,0.047022,0.0,1210000.0,0.0,-20000.0,1730000.000000002,16920000.000000004,-320000.0,0.0,-1570000.0,-0.098433,-970000.0,-0.060815,40000.0,-1250000.0,-0.07837,0.0,-1250000.0,-0.07837,-1.96,-1.96,490000.0,490000.0,,
0,2015-12-31,MLCAC.PA,,,FY,17090000,16060000,1030000.0,0.060269,0.0,1700000.0,0.0,-10000.0,1929999.9999999998,17990000,-280000.0,0.0,-1460000.0,-0.08543,-900000.0,-0.052662,0.0,-1180000.0,-0.069046,0.0,-1180000.0,-0.069046,-2.46,-2.46,490000.0,490000.0,,
0,2014-12-31,MLCAC.PA,,,FY,15660000,14230000,1430000.0,0.091315,0.0,1560000.0,0.0,80000.0,1919999.9999999981,16149999.999999998,-330000.0,0.0,-1230000.0,-0.078544,-490000.0,-0.03129,-80000.0,-900000.0,-0.057471,0.0,-900000.0,-0.057471,-1.82,-1.82,490000.0,490000.0,,
0,2013-12-31,MLCAC.PA,,,FY,18340000,16250000,2100000.0,0.114504,0.0,1510000.0,0.0,-10000.0,1760000.0000000016,18010000,-260000.0,0.0,-200000.0,-0.010905,340000.0,0.018539,-10000.0,60000.0,0.003272,0.0,60000.0,0.003272,0.13,0.13,490000.0,490000.0,,
0,2012-12-31,MLCAC.PA,,,FY,18300000,16800000,1500000.0,0.081967,0.0,1470000.0,0.0,-110000.0,1599999.999999998,18399999.999999996,-240000.0,0.0,-580000.0,-0.031694,-100000.0,-0.005464,0.0,-330000.0,-0.018033,-20000.0,-320000.0,-0.017486,-0.66,-0.66,490000.0,490000.0,,
0,2011-12-31,MLCAC.PA,,,FY,16700000,14260000,2430000.0,0.145509,0.0,1410000.0,0.0,100000.0,1959999.999999999,16219999.999999998,-360000.0,0.0,-270000.0,-0.016168,470000.0,0.028144,-10000.0,90000.0,0.005389,30000.0,60000.0,0.003593,0.45,0.45,490000.0,490000.0,,
0,2010-12-31,MLCAC.PA,,,FY,14660000,12040000,2620000.0,0.178718,0.0,1360000.0,0.0,-10000.0,1570000.0000000002,13610000,-220000.0,0.0,570000.0,0.038881,1050000.0,0.071623,-40000.0,790000.0,0.053888,270000.0,520000.0,0.035471,1.07,1.07,490000.0,490000.0,,
0,2009-12-31,MLCAC.PA,,,FY,14290000,11580000,2710000.0,0.189643,0.0,1490000.0,0.0,20000.0,1939999.9999999995,13520000,-320000.0,0.0,300000.0,0.020994,770000.0,0.053884,180000.0,630000.0,0.044087,210000.0,410000.0,0.028691,1.12,1.12,490000.0,490000.0,,
0,2008-12-31,MLCAC.PA,,,FY,16660000,12830000,3830000.0,0.229892,0.0,1530000.0,0.0,130000.0,2019999.9999999995,14850000,-510000.0,0.0,780000.0,0.046819,1810000.0,0.108643,-10000.0,1300000.0,0.078031,430000.0,860000.0,0.051621,2.14,2.14,490000.0,490000.0,,
0,2007-12-31,MLCAC.PA,,,FY,15650000,12100000,3550000.0,0.226837,0.0,1670000.0,0.0,0.0,2090000.0,14190000,-290000.0,0.0,890000.0,0.056869,1460000.0,0.093291,0.0,1180000.0,0.075399,410000.0,770000.0,0.049201,1.79,1.79,490000.0,490000.0,,
0,2006-12-31,MLCAC.PA,,,FY,14220000,11390000,2830000.0,0.199015,0.0,1510000.0,0.0,-30000.0,1559999.9999999986,12949999.999999998,-1180000.0,0.0,-350000.0,-0.024613,1270000.0,0.089311,740000.0,830000.0,0.058368,280000.0,550000.0,0.038678,0.86,0.86,490000.0,490000.0,,
0,2005-12-31,MLCAC.PA,,,FY,14590000,11220000,3230000.0,0.221385,0.0,1450000.0,0.0,-80000.0,1660000.0,12880000,0.0,260000.0,1970000.0,0.135024,1710000.0,0.117204,0.0,1710000.0,0.117204,280000.0,1430000.0,0.098012,2.92,2.92,490000.0,490000.0,,
0,2004-12-31,MLCAC.PA,,,FY,27870000,25360000,2480000.0,0.088985,0.0,1820000.0,0.0,530000.0,1710000.000000001,27070000,-780000.0,430000.0,-350000.0,-0.012558,800000.0,0.028705,-30000.0,-10000.0,-0.000359,110000.0,-110000.0,-0.003947,-1.21,-1.21,490000.0,490000.0,,
0,2003-12-31,MLCAC.PA,,,FY,33760000,31010000,2690000.0,0.07968,0.0,2740000.0,0.0,-2780000.0,-1900000.000000002,29109999.999999996,-1070000.0,0.0,2330000.0,0.069017,4650000.0,0.137737,-180000.0,3400000.0,0.100711,1240000.0,2160000.0,0.063981,1.51,1.51,490000.0,490000.0,,
