,date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
0,2019-09-30,RSI.TO,2019-09-30,2019-09-30,FY,794292000,671717000,122575000,0.15431982192946675,0.0,48428000,16857000,0.0,0.0,720145000,17313000,0.0,92190000,0.11606562825761811,74147000,0.0075967024721387095,-49622000,6034000.0,0.0075967024721387095,14201000,-8167000.0,-0.010282112875365734,-0.08,-0.08,104997204,104997204,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Rogers Sugar Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Rogers Sugar Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2018-09-30,RSI.TO,2018-09-30,2018-09-30,FY,805201000,674348000,130853000,0.16250973359446896,0.0,46753000,14682000,0.0,0.0,721101000,16242000,0.0,101684000,0.12628399616990044,84100000,0.08316929561687082,0.0,66968000,0.08316929561687082,18239000,48729000,0.060517808596859665,0.46,0.43,105600860,113323256,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Rogers Sugar Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Rogers Sugar Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2017-09-30,RSI.TO,2017-09-30,2017-09-30,FY,682517000,605219000,77298000,0.11325432187037099,0.0,36267000,10664000,0.0,0.0,641486000,9808000.0,0.0,54217000,0.07943684919203478,41031000,0.045146128228307866,0.0,30813000,0.045146128228307866,8907000.0,21906000,0.03209590383829267,0.23,0.22,96027566,99572727,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Rogers Sugar Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Rogers Sugar Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2016-09-30,RSI.TO,2016-09-30,2016-09-30,FY,564411000,436188000,128223000,0.22718019315711424,0.0,29625000,9989000.0,0.0,0.0,465813000,8991000.0,0.0,110322000,0.19546394382816776,98598000,0.15766170397104237,0.0,88986000,0.15766170397104237,23407000,65579000,0.11619015221177476,0.7,0.64,93885631,109972400,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Rogers Sugar Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Rogers Sugar Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2015-09-30,RSI.TO,2015-09-30,2015-09-30,FY,541545000,465250000,76295000,0.14088395239546114,0.0,31825000,9395000.0,0.0,0.0,497075000,9931000.0,0.0,56556000,0.10443453452621666,44470000,0.06008549612682233,-1168000.0,32539000,0.06008549612682233,8506000.0,24033000,0.044378583497216295,0.26,0.26,94045436,94045436,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Rogers Sugar Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Rogers Sugar Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2014-09-30,RSI.TO,2014-09-30,2014-09-30,FY,532295000,449356000,82939000,0.15581397533322688,0.0,33105000,8801000.0,0.0,0.0,482461000,9290000.0,0.0,61226000,0.11502268478944946,49834000,0.07378990973050659,-433000.0,39278000,0.07378990973050659,10049000,29229000,0.05491128039902685,0.31,0.31,94059862,101752170,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Rogers Sugar Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Rogers Sugar Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2013-09-30,RSI.TO,2013-09-30,2013-09-30,FY,558438000,472785000,85653000,0.15337960525608932,0.0,26115000,8110000.0,0.0,0.0,498900000,10026000,0.0,71237000,0.12756474308696758,59538000,0.0902714356831018,1787000.0,50411000,0.0902714356831018,13146000,37265000,0.06673077405190908,0.4,0.39,94102742,110128383,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Rogers Sugar Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Rogers Sugar Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2012-09-30,RSI.TO,2012-09-30,2012-09-30,FY,618093000,540232000,77861000,0.12596971653133104,0.0,27257000,8334000.0,0.0,0.0,567489000,9695000.0,0.0,62465000,0.10106084359473412,50604000,0.06618583287628237,0.0,40909000,0.06618583287628237,10648000,30261000,0.04895865185336187,0.33,0.32,92965945,100658253,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Rogers Sugar Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Rogers Sugar Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2011-09-30,RSI.TO,2011-09-30,2011-09-30,FY,612614000,516255000,96359000,0.15729154083974575,0.0,27979000,7960000.0,0.0,0.0,544783000,11579000,549000.0,78989000,0.128937634464769,67831000,0.0918229096951751,0.0,56252000,0.0918229096951751,12032000,44220000,0.07218248358672835,0.5,0.45,88291122,111594655,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Rogers Sugar Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Rogers Sugar Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2010-09-30,RSI.TO,2010-09-30,2010-09-30,FY,606873000,519234000,87639000,0.14441077457721796,0.0,27779000,7723000.0,0.0,0.0,547669000,14214000,656000.0,72586000,0.11960657336872789,59204000,0.07413412690958404,0.0,44990000,0.07413412690958404,-224000.0,45214000,0.07450323214247462,0.52,0.48,87363848,114643897,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Rogers Sugar Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Rogers Sugar Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2009-09-30,RSI.TO,2009-09-30,2009-09-30,FY,543320000,450527000,92793000,0.17078885371420158,0.0,33616000,13572000,0.0,0.0,484664000,16740000,521000.0,72124000,0.13274681587278214,58656000,0.07714790547007289,0.0,41916000,0.07714790547007289,-621000.0,42537000,0.07829087830376205,0.49,0.45,87425836,113381367,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Rogers Sugar Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Rogers Sugar Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2008-09-30,RSI.TO,2008-09-30,2008-09-30,FY,463108000,355998000,107110000,0.23128514299040395,0.0,31720000,0.0,0.0,0.0,400647000,0.0,12929000,76593000,0.16538906691311747,62461000,0.10167822624528187,300000.0,47088000,0.10167822624528187,-727000.0,47815000,0.10324805444950207,0.54,0.5,87769735,113796834,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Rogers Sugar Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Rogers Sugar Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
