,date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
0,2020-06-30,CEI,2020-08-14 00:00:00,2020-08-14 16:17:10,Q1,1705370.0,0.0,1705370.0,279900.0,0.0,247980.0,2233250.0,108320.0,0.0,0.0,0.0,0.0,0.0,155050.0,11676910,403020.0,13910160,1439640.0,0.0,3000.0,0.0,55400.0,1687660.0,0.0,0.0,0.0,19350.0,19340.0,19350.0,1707000.0,13160.0,-142109720,-78354120,0.0,12203160,13910160,0.0,0.0,-1705370.0,https://www.sec.gov/Archives/edgar/data/1309082/000158069520000304/0001580695-20-000304-index.htm,https://www.sec.gov/Archives/edgar/data/1309082/000158069520000304/cei-10q_063020.htm
0,2020-03-31,CEI,2020-06-30,2020-06-29 18:27:06,Q4,656620.0,0.0,656620.0,255360.0,0.0,220680.0,1132660.0,110620.0,0.0,0.0,0.0,957170.0,0.0,155050.0,8562560.0,375730.0,9695220.0,1474220.0,0.0,3000.0,0.0,206230.0,2028910.0,0.0,0.0,0.0,41520.0,41520.0,41520.0,2070430.0,5000.0,-142195840,-78351830,0.0,7624790.0,9695220.0,957170.0,0.0,-656620.0,https://www.sec.gov/Archives/edgar/data/1309082/000158069520000260/cei-10k_033120.htm,https://www.sec.gov/Archives/edgar/data/1309082/000158069520000260/cei-10k_033120.htm
0,2019-12-31,CEI,2020-02-14 00:00:00,2020-02-14 16:45:59,Q3,2253740.0,0.0,2253740.0,176040.0,0.0,0.0,2429780.0,176470.0,0.0,0.0,0.0,0.0,0.0,155050.0,2671240.0,155050.0,5101020.0,1427020.0,0.0,3000.0,0.0,252170.0,1976030.0,0.0,0.0,0.0,42140.0,42140.0,42140.0,2018170.0,4710.0,-143812040,-78346620,0.0,3082850.0,5101020.0,0.0,0.0,-2253740.0,https://www.sec.gov/Archives/edgar/data/1309082/000158069520000079/0001580695-20-000079-index.html,https://www.sec.gov/Archives/edgar/data/1309082/000158069520000079/cei-10q_123119.htm
0,2019-09-30,CEI,2019-11-19 00:00:00,2019-11-19 17:09:34,Q2,4833640.0,0.0,4833640.0,5108920.0,0.0,65250.0,10007810,2923740.0,17992120,0.0,17992120,0.0,0.0,264050.0,21179910,329300.0,31187720,2161020.0,0.0,3000.0,90082.0,94820.0,3826860.0,1695140.0,0.0,0.0,631200.0,2326330.0,631200.0,6153190.0,1050.0,-143869250,-81574650,0.0,25034520,31187720,0.0,2068150.0,-2765490.0,https://www.sec.gov/Archives/edgar/data/1309082/000158069519000460/0001580695-19-000460-index.html,https://www.sec.gov/Archives/edgar/data/1309082/000158069519000460/cei-10q_093019.htm
0,2019-06-30,CEI,2019-08-14,2019-08-14 16:50:42,Q1,6404820.0,0.0,6404820.0,124340.0,0.0,146130.0,6675290.0,217210.0,0.0,0.0,0.0,0.0,0.0,273520.0,490720.0,419650.0,7166010.0,1386290.0,0.0,3000.0,0.0,30690.0,1663140.0,0.0,0.0,0.0,312070.0,312070.0,312070.0,1975210.0,1950.0,-145486170,-78338570,0.0,5190800.0,7166010.0,0.0,0.0,-6404820.0,https://www.sec.gov/Archives/edgar/data/1309082/000158069519000331/cei-10q_063019.htm,https://www.sec.gov/Archives/edgar/data/1309082/000158069519000331/cei-10q_063019.htm
0,2019-03-31,CEI,2019-07-01,2019-07-01 16:21:52,Q4,7778720.0,0.0,7778720.0,129040.0,0.0,263210.0,8170970.0,213190.0,0.0,0.0,0.0,0.0,0.0,198520.0,411700.0,461730.0,8582670.0,1521330.0,0.0,3000.0,0.0,306340.0,2103800.0,0.0,0.0,0.0,303810.0,303820.0,303810.0,2407620.0,16800.0,-146076630,-78334320,0.0,6175060.0,8582670.0,0.0,0.0,-7778720.0,https://www.sec.gov/Archives/edgar/data/1309082/000158069519000263/cei-10k_033119.htm,https://www.sec.gov/Archives/edgar/data/1309082/000158069519000263/cei-10k_033119.htm
0,2018-12-31,CEI,2019-02-14 00:00:00,2019-02-14 17:24:28,Q3,9272390.0,0.0,9272390.0,70570.0,0.0,232180.0,9575140.0,334280.0,0.0,0.0,0.0,0.0,0.0,198520.0,532800.0,430700.0,10107940,1934320.0,0.0,0.0,0.0,171000.0,2160510.0,0.0,0.0,0.0,319780.0,319770.0,319780.0,2480280.0,6770.0,-147055160,-78320510,0.0,7627660.0,10107940,0.0,0.0,-9272390.0,https://www.sec.gov/Archives/edgar/data/1309082/000158069519000067/0001580695-19-000067-index.html,https://www.sec.gov/Archives/edgar/data/1309082/000158069519000067/cei-10q_123118.htm
0,2018-09-30,CEI,2018-11-16 00:00:00,2018-11-16 08:01:44,Q2,5330000.0,0.0,5330000.0,50000.0,0.0,120000.0,5500000.0,1290000.0,0.0,0.0,0.0,0.0,0.0,200000.0,1490000.0,320000.0,6990000.0,3490000.0,290000.0,0.0,0.0,0.0,4360000.0,0.0,0.0,0.0,330000.0,330000.0,330000.0,4690000.0,70000.0,-147080000,-77770000,0.0,2300000.0,6990000.0,0.0,290000.0,-5040000.0,https://www.sec.gov/Archives/edgar/data/1309082/000158069518000501/0001580695-18-000501-index.html,https://www.sec.gov/Archives/edgar/data/1309082/000158069518000501/cei-10q_093018.htm
0,2018-06-30,CEI,2018-07-02 00:00:00,2018-07-02 16:23:32,Q1,420000.0,0.0,420000.0,680000.0,0.0,220000.0,1320000.0,13200000,0.0,0.0,0.0,0.0,0.0,200000.0,13400000,420000.0,14720000,3900000.0,270000.0,0.0,0.0,200000.0,41870000,0.0,0.0,0.0,990000.0,980000.0,990000.0,42850000,20000.0,-171210000,-77410000,0.0,-28130000,14720000,0.0,36190000,35770000,https://www.sec.gov/Archives/edgar/data/1309082/000158069518000342/0001580695-18-000342-index.html,https://www.sec.gov/Archives/edgar/data/1309082/000158069518000342/cei-10k_033118.htm
0,2018-03-31,CEI,2018-07-02,2018-07-02 16:23:32,Q4,760000.0,0.0,760000.0,650000.0,0.0,250000.0,1660000.0,12550000,0.0,0.0,0.0,0.0,0.0,60000.0,12610000,320000.0,14270000,2970000.0,0.0,0.0,0.0,200000.0,40000000,250000.0,0.0,0.0,980000.0,1230000.0,980000.0,41230000,0.0,-168390000,-76560000,0.0,-26960000,14270000,0.0,35940000,35180000,https://www.sec.gov/Archives/edgar/data/1309082/000158069518000342/cei-10k_033118.htm,https://www.sec.gov/Archives/edgar/data/1309082/000158069518000342/cei-10k_033118.htm
