,date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
0,2020-09-30,QEC.TO,2020-09-30,2020-09-30,Q3,9651000.0,0.0,9651000.0,2031000.0,0.0,0.0,12694000,166809000,0.0,0.0,0.0,8702000.0,0.0,7720000.0,183231000,0.0,195925000,0.0,0.0,0.0,0.0,0.0,20838000,0.0,0.0,0.0,1820000.0,22579000,0.0,43417000,429703000,-300082000,-236809000,0.0,152508000,43417000,0.0,16439000,6521000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Questerre Energy Corp (Canada)&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Questerre Energy Corp (Canada)&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2020-06-30,QEC.TO,2020-06-30,2020-06-30,Q2,12748000,0.0,12748000,2293000.0,0.0,0.0,16026000,168618000,0.0,0.0,0.0,8890000.0,0.0,7720000.0,185228000,0.0,201255000,0.0,0.0,0.0,0.0,0.0,25346000,0.0,0.0,0.0,1820000.0,22400000,0.0,47746000,429703000,-299111000,-234701000,0.0,153509000,47746000,0.0,19386000,6572000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Questerre Energy Corp (Canada)&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Questerre Energy Corp (Canada)&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2020-03-31,QEC.TO,2020-03-31,2020-03-31,Q1,15167000,0.0,15167000,1846000.0,0.0,0.0,17933000,170106000,0.0,0.0,0.0,9242000.0,0.0,7500000.0,186848000,0.0,204782000,0.0,0.0,0.0,0.0,0.0,26613000,0.0,0.0,0.0,1820000.0,21906000,0.0,48519000,429703000,-296410000,-232453000,0.0,156263000,48519000,0.0,17360000,2100000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Questerre Energy Corp (Canada)&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Questerre Energy Corp (Canada)&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2019-12-31,QEC.TO,2019-12-31,2019-12-31,Q4,15037000,0.0,15037000,3868000.0,0.0,0.0,19786000,279991000,2346000.0,0.0,2346000.0,8439000.0,0.0,7500000.0,298276000,0.0,318062000,0.0,0.0,0.0,0.0,0.0,27997000,0.0,0.0,0.0,1820000.0,21409000,0.0,49406000,429703000,-182534000,-133054000,0.0,268656000,49406000,0.0,16496000,1340000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Questerre Energy Corp (Canada)&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Questerre Energy Corp (Canada)&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2019-09-30,QEC.TO,2019-09-30,2019-09-30,Q3,27333000,0.0,27333000,3607000.0,0.0,0.0,33555000,209450000,2346000.0,0.0,2346000.0,279000.0,5824000.0,0.0,217899000,0.0,251454000,0.0,0.0,0.0,0.0,0.0,36134000,0.0,0.0,0.0,0.0,14354000,0.0,50488000,429703000,-249941000,-142532000,0.0,200966000,50488000,0.0,17112000,0.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Questerre Energy Corp (Canada)&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Questerre Energy Corp (Canada)&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2019-06-30,QEC.TO,2019-06-30,2019-06-30,Q2,28562000,0.0,28562000,2697000.0,0.0,0.0,33664000,205961000,2346000.0,0.0,2346000.0,275000.0,5824000.0,0.0,214406000,0.0,248070000,0.0,0.0,0.0,0.0,0.0,34548000,0.0,0.0,0.0,0.0,14414000,0.0,48962000,429683000,-251272000,-138982000,0.0,199108000,48962000,0.0,14861000,0.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Questerre Energy Corp (Canada)&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Questerre Energy Corp (Canada)&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2019-03-31,QEC.TO,2019-03-31,2019-03-31,Q1,16214000,0.0,16214000,2930000.0,0.0,0.0,21177000,201355000,2346000.0,0.0,2346000.0,281000.0,6816000.0,0.0,210798000,0.0,231975000,14558000,0.0,0.0,0.0,107000.0,30828000,0.0,0.0,0.0,91000.0,14335000,107000.0,45163000,415747000,-249172000,-135836000,0.0,186812000,45163000,281000.0,16361000,0.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Questerre Energy Corp (Canada)&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Questerre Energy Corp (Canada)&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2018-12-31,QEC.TO,2018-12-31,2018-12-31,Q4,19208000,0.0,19208000,1918000.0,0.0,0.0,23267000,200656000,2346000.0,0.0,2346000.0,287000.0,6816000.0,0.0,210105000,0.0,233372000,18503000,0.0,0.0,0.0,0.0,32345000,0.0,0.0,0.0,0.0,13736000,0.0,46081000,415747000,-248238000,-132984000,0.0,187291000,46081000,287000.0,13842000,0.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Questerre Energy Corp (Canada)&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Questerre Energy Corp (Canada)&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2018-09-30,QEC.TO,2018-09-30,2018-09-30,Q3,27611000,0.0,27611000,1893000.0,0.0,0.0,31728000,167101000,2346000.0,0.0,2346000.0,4436000.0,13019000,0.0,186902000,0.0,218630000,18347000,0.0,0.0,0.0,0.0,34102000,0.0,0.0,0.0,0.0,12880000,0.0,46982000,415747000,-263095000,-158043000,0.0,171648000,46982000,4436000.0,15755000,0.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Questerre Energy Corp (Canada)&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Questerre Energy Corp (Canada)&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2018-06-30,QEC.TO,2018-06-30,2018-06-30,Q2,30064000,0.0,30064000,3406000.0,0.0,0.0,35508000,162477000,2346000.0,0.0,2346000.0,6693000.0,13019000,0.0,184535000,0.0,220043000,19162000,0.0,0.0,0.0,0.0,34269000,0.0,0.0,0.0,0.0,12310000,0.0,46579000,415747000,-261072000,-155689000,0.0,173464000,46579000,6693000.0,15107000,0.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Questerre Energy Corp (Canada)&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Questerre Energy Corp (Canada)&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
