,date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
0,2019-12-31,ENB.TO,2019-12-31,2019-12-31,FY,50069000000,34395000000,15674000000,0.3130479937685993,0.0,6991000000,0.0,258000000,0.0,41386000000,2730000000,0.0,13902000000,0.27765683356967386,8683000000,0.15049232059757534,1515000000,7535000000,0.15049232059757534,1708000000,5705000000,0.11394275899259022,2.64,2.63,2017000000,2020000000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Enbridge Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Enbridge Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2018-12-31,ENB.TO,2018-12-31,2018-12-31,FY,46378000000,32647000000,13731000000,0.2960671007805425,0.0,6792000000,0.0,516000000,0.0,39439000000,2834000000,0.0,12341000000,0.26609599379015914,6939000000,0.07697615248609255,-666000000,3570000000,0.07697615248609255,237000000,2882000000,0.06214153262322653,1.46,1.46,1724000000,1727000000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Enbridge Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Enbridge Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2017-12-31,ENB.TO,2017-12-31,2017-12-31,FY,44378000000,31800000000,12578000000,0.28342872594528823,0.0,6442000000,0.0,199000000,0.0,38242000000,2826000000,0.0,10870000000,0.24494118707467663,6136000000,0.012821668394249404,-3011000000,569000000,0.012821668394249404,-2697000000,2859000000,0.06442381360133399,1.66,1.65,1525000000,1532000000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Enbridge Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Enbridge Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2016-12-31,ENB.TO,2016-12-31,2016-12-31,FY,34560000000,26245000000,8315000000,0.24059606481481483,0.0,4360000000,0.0,29000000,-3000000.0,30602000000,1590000000,0.0,6681000000,0.19331597222222222,3958000000,0.07092013888888889,57000000,2451000000,0.07092013888888889,142000000,2069000000,0.05986689814814815,1.95,1.93,911000000,918000000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Enbridge Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Enbridge Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2015-12-31,ENB.TO,2015-12-31,2015-12-31,FY,33794000000,27265000000,6529000000,0.19319997632715866,0.0,4248000000,0.0,22000000,-23000000,31490000000,1624000000,0.0,4849000000,0.14348700952831864,2304000000,0.0003255015683257383,-693000000,11000000,0.0003255015683257383,170000000,251000000,0.007427353968160028,-0.04,-0.04,847000000,858000000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Enbridge Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Enbridge Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2014-12-31,ENB.TO,2014-12-31,2014-12-31,FY,37641000000,31060000000,6581000000,0.174835950160729,0.0,3281000000,0.0,28000000,97000000,34438000000,1080000000,0.0,5150000000,0.13681889429079994,3203000000,0.057729603358040435,76000000,2173000000,0.057729603358040435,611000000,1405000000,0.037326319704577456,1.39,1.39,829000000,840000000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Enbridge Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Enbridge Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2013-12-31,ENB.TO,2013-12-31,2013-12-31,FY,32918000000,28177000000,4741000000,0.14402454584118113,0.0,3014000000,0.0,51000000,361000000,31552000000,907000000,0.0,3104000000,0.09429491463636916,1366000000,0.01862203050003038,167000000,613000000,0.01862203050003038,123000000,629000000,0.01910808676104259,0.55,0.55,806000000,817000000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Enbridge Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Enbridge Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2012-12-31,ENB.TO,2012-12-31,2012-12-31,FY,25306000000,20992000000,4314000000,0.1704734055164783,0.0,2890000000,0.0,10000000,-178000000,23704000000,803000000,0.0,2967000000,0.11724492215284912,1602000000,0.04232197897731763,283000000,1071000000,0.04232197897731763,128000000,715000000,0.028254168971785346,0.79,0.78,772000000,785000000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Enbridge Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Enbridge Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2011-12-31,ENB.TO,2011-12-31,2011-12-31,FY,19402000000,14854000000,4548000000,0.23440882383259457,0.0,1720000000,0.0,0.0,0.0,17511000000,711000000,937000000,3164000000,0.16307597154932482,1891000000,0.08390887537367282,448000000,1628000000,0.08390887537367282,568000000,1004000000,0.05174724255231419,1.32,1.3,751000000,761000000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Enbridge Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Enbridge Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2010-12-31,ENB.TO,2010-12-31,2010-12-31,FY,15127000000,11291000000,3836000000,0.25358630263766774,0.0,1466000000,0.0,0.0,0.0,13621000000,687000000,864000000,2398000000,0.15852449262907384,1506000000,0.08071659945792292,412000000,1221000000,0.08071659945792292,251000000,970000000,0.06412375223110993,1.3,1.285,740000000,748000000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Enbridge Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Enbridge Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
