,date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
0,2020-03-31,HX,2020-04-01 00:00:00,2020-04-01 07:01:28,Q4,10925210,0,10925210,37801710,0,1197570,49924490,1641310,0,0,0,1600000,0,0,28457990,0,78382480,0,0,0,0,6475410,10171860,20000000,0,0,109730,20109730,109730,30281590,5000,-1429620,-14091400,-7045700,48100890,78382480,1600000,20000000,9074790,https://www.sec.gov/Archives/edgar/data/1702318/000110465920041517/0001104659-20-041517-index.html,https://www.sec.gov/Archives/edgar/data/1702318/000110465920041517/a20-14304_16k.htm
0,2019-09-30,HX,2019-10-28 00:00:00,2019-10-28 06:12:34,Q3,14943030,0,14943030,19836120,0,3126580,37905730,3988180,0,0,0,30789840,0,33658370,95409600,33658370,133315330,0,699530,0,0,6468260,12030130,20000000,0,0,909300,20909300,909300,32939430,5000,52210290,-16480780,-8240390,100375900,133315330,30789840,20699530,5756500,https://www.sec.gov/Archives/edgar/data/1702318/000110465919056636/0001104659-19-056636-index.html,https://www.sec.gov/Archives/edgar/data/1702318/000110465919056636/a19-21252_16k.htm
0,2019-06-30,HX,2019-08-14 00:00:00,2019-08-14 06:07:49,Q2,25881580,0,25881580,29769170,0,2871610,58522360,3394920,0,0,0,30789840,0,3614610,88267940,3614610,146790300,0,0,0,0,7564740,11497280,20000000,0,0,729390,20729390,729390,32226670,4990,62608350,-8516320,-4258160,114563630,146790300,30789840,20000000,-5881580,https://www.sec.gov/Archives/edgar/data/1702318/000110465919045717/0001104659-19-045717-index.html,https://www.sec.gov/Archives/edgar/data/1702318/000110465919045717/a19-17170_16k.htm
0,2019-03-31,HX,2019-05-21 00:00:00,2019-05-21 06:07:36,Q1,57372130,0,57372130,36973550,0,3334970,97680650,1253720,0,0,0,30789840,0,3721180,75575190,3721180,173255840,0,0,0,0,23771630,26562730,20000000,0,0,189960,20189950,189960,46752680,4960,69768760,-3513920,-1756960,126503160,173255840,30789840,20000000,-37372130,https://www.sec.gov/Archives/edgar/data/1702318/000110465919030645/0001104659-19-030645-index.html,https://www.sec.gov/Archives/edgar/data/1702318/000110465919030645/a19-10248_16k.htm
0,2018-12-31,HX,2019-01-08 00:00:00,2019-01-08 06:11:22,Q4,47433770,0,47433770,43983990,0,3834220,95251980,1292180,0,0,0,1600000,0,9650420,42278200,9650420,137530180,0,0,0,0,14756270,17008820,0,0,0,0,0,0,17008820,4910,62281330,-12692220,-6346110,120521360,137530180,1600000,0,-47433770,https://www.sec.gov/Archives/edgar/data/1702318/000110465919001188/0001104659-19-001188-index.html,https://www.sec.gov/Archives/edgar/data/1702318/000110465919001188/a19-2141_16k.htm
0,2018-09-30,HX,2018-10-05 00:00:00,2018-10-05 17:20:20,Q3,53069190,0,53069190,57670610,0,20320400,131060200,1224170,0,0,0,1600000,0,0,19152690,0,150212890,0,0,0,0,16613720,22034690,0,0,0,0,0,0,22034690,4890,70249410,-12287660,-6143830,128178200,150212890,1600000,0,-53069190,https://www.sec.gov/Archives/edgar/data/1702318/000110465918060799/0001104659-18-060799-index.html,https://www.sec.gov/Archives/edgar/data/1702318/000110465918060799/a18-36414_16k.htm
0,2018-06-30,HX,2018-07-23 00:00:00,2018-07-23 07:01:03,Q2,148413220,0,148413220,30554840,0,10211490,189179550,813580,0,0,0,0,0,0,813580,0,189993130,0,0,0,0,23105630,25258960,0,0,0,0,0,0,25258960,4840,107197510,-3251100,-1625550,164734170,189993130,0,0,-148413220,https://www.sec.gov/Archives/edgar/data/1702318/000110465918046380/0001104659-18-046380-index.html,https://www.sec.gov/Archives/edgar/data/1702318/000110465918046380/a18-17438_16k.htm
0,2018-03-31,HX,2018-04-12 00:00:00,2018-04-12 07:16:06,Q1,132600000,0,132600000,29300000,0,1200000,163100000,800000,0,0,0,0,0,0,800000,0,163900000,0,0,0,0,20100000,23800000,0,0,0,0,0,0,23800000,0,77200000,8800000,4400000,140000000,163900000,0,0,-132600000,https://www.sec.gov/Archives/edgar/data/1702318/000110465918023576/0001104659-18-023576-index.html,https://www.sec.gov/Archives/edgar/data/1702318/000110465918023576/a18-9934_16k.htm
0,2017-12-31,HX,2018-01-31 00:00:00,2018-01-31 06:10:08,Q4,139300000,0,139300000,0,0,4500000,143800000,600000,0,0,0,0,0,400000,1000000,400000,144800000,0,0,0,0,17300000,21300000,0,0,0,0,4700000,0,26000000,0,60200000,2000000,1000000,118900000,144800000,0,0,-139300000,https://www.sec.gov/Archives/edgar/data/1702318/000110465918005234/0001104659-18-005234-index.html,https://www.sec.gov/Archives/edgar/data/1702318/000110465918005234/a18-5099_16k.htm
0,2017-09-30,HX,2017-12-05 00:00:00,2017-12-05 06:07:15,Q3,54300000,0,54300000,0,0,6400000,60700000,500000,0,0,0,0,0,400000,1000000,400000,61700000,0,0,0,0,9600000,11100000,0,0,0,0,4500000,0,15600000,0,33300000,-1000000,-500000,46100000,61700000,0,0,-54300000,https://www.sec.gov/Archives/edgar/data/1702318/000110465917071774/0001104659-17-071774-index.html,https://www.sec.gov/Archives/edgar/data/1702318/000110465917071774/a17-27911_16k.htm
