,date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
0,2020-06-30,PIH,2020-08-14 00:00:00,2020-08-14 08:30:38,Q2,25638000,0.0,25638000,1849000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4009000.0,0.0,0.0,0.0,0.0,51821000,294000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370000.0,6000.0,-11904000,0.0,0.0,51451000,370000.0,0.0,0.0,-25638000,https://www.sec.gov/Archives/edgar/data/1591890/000149315220015682/0001493152-20-015682-index.htm,https://www.sec.gov/Archives/edgar/data/1591890/000149315220015682/form10-q.htm
0,2020-03-31,PIH,2020-05-14 00:00:00,2020-05-14 16:02:37,Q1,27668000,0.0,27668000,1824000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4100000.0,0.0,0.0,6760000.0,0.0,54783000,406000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57000.0,0.0,463000.0,6000.0,-8983000.0,0.0,0.0,54320000,463000.0,0.0,0.0,-27668000,https://www.sec.gov/Archives/edgar/data/1591890/000149315220008739/0001493152-20-008739-index.htm,https://www.sec.gov/Archives/edgar/data/1591890/000149315220008739/form10-q.htm
0,2019-12-31,PIH,2020-03-30 00:00:00,2020-03-30 16:07:12,Q4,28509000,0.0,28509000,1311000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005000.0,0.0,0.0,5458000.0,0.0,63454000,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106000.0,0.0,139000.0,0.0,539000.0,6000.0,-336000.0,0.0,0.0,62915000,539000.0,0.0,0.0,-28509000,https://www.sec.gov/Archives/edgar/data/1591890/000149315220005206/0001493152-20-005206-index.html,https://www.sec.gov/Archives/edgar/data/1591890/000149315220005206/form10-k.htm
0,2019-09-30,PIH,2019-11-14 00:00:00,2019-11-14 16:02:07,Q3,1803000.0,0.0,1803000.0,18961000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3994000.0,0.0,0.0,162285000,0.0,164088000,510000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1935000.0,0.0,108405000,6000.0,-8266000.0,0.0,0.0,55683000,108405000,0.0,0.0,-1803000.0,https://www.sec.gov/Archives/edgar/data/1591890/000149315219017443/0001493152-19-017443-index.html,https://www.sec.gov/Archives/edgar/data/1591890/000149315219017443/form10-q.htm
0,2019-06-30,PIH,2019-08-14 00:00:00,2019-08-14 16:06:37,Q2,2305000.0,0.0,2305000.0,19157000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3881000.0,0.0,0.0,176411000,0.0,178716000,463000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1069000.0,0.0,119115000,6000.0,-4381000.0,0.0,0.0,59601000,119115000,0.0,0.0,-2305000.0,https://www.sec.gov/Archives/edgar/data/1591890/000149315219012522/0001493152-19-012522-index.html,https://www.sec.gov/Archives/edgar/data/1591890/000149315219012522/form10-q.htm
0,2019-03-31,PIH,2019-05-14 00:00:00,2019-05-14 16:02:37,Q1,26292000,7168000.0,33460000,21996000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46000.0,0.0,0.0,48278000,0.0,156256000,9248000.0,7168000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1463000.0,0.0,92788000,6000.0,501000.0,0.0,0.0,63468000,92788000,0.0,387000.0,-26292000,https://www.sec.gov/Archives/edgar/data/1591890/000149315219007068/0001493152-19-007068-index.html,https://www.sec.gov/Archives/edgar/data/1591890/000149315219007068/form10-q.htm
0,2018-12-31,PIH,2019-03-20 00:00:00,2019-03-20 16:02:47,Q4,30902000,474000.0,31376000,15462000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32991000,0.0,147923000,9495000.0,474000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3059000.0,0.0,85176000,6000.0,639000.0,0.0,0.0,62747000,85176000,0.0,118000.0,-3666000.0,https://www.sec.gov/Archives/edgar/data/1591890/000149315219003648/0001493152-19-003648-index.html,https://www.sec.gov/Archives/edgar/data/1591890/000149315219003648/form10-k.htm
0,2018-09-30,PIH,2018-11-13 00:00:00,2018-11-13 16:07:13,Q3,30024000,697000.0,30721000,15846000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37359000,0.0,144468000,9628000.0,697000.0,0.0,0.0,0.0,82787000,0.0,1625000.0,0.0,0.0,0.0,0.0,82787000,6000.0,157000.0,0.0,0.0,61681000,82787000,0.0,128000.0,-30024000,https://www.sec.gov/Archives/edgar/data/1591890/000149315218015749/0001493152-18-015749-index.html,https://www.sec.gov/Archives/edgar/data/1591890/000149315218015749/form10-q.htm
0,2018-06-30,PIH,2018-08-14 00:00:00,2018-08-14 16:14:00,Q2,30695000,1264000.0,31959000,18032000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2847000.0,0.0,0.0,39629000,0.0,141449000,9335000.0,1264000.0,0.0,0.0,0.0,77300000,0.0,1193000.0,0.0,0.0,0.0,0.0,77272000,6000.0,2621000.0,0.0,0.0,64177000,77272000,0.0,138000.0,-30700000,https://www.sec.gov/Archives/edgar/data/1591890/000149315218011788/0001493152-18-011788-index.html,https://www.sec.gov/Archives/edgar/data/1591890/000149315218011788/form10-q.htm
0,2018-03-31,PIH,2018-05-14 00:00:00,2018-05-14 08:08:05,Q1,35987000,161000.0,36148000,12975000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2287000.0,0.0,0.0,27327000,0.0,127496000,5982000.0,161000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449000.0,0.0,62944000,6000.0,2894000.0,0.0,0.0,64552000,62944000,0.0,152000.0,-36000000,https://www.sec.gov/Archives/edgar/data/1591890/000149315218006714/0001493152-18-006714-index.html,https://www.sec.gov/Archives/edgar/data/1591890/000149315218006714/form10-q.htm
