,date,symbol,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2020-07-31,LB.TO,2020-07-31,2020-07-31,Q3,36217000,16945000,-1849000.0,0.0,225522000,38715000,0.0,-13019000,-708351000,148851000,447986000,0.0,0.0,-1471625000,999854000,0.0,0.0,0.0,0.0,0.0,-15525000,0.0,0.0,0.0,0.0,87599000,80704000,447986000,-5739000.0,442247000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Laurentian Bank of Canada&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Laurentian Bank of Canada&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2020-04-30,LB.TO,2020-04-30,2020-04-30,Q2,8885000.0,16281000,-12900000,0.0,67278000,-22903000,0.0,11228000,285630000,-77151000,57293000,0.0,0.0,-609931000,403695000,0.0,0.0,0.0,0.0,0.0,-26002000,0.0,0.0,0.0,0.0,80704000,79273000,57293000,-15461000,41832000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Laurentian Bank of Canada&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Laurentian Bank of Canada&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2020-01-31,LB.TO,2020-01-31,2020-01-31,Q1,32172000,15978000,-293000.0,0.0,-68844000,22657000,0.0,-24236000,-196048000,57228000,51141000,0.0,0.0,-817817000,1109972000,0.0,0.0,0.0,0.0,0.0,-47402000,0.0,0.0,0.0,0.0,79273000,90658000,51141000,-16139000,35002000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Laurentian Bank of Canada&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Laurentian Bank of Canada&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2019-10-31,LB.TO,2019-10-31,2019-10-31,Q4,41343000,11905000,16818000,0.0,-171629000,-15360000,0.0,41081000,-404655000,-133713000,-222676000,0.0,0.0,-958075000,945184000,0.0,0.0,0.0,0.0,0.0,-24886000,0.0,0.0,0.0,0.0,90658000,104012000,-222676000,-14693000,-237369000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Laurentian Bank of Canada&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Laurentian Bank of Canada&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2019-07-31,LB.TO,2019-07-31,2019-07-31,Q3,47798000,11419000,691000.0,0.0,33181000,21683000,0.0,-4870000.0,-203376000,-61000.0,105128000,0.0,0.0,-745926000,978875000,0.0,0.0,0.0,0.0,0.0,-25127000,0.0,0.0,0.0,0.0,104012000,99864000,105128000,-16171000,88957000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Laurentian Bank of Canada&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Laurentian Bank of Canada&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2019-04-30,LB.TO,2019-04-30,2019-04-30,Q2,43313000,12034000,-2572000.0,0.0,-341446000,-23415000,0.0,20757000,-316759000,78324000,-201147000,0.0,0.0,-779420000,812303000,0.0,0.0,0.0,0.0,-3000.0,-25584000,0.0,0.0,0.0,0.0,99864000,108139000,-201147000,-19756000,-220903000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Laurentian Bank of Canada&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Laurentian Bank of Canada&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2019-01-31,LB.TO,2019-01-31,2019-01-31,Q1,40256000,11236000,-1395000.0,0.0,188000.0,-1028000.0,0.0,-27579000,-156574000,-12819000,47966000,0.0,0.0,-1197704000,1204437000,0.0,0.0,0.0,0.0,-4000.0,-26837000,0.0,0.0,0.0,0.0,108139000,116490000,47966000,-17995000,29971000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Laurentian Bank of Canada&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Laurentian Bank of Canada&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2018-10-31,LB.TO,2018-10-31,2018-10-31,Q4,50801000,10536000,10347000,0.0,-765616000,-10869000,0.0,25695000,-1439292000,53566000,-626581000,0.0,0.0,-1000810000,1316380000,0.0,0.0,0.0,0.0,-1000.0,-23031000,0.0,0.0,0.0,0.0,116490000,142137000,-626581000,-46191000,-672772000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Laurentian Bank of Canada&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Laurentian Bank of Canada&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2018-07-31,LB.TO,2018-07-31,2018-07-31,Q3,54903000,10946000,396000.0,0.0,665723000,2706000.0,0.0,5118000.0,-276218000,-11460000,725262000,0.0,0.0,-1315898000,826538000,0.0,0.0,0.0,0.0,-11000.0,-23604000,0.0,0.0,0.0,0.0,142137000,142340000,725262000,-43914000,681348000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Laurentian Bank of Canada&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Laurentian Bank of Canada&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2018-04-30,LB.TO,2018-04-30,2018-04-30,Q2,59195000,10492000,-595000.0,0.0,-456411000,-5762000.0,0.0,23706000,-497724000,3330000.0,-379949000,0.0,0.0,-1299569000,1418674000,0.0,0.0,0.0,0.0,0.0,-20972000,0.0,0.0,0.0,0.0,142340000,132122000,-379949000,-42053000,-422002000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Laurentian Bank of Canada&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Laurentian Bank of Canada&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
