,date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
0,2020-09-30,GBLB.BR,2020-09-30,2020-09-30,Q3,1428800000,876400000,552400000,0.38661814109742443,0.0,0.0,0.0,0.0,314600000,1371800000,0.0,127300000,82800000,0.05795072788353863,57000000,0.0011898096304591265,0.0,1700000.0,0.0011898096304591265,28800000,-61700000,-0.04318309070548712,-0.38034246627444174,-0.38034246627444174,162222222,162222222,,
0,2020-06-30,GBLB.BR,2020-06-30,2020-06-30,Q2,1637200000,851400000,785800000,0.47996579526020033,0.0,0.0,0.0,0.0,398900000,1312600000,0.0,115800000,548400000,0.33496213046665035,324600000,0.23857806010261423,0.0,390600000,0.23857806010261423,7500000.0,370100000,0.22605668214023944,2.2814383592896417,2.2814383592896417,162222222,162222222,,
0,2020-03-31,GBLB.BR,2020-03-31,2020-03-31,Q1,1511700000,955500000,556200000,0.3679301448700139,0.0,0.0,0.0,0.0,331200000,1416000000,0.0,129300000,224800000,0.14870675398557914,95700000,0.03935966130846067,0.0,59500000,0.03935966130846067,24300000,14600000,0.009658000926109678,0.09,0.09,162222222,162222222,,
0,2019-12-31,GBLB.BR,2019-12-31,2019-12-31,Q4,1145300000,602500000,542800000,0.4739369597485375,0.0,0.0,0.0,-14200000,-248400000,1026700000,0.0,121200000,272200000,0.2376669868156815,118600000,0.08076486510084693,0.0,92500000,0.08076486510084693,-23200000,133400000,0.11647603248057277,0.8223287682497654,0.8223287682497654,162222222,162222222,,
0,2019-09-30,GBLB.BR,2019-09-30,2019-09-30,Q3,1394000000,727200000,666800000,0.4783357245337159,0.0,0.0,0.0,-1500000.0,272100000,1191300000,0.0,113400000,296400000,0.21262553802008607,202700000,0.17840746054519369,0.0,248700000,0.17840746054519369,36500000,166000000,0.11908177905308465,1.0232876726346407,1.0232876726346407,162222222,162222222,,
0,2019-06-30,GBLB.BR,2019-06-30,2019-06-30,Q2,1535300000,744900000,790400000,0.514817950889077,0.0,0.0,0.0,0.0,472100000,1238700000,0.0,100300000,418000000,0.2722594932586465,296600000,0.1833517879241842,0.0,281500000,0.1833517879241842,18600000,245900000,0.16016413730215592,1.5158219198846876,1.5158219198846876,162222222,162222222,,
0,2019-03-31,GBLB.BR,2019-03-31,2019-03-31,Q1,1399600000,756100000,643500000,0.4597742212060589,0.0,0.0,0.0,0.0,329400000,1183700000,0.0,98200000,306400000,0.21891969134038297,215900000,0.15104315518719635,0.0,211400000,0.15104315518719635,33200000,159400000,0.11388968276650471,1.01,1.0,157821782,159400000,,
0,2018-12-31,GBLB.BR,2018-12-31,2018-12-31,Q4,1344200000,650700000,693500000,0.5159202499628032,0.0,0.0,0.0,0.0,-35200000,1509500000,0.0,83300000,-112500000,-0.08369290284183901,-165300000,-0.33105192679660767,0.0,-445000000,-0.33105192679660767,-13800000,194700000,0.1448445171849427,1.200205481096172,1.200205481096172,162222222,162222222,,
0,2018-09-30,GBLB.BR,2018-09-30,2018-09-30,Q3,1374300000,736700000,637600000,0.4639452812340828,0.0,0.0,0.0,0.0,349000000,1220000000,0.0,82000000,254600000,0.18525794950156443,154300000,0.11591355599214145,0.0,159300000,0.11591355599214145,39700000,80500000,0.05857527468529433,0.4962328773920998,0.4962328773920998,162222222,162222222,,
0,2018-06-30,GBLB.BR,2018-06-30,2018-06-30,Q2,1490300000,716300000,774000000,0.5193585184191103,0.0,0.0,0.0,-700000.0,409600000,1144900000,0.0,71300000,400200000,0.26853653626786556,345400000,0.20854861437294506,0.0,310800000,0.20854861437294506,28100000,270500000,0.18150707911158828,1.6674657557088572,1.6674657557088572,162222222,162222222,,
