,date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
0,2020-06-30,RILY,,,Q2,266468000,20066000,246402000,0.9246963988171187,0.0,106562000,0.0,0.0,0.0,126628000,16509000,0.0,144669000,0.5429132203491601,139840000,0.43058453547893183,-8818000.0,114737000,0.43058453547893183,32208000,83840000,0.31463440262995934,3.23,3.07,25627085,26992823,,
0,2020-03-31,RILY,2020-05-11 00:00:00,2020-05-11 16:52:59,Q1,-206000.0,29194000,-29400000,142.71844660194174,0.0,87744000,0.0,0.0,0.0,116938000,15654000,0.0,-112178000,544.5533980582525,-117144000,664.0194174757281,-4236000.0,-136788000,664.0194174757281,-37539000,-98665000,478.95631067961165,-3.83,-3.83,26028613,26028613,https://www.sec.gov/Archives/edgar/data/1464790/000121390020011680/0001213900-20-011680-index.htm,https://www.sec.gov/Archives/edgar/data/1464790/000121390020011680/f10q0320_brileyfinancial.htm
0,2019-12-31,RILY,2020-03-10 00:00:00,2020-03-09 18:48:07,Q4,165237000,16919000,148318000,0.8976076786676108,0.0,110751000,0.0,0.0,0.0,127670000,15075000,0.0,45264000,0.27393380417218904,37567000,0.1534644177756798,2618000.0,25358000,0.1534644177756798,7842000.0,17129000,0.10366322312799192,0.64,0.59,26547023,28412871,https://www.sec.gov/Archives/edgar/data/1464790/000121390020005801/0001213900-20-005801-index.html,https://www.sec.gov/Archives/edgar/data/1464790/000121390020005801/f10k2019_brileyfinancial.htm
0,2019-09-30,RILY,2019-11-01 00:00:00,2019-11-01 14:26:02,Q3,180063000,23625000,156438000,0.8687959214275004,0.0,96587000,0.0,0.0,0.0,120212000,12772000,0.0,65798000,0.3654165486524161,59851000,0.26964451330923067,1113000.0,48553000,0.26964451330923067,14409000,34302000,0.1904999916695823,1.29,1.21,26556223,28233423,https://www.sec.gov/Archives/edgar/data/1464790/000121390019021788/0001213900-19-021788-index.html,https://www.sec.gov/Archives/edgar/data/1464790/000121390019021788/f10q0919_brileyfinancial.htm
0,2019-06-30,RILY,2019-08-09 00:00:00,2019-08-08 17:41:35,Q2,164684000,31539000,133145000,0.8084877705180831,0.0,87338000,0.0,0.0,0.0,118877000,11588000,0.0,49569000,0.30099463214398486,45807000,0.1918704913652814,-2952000.0,31598000,0.1918704913652814,9289000.0,22157000,0.13454251779164947,0.84,0.82,26278352,26896573,https://www.sec.gov/Archives/edgar/data/1464790/000121390019015003/0001213900-19-015003-index.html,https://www.sec.gov/Archives/edgar/data/1464790/000121390019015003/f10q0619_brileyfinancial.htm
0,2019-03-31,RILY,2019-05-01 00:00:00,2019-05-01 17:03:06,Q1,142128000,26460000,115668000,0.8138297872340425,0.0,90543000,0.0,0.0,0.0,117003000,10770000,0.0,26913000,0.18935748058088483,25125000,0.07797900484070697,-3909000.0,11083000,0.07797900484070697,3104000.0,8023000.0,0.05644911628954182,0.31,0.3,26217215,26687531,https://www.sec.gov/Archives/edgar/data/1464790/000161577419006823/0001615774-19-006823-index.html,https://www.sec.gov/Archives/edgar/data/1464790/000161577419006823/s117753_10q.htm
0,2018-12-31,RILY,2019-03-06 00:00:00,2019-03-05 20:27:19,Q4,102031000,25227000,76804000,0.7527516147053347,0.0,77079000,0.0,0.0,0.0,102306000,9467000.0,0.0,7293000.0,0.07147827621017142,-275000.0,-0.12225696111965971,-3322000.0,-12474000,-0.12225696111965971,-3509000.0,-8805000.0,-0.0862973018004332,-0.34,-0.34,26177560,26177560,https://www.sec.gov/Archives/edgar/data/1464790/000161577419003677/0001615774-19-003677-index.html,https://www.sec.gov/Archives/edgar/data/1464790/000161577419003677/s116429_10k.htm
0,2018-09-30,RILY,2018-11-06 00:00:00,2018-11-06 06:04:22,Q3,99681000,14633000,85048000,0.8532017134659564,0.0,71782000,0.0,0.0,0.0,86415000,9340000.0,0.0,17634000,0.17690432479609955,13266000,0.04783258594917788,400000.0,4768000.0,0.04783258594917788,2046000.0,2814000.0,0.028230053871851204,0.11,0.1,25968997,26854261,https://www.sec.gov/Archives/edgar/data/1464790/000161577418012101/0001615774-18-012101-index.html,https://www.sec.gov/Archives/edgar/data/1464790/000161577418012101/s113694_10q.htm
0,2018-06-30,RILY,2018-08-03 00:00:00,2018-08-03 16:20:24,Q2,125501000,18698000,106803000,0.8510131393375352,0.0,76723000,0.0,0.0,0.0,95421000,10359000,0.0,38472000,0.30654735818838097,30080000,0.18468378738018024,3291000.0,23178000,0.18468378738018024,5377000.0,16997000,0.13543318379933228,0.67,0.64,25424178,26397513,https://www.sec.gov/Archives/edgar/data/1464790/000161577418007565/0001615774-18-007565-index.html,https://www.sec.gov/Archives/edgar/data/1464790/000161577418007565/s111657_10q.htm
0,2018-03-31,RILY,2018-05-08 00:00:00,2018-05-08 17:01:33,Q1,95778000,16861000,78917000,0.8239574850174362,0.0,68098000,0.0,0.0,0.0,84959000,4227000.0,0.0,13612000,0.14212031990645033,10819000,0.060880369187078454,-889000.0,5831000.0,0.060880369187078454,989000.0,4503000.0,0.047014972123034515,0.17,0.17,26219277,27271819,https://www.sec.gov/Archives/edgar/data/1464790/000161577418003481/0001615774-18-003481-index.html,https://www.sec.gov/Archives/edgar/data/1464790/000161577418003481/s109980_10q.htm
0,2017-12-31,RILY,2018-03-14 00:00:00,2018-03-13 21:52:35,Q4,110177000,14898000,95279000,0.8647812156802236,0.0,80172000,0.0,0.0,0.0,95070000,3187000.0,0.0,18324000,0.1663142035088993,15107000,0.09813300416602376,-1170000.0,10812000,0.09813300416602376,16263000,-6113000.0,-0.05548344935875909,-0.23,-0.23,26150502,26150502,https://www.sec.gov/Archives/edgar/data/1464790/000161577418001866/0001615774-18-001866-index.html,https://www.sec.gov/Archives/edgar/data/1464790/000161577418001866/s109152_10k.htm
