,date,symbol,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2019-12-31,SLCT,2020-03-11,2020-03-11 16:06:11,FY,13035000,3605000.0,585000.0,369000.0,-3399000.0,-300000.0,0.0,0.0,-672000.0,-450000.0,13359000,120000.0,0.0,-38698000,4551000.0,1018000.0,0.0,-7703000.0,0.0,-11427000,0.0,0.0,0.0,0.0,0.0,79077000,139362000,13359000,-1381000.0,11978000,https://www.sec.gov/Archives/edgar/data/1263762/000110465920031921/0001104659-20-031921-index.htm,https://www.sec.gov/Archives/edgar/data/1263762/000110465920031921/tm205243d1_10k.htm
0,2018-12-31,SLCT,2019-03-15,2019-03-15 16:03:12,FY,13782000,2754000.0,1061000.0,178000.0,-9210000.0,108000.0,0.0,0.0,-686000.0,-2965000.0,4813000.0,717000.0,0.0,0.0,1657000.0,-76000.0,0.0,-21267000,63250000,0.0,0.0,-3444000.0,0.0,0.0,0.0,139362000,62695000,4813000.0,-1556000.0,3257000.0,https://www.sec.gov/Archives/edgar/data/1263762/000114420419014294/0001144204-19-014294-index.htm,https://www.sec.gov/Archives/edgar/data/1263762/000114420419014294/tv515888_10k.htm
0,2017-12-31,SLCT,2018-03-16,2018-03-16 16:07:21,FY,3185000.0,1553000.0,2325000.0,115000.0,-837000.0,-432000.0,0.0,0.0,-575000.0,-717000.0,6558000.0,1442000.0,0.0,-1523000.0,26300000,2707000.0,0.0,-41375000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62695000,55714000,6558000.0,-931000.0,5627000.0,https://www.sec.gov/Archives/edgar/data/1263762/000114420418015275/0001144204-18-015275-index.htm,https://www.sec.gov/Archives/edgar/data/1263762/000114420418015275/tv488011_10k.htm
0,2016-12-31,SLCT,2017-03-14,2017-03-14 12:59:39,FY,6754000.0,1521000.0,151000.0,71000.0,120000.0,-418000.0,0.0,0.0,-591000.0,-988000.0,8481000.0,2062000.0,0.0,-2016000.0,11319000,1142000.0,0.0,-24991000,0.0,-7645000.0,-4000.0,0.0,0.0,0.0,0.0,55714000,63409000,8481000.0,0.0,8481000.0,https://www.sec.gov/Archives/edgar/data/1263762/000114420417014438/0001144204-17-014438-index.htm,https://www.sec.gov/Archives/edgar/data/1263762/000114420417014438/v461354_10k.htm
0,2015-12-31,SLCT,2016-03-24,2016-03-24 16:34:50,FY,6553000.0,1587000.0,970000.0,39000.0,-1299000.0,94000.0,0.0,0.0,-626000.0,-1224000.0,6883000.0,635000.0,0.0,-9339000.0,20707000,47000.0,0.0,-45683000,0.0,0.0,-77000.0,0.0,0.0,0.0,0.0,63409000,58410000,6883000.0,-3900000.0,2983000.0,https://www.sec.gov/Archives/edgar/data/1263762/000114420416090135/0001144204-16-090135-index.htm,https://www.sec.gov/Archives/edgar/data/1263762/000114420416090135/v434782_10k.htm
0,2014-12-31,SLCT,2015-03-31,2015-03-31 17:31:22,FY,2357000.0,1083000.0,130000.0,91000.0,373000.0,-34000.0,0.0,0.0,-269000.0,-481000.0,3399000.0,1440000.0,0.0,-10396000,9587000.0,-8224000.0,0.0,-1988000.0,0.0,0.0,-38000.0,0.0,0.0,0.0,0.0,58410000,72869000,3399000.0,-735000.0,2664000.0,https://www.sec.gov/Archives/edgar/data/1263762/000114420415020311/0001144204-15-020311-index.htm,https://www.sec.gov/Archives/edgar/data/1263762/000114420415020311/v403953_10k.htm
0,2013-12-31,SLCT,2014-03-20,2014-03-20 16:08:15,FY,2941000.0,638000.0,753000.0,26000.0,-321000.0,-14000.0,0.0,0.0,-235000.0,319000.0,4678000.0,1138000.0,0.0,-25922000,9701000.0,1315000.0,0.0,-11543000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72869000,113608000,4678000.0,-483000.0,4195000.0,https://www.sec.gov/Archives/edgar/data/1263762/000114420414016883/0001144204-14-016883-index.htm,https://www.sec.gov/Archives/edgar/data/1263762/000114420414016883/v371663_10k.htm
0,2012-12-31,SLCT,2013-03-28,2013-03-28 17:19:55,FY,4637000.0,696000.0,2784000.0,38000.0,1917000.0,367000.0,0.0,0.0,-247000.0,960000.0,8450000.0,4058000.0,0.0,-42286000,14735000,4333000.0,0.0,-12695000,165000.0,0.0,0.0,0.0,0.0,0.0,0.0,113608000,77096000,8450000.0,-231000.0,8219000.0,https://www.sec.gov/Archives/edgar/data/1263762/000114420413018381/0001144204-13-018381-index.htm,https://www.sec.gov/Archives/edgar/data/1263762/000114420413018381/v336723_10k.htm
0,2011-12-31,SLCT,2012-03-28,2012-03-28 16:21:00,FY,-163000.0,812000.0,-366000.0,75000.0,2128000.0,485000.0,0.0,0.0,0.0,82000.0,10586000,2011000.0,0.0,-16259000,37649000,200000.0,0.0,-5973000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77096000,35902000,10586000,-34000.0,10552000,https://www.sec.gov/Archives/edgar/data/1263762/000119312512137378/0001193125-12-137378-index.htm,https://www.sec.gov/Archives/edgar/data/1263762/000119312512137378/d286328d10k.htm
0,2010-12-31,SLCT,2011-04-01,2011-04-01 15:53:49,FY,-4955000.0,905000.0,-2405000.0,148000.0,-1584000.0,0.0,0.0,0.0,-1444000.0,0.0,8845000.0,0.0,0.0,-22251000,28612000,0.0,0.0,-2000000.0,0.0,0.0,0.0,16000.0,0.0,0.0,0.0,35902000,28935000,8845000.0,-1426000.0,7419000.0,https://www.sec.gov/Archives/edgar/data/1263762/000119312511086761/0001193125-11-086761-index.htm,https://www.sec.gov/Archives/edgar/data/1263762/000119312511086761/d10k.htm
0,2009-12-31,SLCT,2010-03-29,2010-03-29 15:55:21,FY,-8442000.0,970000.0,-1008000.0,160000.0,-2505000.0,0.0,0.0,0.0,390000.0,13000.0,4065000.0,0.0,0.0,-38739000,26674000,0.0,0.0,-2611000.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,9612000.0,8124000.0,4065000.0,-1064000.0,3001000.0,https://www.sec.gov/Archives/edgar/data/1263762/000119312510069960/0001193125-10-069960-index.htm,https://www.sec.gov/Archives/edgar/data/1263762/000119312510069960/d10k.htm
