,date,symbol,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2019-12-31,STBA,2020-03-02,2020-03-02 16:21:53,FY,98234000,5763000.0,-381000.0,2441000.0,16180000,-3768000.0,0.0,-2223000.0,0.0,-542000.0,138423000,0.0,0.0,-129973000,152346000,6615000.0,0.0,-35936000,0.0,-19137000,-37360000,-176000.0,0.0,0.0,0.0,197823000,155489000,138423000,-5153000.0,133270000,https://www.sec.gov/Archives/edgar/data/719220/000071922020000013/0000719220-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/719220/000071922020000013/stba-20191231x10k.htm
0,2018-12-31,STBA,2019-02-21,2019-02-21 17:28:53,FY,105334000,4599000.0,3509000.0,1891000.0,14823000,-1635000.0,0.0,2353000.0,0.0,3651000.0,128017000,0.0,0.0,-92597000,89833000,-165000.0,0.0,-1987000.0,0.0,-12913000,-34539000,0.0,0.0,0.0,0.0,155489000,117152000,128017000,-4172000.0,123845000,https://www.sec.gov/Archives/edgar/data/719220/000071922019000017/0000719220-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/719220/000071922019000017/stba-20181231x10k.htm
0,2017-12-31,STBA,2018-03-01,2018-03-01 15:09:15,FY,72968000,2498000.0,13832000,3008000.0,9310000.0,-2714000.0,0.0,1349000.0,0.0,609000.0,114236000,0.0,0.0,-156839000,146757000,2547000.0,0.0,-2412000.0,0.0,-689000.0,-28569000,0.0,0.0,0.0,0.0,117152000,139486000,114236000,-4694000.0,109542000,https://www.sec.gov/Archives/edgar/data/719220/000071922018000018/0000719220-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/719220/000071922018000018/stba-20171231x10k.htm
0,2016-12-31,STBA,2017-02-24,2017-02-23 18:03:14,FY,71392000,3628000.0,536000.0,2544000.0,-639000.0,-2409000.0,0.0,1715000.0,0.0,2189000.0,96796000,0.0,0.0,-113362000,99129000,-8784000.0,0.0,-102330000,0.0,-115000.0,-26784000,9000.0,0.0,0.0,0.0,139486000,99399000,96796000,-3560000.0,93236000,https://www.sec.gov/Archives/edgar/data/719220/000071922017000012/0000719220-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/719220/000071922017000012/stba-20161231x10k.htm
0,2015-12-31,STBA,2016-02-23,2016-02-22 18:50:20,FY,67081000,356000.0,-427000.0,1636000.0,-13035000,-2744000.0,0.0,-193000.0,0.0,-8031000.0,60584000,0.0,0.0,-74712000,61261000,9422000.0,0.0,-15899000,0.0,-182000.0,-24487000,-79000.0,0.0,0.0,0.0,99399000,109580000,60584000,-5133000.0,55451000,https://www.sec.gov/Archives/edgar/data/719220/000071922016000019/0000719220-16-000019-index.htm,https://www.sec.gov/Archives/edgar/data/719220/000071922016000019/stba-20151231x10k.htm
0,2014-12-31,STBA,2015-02-23,2015-02-20 20:28:47,FY,57910000,4703000.0,1520000.0,975000.0,9163000.0,-933000.0,0.0,-127000.0,0.0,-481000.0,78103000,0.0,0.0,-181213000,58510000,-1506000.0,0.0,-2367000.0,0.0,-163000.0,-20203000,-255000.0,0.0,0.0,0.0,109580000,108356000,78103000,-5079000.0,73024000,https://www.sec.gov/Archives/edgar/data/719220/000071922015000003/0000719220-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/719220/000071922015000003/stba-20141231x10k.htm
0,2013-12-31,STBA,2014-02-21,2014-02-21 17:23:30,FY,50539000,5333000.0,-2454000.0,687000.0,2629000.0,-130000.0,0.0,-2005000.0,0.0,21237000,86076000,0.0,0.0,-144752000,66838000,1685000.0,0.0,-57291000,0.0,-88000.0,-18137000,96000.0,0.0,0.0,0.0,108356000,337711000,86076000,-2833000.0,83243000,https://www.sec.gov/Archives/edgar/data/719220/000119312514063033/0001193125-14-063033-index.htm,https://www.sec.gov/Archives/edgar/data/719220/000119312514063033/d634400d10k.htm
0,2012-12-31,STBA,2013-02-25,2013-02-22 21:32:18,FY,34200000,7000000.0,1038000.0,913000.0,36469000,973000.0,0.0,-1376000.0,0.0,-18038000,83890000,0.0,0.0,-166786000,154179000,5700000.0,0.0,-15088000,1047000.0,-49000.0,-17357000,-30000.0,0.0,0.0,0.0,337711000,270526000,83890000,-2179000.0,81711000,https://www.sec.gov/Archives/edgar/data/719220/000119312513072185/0001193125-13-072185-index.htm,https://www.sec.gov/Archives/edgar/data/719220/000119312513072185/d448627d10k.htm
0,2011-12-31,STBA,2012-02-29,2012-02-28 19:13:05,FY,47264000,6323000.0,2448000.0,960000.0,-4253000.0,589000.0,0.0,-443000.0,0.0,0.0,73902000,0.0,0.0,-135447000,71388000,4149000.0,0.0,-1682000.0,1946000.0,-108740000,-21902000,-66000.0,0.0,0.0,0.0,270526000,108196000,73902000,-2531000.0,71371000,https://www.sec.gov/Archives/edgar/data/719220/000119312512086192/0001193125-12-086192-index.htm,https://www.sec.gov/Archives/edgar/data/719220/000119312512086192/d272218d10k.htm
0,2010-12-31,STBA,2011-03-16,2011-03-15 20:26:38,FY,43480000,6587000.0,-4537000.0,513000.0,18499000,0.0,0.0,-1678000.0,0.0,-1555000.0,88984000,0.0,0.0,-81713000,149539000,0.0,0.0,-117070000,3692000.0,0.0,-22117000,46000.0,0.0,0.0,0.0,108196000,69201000,88984000,-3469000.0,85515000,https://www.sec.gov/Archives/edgar/data/719220/000119312511067531/0001193125-11-067531-index.htm,https://www.sec.gov/Archives/edgar/data/719220/000119312511067531/d10k.htm
