,date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
0,2019-12-31,AFL,2020-02-21 00:00:00,2020-02-21 16:32:04,FY,18864000000,0.0,0.0,1.0,0.0,273000000,0.0,421000000,17665000000,17665000000,-200000000,0.0,4245000000,0.225032,4673000000,0.247721,0.0,4445000000,0.235634,1141000000,3304000000,0.175148,4.4264,4.4264,746430000,746430000,https://www.sec.gov/Archives/edgar/data/4977/000000497720000044/0000004977-20-000044-index.html,https://www.sec.gov/Archives/edgar/data/4977/000000497720000044/afl12311910k.htm
0,2018-12-31,AFL,2019-02-25 00:00:00,2019-02-25 17:04:08,FY,18746000000,0.0,0.0,0.4484787204706315,0.0,291000000,0.0,413000000,17634000000,17634000000,222000000,0.0,4187000000,0.223354,4205000000,0.224315,0.0,3983000000,0.212472,1045000000,2920000000,0.155767,3.76944,3.76944,774650000,774650000,https://www.sec.gov/Archives/edgar/data/4977/000000497719000049/0000004977-19-000049-index.html,https://www.sec.gov/Archives/edgar/data/4977/000000497719000049/afl12311810k.htm
0,2017-12-31,AFL,2018-02-23 00:00:00,2018-02-22 21:55:11,FY,18626000000,0.0,0.0,0.43780864909770617,0.0,285000000,0.0,377000000,17446000000,17446000000,240000000,0.0,6191000000,0.332385,4258000000,0.228605,0.0,4018000000,0.21572,1347000000,4604000000,0.247181,5.77044,5.77044,797860000,797860000,https://www.sec.gov/Archives/edgar/data/4977/000000497718000054/0000004977-18-000054-index.html,https://www.sec.gov/Archives/edgar/data/4977/000000497718000054/afl12311710k.htm
0,2016-12-31,AFL,2017-02-24 00:00:00,2017-02-24 13:23:26,FY,19619000000,0.0,0.0,0.427323906201516,0.0,299000000,0.0,344000000,18307000000,18307000000,268000000,0.0,4335000000,0.220959,4335000000,0.220959,0.0,4067000000,0.207299,1408000000,2659000000,0.135532,3.21197,3.21197,827842000,827842000,https://www.sec.gov/Archives/edgar/data/4977/000000497717000064/0000004977-17-000064-index.html,https://www.sec.gov/Archives/edgar/data/4977/000000497717000064/afl12311610k.htm
0,2015-12-31,AFL,2016-02-25 00:00:00,2016-02-25 17:29:29,FY,17900000000,0.0,0.0,0.43723648907627444,0.0,276000000,0.0,392000000,16874000000,16874000000,289000000,0.0,4151000000,0.231899,4151000000,0.231899,0.0,3862000000,0.215754,1329000000,2533000000,0.141508,2.92378,2.92378,866344000,866344000,https://www.sec.gov/Archives/edgar/data/4977/000000497716000259/0000004977-16-000259-index.html,https://www.sec.gov/Archives/edgar/data/4977/000000497716000259/afl12311510k.htm
0,2014-12-31,AFL,2015-02-26,2015-02-26 17:22:44,FY,19409000000,0.0,0.0,0.43079021471312917,0.0,297000000,0.0,178000000,17951000000,17951000000,317000000,0.0,4808000000,0.24772,4808000000,0.24772,0.0,4491000000,0.231388,1540000000,2951000000,0.152043,3.25,3.25,908000000,908000000,https://www.sec.gov/Archives/edgar/data/4977/000000497715000071/afl12311410k.htm,https://www.sec.gov/Archives/edgar/data/4977/000000497715000071/afl12311410k.htm
0,2013-12-31,AFL,2014-02-27,2014-02-27 17:18:49,FY,20509000000,0.0,0.0,0.4229917707506579,0.0,306000000,0.0,193000000,19029000000,19029000000,293000000,0.0,5109000000,0.24911,5109000000,0.24911,0.0,4816000000,0.234824,1658000000,3158000000,0.153981,3.37754,3.37754,935000000,935000000,https://www.sec.gov/Archives/edgar/data/4977/000000497714000052/afl12311310k.htm,https://www.sec.gov/Archives/edgar/data/4977/000000497714000052/afl12311310k.htm
0,2012-12-31,AFL,2013-02-27 00:00:00,2013-02-26 17:57:39,FY,22714000000,0.0,0.0,0.3956000630815329,0.0,0.0,0.0,2610000000,21778000000,21778000000,261000000,0.0,4563000000,0.200889,4563000000,0.200889,0.0,4302000000,0.189399,1436000000,2866000000,0.126178,3.05218,3.05218,939000000,939000000,https://www.sec.gov/Archives/edgar/data/4977/000000497713000030/0000004977-13-000030-index.html,https://www.sec.gov/Archives/edgar/data/4977/000000497713000030/afl12311210k.htm
0,2011-12-31,AFL,2012-02-27 00:00:00,2012-02-27 17:15:21,FY,21037000000,0.0,0.0,0.3798655901853773,0.0,0.0,0.0,2407000000,20884000000,20884000000,196000000,0.0,3188000000,0.151543,3188000000,0.151543,0.0,2992000000,0.142226,1028000000,1964000000,0.093359,2.09159,2.09159,939000000,939000000,https://www.sec.gov/Archives/edgar/data/4977/000119312512081967/0001193125-12-081967-index.html,https://www.sec.gov/Archives/edgar/data/4977/000119312512081967/d270225d10k.htm
0,2010-12-31,AFL,2011-02-25,2011-02-25 17:16:27,FY,18185000000,0.0,0.0,0.4160717731043797,0.0,0.0,0.0,2225000000,17457000000,17457000000,149000000,0.0,3734000000,0.205334,3734000000,0.205334,0.0,3585000000,0.197141,1241000000,2344000000,0.128897,2.4778,2.4778,946000000,946000000,https://www.sec.gov/Archives/edgar/data/4977/000119312511047639/d10k.htm,https://www.sec.gov/Archives/edgar/data/4977/000119312511047639/d10k.htm
0,2009-12-31,AFL,2010-02-26 00:00:00,2010-02-26 17:24:33,FY,16850000000,0.0,0.0,1.0,0.0,0.0,0.0,2129000000,17308000000,17308000000,-73000000,0.0,2162000000,0.128309,2307000000,0.136914,0.0,2235000000,0.132641,738000000,1497000000,0.088843,1.59595,1.59595,938000000,938000000,https://www.sec.gov/Archives/edgar/data/4977/000119312510043173/0001193125-10-043173-index.html,https://www.sec.gov/Archives/edgar/data/4977/000119312510043173/d10k.htm
0,2008-12-31,AFL,2009-02-20 00:00:00,2009-02-20 06:26:14,FY,14983000000,0.0,0.0,1.0,0.0,0.0,0.0,1877000000,14611000000,14611000000,-26000000,0.0,1888000000,0.126009,1943000000,0.12968,0.0,1914000000,0.127745,660000000,1254000000,0.083695,1.30898,1.30898,958000000,958000000,https://www.sec.gov/Archives/edgar/data/4977/000095014409001463/0000950144-09-001463-index.html,https://www.sec.gov/Archives/edgar/data/4977/000095014409001463/g17619e10vk.htm
0,2007-12-31,AFL,2008-02-29,2008-02-28 17:44:03,FY,13032000000,0.0,0.0,1.0,0.0,0.0,0.0,1611000000,12867000000,12867000000,-21000000,0.0,2478000000,0.190147,2526000000,0.193831,0.0,2499000000,0.191759,865000000,1634000000,0.125384,1.65385,1.65385,988000000,988000000,https://www.sec.gov/Archives/edgar/data/4977/000095014408001495/g11443e10vk.htm,https://www.sec.gov/Archives/edgar/data/4977/000095014408001495/g11443e10vk.htm
0,2006-12-31,AFL,2007-02-28,2007-02-28 17:09:18,FY,12366000000,0.0,0.0,1.0,0.0,0.0,0.0,1440000000,12333000000,12333000000,-17000000,0.0,2247000000,0.181708,2283000000,0.184619,0.0,2264000000,0.183083,781000000,1483000000,0.119926,1.47709,1.47709,1004000000,1004000000,https://www.sec.gov/Archives/edgar/data/4977/000110465907015014/a07-4920_110k.htm,https://www.sec.gov/Archives/edgar/data/4977/000110465907015014/a07-4920_110k.htm
0,2005-12-31,AFL,2006-02-28,2006-02-28 17:05:38,FY,12030000000,0.0,0.0,1.0,0.0,0.0,0.0,1380000000,12114000000,12114000000,-20000000,0.0,2206000000,0.183375,2249000000,0.186949,0.0,2226000000,0.185037,743000000,1483000000,0.123275,1.46108,1.46108,1015000000,1015000000,https://www.sec.gov/Archives/edgar/data/4977/000000497706000036/afl10k05.htm,https://www.sec.gov/Archives/edgar/data/4977/000000497706000036/afl10k05.htm
0,2004-12-31,AFL,2005-03-10,2005-03-10 15:21:29,FY,11336000000,0.0,0.0,1.0,0.0,0.0,0.0,1198000000,11451000000,11451000000,-20000000,0.0,1787000000,0.157639,1830000000,0.161433,0.0,1807000000,0.159404,508000000,1299000000,0.114591,1.2575,1.2575,1033000000,1033000000,https://www.sec.gov/Archives/edgar/data/4977/000000497705000049/afl10k04.htm,https://www.sec.gov/Archives/edgar/data/4977/000000497705000049/afl10k04.htm
0,2003-12-31,AFL,2004-03-11,2004-03-11 15:10:03,FY,9961000000,0.0,0.0,1.0,0.0,0.0,0.0,1061000000,10200000000,10200000000,-19000000,0.0,1206000000,0.121072,1247000000,0.125188,0.0,1225000000,0.12298,430000000,795000000,0.079811,0.76149,0.76149,1044000000,1044000000,https://www.sec.gov/Archives/edgar/data/4977/000000497704000030/afl10k03.htm,https://www.sec.gov/Archives/edgar/data/4977/000000497704000030/afl10k03.htm
0,2002-12-31,AFL,2003-03-27,2003-03-27 16:54:05,FY,8657000000,0.0,0.0,1.0,0.0,0.0,0.0,967000000,8978000000,8978000000,-16000000,0.0,1243000000,0.143583,1279000000,0.147742,0.0,1259000000,0.145431,438000000,821000000,0.094837,0.77673,0.77673,1057000000,1057000000,https://www.sec.gov/Archives/edgar/data/4977/000000497703000098/k02.htm,https://www.sec.gov/Archives/edgar/data/4977/000000497703000098/k02.htm
0,2001-12-31,AFL,2002-03-27,2002-03-27 00:00:00,FY,8079000000,0.0,0.0,1.0,0.0,0.0,0.0,861000000,8498000000,8498000000,-16000000,0.0,1065000000,0.131823,1100000000,0.136155,0.0,1081000000,0.133804,394000000,687000000,0.085035,0.63907,0.63907,1075000000,1075000000,https://www.sec.gov/Archives/edgar/data/4977/000000497702000065/k01edg.htm,https://www.sec.gov/Archives/edgar/data/4977/000000497702000065/k01edg.htm
0,2000-12-31,AFL,2001-03-28 00:00:00,2001-03-28 00:00:00,FY,8272000000,0.0,0.0,0.0,0.0,0.0,0.0,830000000,8689000000,8689000000,-19000000,0.0,993000000,0.120044,1031000000,0.124637,0.0,1012000000,0.12234,325000000,687000000,0.083051,0.63028,0.63028,1090000000,1090000000,https://www.sec.gov/Archives/edgar/data/4977/000000497701500045/0000004977-01-500045-index.html,https://www.sec.gov/Archives/edgar/data/4977/000000497701500045/k00edg.txt
0,1999-12-31,AFL,,,FY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,771000000,7844000000,7844000000,-18000000,0.0,760000000,0.0,796000000,0.0,0.0,778000000,0.0,207000000,571000000,0.0,0.51815,0.51815,1102000000,1102000000,,
0,1998-12-31,AFL,,,FY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,689000000,6540000000,6540000000,-13000000,43000000,581000000,0.0,564000000,0.0,0.0,551000000,0.0,64000000,487000000,0.0,0.44152,0.44152,1103000000,1103000000,,
