,date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
0,2018-09-30,ECYT,2018-11-08 00:00:00,2018-11-08 12:22:46,Q3,67268340,276942151,344210491,0.0,0.0,7100863.0,351311354,1556314.0,0.0,0.0,0.0,0.0,0.0,2336637.0,3892951.0,2336637000,355204305,1095064.0,332945.0,0.0,400000.0,5846758.0,7674767.0,1512346000,332945.0,332945.0,0.0,665890.0,0.0,8007712.0,81323.0,-341389943,-22684.0,688527897,347196593,355204305,276942151,332945.0,-66935395,https://www.sec.gov/Archives/edgar/data/1235007/000155837018008940/0001558370-18-008940-index.html,https://www.sec.gov/Archives/edgar/data/1235007/000155837018008940/ecyt-20180930x10q.htm
0,2018-06-30,ECYT,2018-08-01 00:00:00,2018-08-01 12:02:13,Q2,25044956,141747724,166792680,0.0,0.0,1768549.0,168561229,1745806.0,0.0,0.0,0.0,0.0,0.0,1861770.0,3607576.0,1861770000,172168805,1323324.0,348800.0,0.0,348800000,4281704.0,5953828.0,1053650000,348800.0,348800.0,0.0,697600.0,0.0,6302628.0,69996.0,-328782418,-34324.0,494612923,165866177,172168805,141747724,348800.0,-24696156,https://www.sec.gov/Archives/edgar/data/1235007/000155837018006046/0001558370-18-006046-index.html,https://www.sec.gov/Archives/edgar/data/1235007/000155837018006046/ecyt-20180630x10q.htm
0,2018-03-31,ECYT,2018-05-09 00:00:00,2018-05-09 13:58:24,Q1,89831744,83292883,173124627,0.0,0.0,1431810.0,174556437,1942852.0,0.0,0.0,0.0,0.0,0.0,178941.0,2121793.0,178941000,176678230,1414607.0,363266.0,0.0,363266000,2835204.0,4613077.0,1007396000,363266.0,363266.0,0.0,726532.0,0.0,4976343.0,69428.0,-317217775,-79143.0,488929377,171701887,176678230,83292883,363266.0,-89468478,https://www.sec.gov/Archives/edgar/data/1235007/000155837018004450/0001558370-18-004450-index.html,https://www.sec.gov/Archives/edgar/data/1235007/000155837018004450/ecyt-20180331x10q.htm
0,2017-12-31,ECYT,2018-02-27 00:00:00,2018-02-27 15:52:16,Q4,18559130,78912297,97471427,0.0,0.0,1101376.0,98572803,2182399.0,0.0,0.0,0.0,0.0,0.0,7067.0,2189466.0,7067000.0,100762269,376394.0,0.0,2274000.0,800000.0,1095786.0,4546180.0,689985000,731944.0,166000.0,0.0,897944.0,0.0,5278124.0,48204.0,-308954535,-64433.0,404454909,95484145,100762269,78912297,689985000,-18559130,https://www.sec.gov/Archives/edgar/data/1235007/000155837018001164/0001558370-18-001164-index.html,https://www.sec.gov/Archives/edgar/data/1235007/000155837018001164/ecyt-20171231x10k.htm
0,2017-09-30,ECYT,2017-11-07 00:00:00,2017-11-07 16:24:35,Q3,47178505,55901729,103080234,0.0,0.0,1312320.0,104392554,2445550.0,0.0,0.0,0.0,0.0,0.0,7067.0,2452617.0,7067000.0,106845171,395046.0,0.0,0.0,800000.0,3152215.0,4347261.0,1360587000,744444.0,0.0,0.0,744444.0,0.0,5091705.0,47860.0,-300390516,-4560.0,402100682,101753466,106845171,55901729,1360587000,-47178505,https://www.sec.gov/Archives/edgar/data/1235007/000155837017008397/0001558370-17-008397-index.html,https://www.sec.gov/Archives/edgar/data/1235007/000155837017008397/ecyt-20170930x10q.htm
0,2017-06-30,ECYT,2017-08-09 00:00:00,2017-08-09 12:33:22,Q2,64928530,53466599,118395129,0.0,0.0,922582.0,119317711,2615392.0,0.0,0.0,0.0,0.0,0.0,7067.0,2622459.0,7067000.0,121940170,1235016.0,0.0,0.0,800000.0,3204133.0,5239149.0,1792635000,756944.0,0.0,0.0,756944.0,0.0,5996093.0,42575.0,-277123698,-34863.0,393060063,115944077,121940170,53466599,1792635000,-64928530,https://www.sec.gov/Archives/edgar/data/1235007/000155837017006373/0001558370-17-006373-index.html,https://www.sec.gov/Archives/edgar/data/1235007/000155837017006373/ecyt-20170630x10q.htm
0,2017-03-31,ECYT,2017-05-10 00:00:00,2017-05-10 13:01:16,Q1,33660918,93901236,127562154,0.0,0.0,1814722.0,129376876,2982871.0,0.0,0.0,0.0,0.0,0.0,27067.0,3009938.0,27067000,132386814,1546612.0,0.0,0.0,800000.0,2568781.0,4915393.0,1207887000,769444.0,0.0,0.0,769444.0,0.0,5684837.0,42471.0,-265378970,-53877.0,392092353,126701977,132386814,93901236,1207887000,-33660918,https://www.sec.gov/Archives/edgar/data/1235007/000155837017004091/0001558370-17-004091-index.html,https://www.sec.gov/Archives/edgar/data/1235007/000155837017004091/ecyt-20170331x10q.htm
0,2016-12-31,ECYT,2017-03-13 00:00:00,2017-03-13 16:20:49,Q4,31228192,106979224,138207416,0.0,0.0,2048294.0,140255710,3205077.0,0.0,0.0,0.0,0.0,0.0,33567.0,3238644.0,33567000,143494354,1381545.0,0.0,3405000.0,800000.0,-24371.0,5562174.0,861293000,781944.0,337000.0,2873.0,1121817.0,0.0,6346991.0,42378.0,-253622561,-41196.0,390768742,137147363,143494354,106979224,861293000,-31228192,https://www.sec.gov/Archives/edgar/data/1235007/000155837017001674/0001558370-17-001674-index.html,https://www.sec.gov/Archives/edgar/data/1235007/000155837017001674/ecyt-20161231x10k.htm
0,2016-09-30,ECYT,2016-11-09 00:00:00,2016-11-09 17:14:03,Q3,34732782,111983789,146716571,0.0,0.0,1823983.0,148540554,3396163.0,0.0,0.0,0.0,0.0,0.0,49428.0,3445591.0,49428000,151986145,1516856.0,0.0,0.0,800000.0,2234340.0,4551196.0,902294000,794444.0,0.0,7178.0,801622.0,0.0,5352818.0,42268.0,-242557784,31640.0,389117203,146633327,151986145,111983789,902294000,-34732782,https://www.sec.gov/Archives/edgar/data/1235007/000155837016009855/0001558370-16-009855-index.html,https://www.sec.gov/Archives/edgar/data/1235007/000155837016009855/ecyt-20160930x10q.htm
0,2016-06-30,ECYT,2016-08-05,2016-08-05 14:12:52,Q2,26588400,128020599,154608999,0.0,0.0,1230442.0,155839441,3506192.0,0.0,0.0,0.0,0.0,0.0,61496.0,3567688.0,61496000,159407129,1360079.0,0.0,0.0,900000.0,2284017.0,4544096.0,885220000,806944.0,0.0,11483.0,818427.0,0.0,5362523.0,42253.0,-233850388,96246.0,387756495,154044606,159407129,128020599,885220000,-26588400,https://www.sec.gov/Archives/edgar/data/1235007/000155837016007512/0001558370-16-007512-index.htm,https://www.sec.gov/Archives/edgar/data/1235007/000155837016007512/ecyt-20160630x10q.htm
