,date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
0,2020-09-30,WVE,2020-11-09,2020-11-09 08:00:06,Q3,216363000,0.0,216363000,30000000,0.0,12067000,258430000,31116000,0.0,0.0,0.0,0.0,0.0,0.0,31116000,0.0,51631000,9699000.0,3591000.0,0.0,86192000,10182000,109664000,0.0,0.0,0.0,0.0,0.0,0.0,84282000,0.0,0.0,301000.0,107940000,108241000,51631000,0.0,3591000.0,-212772000,https://www.sec.gov/Archives/edgar/data/1631574/000156459020052211/0001564590-20-052211-index.htm,https://www.sec.gov/Archives/edgar/data/1631574/000156459020052211/wve-10q_20200930.htm
0,2020-06-30,WVE,2020-08-10,2020-08-10 07:46:42,Q2,94054000,0.0,94054000,46298000,0.0,6482000.0,146834000,50297000,0.0,0.0,0.0,0.0,0.0,6820000.0,57117000,6850000.0,203951000,13910000,3473000.0,0.0,84849000,84849000,110452000,0.0,61081000,61081000,90114000,90114000,90114000,200566000,551543000,-621380000,556000.0,278000.0,3385000.0,203951000,0.0,3473000.0,-94054000,https://www.sec.gov/Archives/edgar/data/1631574/000156459020038620/0001564590-20-038620-index.htm,https://www.sec.gov/Archives/edgar/data/1631574/000156459020038620/wve-10q_20200630.htm
0,2020-03-31,WVE,2020-05-11,2020-05-11 07:50:20,Q1,120949000,0.0,120949000,18739000,0.0,10103000,149791000,52645000,0.0,0.0,0.0,0.0,0.0,6136000.0,88781000,6240000.0,238572000,16486000,3357000.0,0.0,88044000,88044000,118881000,0.0,0.0,0.0,90959000,90959000,90959000,209840000,540161000,-580852000,546000.0,273000.0,28732000,238572000,0.0,3357000.0,-120949000,https://www.sec.gov/Archives/edgar/data/1631574/000156459020023860/0001564590-20-023860-index.htm,https://www.sec.gov/Archives/edgar/data/1631574/000156459020023860/wve-10q_20200331.htm
0,2019-12-31,WVE,2020-03-02,2020-03-02 07:45:26,Q4,147161000,0.0,147161000,20000000,0.0,18315000,185476000,54469000,0.0,0.0,0.0,0.0,0.0,14305000,98774000,22994000,284250000,9073000.0,3243000.0,16700000,89652000,89652000,118153000,0.0,63466000,63466000,94491000,94491000,94491000,212644000,539547000,-533359000,534000.0,267000.0,71606000,284250000,0.0,3243000.0,-147161000,https://www.sec.gov/Archives/edgar/data/1631574/000156459020007972/0001564590-20-007972-index.htm,https://www.sec.gov/Archives/edgar/data/1631574/000156459020007972/wve-10k_20191231.htm
0,2019-09-30,WVE,2019-11-05,2019-11-05 16:33:01,Q3,209009000,0.0,209009000,20000000,0.0,21249000,250258000,55731000,0.0,0.0,0.0,0.0,0.0,11223000,96954000,11223000,347212000,20219000,3132000.0,0.0,96322000,96322000,133411000,0.0,59196000,59196000,91154000,91154000,91154000,224565000,538790000,-476589000,564000.0,282000.0,122647000,347212000,0.0,3132000.0,-209009000,https://www.sec.gov/Archives/edgar/data/1631574/000156459019040431/0001564590-19-040431-index.htm,https://www.sec.gov/Archives/edgar/data/1631574/000156459019040431/wve-10q_20190930.htm
0,2019-06-30,WVE,2019-08-06,2019-08-06 16:30:47,Q2,252906000,0.0,252906000,20000000,0.0,16685000,289591000,57300000,0.0,0.0,0.0,0.0,0.0,8656000.0,95956000,8656000.0,385547000,11464000,3024000.0,0.0,97964000,97964000,124084000,0.0,60483000,60483000,93365000,93365000,93365000,217449000,538537000,-425863000,560000.0,280000.0,168098000,385547000,0.0,3024000.0,-252906000,https://www.sec.gov/Archives/edgar/data/1631574/000156459019029396/0001564590-19-029396-index.htm,https://www.sec.gov/Archives/edgar/data/1631574/000156459019029396/wve-10q_20190630.htm
0,2019-03-31,WVE,2019-05-10,2019-05-10 16:02:30,Q1,287567000,0.0,287567000,10000000,0.0,17464000,315031000,59262000,0.0,0.0,0.0,0.0,0.0,6319000.0,115581000,6319000.0,430612000,14577000,2919000.0,0.0,105891000,105891000,131877000,0.0,60184000,60184000,94005000,94005000,94005000,225882000,538414000,-383921000,500000.0,250000.0,204730000,430612000,0.0,2919000.0,-287567000,https://www.sec.gov/Archives/edgar/data/1631574/000156459019018521/0001564590-19-018521-index.htm,https://www.sec.gov/Archives/edgar/data/1631574/000156459019018521/wve-10q_20190331.htm
0,2018-12-31,WVE,2019-03-01,2019-03-01 09:26:55,Q4,174819000,0.0,174819000,10000000,0.0,17454000,202273000,39931000,0.0,0.0,0.0,0.0,0.0,3736000.0,93667000,3736000.0,295940000,13089000,1156000.0,10219000,100945000,102216000,130041000,0.0,5132000.0,68156000,84677000,84677000,84677000,214718000,375148000,-339721000,306000.0,153000.0,81222000,295940000,0.0,1156000.0,-174819000,https://www.sec.gov/Archives/edgar/data/1631574/000156459019005671/0001564590-19-005671-index.htm,https://www.sec.gov/Archives/edgar/data/1631574/000156459019005671/wve-10k_20181231.htm
0,2018-09-30,WVE,2018-11-09,2018-11-09 07:57:35,Q3,210489000,0.0,210489000,10000000,0.0,12672000,233161000,37722000,0.0,0.0,0.0,0.0,0.0,3694000.0,91416000,3694000.0,324577000,11961000,997000.0,0.0,103229000,104316000,125795000,0.0,5084000.0,69494000,84302000,84302000,84302000,210097000,374502000,-301834000,362000.0,181000.0,114480000,324577000,0.0,997000.0,-210489000,https://www.sec.gov/Archives/edgar/data/1631574/000156459018028757/0001564590-18-028757-index.htm,https://www.sec.gov/Archives/edgar/data/1631574/000156459018028757/wve-10q_20180930.htm
0,2018-06-30,WVE,2018-08-09,2018-08-09 16:07:07,Q2,241400000,0.0,241400000,15000000,0.0,11300000,267700000,32400000,0.0,0.0,0.0,0.0,0.0,3700000.0,86000000,3700000.0,353700000,7200000.0,762000.0,0.0,27294000,28100000,43800000,0.0,4864000.0,149921000,162800000,162800000,162800000,206600000,373200000,-264200000,400000.0,200000.0,147200000,353700000,0.0,762000.0,-241400000,https://www.sec.gov/Archives/edgar/data/1631574/000156459018021038/0001564590-18-021038-index.htm,https://www.sec.gov/Archives/edgar/data/1631574/000156459018021038/wve-10q_20180630.htm
