,date,symbol,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2020-09-30,CNCE,2020-11-05,2020-11-05 06:07:01,Q3,-18908000,403000.0,0.0,2895000.0,-15967000,-80000.0,0.0,-86000.0,129000000,0.0,0.0,-59000.0,0.0,-11518000,0.0,0.0,26853000,0.0,0.0,0.0,0.0,0.0,13000.0,0.0,6581000.0,34832000,28251000,0.0,59000.0,-59000.0,https://www.sec.gov/Archives/edgar/data/1367920/000136792020000055/0001367920-20-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1367920/000136792020000055/cnce-20200930.htm
0,2020-06-30,CNCE,2020-08-06,2020-08-06 07:21:06,Q2,-12991000.000000004,397000.0000000001,0.0,2804000.0,-10157000,-49000.0,0.0,-1092000.0,144967000,3138000.0,-14690000.000000002,-14000.0,0.0,-51735000,47345000,0.0,-4404000.000000004,0.0,0.0,109000.00000000004,0.0,-45970000,109000.00000000888,0.0,-18985000,27094000,46079000,-14690000.000000002,-13999.999999999998,-14704000.000000002,https://www.sec.gov/Archives/edgar/data/1367920/000136792020000039/0001367920-20-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1367920/000136792020000039/cnce-20200630.htm
0,2020-03-31,CNCE,2020-04-30 00:00:00,2020-04-30 07:27:13,Q1,-20477000,408000.0,0.0,2477000.0,55537000,71000.0,0.0,563000.0,155124000,4854000.0,-17834000,-112000.0,0.0,-93417000,33900000,0.0,-59629000,0.0,70064000,435000.0,0.0,46514000,70499000,0.0,-6964000.0,46079000,53043000,-17834000,-112000.0,-17946000,https://www.sec.gov/Archives/edgar/data/1367920/000136792020000022/0001367920-20-000022-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000136792020000022/q1202010-q.htm
0,2019-12-31,CNCE,2020-02-27 00:00:00,2020-02-27 07:24:39,Q4,-20486999.999999996,407999.9999999999,0.0,2615000.0,-17775000,-61000.0,0.0,-424000.0,99587000,2625999.9999999995,-15076000,-165000.0,0.0,-4510000.0,39399000,-1000.0,34723000,6000.0,-174000.0,12000.00000000001,0.0,185000.0,12000.00000000001,0.0,19659000.000000004,53043000,33384000,-15076000,-165000.00000000003,-15241000,https://www.sec.gov/Archives/edgar/data/1367920/000136792020000013/0001367920-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000136792020000013/cnce201910-k.htm
0,2019-09-30,CNCE,2019-11-07 00:00:00,2019-11-07 07:06:31,Q3,-17185000.000000004,407000.00000000006,0.0,2420000.0,-20550000,27000.0,0.0,715000.0,117362000,1851000.0,-15660000.000000004,-48000.0,0.0,-44118000,49130000,0.0,4963999.999999999,9000.0,174000.0,209999.99999999997,0.0,192000.0,366000.0000000001,0.0,-10329999.999999998,33384000.000000004,43714000,-15660000.000000004,-48000.00000000004,-15708000.000000004,https://www.sec.gov/Archives/edgar/data/1367920/000136792019000057/0001367920-19-000057-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000136792019000057/q3201910-q.htm
0,2019-06-30,CNCE,2019-08-01,2019-08-01 07:38:55,Q2,-18668000,404999.99999999994,0.0,2362000.0,-15957000,-27000.0,0.0,-987000.0,137912000,2229000.0,-16686999.999999998,-157000.0,0.0,-36618000,36855000,741000.0,820999.999999998,19000.0,0.0,-575999.9999999998,0.0,-60203000,-681999.9999999999,0.0,-16548000,43714000,60262000,-16686999.999999998,-156999.99999999997,-16843999.999999996,https://www.sec.gov/Archives/edgar/data/1367920/000136792019000042/q2201910-q.htm,https://www.sec.gov/Archives/edgar/data/1367920/000136792019000042/q2201910-q.htm
0,2019-03-31,CNCE,2019-05-02 00:00:00,2019-05-02 07:26:07,Q1,-21826000,444000.0,0.0,2929000.0,-17531000,4000.0,0.0,479000.0,153869000,4987000.0,-1338000.0,-315000.0,0.0,-13331000,55721000,0.0,42075000,425000.0,0.0,1805000.0,0.0,62017000,1755000.0,0.0,42492000,60262000,17770000,-1338000.0,-315000.0,-1653000.0,https://www.sec.gov/Archives/edgar/data/1367920/000136792019000032/0001367920-19-000032-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000136792019000032/q1201910-q.htm
0,2018-12-31,CNCE,2019-02-28 00:00:00,2019-02-28 07:22:53,Q4,-20849000.000000004,372000.0000000001,0.0,2666000.0,-17316000,-36000.0,0.0,-22000.0,171400000,3854000.0,-15614000.000000004,-464000.0,0.0,-53315000,47063000,0.0,-6716000.000000001,73000.0,0.0,103000.00000000001,0.0,103000.0,103000.00000000001,0.0,-22227000,17370000,39597000,-15614000.000000004,-464000.0000000004,-16078000.000000004,https://www.sec.gov/Archives/edgar/data/1367920/000136792019000009/0001367920-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000136792019000009/cnce201810-k.htm
0,2018-09-30,CNCE,2018-11-01 00:00:00,2018-11-01 07:33:47,Q3,-17374999.999999996,375000.0,0.0,2731000.0,-14084000,25000.0,0.0,274000.0,188716000,3124000.0,-11215000,-884000.0,0.0,-36691000,30000000,0.0,-7581000.000000003,0.0,0.0,27999.99999999997,0.0,23000.0,27999.99999999997,0.0,-18768000,39632000,58400000,-11215000,-904999.9999999998,-12120000,https://www.sec.gov/Archives/edgar/data/1367920/000136792018000037/0001367920-18-000037-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000136792018000037/q3201810-q.htm
0,2018-06-30,CNCE,2018-08-02 00:00:00,2018-08-02 07:30:46,Q2,-13300000,200000.0,0.0,2804000.0,-10100000,124000.0,0.0,-53000.0,202800000,1899999.9999999995,-8700000.0,-1196000.0,0.0,-2694000.0,35030000,1206000.0,32400000.000000007,0.0,0.0,-1000000.0,0.0,-35455000,-1000000.0,0.0,22700000,58400000,35700000,-8700000.0,-1200000.0,-9900000.0,https://www.sec.gov/Archives/edgar/data/1367920/000136792018000032/0001367920-18-000032-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000136792018000032/q2201810-q.htm
0,2018-03-31,CNCE,2018-05-03 00:00:00,2018-05-03 07:33:29,Q1,-4500000.0,300000.0,0.0,3299000.0,13600000,6000.0,0.0,236000.0,212900000,-6100000.0,-12500000,-325000.0,0.0,-7941000.0,28114000,0.0,19800000,50000.0,0.0,700000.0,0.0,36366000,700000.0,0.0,8000000.0,35700000,27700000,-12500000,-300000.0,-12800000,https://www.sec.gov/Archives/edgar/data/1367920/000136792018000023/0001367920-18-000023-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000136792018000023/q1201810-q.htm
0,2017-12-31,CNCE,2018-03-01 00:00:00,2018-03-01 07:34:39,Q4,-6100000.000000008,300000.00000000006,0.0,2787000.0,-3000000.0,-126000.0,0.0,177000.0,199300000,2700000.0,-6300000.000000011,-294000.0,0.0,-25221000,24390000,0.0,-1099999.9999999944,1900000.0,0.0,4199999.999999999,0.0,-274000.0,4200000.0,0.0,-3299999.999999999,28900000,32200000,-6300000.000000011,-200000.00000000006,-6500000.000000011,https://www.sec.gov/Archives/edgar/data/1367920/000136792018000012/0001367920-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000136792018000012/cnce201710-k.htm
0,2017-09-30,CNCE,2017-11-09 00:00:00,2017-11-09 07:33:02,Q3,128100000,199999.99999999997,0.0,2497000.0,102200000,265000.0,0.0,-519000.0,202300000,4000000.0,133900000,-424000.0,0.0,-116067000,16874000,0.0,-99600000,-1065000.0,0.0,899999.9999999999,0.0,-24233000,-29800000,0.0,4600000.0,32200000,27600000,133900000,-499999.99999999994,133400000,https://www.sec.gov/Archives/edgar/data/1367920/000136792017000086/0001367920-17-000086-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000136792017000086/q3201710-q.htm
0,2017-06-30,CNCE,2017-08-08 00:00:00,2017-08-08 07:09:03,Q2,-13099999.999999998,300000.0,0.0,1573000.0,18600000,-260000.0,0.0,-528000.0,100100000,1600000.0,-10400000,-79000.0,0.0,-35295000,15250000,0.0,-20200000.000000004,-29680000,0.0,399999.9999999999,0.0,59162000,30000000,0.0,-599999.9999999997,27500000,28100000,-10400000,0.0,-10400000,https://www.sec.gov/Archives/edgar/data/1367920/000136792017000070/0001367920-17-000070-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000136792017000070/q2201710-q.htm
0,2017-03-31,CNCE,2017-05-02 00:00:00,2017-05-02 07:38:23,Q1,-13300000,200000.0,0.0,1643000.0,-10600000,14000.0,0.0,983000.0,81500000,1600000.0,-13100000,-150000.0,0.0,-29624000,29333000,0.0,-400000.0,0.0,0.0,1100000.0,0.0,29245000,1100000.0,0.0,-12400000,28200000,40600000,-13100000,-200000.0,-13300000,https://www.sec.gov/Archives/edgar/data/1367920/000136792017000032/0001367920-17-000032-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000136792017000032/q1201710-q.htm
0,2016-12-31,CNCE,2017-03-06 00:00:00,2017-03-06 07:26:15,Q4,-12000000,200000.00000000006,0.0,1236000.0,-10800000,-14000.0,0.0,-910000.0,92100000,1299999.9999999998,-11500000,-475000.0,0.0,-5559000.0,27975000,0.0,22000000,0.0,601000.0,300000.0,0.0,10459000,300000.0,0.0,10700000.000000004,40500000,29800000,-11500000,-500000.0,-12000000,https://www.sec.gov/Archives/edgar/data/1367920/000136792017000009/0001367920-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000136792017000009/cnce201610-k.htm
0,2016-09-30,CNCE,2016-11-08 00:00:00,2016-11-08 07:35:46,Q3,-11400000.000000002,299999.99999999994,0.0,1262000.0,-10200000,120000.0,0.0,-947000.0,102900000,1299999.9999999998,-10199999.999999996,-64000.0,0.0,-50879000,37313000,0.0,-13700000,0.0,0.0,99999.99999999999,0.0,-23794000,99999.99999999999,0.0,-23800000.000000004,29899999.999999996,53700000,-10199999.999999996,-99999.99999999999,-10299999.999999996,https://www.sec.gov/Archives/edgar/data/1367920/000136792016000052/0001367920-16-000052-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000136792016000052/q3201610-q.htm
0,2016-06-30,CNCE,2016-08-09 00:00:00,2016-08-09 08:11:18,Q2,-13400000,200000.0,0.0,1287000.0,-12000000,19000.0,0.0,1631000.0,113100000,1400000.0,-9100000.000000002,-139000.0,0.0,-4008000.0,29018000,0.0,24900000,0.0,0.0,0.0,0.0,15893000,0.0,0.0,15800000.000000004,53600000.00000001,37800000,-9100000.000000002,-100000.0,-9200000.000000002,https://www.sec.gov/Archives/edgar/data/1367920/000136792016000039/0001367920-16-000039-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000136792016000039/q2201610-q.htm
0,2016-03-31,CNCE,2016-05-05 00:00:00,2016-05-05 07:07:59,Q1,-13900000,200000.0,0.0,1282000.0,-12400000,-82000.0,0.0,270000.0,125100000,1300000.0,-14500000,-92000.0,0.0,-71898000,31595000,0.0,-40400000,85000.0,0.0,200000.0,0.0,37997000,200000.0,0.0,-54700000,37800000,92500000,-14500000,-100000.0,-14600000,https://www.sec.gov/Archives/edgar/data/1367920/000136792016000031/0001367920-16-000031-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000136792016000031/q1201610-q.htm
0,2015-12-31,CNCE,2016-03-01 00:00:00,2016-03-01 08:06:41,Q4,699999.9999999993,200000.00000000006,0.0,826000.0,1700000.0,65000.0,0.0,-1018000.0,137500000,899999.9999999999,1100000.0000000014,-141000.0,0.0,-19722000,91112000,0.0,71300000,-775000.0,-45151000,199999.99999999575,0.0,117246000,-500000.0,0.0,71800000,92500000,20700000,1100000.0000000014,-200000.00000000006,900000.0000000013,https://www.sec.gov/Archives/edgar/data/1367920/000136792016000014/0001367920-16-000014-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000136792016000014/cnce201510-k.htm
0,2015-09-30,CNCE,2015-11-05 00:00:00,2015-11-05 07:54:21,Q3,-8500000.0,199999.99999999997,0.0,844000.0,-7000000.0,-42000.0,0.0,593000.0,135800000,1000000.0,-7899999.999999999,-307000.0,0.0,-36216000,43950000,0.0,7399999.999999992,-2179000.0,0.0,800000.0000000043,0.0,-1056000.0,-1299999.9999999972,0.0,-1899999.9999999995,20700000,22600000,-7899999.999999999,-299999.99999999994,-8199999.999999999,https://www.sec.gov/Archives/edgar/data/1367920/000136792015000006/0001367920-15-000006-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000136792015000006/cnce-9302015x10q3.htm
0,2015-06-30,CNCE,2015-08-05 00:00:00,2015-08-05 07:17:26,Q2,41000000,200000.0,0.0,665000.0,41800000,30000.0,0.0,-109000.0,142800000,800000.0,40900000,-270000.0,0.0,-101511000,21400000,0.0,-80399999.99999999,-2132000.0,0.0,47500000,0.0,-40957000,-1900000.0000000056,0.0,-41200000,22600000,63800000,40900000,-200000.0,40700000,https://www.sec.gov/Archives/edgar/data/1367920/000119312515277680/0001193125-15-277680-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000119312515277680/d940533d10q.htm
0,2015-03-31,CNCE,2015-05-11 00:00:00,2015-05-11 08:44:27,Q1,-9000000.0,200000.0,0.0,646000.0,37900000,898000.0,0.0,444000.0,101000000,800000.0,-11000000,-150000.0,0.0,-5576000.0,22000000,0.0,16300000,-2089000.0,46995000,300000.0,0.0,64092000,45200000,0.0,50400000,63800000,13400000,-11000000,-200000.0,-11200000,https://www.sec.gov/Archives/edgar/data/1367920/000119312515180804/0001193125-15-180804-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000119312515180804/d888694d10q.htm
0,2014-12-31,CNCE,2015-03-02,2015-03-02 17:07:05,Q4,-8899999.999999998,100000.00000000009,0.0,602000.0,-9800000.0,224000.0,0.0,-893000.0,63100000,799999.9999999998,-8000000.0,-560000.0,0.0,-12000000,12395000,0.0,-200000.00000000285,-2045000.0,177000.0,0.0,0.0,-10057000,-1900000.0000000056,0.0,-10000000,13400000,23400000,-8000000.0,-600000.0000000001,-8600000.0,https://www.sec.gov/Archives/edgar/data/1367920/000119312515073586/d832927d10k.htm,https://www.sec.gov/Archives/edgar/data/1367920/000119312515073586/d832927d10k.htm
0,2014-09-30,CNCE,2014-11-12 00:00:00,2014-11-12 07:39:20,Q3,-7900000.0,300000.00000000006,0.0,586000.0,-8500000.0,-1149000.0,0.0,461000.0,72900000,800000.0,-6600000.000000001,-56000.0,0.0,-2299000.0,15975000,0.0,13600000.000000002,-1998000.0,541000.0,0.0,0.0,5437000.0,-1500000.0,0.0,5500000.0,23400000,17900000,-6600000.000000001,0.0,-6600000.000000001,https://www.sec.gov/Archives/edgar/data/1367920/000119312514407836/0001193125-14-407836-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000119312514407836/d781356d10q.htm
0,2014-06-30,CNCE,2014-08-12 00:00:00,2014-08-12 07:23:55,Q2,-7900000.0,399999.99999999994,0.0,295000.0,-12300000,-28000.0,0.0,79000.0,81400000,500000.0,-7100000.0,-88000.0,0.0,-23457000,11170000,0.0,-12399999.999999998,-1954000.0,186000.0,0.0,0.0,-22212000,-2199999.999999989,0.0,-21700000,18000000,39700000,-7100000.0,-100000.0,-7200000.0,https://www.sec.gov/Archives/edgar/data/1367920/000119312514305677/0001193125-14-305677-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000119312514305677/d731863d10q.htm
0,2014-03-31,CNCE,2014-05-14 00:00:00,2014-05-14 07:20:18,Q1,-7000000.0,300000.0,0.0,210000.0,75600000,102000.0,0.0,321000.0,93700000,300000.0,-8100000.0,-100000.0,0.0,-51432000,6000000.0,0.0,-45500000,-1919000.0,105000.0,86600000,0.0,125105000,83600000,0.0,30000000,39600000,9600000.0,-8100000.0,-100000.0,-8200000.0,https://www.sec.gov/Archives/edgar/data/1367920/000119312514198029/0001193125-14-198029-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000119312514198029/d707700d10q.htm
