,date,symbol,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2020-09-27,ILMN,2020-10-30,2020-10-29 20:14:00,Q3,179000000,39000000,3000000.0,61000000,135000000,-82000000,19000000,11000000,3214000000,0.0,153000000,-48000000,-3000000.0,-210000000,109000000,0.0,-65000000,-3000000.0,27000000,-125000000,0.0,0.0,-101000000,0.0,-9000000.0,1761000000,1770000000,153000000,48000000,105000000,https://www.sec.gov/Archives/edgar/data/1110803/000111080320000060/0001110803-20-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000111080320000060/ilmn-20200927.htm
0,2020-06-28,ILMN,2020-08-07,2020-08-06 18:08:16,Q2,47000000,46000000,76000000,16000000,-191000000,91000000,-51000000,3000000.0,3079000000,-39000000,240000000,-39000000,-95000000,-433000000,212000000,35000000,-320000000,-3000000.0,2000000.0,-140000000,0.0,-3000000.0,-143000000,2000000.0,-221000000,1770000000,1991000000,240000000,-39000000,201000000,https://www.sec.gov/Archives/edgar/data/1110803/000111080320000051/0001110803-20-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000111080320000051/ilmn-20200628.htm
0,2020-03-29,ILMN,2020-05-01,2020-04-30 19:53:11,Q1,173000000,44000000,-29000000,39000000,-516000000,99000000,-24000000,-16000000,3270000000,139000000,281000000,-40000000,0.0,-444000000,293000000,56000000,-135000000,-35000000,32000000,-156000000,0.0,-35000000,-191000000,-6000000.0,-51000000,1991000000,2042000000,281000000,-40000000,241000000,https://www.sec.gov/Archives/edgar/data/1110803/000111080320000033/0001110803-20-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000111080320000033/form10-qfy20q1.htm
0,2019-12-29,ILMN,2020-02-11,2020-02-10 20:20:21,Q4,239000000,45000000,24000000,49000000,183000000,-29000000,58000000,11000000,3786000000,80000000,443000000,-57000000,0.0,-313000000,226000000,44000000,-104000000,0.0,0.0,-63000000,0.0,-52000000,-115000000,3000000.0,227000000,2042000000,1815000000,443000000,-57000000,386000000,https://www.sec.gov/Archives/edgar/data/1110803/000111080320000018/0001110803-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000111080320000018/form10-k2019classic.htm
0,2019-09-29,ILMN,2019-10-25,2019-10-24 18:58:29,Q3,234000000,47000000,-19000000,46000000,59000000,-75000000,3000000.0,-3000000.0,3603000000,97000000,267000000,-49000000,0.0,-565000000,200000000,192000000,-218000000,0.0,29000000,-169000000,0.0,-4000000.0,-173000000,-4000000.0,-128000000,1815000000,1943000000,267000000,-49000000,218000000,https://www.sec.gov/Archives/edgar/data/1110803/000111080319000056/0001110803-19-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000111080319000056/form10-qfy19q3.htm
0,2019-06-30,ILMN,2019-07-31,2019-07-30 18:54:38,Q2,293000000,49000000,17000000,48000000,240000000,-10000000,-10000000,4000000.0,3544000000,-166000000,143000000,-47000000,0.0,-276000000,441000000,-39000000,79000000,-549000000,3000000.0,3000000.0,0.0,-3000000.0,-549000000,0.0,-327000000,1943000000,2270000000,143000000,-47000000,96000000,https://www.sec.gov/Archives/edgar/data/1110803/000111080319000042/0001110803-19-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000111080319000042/form10-qfy19q2.htm
0,2019-03-31,ILMN,2019-04-26,2019-04-25 21:41:59,Q1,224000000,47000000,-11000000,51000000,618000000,56000000,-26000000,-47000000,3304000000,45000000,198000000,-56000000,0.0,-180000000,1149000000,75000000,988000000,-1000000.0,27000000,-36000000,0.0,-23000000,-60000000,0.0,1126000000,2270000000,1144000000,198000000,-56000000,142000000,https://www.sec.gov/Archives/edgar/data/1110803/000111080319000022/0001110803-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000111080319000022/fy2019q1form10-q.htm
0,2018-12-30,ILMN,2019-02-12,2019-02-11 20:06:04,Q4,197000000,50000000,14000000,47000000,159000000,-81000000,-13000000,32000000,2686000000,45000000,300000000,-65000000,0.0,-2957000000,747000000,1927000000,-348000000,-1000000.0,1000000.0,-97000000,0.0,-56000000,-154000000,0.0,-202000000,1144000000,1346000000,300000000,-65000000,235000000,https://www.sec.gov/Archives/edgar/data/1110803/000111080319000013/0001110803-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000111080319000013/fy2018form10-k.htm
0,2018-09-30,ILMN,2018-10-24,2018-10-23 19:46:12,Q3,188000000,45000000,-10000000,48000000,407000000,-36000000,-12000000,12000000,2527000000,64000000,292000000,-64000000,0.0,-103000000,154000000,-927000000,-940000000,-1000000.0,23000000,-80000000,0.0,-612000000,651000000,-1000000.0,2000000.0,1346000000,1344000000,292000000,-64000000,228000000,https://www.sec.gov/Archives/edgar/data/1110803/000111080318000031/0001110803-18-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000111080318000031/fy2018q3form10-q.htm
0,2018-07-01,ILMN,2018-07-31,2018-07-31 16:45:50,Q2,200000000,45000000,-11000000,50000000,106000000,1000000.0,-11000000,-1000000.0,2120000000,58000000,295000000,-77000000,-100000000,-539000000,141000000,-501000000,-537000000,-2000000.0,1000000.0,1000000.0,0.0,-187000000,30000000,-4000000.0,-216000000,1344000000,1560000000,295000000,-77000000,218000000,https://www.sec.gov/Archives/edgar/data/1110803/000111080318000024/0001110803-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1110803/000111080318000024/fy2018q2form10-q.htm
