,date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
0,2020-09-30,LGND,2020-11-06,2020-11-06 16:11:48,Q3,41848000,6353000.0,35495000,0.8481886828522271,12853000,15020000,0.0,10228000,38101000,38101000,6269000.0,4776000.0,8523000.0,0.20366564710380425,3747000.0,0.0895383291913592,-219000.0,-11612000,-0.2774804052762378,4911000.0,-6701000.0,-0.16012712674440832,-0.41667703022012187,-0.41667703022012187,16082000,16082000,https://www.sec.gov/Archives/edgar/data/886163/000088616320000122/0000886163-20-000122-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000088616320000122/lgnd-20200930.htm
0,2020-06-30,LGND,2020-08-07,2020-08-07 17:27:39,Q2,41420000,7644000.0,33776000,0.8154514727184935,12732000,10069000,0.0,11519000,26676000.000000004,34320000,6213000.0,4446999.999999999,38779000,0.936239,7100000.0,0.171415,1803000.0,28119000,0.678875,6033000.0,22086000,0.533221,1.32299,1.32299,16694000,16694000,https://www.sec.gov/Archives/edgar/data/886163/000088616320000097/0000886163-20-000097-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000088616320000097/lgnd-20200630.htm
0,2020-03-31,LGND,2020-05-08,2020-05-08 16:28:04,Q1,33161000,4683000.0,28478000,0.8587798920418565,11891000,9264000.0,0.0,8218000.0,24690000,29373000,8548000.0,3422000.0,-18445000,-0.556226,3788000.0,0.114231,-4928000.0,-30415000,-0.917192,-6284000.0,-24131000,-0.727692,-1.45992,-1.45992,16529000,16529000,https://www.sec.gov/Archives/edgar/data/886163/000088616320000061/0000886163-20-000061-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000088616320000025/lgnd-20191231.htm
0,2019-12-31,LGND,2020-02-27,2020-02-27 17:18:25,Q4,27003000,1937000.0,25066000,0.9282672295670852,18664000,10277000,0.0,8241000.0,35245000.00000001,37182000.00000001,8834000.0,5801000.0,6460000.0,0.239233,-10179000,-0.376958,-3482000.0,-8175000.0,-0.302744,-810000.0,-7365000.0,-0.272747,-0.42765,-0.42765,17222000,17222000,https://www.sec.gov/Archives/edgar/data/886163/000088616320000025/0000886163-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000088616320000025/lgnd-20191231.htm
0,2019-09-30,LGND,2019-11-08,2019-11-08 16:05:45,Q3,24808000,3147000.0,21661000,0.8731457594324411,13742000,9525000.0,0.0,6699000.0,26819000.000000004,29966000.000000004,8993000.0,3779000.0,-7099000.0,-0.286158,-5158000.0,-0.207917,-2596000.0,-19871000,-0.800992,-4620000.0,-15251000,-0.614761,-0.81252,-0.81252,18770000,18770000,https://www.sec.gov/Archives/edgar/data/886163/000088616319000199/0000886163-19-000199-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000088616319000199/lgnd-20190930.htm
0,2019-06-30,LGND,2019-08-08,2019-08-08 16:12:53,Q2,24987000,2405000.0,22582000,0.9037499499739865,12213000,10994000,0.0,5910000.0,26712000,29117000,9012000.0,3695000.0000000005,-5321000.0,-0.212951,-4130000.0,-0.165286,-1806000.0,-18028000,-0.721495,-3609000.0,-14419000,-0.57706,-0.73724,-0.73724,19558000,19558000,https://www.sec.gov/Archives/edgar/data/886163/000088616319000156/0000886163-19-000156-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000088616319000156/lgnd-20190630.htm
0,2019-03-31,LGND,2019-05-09,2019-05-09 16:04:23,Q1,43484000,3858000.0,39626000,0.9112777113421029,11289000,11088000,0.0,7361000.0,-786916999.9999999,-783058999.9999999,8906000.0,5086000.0,856705000,19.701614,826543000,19.00798,1874000.0,842713000,19.379841,176376000,666337000,15.323728,31.31724,31.31724,21277000,21277000,https://www.sec.gov/Archives/edgar/data/886163/000088616319000077/0000886163-19-000077-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000088616319000041/lgnd-20181231.htm
0,2018-12-31,LGND,2019-02-28,2019-02-28 16:24:01,Q4,59590000,2955000.0,56635000,0.9504111428091961,8840000.0,11163000,0.0,6438000.0,23485999.999999996,26440999.999999996,20143000,3317999.9999999995,-33928000,-0.569357,33149000,0.556285,-664000.0,-56789000,-0.952995,-14907000,-42482000,-0.712905,-2.01594,-2.01594,21073000,21073000,https://www.sec.gov/Archives/edgar/data/886163/000088616319000041/0000886163-19-000041-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000088616319000041/lgnd-20181231.htm
0,2018-09-30,LGND,2018-11-08,2018-11-08 16:04:39,Q3,45660000,1460000.0,44200000,0.9680245291283399,5480000.0,9630000.0,0.0,7185000.0,20840000,22300000,11200000,5400000.0,95820000,2.098555,23360000,0.511608,-810000.0,79230000,1.735217,11860000,67360000,1.475252,2.80083,2.80083,24050000,24050000,https://www.sec.gov/Archives/edgar/data/886163/000088616318000162/0000886163-18-000162-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000088616318000162/lgnd-20180930.htm
0,2018-06-30,LGND,2018-08-08,2018-08-08 17:17:11,Q2,90040000,1130000.0,88910000,0.9874500222123501,6140000.0,9290000.0,0.0,4440000.0,18740000.000000004,19870000.000000004,14328000,3000000.0,112908000,1.253976,70180000,0.779431,-3870000.0,95580000,1.061528,22420000,73160000,0.812528,2.99345,2.99345,24440000,24440000,https://www.sec.gov/Archives/edgar/data/886163/000088616318000113/0000886163-18-000113-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000088616318000113/lgnd-6301810q.htm
0,2018-03-31,LGND,2018-05-09,2018-05-09 17:08:22,Q1,56160000,790000.0,55370000,0.9859330484330484,7410000.0,7640000.0,0.0,4066000.0,18330000.000000004,19120000.000000004,2605000.0,3000000.0,60915000,1.084669,37040000,0.659544,-220000.0,55310000,0.984865,10030000,45280000,0.806268,1.82581,1.82581,24800000,24800000,https://www.sec.gov/Archives/edgar/data/886163/000088616318000063/0000886163-18-000063-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000088616318000030/lgnd-20171231x10k.htm
