,date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
0,2020-06-30,VNRX,2020-08-13,2020-08-13 16:23:13,Q2,5190.0,0.0,5190.0,1.0,3213000.0,1669480.0,215891.0,0.0,5217570.0,5217570.0,90162.0,179040.0,-4768108.0,-918.710597,-5212380.0,-1004.312139,90950.0,-5043090.0,-971.693642,0.0,-5037310.0,-970.579961,-0.11603,-0.11603,43414320,43414320,https://www.sec.gov/Archives/edgar/data/93314/000107878220000623/0001078782-20-000623-index.htm,https://www.sec.gov/Archives/edgar/data/93314/000107878220000623/f10q063020_10q.htm
0,2020-03-31,VNRX,2020-05-07 00:00:00,2020-05-07 16:23:26,Q1,540.0,0.0,0.0,1.0,3708680.0,1920550.0,273954.0,0.0,5872440.0,5872440.0,-33779.0,180190.0,-5703359.0,-10561.775926,-5871900.0,-10873.888889,7920.0,-5859340.0,-10850.62963,0.0,-5849770.0,-10832.907407,-0.14199,-0.14199,41197130,41197130,https://www.sec.gov/Archives/edgar/data/93314/000107878220000306/0001078782-20-000306-index.html,https://www.sec.gov/Archives/edgar/data/93314/000107878220000306/f10q033120_10q.htm
0,2019-12-31,VNRX,2020-02-20 00:00:00,2020-02-20 16:16:04,Q4,0.0,0.0,0.0,0.0,2594920.0,788470.0,247666.0,0.0,3724980.0,3724980.0,-31065.0,115989.99999999993,-3472385.0,0.0,-3724980.0,0.0,155030.0,-3557310.0,0.0,0.0,-3557310.0,0.0,-0.08654,-0.08654,41106290,41106290,https://www.sec.gov/Archives/edgar/data/93314/000107878220000134/0001078782-20-000134-index.html,https://www.sec.gov/Archives/edgar/data/93314/000107878220000134/f10k123119_10k.htm
0,2019-09-30,VNRX,2019-11-12 00:00:00,2019-11-12 16:15:51,Q3,17100.0,0.0,0.0,0.94782405241,2469100.0,1529230.0,195643.0,0.0,4193240.0,4193240.0,-158723.0,194920.00000000003,-4144613.0,-242.375029,-4176140.0,-244.218713,0.0,-4180810.0,-244.491813,0.0,-4180810.0,-244.491813,-0.10483,-0.10483,39880250,39880250,https://www.sec.gov/Archives/edgar/data/93314/000107878219000829/0001078782-19-000829-index.html,https://www.sec.gov/Archives/edgar/data/93314/000107878219000829/f10q093019_10q.htm
0,2019-06-30,VNRX,2019-08-12 00:00:00,2019-08-12 16:11:33,Q2,0.0,0.0,0.0,0.0,2304610.0,1662840.0,238124.0,0.0,4153520.0,4153520.0,33115.0,186060.0,-3937995.0,0.0,-4153520.0,0.0,0.0,-4157170.0,0.0,0.0,-4157170.0,0.0,-0.10693,-0.10693,38876260,38876260,https://www.sec.gov/Archives/edgar/data/93314/000107878219000645/0001078782-19-000645-index.html,https://www.sec.gov/Archives/edgar/data/93314/000107878219000645/f10q063019_10q.htm
0,2019-03-31,VNRX,2019-05-08 00:00:00,2019-05-08 16:28:42,Q1,0.0,0.0,0.0,0.0,2303940.0,1492930.0,284280.0,0.0,3976720.0,3976720.0,30101.0,179850.0,-3993819.0,0.0,-3976720.0,0.0,-196960.0,-4203770.0,0.0,0.0,-4203770.0,0.0,-0.11608,-0.11608,36212900,36212900,https://www.sec.gov/Archives/edgar/data/93314/000107878219000405/0001078782-19-000405-index.html,https://www.sec.gov/Archives/edgar/data/93314/000107878219000405/f10q033119_10q.htm
0,2018-12-31,VNRX,2019-03-13 00:00:00,2019-03-13 16:18:42,Q4,0.0,0.0,0.0,0.0,2906230.0,1185630.0,324503.0,0.0,4255200.0,4255200.0,32278.0,161839.99999999994,-4093362.0,0.0,-4255200.0,0.0,0.0,-4287480.0,0.0,0.0,-4287480.0,0.0,-0.12131,-0.12131,35341980,35341980,https://www.sec.gov/Archives/edgar/data/93314/000107878219000220/0001078782-19-000220-index.html,https://www.sec.gov/Archives/edgar/data/93314/000107878219000220/f10k123118_10k.htm
0,2018-09-30,VNRX,2018-11-07 00:00:00,2018-11-07 16:18:59,Q3,0.0,0.0,0.0,0.0,2588270.0,1700920.0,245743.0,0.0,4447540.0,4447540.0,29108.0,154540.0,-4293002.0,0.0,-4447540.0,0.0,0.0,-4476650.0,0.0,0.0,-4476650.0,0.0,-0.13637,-0.13637,32826920,32826920,https://www.sec.gov/Archives/edgar/data/93314/000107878218001252/0001078782-18-001252-index.html,https://www.sec.gov/Archives/edgar/data/93314/000107878218001252/f10q093018_10q.htm
0,2018-06-30,VNRX,2018-08-13 00:00:00,2018-08-13 16:21:27,Q2,0.0,0.0,0.0,0.0,2686473.0,1643681.0,235366.0,0.0,4565520.0,4565520.0,26556.0,161619.0,-4403901.0,0.0,-4565520.0,0.0,0.0,-4592076.0,0.0,0.0,-4592076.0,0.0,-0.16025,-0.16025,28655711,28655711,https://www.sec.gov/Archives/edgar/data/93314/000107878218000840/0001078782-18-000840-index.html,https://www.sec.gov/Archives/edgar/data/93314/000107878218000840/f10q063018_10q.htm
0,2018-03-31,VNRX,2018-05-10 00:00:00,2018-05-10 16:18:15,Q1,0.0,0.0,0.0,0.0,2423202.0,1842093.0,364144.0,0.0,4629439.0,4629439.0,22982.0,156362.0,-4473077.0,0.0,-4629439.0,0.0,0.0,-4652421.0,0.0,0.0,-4652421.0,0.0,-0.17064,-0.17064,27265249,27265249,https://www.sec.gov/Archives/edgar/data/93314/000107878218000519/0001078782-18-000519-index.html,https://www.sec.gov/Archives/edgar/data/93314/000107878218000519/f10q033118_10q.htm
