,date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
0,2019-12-31,USPH,2020-02-28,2020-02-28 13:41:46,FY,23548000,0.0,23548000,57551000,0.0,4287000.0,85386000,103676000,317676000,52588000,370264000,0.0,10071000,1519000.0,475459000,5806000.0,560845000,2494000.0,26486000,0.0,0.0,31583000,60563000,50361000,0.0,10071000,60399000,260025000,60399000,320588000,150000.0,184352000,-66099000,55755000,240257000,560845000,0.0,51089000,27541000,https://www.sec.gov/Archives/edgar/data/885978/000114036120004374/0001140361-20-004374-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000114036120004374/hc10009190x1_10k.htm
0,2018-12-31,USPH,2019-03-18,2019-03-15 19:07:01,FY,23368000,0.0,23368000,53693000,0.0,2153000.0,79214000,20169000,293525000,48828000,342353000,0.0,9012000.0,1430000.0,363952000,3583000.0,443166000,2019000.0,1434000.0,0.0,0.0,40512000,41946000,38402000,2159000.0,9012000.0,2988000.0,185275000,2988000.0,227221000,149000.0,167396000,-64154000,48400000,215945000,443166000,0.0,39836000,16468000,https://www.sec.gov/Archives/edgar/data/885978/000114036119005059/0001140361-19-005059-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000114036119005059/brhc10000168x1_10k.htm
0,2017-12-31,USPH,2018-03-14,2018-03-14 09:50:04,FY,21933000,0.0,21933000,52562000,0.0,2586000.0,77081000,20385000,271338000,48954000,320292000,0.0,10875000,1224000.0,341901000,3810000.0,418982000,2165000.0,4044000.0,2833000.0,0.0,2833000.0,39551000,56728000,2116000.0,10875000,2859000.0,174565000,2859000.0,214116000,148000.0,162406000,-60475000,42312000,204866000,418982000,0.0,60772000,38839000,https://www.sec.gov/Archives/edgar/data/885978/000114036118013378/0001140361-18-013378-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000114036118013378/h10051658x1_10k.htm
0,2016-12-31,USPH,2017-06-07,2017-06-07 17:20:18,FY,20047000,0.0,20047000,43789000,0.0,2128000.0,65964000,19173000,226806000,38060000,264866000,0.0,15736000,1228000.0,285267000,3356000.0,351231000,1634000.0,1227000.0,500000.0,0.0,21756000,24617000,50596000,1575000.0,15736000,2404000.0,139066000,2404000.0,163683000,147000.0,150342000,-56018000,37059000,187548000,351231000,0.0,51823000,31776000,https://www.sec.gov/Archives/edgar/data/885978/000114036117024382/0001140361-17-024382-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000114036117024382/form10k.htm
0,2015-12-31,USPH,2016-03-04,2016-03-04 11:26:03,FY,15778000,0.0,15778000,38619000,0.0,5803000.0,60200000,16654000,195373000,30296000,225669000,0.0,15508000,1234000.0,243557000,7037000.0,303757000,1636000.0,775000.0,3300000.0,0.0,16596000,19007000,48335000,1395000.0,8355000.0,2623000.0,113693000,2623000.0,132700000,146000.0,138301000,-53255000,13623000,171057000,303757000,0.0,49110000,33332000,https://www.sec.gov/Archives/edgar/data/885978/000156761916001931/0001567619-16-001931-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000156761916001931/h10034943x1_10k.htm
0,2014-12-31,USPH,2015-03-12,2015-03-12 12:51:18,FY,14271000,0.0,14271000,38694000,0.0,1886000.0,54851000,15764000,147914000,24907000,172821000,0.0,0.0,1115000.0,189700000,3001000.0,244551000,1782000.0,883000.0,200000.0,0.0,22839000,25504000,34734000,991000.0,7995000.0,9723000.0,72767000,9723000.0,98271000,145000.0,134186000,-49045000,11949000,146280000,244551000,0.0,35617000,21346000,https://www.sec.gov/Archives/edgar/data/885978/000114036115011450/0001140361-15-011450-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000114036115011450/form10k.htm
0,2013-12-31,USPH,2014-03-11,2014-03-11 12:01:05,FY,12900000,0.0,12900000,32700000,0.0,4100000.0,49700000,15000000,144000000,14500000,158500000,0.0,0.0,1100000.0,174400000,5200000.0,224100000,1700000.0,825000.0,400000.0,0.0,20625000,23200000,40700000,996000.0,3459000.0,5200000.0,72600000,5200000.0,95800000,100000.0,119200000,-45900000,8941000.0,128300000,224100000,0.0,41500000,28600000,https://www.sec.gov/Archives/edgar/data/885978/000119312514093159/0001193125-14-093159-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000119312514093159/d660142d10k.htm
0,2012-12-31,USPH,2013-03-12,2013-03-12 14:25:27,FY,11700000,0.0,11700000,27700000,0.0,5900000.0,45300000,13000000,100200000,12100000,112300000,0.0,0.0,1000000.0,126400000,7000000.0,171700000,6900000.0,459000.0,0.0,0.0,14116000,16300000,17600000,0.0,-1604000.0,3200000.0,38100000,3200000.0,54400000,100000.0,111300000,-44200000,5861000.0,117300000,171700000,0.0,18000000,6300000.0,https://www.sec.gov/Archives/edgar/data/885978/000119312513102877/0001193125-13-102877-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000119312513102877/d444069d10k.htm
0,2011-12-31,USPH,2012-03-09,2012-03-09 12:11:02,FY,10000000,0.0,10000000,29900000,0.0,5800000.0,45700000,13200000,92800000,9600000.0,102400000,0.0,0.0,2000000.0,117600000,7700000.0,163300000,1800000.0,433000.0,0.0,0.0,14082000,16300000,23800000,0.0,0.0,1600000.0,39900000,1600000.0,56200000,100000.0,102400000,-42300000,4505000.0,107000000,163300000,0.0,24200000,14200000,https://www.sec.gov/Archives/edgar/data/885978/000119312512106052/0001193125-12-106052-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000119312512106052/d299886d10k.htm
0,2010-12-31,USPH,2011-03-10,2011-03-10 16:51:43,FY,9200000.0,0.0,9200000.0,26400000,0.0,3700000.0,39300000,13900000,79400000,7300000.0,86700000,0.0,0.0,900000.0,101600000,4600000.0,140900000,1200000.0,250000.0,0.0,0.0,12744000,14200000,5800000.0,0.0,0.0,4500000.0,22700000,4500000.0,36900000,100000.0,89900000,-39200000,13942000,104000000,140900000,0.0,6000000.0,-3200000.0,https://www.sec.gov/Archives/edgar/data/885978/000095012311024176/0000950123-11-024176-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000095012311024176/h80393e10vk.htm
