,date,symbol,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2019-12-31,SNGX,2020-03-30 00:00:00,2020-03-30 16:03:44,FY,-9355592.0,54450.0,0.0,376339.0,1136731.0,182880.0,0.0,0.0,3522.0,282348.0,-7509567.0,0.0,0.0,0.0,0.0,0.0,0.0,-6803.0,4142456.0,0.0,0.0,-132080.0,0.0,0.0,0.0,5420708.0,8983717.0,-7509567.0,-30209.0,-7539776.0,https://www.sec.gov/Archives/edgar/data/812796/000121390020007959/0001213900-20-007959-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390020007959/f10k2019_soligenixinc.htm
0,2018-12-31,SNGX,2019-03-26 00:00:00,2019-03-26 16:36:02,FY,-8899975.0,44060.0,0.0,380886.0,1228915.0,-275464.0,0.0,0.0,-38391.0,0.0,-7244631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8675346.0,0.0,0.0,-251891.0,0.0,0.0,0.0,8983717.0,7809487.0,-7244631.0,-1925.0,-7246556.0,https://www.sec.gov/Archives/edgar/data/812796/000121390019004865/0001213900-19-004865-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390019004865/f10k2018_soligenixinc.htm
0,2017-12-31,SNGX,2018-03-15 00:00:00,2018-03-15 15:02:23,FY,-7147083.0,68563.0,0.0,489787.0,72241.0,280526.0,0.0,0.0,-45363.0,5925.0,-6510567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6246196.0,0.0,0.0,-672361.0,0.0,0.0,0.0,7809487.0,8772567.0,-6510567.0,-26348.0,-6536915.0,https://www.sec.gov/Archives/edgar/data/812796/000121390018003007/0001213900-18-003007-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390018003007/f10k2017_soligenixinc.htm
0,2016-12-31,SNGX,2017-03-27 00:00:00,2017-03-27 17:17:24,FY,-3245383.0,89928.0,0.0,574977.0,-529884.0,0.0,0.0,0.0,0.0,-1488741.0,-4982421.0,0.0,0.0,0.0,0.0,0.0,0.0,-300000.0,9991260.0,0.0,0.0,-850658.0,0.0,0.0,0.0,8772567.0,4921545.0,-4982421.0,-7159.0,-4989580.0,https://www.sec.gov/Archives/edgar/data/812796/000121390017002845/0001213900-17-002845-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390017002845/f10k2016_soligenixinc.htm
0,2015-12-31,SNGX,2016-03-24 00:00:00,2016-03-24 07:31:45,FY,-7831230.0,247458.0,0.0,886693.0,98253.0,0.0,0.0,1376391.0,0.0,897341.0,-5386308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3839177.0,0.0,0.0,-171091.0,0.0,0.0,0.0,4921545.0,5525094.0,-5386308.0,-22098.0,-5408406.0,https://www.sec.gov/Archives/edgar/data/812796/000121390016011833/0001213900-16-011833-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390016011833/f10k2015_soligenixinc.htm
0,2014-12-31,SNGX,2015-03-25,2015-03-25 07:15:52,FY,-6706972.0,245787.0,0.0,976190.0,2349684.0,0.0,0.0,1483255.0,0.0,668582.0,-2466729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2408369.0,0.0,0.0,0.0,0.0,0.0,0.0,5525094.0,5856242.0,-2466729.0,-50866.0,-2517595.0,https://www.sec.gov/Archives/edgar/data/812796/000121390015002035/f10k2014_soligenixinc.htm,https://www.sec.gov/Archives/edgar/data/812796/000121390015002035/f10k2014_soligenixinc.htm
0,2013-12-31,SNGX,2014-03-26,2014-03-26 07:15:57,FY,-10058996,230071.0,0.0,885208.0,-672801.0,0.0,0.0,395787.0,0.0,5159545.0,-4456973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5856242.0,3356380.0,-4456973.0,-17728.0,-4474701.0,https://www.sec.gov/Archives/edgar/data/812796/000121390014001738/f10k2013_soligenix.htm,https://www.sec.gov/Archives/edgar/data/812796/000121390014001738/f10k2013_soligenix.htm
0,2012-12-31,SNGX,2013-02-26 00:00:00,2013-02-26 14:27:07,FY,-4163008.0,230630.0,0.0,493170.0,373773.0,0.0,0.0,-179053.0,0.0,429902.0,-2635533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3356380.0,5996668.0,-2635533.0,-4755.0,-2640288.0,https://www.sec.gov/Archives/edgar/data/812796/000121390013000871/0001213900-13-000871-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390013000871/f10k2012_soligenix.htm
0,2011-12-31,SNGX,2012-03-27 00:00:00,2012-03-27 12:02:50,FY,0.0,226027.0,0.0,715805.0,-1050387.0,0.0,0.0,0.0,-107520.0,-1931910.0,-1951738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355000.0,0.0,0.0,40743.0,0.0,0.0,0.0,5996668.0,7451714.0,-1951738.0,-152664.0,-2104402.0,https://www.sec.gov/Archives/edgar/data/812796/000121390012001317/0001213900-12-001317-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390012001317/f10k2011_soligenix.htm
0,2010-12-31,SNGX,2011-03-30,2011-03-29 19:04:18,FY,-7386579.0,185696.0,0.0,571545.0,348365.0,0.0,42865.0,829318.0,0.0,550391.0,-5730582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5749856.0,0.0,0.0,0.0,0.0,0.0,0.0,7451714.0,7692011.0,-5730582.0,-336424.0,-6067006.0,https://www.sec.gov/Archives/edgar/data/812796/000121390011001567/f10k2010_soligenix.htm,https://www.sec.gov/Archives/edgar/data/812796/000121390011001567/f10k2010_soligenix.htm
