,date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
0,2019-12-31,FENC,2020-02-14 00:00:00,2020-02-14 11:38:42,FY,0.0,0.0,0.0,0.0,5607000.0,7402000.0,0.0,0.0,13009000,13009000,251000.0,0.0,-12524000,0.0,-13009000,0.0,-17000.0,-12775000,0.0,0.0,-12775000,0.0,-0.64209,-0.64209,19896000,19896000,https://www.sec.gov/Archives/edgar/data/1211583/000110465920021132/0001104659-20-021132-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000110465920021132/tm205262d1_10k.htm
0,2018-12-31,FENC,2019-03-15 00:00:00,2019-03-15 13:27:01,FY,0.0,0.0,0.0,0.0,5008000.0,5401000.0,0.0,0.0,10409000,10409000,515000.0,0.0,-9373000.0,0.0,-10409000,0.0,6000.0,-9888000.0,0.0,0.0,-9888000.0,0.0,-0.52201,-0.52201,18942000,18942000,https://www.sec.gov/Archives/edgar/data/1211583/000114420419014220/0001144204-19-014220-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000114420419014220/tv515201_10k.htm
0,2017-12-31,FENC,2018-03-28 00:00:00,2018-03-28 16:47:14,FY,0.0,0.0,0.0,0.0,1936000.0,5015000.0,0.0,0.0,6951000.0,6951000.0,-87000.0,0.0,-7133000.0,0.0,-6951000.0,0.0,-8000.0,-7046000.0,0.0,0.0,-7046000.0,0.0,-0.4693,-0.4693,15014000,15014000,https://www.sec.gov/Archives/edgar/data/1211583/000114420418017571/0001144204-18-017571-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000114420418017571/tv488216_10k.htm
0,2016-12-31,FENC,2017-03-29 00:00:00,2017-03-29 16:36:44,FY,0.0,0.0,0.0,0.0,472000.0,2399000.0,0.0,0.0,2871000.0,2871000.0,56000.0,0.0,-2733000.0,0.0,-2871000.0,0.0,-14000.0,-2789000.0,0.0,0.0,-2789000.0,0.0,-0.21849,-0.21849,12765000,12765000,https://www.sec.gov/Archives/edgar/data/1211583/000114420417017299/0001144204-17-017299-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000114420417017299/v461464_10k.htm
0,2015-12-31,FENC,2016-03-28 00:00:00,2016-03-28 16:01:49,FY,0.0,0.0,0.0,0.0,256000.0,1634000.0,0.0,0.0,1890000.0,1890000.0,1231000.0,0.0,572000.0,0.0,-1890000.0,0.0,0.0,-659000.0,0.0,0.0,-659000.0,0.0,-0.06087,-0.06087,10827000,10827000,https://www.sec.gov/Archives/edgar/data/1211583/000114420416090604/0001144204-16-090604-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000114420416090604/v433857_10k.htm
0,2014-12-31,FENC,2015-03-31,2015-03-31 17:18:43,FY,0.0,0.0,0.0,0.0,357000.0,2520000.0,0.0,2000.0,2877000.0,2877000.0,701000.0,0.0,-1475000.0,0.0,-2877000.0,0.0,0.0,-2176000.0,0.0,0.0,-2176000.0,0.0,-0.22044,-0.22044,9871000.0,9871000.0,https://www.sec.gov/Archives/edgar/data/1211583/000114420415020272/v404663_10k.htm,https://www.sec.gov/Archives/edgar/data/1211583/000114420415020272/v404663_10k.htm
0,2013-12-31,FENC,2014-03-31,2014-03-31 16:07:47,FY,0.0,0.0,0.0,0.0,600000.0,1330000.0,0.0,-3000.0,1930000.0,1930000.0,3780000.0,0.0,5630000.0,0.0,-1930000.0,0.0,0.0,1850000.0,0.0,0.0,1850000.0,0.0,0.17502,0.17502,10570000,10570000,https://www.sec.gov/Archives/edgar/data/1211583/000114420414019399/v372442_10k.htm,https://www.sec.gov/Archives/edgar/data/1211583/000114420414019399/v372442_10k.htm
0,2012-12-31,FENC,2013-04-01 00:00:00,2013-04-01 15:13:09,FY,0.0,0.0,0.0,0.0,2080000.0,1550000.0,0.0,-5000.0,3620000.0,3620000.0,-1540000.0,0.0,-6700000.0,0.0,-3620000.0,0.0,0.0,-5160000.0,0.0,0.0,-5160000.0,0.0,-0.61502,-0.61502,8390000.0,8390000.0,https://www.sec.gov/Archives/edgar/data/1211583/000114420413019057/0001144204-13-019057-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000114420413019057/v337350_10k.htm
0,2011-12-31,FENC,2012-03-27 00:00:00,2012-03-27 16:51:30,FY,0.0,0.0,0.0,1.0,1490000.0,1940000.0,0.0,8123000.0,3440000.0,3440000.0,8120000.0,0.0,12810000,-382.0,-3440000.0,-382.0,0.0,4690000.0,0.0,0.0,4690000.0,520.555555556,0.58479,0.58479,8020000.0,8020000.0,https://www.sec.gov/Archives/edgar/data/1211583/000114420412017470/0001144204-12-017470-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000114420412017470/v307130_10k.htm
0,2010-12-31,FENC,2011-03-31,2011-03-31 16:11:10,FY,0.0,0.0,0.0,0.0,710000.0,3900000.0,0.0,0.0,4600000.0,4600000.0,-3220000.0,0.0,-11040000,0.0,-4600000.0,0.0,0.0,-7820000.0,0.0,0.0,-7820000.0,0.0,-1.46442,-1.46442,5340000.0,5340000.0,https://www.sec.gov/Archives/edgar/data/1211583/000114420411019011/v216950_10k.htm,https://www.sec.gov/Archives/edgar/data/1211583/000114420411019011/v216950_10k.htm
