,date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
0,2020-06-30,CETX,,,Q3,12939490,1778740.0,14718230,6739360.0,6591610.0,3091810.0,31141010,21613300,4370890.0,0.0,4370890.0,500000.0,0.0,3613910.0,31685010,6298480.0,62826020,2602560.0,6334950.0,0.0,0.0,1803370.0,13975610,8830070.0,0.0,0.0,6505970.0,16340540,6505970.0,30316150,16260.0,-28812320,1898840.0,949420.0,32509880,62826020,2278740.0,15187470,2247980.0,,
0,2020-03-31,CETX,2020-05-14 00:00:00,2020-05-14 17:25:02,Q2,2809590.0,14440.0,2824030.0,8467890.0,5646440.0,3234130.0,20172490,20711780,4370890.0,0.0,4370890.0,0.0,0.0,3431130.0,30100720,6634220.0,50273210,3183750.0,5160060.0,337848.0,1717590.0,2097680.0,13347910,9562400.0,432920.0,432920.0,3319670.0,13927840,3319670.0,27275750,7940.0,-24357700,1277260.0,638630.0,22997460,50273210,14440.0,14744910,11935320,https://www.sec.gov/Archives/edgar/data/1435064/000149315220008846/0001493152-20-008846-index.htm,https://www.sec.gov/Archives/edgar/data/1435064/000149315220008846/form10-q.htm
0,2019-12-31,CETX,2020-01-14 00:00:00,2020-01-14 16:50:14,Q1,3963960.0,114060.0,4078010.0,8961840.0,5272890.0,3459650.0,21772390,17708850,4370890.0,0.0,4370890.0,0.0,0.0,3274520.0,26941180,6710360.0,48713570,3318700.0,9600330.0,419353.0,1711099.0,2165910.0,18276950,5103430.0,476221.0,476221.0,2304750.0,8470540.0,2304750.0,26747490,4420.0,-21461500,2758060.0,1379030.0,21966080,48713570,114060.0,14726210,10762250,https://www.sec.gov/Archives/edgar/data/1435064/000149315220000576/0001493152-20-000576-index.html,https://www.sec.gov/Archives/edgar/data/1435064/000149315220000576/form10k.htm
0,2019-09-30,CETX,2020-01-14,2020-01-14 16:50:14,Q4,1769990.0,412730.0,2182720.0,8399370.0,5207160.0,3088360.0,18877610,16776550,4370890.0,0.0,4370890.0,0.0,0.0,2780720.0,25515090,3868810.0,44392700,4236950.0,6840250.0,419541.0,1433803.0,1886420.0,15637260,5078250.0,489535.0,489535.0,1711080.0,7675210.0,1711080.0,23312470,3960.0,-20067690,1592000.0,796000.0,21080230,44392700,412730.0,11918500,10148510,https://www.sec.gov/Archives/edgar/data/1435064/000149315220000576/form10k.htm,https://www.sec.gov/Archives/edgar/data/1435064/000149315220000576/form10k.htm
0,2019-06-30,CETX,2019-08-19,2019-08-19 17:03:12,Q3,1572830.0,13690.0,1586520.0,16393520,15731130,5354120.0,39065290,24408650,5303740.0,0.0,5303740.0,0.0,1194270.0,4584550.0,34296940,5457840.0,73362230,10043430,14008280,593097.0,1424832.0,2077940.0,30443020,9049700.0,489062.0,1194272.0,1700970.0,11486400,1700970.0,41929420,2590.0,-3788530.0,-3363980.0,-1681990.0,31432810,73362230,13690.0,23057980,21485150,https://www.sec.gov/Archives/edgar/data/1435064/000149315219013047/form10-q.htm,https://www.sec.gov/Archives/edgar/data/1435064/000149315219013047/form10-q.htm
0,2019-03-31,CETX,2019-05-20 00:00:00,2019-05-20 17:26:44,Q2,1707690.0,13690.0,1721380.0,15599810,17566350,5583700.0,40471240,25329230,5041960.0,0.0,5041960.0,0.0,2051190.0,4706350.0,35077540,5935000.0,75548780,11157300,16069230,566151.0,1105811.0,1794880.0,33613110,7112770.0,433828.0,2051186.0,1633370.0,10015450,1633370.0,43628560,14850.0,-855190.0,-3024120.0,-1512060.0,31920220,75548780,13690.0,23182000,21474310,https://www.sec.gov/Archives/edgar/data/1435064/000149315219007937/0001493152-19-007937-index.html,https://www.sec.gov/Archives/edgar/data/1435064/000149315219007937/form10-q.htm
0,2018-12-31,CETX,2019-01-11 00:00:00,2019-01-11 15:03:23,Q1,818550.0,0.0,818550.0,11580280,13362010,5136430.0,30897270,26253540,3322820.0,89330.0,3412150.0,0.0,0.0,3165530.0,34187710,4526020.0,65084980,9076980.0,5969190.0,424895.0,976632.0,1729720.0,22672170,7714690.0,0.0,2051499.0,0.0,9766190.0,0.0,32438360,13390.0,1128680.0,-2681700.0,-1340850.0,32646620,65084980,0.0,13683880,12865330,https://www.sec.gov/Archives/edgar/data/1435064/000149315219000475/0001493152-19-000475-index.html,https://www.sec.gov/Archives/edgar/data/1435064/000149315219000475/form10-k.htm
0,2018-09-30,CETX,2019-01-11,2019-01-11 15:03:23,Q4,973770.0,0.0,973770.0,14110880,11354460,5475150.0,31914260,27300650,3322820.0,0.0,3322820.0,1699270.0,0.0,1041760.0,33364510,2383920.0,65278770,7068010.0,10913700,565513.0,970590.0,1586720.0,21902370,8095730.0,0.0,2051847.0,0.0,8095730.0,0.0,29998100,1620.0,4262760.0,-966600.0,-483300.0,35280670,65278770,1699270.0,19009430,18035660,https://www.sec.gov/Archives/edgar/data/1435064/000149315219000475/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1435064/000149315219000475/form10-k.htm
0,2018-06-30,CETX,2018-08-14 00:00:00,2018-08-14 16:41:56,Q3,4600000.0,0.0,4600000.0,11710000,11480000,5450000.0,33240000,29920000,3320000.0,0.0,3320000.0,2140000.0,1890000.0,100000.0,35470000,1690000.0,68710000,6620000.0,3280000.0,698724.0,636209.0,1610000.0,17990000,8650000.0,0.0,1893870.0,0.0,10540000,0.0,28530000,10000.0,12080000,-1960000.0,-980000.0,40180000,68710000,2140000.0,15330000,10730000,https://www.sec.gov/Archives/edgar/data/1435064/000149315218011846/0001493152-18-011846-index.html,https://www.sec.gov/Archives/edgar/data/1435064/000149315218011846/form10q.htm
0,2018-03-31,CETX,2018-05-15 00:00:00,2018-05-15 17:11:22,Q2,9250000.0,0.0,9250000.0,13230000,11740000,4700000.0,38920000,26420000,3320000.0,0.0,3320000.0,2910000.0,1890000.0,580000.0,33240000,2190000.0,72160000,6590000.0,5310000.0,966461.0,1243477.0,2400000.0,16230000,10870000,0.0,1894020.0,0.0,12760000,0.0,28990000,10000.0,15570000,-720000.0,-360000.0,43160000,72160000,2910000.0,16170000,6920000.0,https://www.sec.gov/Archives/edgar/data/1435064/000149315218007155/0001493152-18-007155-index.html,https://www.sec.gov/Archives/edgar/data/1435064/000149315218007155/form10q.htm
