,date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
0,2020-09-30,MAS,2020-10-28,2020-10-28 16:01:48,Q3,1326000000,1326000000,1326000000,0.0,811000000,1350000000,3487000000,878000000,528000000,253000000,781000000,0.0,0.0,429000000,2088000000,429000000,5575000000,933000000,5000000.0,0.0,0.0,799000000,1737000000,2787000000,0.0,0.0,567000000,3354000000,343000000,5434000000,261000000,15000000,-156000000,21000000,141000000,5575000000,1326000000,2792000000,1466000000,https://www.sec.gov/Archives/edgar/data/62996/000006299620000041/0000062996-20-000041-index.htm,https://www.sec.gov/Archives/edgar/data/62996/000006299620000041/mas-20200930.htm
0,2020-06-30,MAS,2020-07-30,2020-07-30 18:55:53,Q2,1089000000,1089000000,1089000000,1310000000,750000000,76000000,3225000000,1024000000,521000000,259000000,780000000,0.0,0.0,273000000,2077000000,273000000,5302000000,845000000,407000000,0.0,0.0,17000000,2154000000,2372000000,0.0,0.0,739000000,3284000000,739000000,5438000000,260000000,-223000000,-368000000,-184000000,-136000000,5302000000,1089000000,2779000000,1690000000,https://www.sec.gov/Archives/edgar/data/62996/000006299620000034/0000062996-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/62996/000006299620000034/mas-20200630.htm
0,2020-03-31,MAS,2020-04-29 00:00:00,2020-04-29 16:07:51,Q1,767000000,0.0,767000000,1142000000,756000000,80000000,2745000000,1032000000,518000000,264000000,782000000,0.0,0.0,281000000,2095000000,281000000,4840000000,743000000,0.0,0.0,0.0,0.0,1504000000,2771000000,0.0,0.0,730000000,3684000000,730000000,5188000000,263000000,-412000000,-398000000,-199000000,-348000000,4840000000,767000000,2776000000,2009000000,https://www.sec.gov/Archives/edgar/data/62996/000006299620000016/0000062996-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/62996/000006299620000016/a2020q1masco10-q033120.htm
0,2019-12-31,MAS,2020-02-11 00:00:00,2020-02-11 16:00:49,Q4,697000000,0.0,697000000,997000000,754000000,263000000,2711000000,1054000000,509000000,259000000,768000000,0.0,0.0,494000000,2316000000,667000000,5027000000,697000000,0.0,0.0,0.0,149000000,1548000000,2771000000,0.0,0.0,764000000,3714000000,764000000,5262000000,276000000,-332000000,-358000000,-179000000,-235000000,5027000000,697000000,2773000000,2076000000,https://www.sec.gov/Archives/edgar/data/62996/000006299620000006/0000062996-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/62996/000006299620000006/mas2019123110k.htm
0,2019-09-30,MAS,2019-10-30 00:00:00,2019-10-30 16:07:44,Q3,475000000,0.0,475000000,1177000000,924000000,216000000,2792000000,1200000000,687000000,264000000,951000000,0.0,0.0,577000000,2728000000,688000000,5520000000,879000000,0.0,0.0,16000000,140000000,1909000000,2771000000,0.0,0.0,817000000,3754000000,817000000,5663000000,284000000,-309000000,-236000000,-118000000,-143000000,5520000000,475000000,2979000000,2504000000,https://www.sec.gov/Archives/edgar/data/62996/000006299619000063/0000062996-19-000063-index.html,https://www.sec.gov/Archives/edgar/data/62996/000006299619000063/a2019q3masco10-q093020.htm
0,2019-06-30,MAS,2019-07-25 00:00:00,2019-07-25 15:59:42,Q2,325000000,0.0,325000000,1423000000,975000000,120000000,2843000000,1440000000,891000000,387000000,1278000000,0.0,0.0,92000000,2810000000,92000000,5653000000,1023000000,0.0,0.0,14000000,0.0,1953000000,2771000000,0.0,0.0,858000000,3791000000,858000000,5744000000,287000000,-261000000,-234000000,-117000000,-91000000,5653000000,325000000,3002000000,2677000000,https://www.sec.gov/Archives/edgar/data/62996/000006299619000056/0000062996-19-000056-index.html,https://www.sec.gov/Archives/edgar/data/62996/000006299619000056/a2019q2masco10-q063020.htm
0,2019-03-31,MAS,2019-04-25 00:00:00,2019-04-25 16:03:15,Q1,316000000,0.0,316000000,1321000000,1011000000,110000000,2758000000,1447000000,889000000,392000000,1281000000,0.0,0.0,116000000,2844000000,116000000,5602000000,954000000,0.0,0.0,13000000,0.0,1929000000,2771000000,0.0,0.0,860000000,3819000000,860000000,5748000000,291000000,-314000000,-246000000,-123000000,-146000000,5602000000,316000000,3066000000,2750000000,https://www.sec.gov/Archives/edgar/data/62996/000006299619000024/0000062996-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/62996/000006299619000024/a2019q1masco10-q033120.htm
0,2018-12-31,MAS,2019-02-07 00:00:00,2019-02-07 16:17:20,Q4,553000000,0.0,553000000,1068000000,904000000,241000000,2766000000,1037000000,692000000,289000000,981000000,0.0,0.0,609000000,2627000000,609000000,5393000000,851000000,0.0,25000000,41000000,0.0,1684000000,2971000000,0.0,25000000,669000000,3820000000,669000000,5504000000,294000000,-278000000,-254000000,-127000000,-111000000,5393000000,1000000.0,2979000000,2426000000,https://www.sec.gov/Archives/edgar/data/62996/000006299619000011/0000062996-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/62996/000006299619000011/mas_20181231x10k.htm
0,2018-09-30,MAS,2018-10-30 00:00:00,2018-10-30 16:13:18,Q3,569000000,0.0,569000000,1298000000,1005000000,118000000,2990000000,1211000000,896000000,412000000,1308000000,0.0,0.0,101000000,2620000000,101000000,5610000000,1040000000,0.0,0.0,18000000,0.0,1753000000,2971000000,0.0,0.0,679000000,3821000000,679000000,5574000000,303000000,-154000000,-226000000,-113000000,36000000,5610000000,0.0,2973000000,2404000000,https://www.sec.gov/Archives/edgar/data/62996/000006299618000062/0000062996-18-000062-index.html,https://www.sec.gov/Archives/edgar/data/62996/000006299618000062/a2018q3masco10-q09302018.htm
0,2018-06-30,MAS,2018-07-31 00:00:00,2018-07-31 16:34:39,Q2,384000000,0.0,384000000,1444000000,1017000000,117000000,2962000000,1187000000,890000000,417000000,1307000000,0.0,0.0,109000000,2603000000,109000000,5565000000,1093000000,0.0,0.0,13000000,0.0,1770000000,2970000000,0.0,0.0,699000000,3829000000,699000000,5599000000,305000000,-221000000,-236000000,-118000000,-34000000,5565000000,0.0,2972000000,2588000000,https://www.sec.gov/Archives/edgar/data/62996/000006299618000053/0000062996-18-000053-index.html,https://www.sec.gov/Archives/edgar/data/62996/000006299618000053/a2018q2masco10-q06302018.htm
