,date,symbol,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2020-09-30,AGCO,2020-11-09,2020-11-09 13:30:20,Q3,158000000,52000000,0.0,14000000,-176200000,-83000000,157000000,5000000.0,1087000000,0.0,107000000,-66000000,0.0,0.0,0.0,0.0,-69000000,-319000000,0.0,0.0,-12000000,0.0,-272000000,0.0,106000000,511000000,404000000,107000000,66000000,41000000,https://www.sec.gov/Archives/edgar/data/880266/000088026620000047/0000880266-20-000047-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026620000047/agco-20200930.htm
0,2020-06-30,AGCO,2020-08-07,2020-08-07 10:02:59,Q2,60000000,65600000,-1000000.0,10100000,15300000,-72000000,41500000,-28200000,1263200000,27700000,213700000.00000003,-56900000,0.0,0.0,0.0,-500000.0,-57399999.99999999,-558600000,0.0,0.0,-11900000,424900000,-145599999.99999997,7000000.0,17700000.000000004,404400000,386700000,213700000.00000003,-56900000,156800000.00000003,https://www.sec.gov/Archives/edgar/data/880266/000088026620000039/0000880266-20-000039-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026620000039/a2020agcoq2-10xq.htm
0,2020-03-31,AGCO,2020-05-08,2020-05-08 11:38:01,Q1,66300000,66600000,3800000.0,2600000.0,403300000,-109000000,-252100000,-32700000,1247900000,-4500000.0,-435300000,-60600000,0.0,-55000000,0.0,52900000,-62700000,-150300000,0.0,-55000000,-12100000,694100000,476700000,-24800000,-46100000,386700000,432800000,-435300000,-60600000,-495900000,https://www.sec.gov/Archives/edgar/data/880266/000088026620000030/0000880266-20-000030-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026620000030/a2020agcoq1-10xq.htm
0,2019-12-31,AGCO,2020-02-28,2020-02-28 12:53:38,Q4,-89600000.00000001,67200000.00000001,-28000000,8400000.0,-84300000,148000000,287100000,39800000,844600000,216300000,776100000,-85300000,0.0,-30000000,0.0,30900000,-84400000.00000003,-590600000,0.0,-30000000,-12100000.000000002,84200000,-548500000,7600000.000000001,150800000,432800000,282000000,776100000,-85299999.99999999,690800000,https://www.sec.gov/Archives/edgar/data/880266/000088026620000006/0000880266-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026620000006/a2019agco10-k.htm
0,2019-09-30,AGCO,2019-11-08,2019-11-08 12:07:42,Q3,6300000.000000011,67000000,29900000.000000004,8100000.0,-3800000.0,58000000,10300000,-87200000,928900000,-2500000.0,132700000,-73200000,0.0,-30000000,0.0,31900000,-72399999.99999999,-381500000,0.0,-30000000,-12200000,376200000,-47500000.00000003,-10700000.000000002,2100000.0000000014,282000000,279900000,132700000,-73199999.99999999,59500000.00000001,https://www.sec.gov/Archives/edgar/data/880266/000088026619000040/0000880266-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026619000040/a2019agcoq3-10xq.htm
0,2019-06-30,AGCO,2019-08-09,2019-08-09 09:36:17,Q2,140399999.99999997,69500000,21799999.999999996,12300000,26100000,-78000000,-95100000,-44400000,932700000,7800000.0,116999999.99999997,-54000000,0.0,-40000000,0.0,40200000,-53900000,-502300000,0.0,-40000000,-12200000,478400000,-76099999.99999997,99999.99999999987,-12900000.000000006,279900000,292800000,116999999.99999997,-54000000.00000001,62999999.99999996,https://www.sec.gov/Archives/edgar/data/880266/000088026619000033/0000880266-19-000033-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026619000033/a2019agcoq2-10xq.htm
0,2019-03-31,AGCO,2019-05-09,2019-05-09 15:36:31,Q1,65700000,68300000,-8600000.0,12500000,135900000,-65000000,-418600000,127500000,906600000,3200000.0,-329900000,-60900000,0.0,-30000000,0.0,28800000,-60900000,-716700000,0.0,-30000000,-11500000,1116900000,358700000,-1200000.0,-33300000,292800000,326100000,-329900000,-60900000,-390800000,https://www.sec.gov/Archives/edgar/data/880266/000088026619000025/0000880266-19-000025-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026619000025/a2019agcoq1-10xq.htm
0,2018-12-31,AGCO,2019-03-01,2019-03-01 11:45:21,Q4,97600000,70600000,3000000.0,13300000,-359200000,122000000,183700000,-5900000.0,770700000,45500000,599900000,-64800000,0.0,-100000000,0.0,103600000,-64199999.99999999,-2387500000,0.0,-100000000.00000001,-11500000,1993700000,-505300000,3000000.0,33400000,326100000,292700000,599900000,-64800000.00000001,535100000,https://www.sec.gov/Archives/edgar/data/880266/000088026619000009/0000880266-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026619000009/a2018agco10-k.htm
0,2018-09-30,AGCO,2018-11-08,2018-11-08 16:58:37,Q3,70699999.99999999,70300000.00000001,-3399999.9999999986,10500000,-13500000,24000000,-1700000.0,-26300000,1129900000,-1400000.000000002,184600000,-48700000,0.0,-50000000,0.0,39000000,-48400000.00000001,-772500000,0.0,-50000000,-11800000,705800000,-112800000.00000001,-11299999.999999998,12099999.999999994,292700000,280600000,184600000,-48700000,135900000,https://www.sec.gov/Archives/edgar/data/880266/000088026618000033/0000880266-18-000033-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026618000033/a2018agcoq3-10xq.htm
0,2018-06-30,AGCO,2018-08-08,2018-08-08 14:44:07,Q2,90400000,74100000,-7300000.000000001,13300000,-202400000,-89000000,1900000.0,-58500000,1143400000,21100000,172700000.00000003,-43700000,0.0,-27200000,0.0,5100000.0,-48700000,-1345500000,0.0,-27199999.999999996,-11900000,1225800000,-174500000,-17100000,-67600000,280600000,348200000,172700000.00000003,-43699999.99999999,129000000.00000003,https://www.sec.gov/Archives/edgar/data/880266/000088026618000026/0000880266-18-000026-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026618000026/a2018agcoq2-10xq.htm
