,date,symbol,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2020-09-27,LMT,2020-10-22,2020-10-22 16:31:44,Q3,1698000000,319000000,0.0,67000000,407000000,355000000,228000000,56000000,5089000000,0.0,1880000000,-408000000,0.0,-85000000,0.0,108000000,-385000000,0.0,0.0,-85000000,-672000000,-8000000.0,-765000000,0.0,730000000,3585000000,2855000000,1880000000,408000000,1472000000,https://www.sec.gov/Archives/edgar/data/936468/000093646820000125/0000936468-20-000125-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646820000125/lmt-20200927.htm
0,2020-06-28,LMT,2020-07-21,2020-07-21 12:10:18,Q2,1626000000,307000000,0.0,73000000,1112000000,57000000,18000000,-1703000000,4682000000,201000000,2182000000,-343000000,0.0,-259000000,0.0,265000000,-337000000,-1150000000,0.0,-259000000,-671000000,1102000000,-978000000,0.0,867000000,2855000000,1988000000,2182000000,-343000000,1839000000,https://www.sec.gov/Archives/edgar/data/936468/000093646820000115/0000936468-20-000115-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646820000115/lmt-20200628.htm
0,2020-03-29,LMT,2020-04-22,2020-04-22 16:09:41,Q1,1717000000,301000000,0.0,42000000,447000000,-555000000,80000000,1894000000,3570000000,42000000,2314000000,-293000000,0.0,-756000000,0.0,754000000,-295000000,0.0,0.0,-756000000,-693000000,-96000000,-1545000000,0.0,474000000,1988000000,1514000000,2314000000,-293000000,2021000000,https://www.sec.gov/Archives/edgar/data/936468/000093646820000056/0000936468-20-000056-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646820000056/lmtq1202010q.htm
0,2019-12-31,LMT,2020-02-07,2020-02-07 11:44:16,Q4,1498000000,322000000,222000000,31000000,-1165000000,47000000,-145000000,-1622000000,3123000000,31000000,1490000000,-643000000,0.0,-490000000,0.0,695000000,-438000000,-900000000,0.0,-490000000,-675000000,32000000,-2077000000,0.0,-1025000000,1514000000,2539000000,1490000000,-643000000,847000000,https://www.sec.gov/Archives/edgar/data/936468/000093646820000016/0000936468-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646820000016/lmtq4201910k.htm
0,2019-09-29,LMT,2019-10-24,2019-10-24 18:46:44,Q3,1608000000,302000000,0.0,54000000,1320000000,162000000,125000000,287000000,4288000000,54000000,2490000000,-308000000,0.0,-210000000,0.0,223000000,-295000000,0.0,0.0,-210000000,-621000000,8000000.0,-823000000,0.0,1372000000,2539000000,1167000000,2490000000,-308000000,2182000000,https://www.sec.gov/Archives/edgar/data/936468/000093646819000069/0000936468-19-000069-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646819000069/lmtq3201910q.htm
0,2019-06-30,LMT,2019-07-23,2019-07-23 16:07:43,Q2,1420000000,288000000,0.0,67000000,340000000,287000000,-314000000,-507000000,2968000000,67000000,1668000000,-249000000,0.0,-219000000,0.0,217000000,-251000000,0.0,0.0,-219000000,-622000000,-400000000,-1241000000,0.0,176000000,1167000000,991000000,1668000000,-249000000,1419000000,https://www.sec.gov/Archives/edgar/data/936468/000093646819000058/0000936468-19-000058-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646819000058/lmtq2201910q.htm
0,2019-03-31,LMT,2019-04-24,2019-04-24 16:05:32,Q1,1704000000,277000000,0.0,37000000,923000000,-389000000,-288000000,744000000,2628000000,-14000000,1663000000,-284000000,0.0,-281000000,0.0,308000000,-257000000,0.0,0.0,-281000000,-638000000,-268000000,-1187000000,0.0,219000000,991000000,772000000,1663000000,-284000000,1379000000,https://www.sec.gov/Archives/edgar/data/936468/000093646819000022/0000936468-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646819000022/lmtq1201910q.htm
0,2018-12-31,LMT,2019-02-08,2019-02-08 11:38:57,Q4,1253000000,304000000,-244000000,25000000,50000000,-28000000,53000000,-323000000,1705000000,25000000,2217000000,-459000000,0.0,-666000000,0.0,723000000,-402000000,-750000000,0.0,-666000000,-622000000,98000000,-1940000000,0.0,-125000000,772000000,897000000,2217000000,-459000000,1758000000,https://www.sec.gov/Archives/edgar/data/936468/000093646819000009/0000936468-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646819000009/lmtq4201810k.htm
0,2018-09-30,LMT,2018-10-25,2018-10-25 17:21:51,Q3,1473000000,291000000,0.0,50000000,-968000000,66000000,-12000000,13000000,1655000000,50000000,361000000,-339000000,0.0,-216000000,0.0,211000000,-344000000,0.0,0.0,-216000000,-569000000,484000000,-301000000,0.0,-284000000,897000000,1181000000,361000000,-339000000,22000000,https://www.sec.gov/Archives/edgar/data/936468/000093646818000067/0000936468-18-000067-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646818000067/lmtq3201810q.htm
0,2018-06-24,LMT,2018-07-24,2018-07-24 16:19:20,Q2,1163000000,287000000,0.0,60000000,-1219000000,-109000000,158000000,-66000000,2623000000,156000000,-72000000,-264000000,0.0,-310000000,0.0,331000000,-243000000,0.0,0.0,-343000000,-570000000,-17000000,-897000000,0.0,-1212000000,1181000000,2393000000,-72000000,-264000000,-336000000,https://www.sec.gov/Archives/edgar/data/936468/000093646818000053/0000936468-18-000053-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646818000053/lmtq2201810q.htm
