,date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
0,2019-09-31,BVI.PA,,2019-09-31,Q3,1274925000,359575000,915350000,1.392827880045884,0.0,0.0,0.0,0.0,13750000,1094250000,26775000,76325000,254275000,5.013961262412742,180675000,7.056454960564549,0.0,150825000,8.453008453505719,52675000,91900000,13.872959738846573,0.2075,0.2075,442259000,445865000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=B.V.I#phrase=B.V.I,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=B.V.I#phrase=B.V.I
0,2019-06-31,BVI.PA,,2019-06-31,Q2,1274925000,359575000,915350000,1.392827880045884,0.0,0.0,0.0,0.0,13750000,1094250000,26775000,76325000,254275000,5.013961262412742,180675000,7.056454960564549,0.0,150825000,8.453008453505719,52675000,91900000,13.872959738846573,0.2075,0.2075,442259000,445865000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=B.V.I#phrase=B.V.I,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=B.V.I#phrase=B.V.I
0,2019-03-31,BVI.PA,,2019-03-31,Q1,1274925000,359575000,915350000,1.392827880045884,0.0,0.0,0.0,0.0,13750000,1094250000,26775000,76325000,254275000,5.013961262412742,180675000,7.056454960564549,0.0,150825000,8.453008453505719,52675000,91900000,13.872959738846573,0.2075,0.2075,442259000,445865000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=B.V.I#phrase=B.V.I,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=B.V.I#phrase=B.V.I
0,2019-01-31,BVI.PA,,2019-01-31,Q1,1274925000,359575000,915350000,1.392827880045884,0.0,0.0,0.0,0.0,13750000,1094250000,26775000,76325000,254275000,5.013961262412742,180675000,7.056454960564549,0.0,150825000,8.453008453505719,52675000,91900000,13.872959738846573,0.2075,0.2075,442259000,445865000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=B.V.I#phrase=B.V.I,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=B.V.I#phrase=B.V.I
0,2018-09-31,BVI.PA,,2018-09-31,Q3,1198875000,354500000,844375000,1.4198371576609918,0.0,0.0,0.0,0.0,14500000,1038675000,21725000,50075000,208800000,5.741738505747127,160200000,7.483614232209738,0.0,136100000,8.80878030859662,47325000,83150000,14.418220084185208,0.19,0.19,435787000,439377000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=B.V.I#phrase=B.V.I,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=B.V.I#phrase=B.V.I
0,2018-06-31,BVI.PA,,2018-06-31,Q2,1198875000,354500000,844375000,1.4198371576609918,0.0,0.0,0.0,0.0,14500000,1038675000,21725000,50075000,208800000,5.741738505747127,160200000,7.483614232209738,0.0,136100000,8.80878030859662,47325000,83150000,14.418220084185208,0.19,0.19,435787000,439377000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=B.V.I#phrase=B.V.I,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=B.V.I#phrase=B.V.I
0,2018-03-31,BVI.PA,,2018-03-31,Q1,1198875000,354500000,844375000,1.4198371576609918,0.0,0.0,0.0,0.0,14500000,1038675000,21725000,50075000,208800000,5.741738505747127,160200000,7.483614232209738,0.0,136100000,8.80878030859662,47325000,83150000,14.418220084185208,0.19,0.19,435787000,439377000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=B.V.I#phrase=B.V.I,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=B.V.I#phrase=B.V.I
0,2018-01-31,BVI.PA,,2018-01-31,Q1,1198875000,354500000,844375000,1.4198371576609918,0.0,0.0,0.0,0.0,14500000,1038675000,21725000,50075000,208800000,5.741738505747127,160200000,7.483614232209738,0.0,136100000,8.80878030859662,47325000,83150000,14.418220084185208,0.19,0.19,435787000,439377000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=B.V.I#phrase=B.V.I,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=B.V.I#phrase=B.V.I
0,2017-09-31,BVI.PA,,2017-09-31,Q3,1172350000,348525000,823825000,1.4230570812976058,0.0,0.0,0.0,0.0,14475000,1020225000,22800000,50925000,200075000,5.859552667749594,152125000,7.706491372226787,0.0,125800000,9.319157392686805,41200000,77000000,15.225324675324675,0.1775,0.175,436423000,439934000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=B.V.I#phrase=B.V.I,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=B.V.I#phrase=B.V.I
0,2017-06-31,BVI.PA,,2017-06-31,Q2,1172350000,348525000,823825000,1.4230570812976058,0.0,0.0,0.0,0.0,14475000,1020225000,22800000,50925000,200075000,5.859552667749594,152125000,7.706491372226787,0.0,125800000,9.319157392686805,41200000,77000000,15.225324675324675,0.1775,0.175,436423000,439934000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=B.V.I#phrase=B.V.I,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=B.V.I#phrase=B.V.I
