,date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
0,2020-09-30,FORR,2020-11-06,2020-11-06 16:01:00,Q3,108577000,46125000,62452000,0.5751862733359735,0.0,12475000,42209000,53719000,108403000,154528000,1259000.0,2544000.0,2718000.0,0.02503292594195824,174000.0,0.0016025493428626688,-274000.0,-1359000.0,-0.01251646297097912,2401000.0,-3760000.0,-0.03462980189174503,-0.19967075566884393,-0.19967075566884393,18831000,18831000,https://www.sec.gov/Archives/edgar/data/1023313/000156459020051948/0001564590-20-051948-index.htm,https://www.sec.gov/Archives/edgar/data/1023313/000156459020051948/forr-10q_20200930.htm
0,2020-06-30,FORR,2020-08-10,2020-08-10 16:06:48,Q2,113541000,43964000,69577000,0.6127918549246528,0.0,50573000,39117000,39732000,58346000.00000001,102310000,1307000.0,7161000.000000001,20543000,0.18093,11231000,0.098916,-201000.0,12075000,0.106349,238000.0,11837000,0.104253,0.62859,0.62859,18831000,18831000,https://www.sec.gov/Archives/edgar/data/1023313/000156459020038910/0001564590-20-038910-index.htm,https://www.sec.gov/Archives/edgar/data/1023313/000156459020038910/forr-10q_20200630.htm
0,2020-03-31,FORR,2020-05-11,2020-05-11 09:24:14,Q1,106345000,43353000,62992000,0.5923362640462645,0.0,52278000,40273000,65351000,62270999.99999999,105624000,1538000.0,7118000.0,8162000.0,0.07675,721000.0,0.00678,310000.0,-494000.0,-0.004645,19000.0,-513000.0,-0.004824,-0.02743,-0.02743,18705000,18705000,https://www.sec.gov/Archives/edgar/data/1023313/000156459020023888/0001564590-20-023888-index.htm,https://www.sec.gov/Archives/edgar/data/1023313/000156459020010647/forr-10k_20191231.htm
0,2019-12-31,FORR,2020-03-13,2020-03-13 08:32:05,Q4,124269000,50116000,74153000,0.5967135810218156,0.0,58308000,45210000,59134000,67326000,117442000,1713000.0,7917999.999999998,14564999.999999998,0.117205,6827000.0,0.054937,-286000.0,4934000.0,0.039704,44000.0,4890000.0,0.03935,0.26256,0.26256,18624000,18624000,https://www.sec.gov/Archives/edgar/data/1023313/000156459020010647/0001564590-20-010647-index.htm,https://www.sec.gov/Archives/edgar/data/1023313/000156459020010647/forr-10k_20191231.htm
0,2019-09-30,FORR,2019-11-08,2019-11-08 16:03:36,Q3,108596000,44929000,63667000,0.5862738959077682,0.0,55138000,41605000,55098000,65307000,110236000,1904000.0,7775000.000000001,6245000.000000001,0.057507,-1640000.0,-0.015102,127000.0,-3434000.0,-0.031622,-735000.0,-2699000.0,-0.024854,-0.14553,-0.14553,18546000,18546000,https://www.sec.gov/Archives/edgar/data/1023313/000156459019042244/0001564590-19-042244-index.htm,https://www.sec.gov/Archives/edgar/data/1023313/000156459019042244/forr-10q_20190930.htm
0,2019-06-30,FORR,2019-08-06,2019-08-06 16:02:08,Q2,128183000,56571000,71612000,0.5586700264465647,0.0,57238000,44017000,66323000,66990000.00000001,123561000.00000001,2085000.0,7264999.999999999,11792999.999999998,0.092001,4622000.0,0.036058,-86000.0,2443000.0,0.019059,888000.0,1555000.0,0.012131,0.0828,0.0828,18780000,18780000,https://www.sec.gov/Archives/edgar/data/1023313/000156459019029316/0001564590-19-029316-index.htm,https://www.sec.gov/Archives/edgar/data/1023313/000156459019029316/forr-10q_20190630.htm
0,2019-03-31,FORR,2019-05-10,2019-05-10 16:02:00,Q1,100649000,45110000,55539000,0.5518087611402,0.0,55223000,42033000,56310000,66423000,111533000,2352000.0,8233000.0,-2957000.0,-0.029379,-10884000,-0.108138,-270000.0,-13542000,-0.134547,-226000.0,-13316000,-0.132301,-0.72515,-0.72515,18363000,18363000,https://www.sec.gov/Archives/edgar/data/1023313/000156459019018519/0001564590-19-018519-index.htm,https://www.sec.gov/Archives/edgar/data/1023313/000156459019006987/forr-10k_20181231.htm
0,2018-12-31,FORR,2019-03-08,2019-03-08 16:02:02,Q4,98583000,38965000,59618000,0.6047492975462301,0.0,46102000,35053000,43737000,50873999.99999999,89839000,488000.0,2291000.0,11813000,0.119828,8744000.0,0.088697,202000.0,9434000.0,0.095696,3659000.0,5375000.0,0.054523,0.29115,0.29115,18461000,18461000,https://www.sec.gov/Archives/edgar/data/1023313/000156459019006987/0001564590-19-006987-index.htm,https://www.sec.gov/Archives/edgar/data/1023313/000156459019006987/forr-10k_20181231.htm
0,2018-09-30,FORR,2018-11-06,2018-11-06 16:02:07,Q3,84890000,34361000,50529000,0.5952291200376958,0.0,42243000,31051000,37705000,45586999.99999999,79948000,-17000.0,2366000.0,7593000.0,0.089445,4942000.0,0.058217,319000.0,5244000.0,0.061774,1294000.0,3950000.0,0.046531,0.21429,0.21429,18433000,18433000,https://www.sec.gov/Archives/edgar/data/1023313/000156459018027383/0001564590-18-027383-index.htm,https://www.sec.gov/Archives/edgar/data/1023313/000156459018027383/forr-10q_20180930.htm
0,2018-06-30,FORR,2018-08-08,2018-08-08 16:02:03,Q2,96400000,39100000,57300000,0.5943983402489627,0.0,43600000,32709000,41677000,46199999.99999999,85300000,0.0,2270000.0,13570000,0.140768,11000000,0.114108,300000.0,11300000,0.11722,3500000.0,7800000.0,0.080913,0.42623,0.42623,18300000,18300000,https://www.sec.gov/Archives/edgar/data/1023313/000156459018020447/0001564590-18-020447-index.htm,https://www.sec.gov/Archives/edgar/data/1023313/000156459018020447/forr-10q_20180630.htm
0,2018-03-31,FORR,2018-05-10,2018-05-10 16:01:29,Q1,77700000,34100000,43600000,0.5611325611325612,0.0,43800000,33011000,36287000,45900000,80000000,0.0,2190000.0,-210000.0,-0.002703,-2300000.0,-0.029601,-100000.0,-2400000.0,-0.030888,-700000.0,-1700000.0,-0.021879,-0.09444,-0.09444,18000000,18000000,https://www.sec.gov/Archives/edgar/data/1023313/000156459018012929/0001564590-18-012929-index.htm,https://www.sec.gov/Archives/edgar/data/1023313/000156459018005110/forr-10k_20171231.htm
0,2017-12-31,FORR,2018-03-09,2018-03-09 16:02:28,Q4,90400000,36100000,54300000,0.6006637168141593,0.0,44800000,33562000,38130000,46800000.00000001,82900000,500000.0,2070000.0000000002,8970000.0,0.099226,7500000.0,0.082965,100000.0,8000000.0,0.088496,4300000.0,2100000.0,0.02323,0.11475,0.11475,18300000,18300000,https://www.sec.gov/Archives/edgar/data/1023313/000156459018005110/0001564590-18-005110-index.htm,https://www.sec.gov/Archives/edgar/data/1023313/000156459018005110/forr-10k_20171231.htm
0,2017-09-30,FORR,2017-11-07,2017-11-07 16:01:25,Q3,80400000,32500000,47900000,0.595771144278607,0.0,39300000,29225000,34312000,41099999.99999999,73600000,-800000.0,1800000.0000000002,7200000.0,0.089552,6700000.0,0.083333,100000.0,6100000.0,0.075871,2200000.0,4000000.0,0.049751,0.22099,0.22099,18100000,18100000,https://www.sec.gov/Archives/edgar/data/1023313/000156459017022209/0001564590-17-022209-index.htm,https://www.sec.gov/Archives/edgar/data/1023313/000156459017022209/forr-10q_20170930.htm
0,2017-06-30,FORR,2017-08-08,2017-08-08 16:01:31,Q2,89700000,36900000,52800000,0.5886287625418061,0.0,40900000,30508000,38593000,42600000,79500000,0.0,1690000.0,11990000,0.133668,10200000,0.113712,100000.0,10300000,0.114827,4200000.0,6100000.0,0.068004,0.33702,0.33702,18100000,18100000,https://www.sec.gov/Archives/edgar/data/1023313/000156459017016489/0001564590-17-016489-index.htm,https://www.sec.gov/Archives/edgar/data/1023313/000156459017016489/forr-10q_20170630.htm
0,2017-03-31,FORR,2017-05-09,2017-05-09 16:01:13,Q1,77200000,31400000,45800000,0.5932642487046632,0.0,40800000,30622000,33266000,42699999.99999999,74100000,-200000.0,1870000.0,4570000.0,0.059197,3100000.0,0.040155,9000.0,2900000.0,0.037565,-100000.0,3000000.0,0.03886,0.16216,0.16216,18500000,18500000,https://www.sec.gov/Archives/edgar/data/1023313/000156459017009824/0001564590-17-009824-index.htm,https://www.sec.gov/Archives/edgar/data/1023313/000156459017003971/forr-10k_20161231.htm
