,date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
0,2019-12-31,ALRS.ME,2019-12-31,2019-12-31,FY,13315000000,24340000000,37655000000,0.0,121302000000,0.0,178733000000,234629000000,1439000000,0.0,1439000000,8487000000,5637000000,0.0,251365000000,0.0,430098000000,6394000000,24340000000,0.0,0.0,0.0,64187000000,0.0,0.0,4684000000,3787000000,111945000000,0.0,176132000000,12473000000,230737000000,-216022000000,0.0,253377000000,176132000000,0.0,117284000000,18351000000,http://www.cbr.ru/eng/search/?text=ALRS&category=Any&time=Any&dateFrom=&dateTo=,http://www.cbr.ru/eng/search/?text=ALRS&category=Any&time=Any&dateFrom=&dateTo=
0,2018-12-31,ALRS.ME,2018-12-31,2018-12-31,FY,27437000000,11784000000,39221000000,0.0,92619000000,0.0,154750000000,234873000000,1439000000,0.0,1439000000,5191000000,4785000000,0.0,256442000000,0.0,411192000000,6380000000,11784000000,0.0,0.0,1500000000,74581000000,64974000000,0.0,3245000000,3591000000,89034000000,1500000000,163615000000,12473000000,224976000000,-197028000000,0.0,247616000000,163615000000,0.0,106661000000,79224000000,http://www.cbr.ru/eng/search/?text=ALRS&category=Any&time=Any&dateFrom=&dateTo=,http://www.cbr.ru/eng/search/?text=ALRS&category=Any&time=Any&dateFrom=&dateTo=
0,2017-12-31,ALRS.ME,2017-12-31,2017-12-31,FY,7381000000,0.0,7381000000,0.0,91976000000,0.0,168526000000,236589000000,1439000000,0.0,1439000000,4312000000,3837000000,0.0,259255000000,0.0,427781000000,6605000000,0.0,0.0,0.0,0.0,75655000000,0.0,0.0,5466000000,0.0,85639000000,0.0,161294000000,12473000000,243921000000,-174072000000,0.0,266825000000,161294000000,0.0,93428000000,0.0,http://www.cbr.ru/eng/search/?text=ALRS&category=Any&time=Any&dateFrom=&dateTo=,http://www.cbr.ru/eng/search/?text=ALRS&category=Any&time=Any&dateFrom=&dateTo=
0,2016-12-31,ALRS.ME,2016-12-31,2016-12-31,FY,30410000000,28570000000,58980000000,0.0,98576000000,0.0,172856000000,288874000000,1439000000,0.0,1439000000,4061000000,1967000000,0.0,299858000000,0.0,472714000000,6820000000,28570000000,0.0,0.0,0.0,36412000000,0.0,0.0,11018000000,0.0,179332000000,0.0,215744000000,12473000000,234298000000,-162659000000,0.0,257202000000,215744000000,0.0,142335000000,0.0,http://www.cbr.ru/eng/search/?text=ALRS&category=Any&time=Any&dateFrom=&dateTo=,http://www.cbr.ru/eng/search/?text=ALRS&category=Any&time=Any&dateFrom=&dateTo=
0,2015-12-31,ALRS.ME,2015-12-31,2015-12-31,FY,20503000000,0.0,20503000000,0.0,94296000000,0.0,136689000000,283963000000,1439000000,0.0,1439000000,6891000000,1919000000,0.0,298376000000,0.0,435065000000,6554000000,0.0,0.0,0.0,0.0,55750000000,197272000000,0.0,13966000000,0.0,227830000000,0.0,283580000000,12473000000,128853000000,-144632000000,0.0,151742000000,283580000000,0.0,223159000000,202315000000,http://www.cbr.ru/eng/search/?text=ALRS&category=Any&time=Any&dateFrom=&dateTo=,http://www.cbr.ru/eng/search/?text=ALRS&category=Any&time=Any&dateFrom=&dateTo=
0,2014-12-31,ALRS.ME,2014-12-31,2014-12-31,FY,21693000000,0.0,21693000000,0.0,63488000000,0.0,104093000000,271618000000,1439000000,0.0,1439000000,6219000000,1912000000,0.0,284156000000,0.0,388249000000,5508000000,0.0,0.0,0.0,0.0,53276000000,176077000000,0.0,11301000000,0.0,197799000000,0.0,251075000000,12473000000,114147000000,-135027000000,0.0,137051000000,251075000000,0.0,197160000000,174979000000,http://www.cbr.ru/eng/search/?text=ALRS&category=Any&time=Any&dateFrom=&dateTo=,http://www.cbr.ru/eng/search/?text=ALRS&category=Any&time=Any&dateFrom=&dateTo=
0,2013-12-31,ALRS.ME,2013-12-31,2013-12-31,FY,9270000000,0.0,9270000000,0.0,60611000000,0.0,129669000000,215277000000,1439000000,0.0,1439000000,4558000000,0.0,0.0,225202000000,0.0,354871000000,5815000000,0.0,0.0,0.0,0.0,93707000000,81953000000,0.0,3282000000,0.0,101703000000,0.0,195410000000,12473000000,136901000000,-119254000000,0.0,159800000000,195410000000,0.0,138591000000,128737000000,http://www.cbr.ru/eng/search/?text=ALRS&category=Any&time=Any&dateFrom=&dateTo=,http://www.cbr.ru/eng/search/?text=ALRS&category=Any&time=Any&dateFrom=&dateTo=
0,2012-12-31,ALRS.ME,2012-12-31,2012-12-31,FY,6242000000,0.0,6242000000,0.0,54670000000,0.0,73691000000,224746000000,1439000000,0.0,1439000000,2115000000,0.0,0.0,231018000000,0.0,304709000000,4114000000,0.0,0.0,0.0,0.0,57230000000,90357000000,0.0,8933000000,0.0,109630000000,0.0,166860000000,12473000000,115647000000,-108630000000,0.0,138297000000,166860000000,2115000000,122701000000,116005000000,http://www.cbr.ru/eng/search/?text=ALRS&category=Any&time=Any&dateFrom=&dateTo=,http://www.cbr.ru/eng/search/?text=ALRS&category=Any&time=Any&dateFrom=&dateTo=
0,2011-12-31,ALRS.ME,2011-12-31,2011-12-31,FY,12014000000,0.0,12014000000,0.0,44429000000,0.0,65414000000,169534000000,0.0,0.0,1439000000,2350000000,0.0,0.0,175550000000,0.0,240964000000,15591000000,0.0,0.0,0.0,0.0,43310000000,75017000000,0.0,3478000000,0.0,84557000000,0.0,127867000000,12473000000,91159000000,-97454000000,0.0,113814000000,127867000000,2350000000,95553000000,83027000000,http://www.cbr.ru/eng/search/?text=ALRS&category=Any&time=Any&dateFrom=&dateTo=,http://www.cbr.ru/eng/search/?text=ALRS&category=Any&time=Any&dateFrom=&dateTo=
0,2010-12-31,ALRS.ME,2010-12-31,2010-12-31,FY,4136000000,0.0,4136000000,0.0,34514000000,0.0,49105000000,168020000000,0.0,0.0,1439000000,1975000000,0.0,0.0,173322000000,0.0,222427000000,11529000000,0.0,0.0,0.0,0.0,30882000000,88510000000,0.0,2459000000,0.0,98935000000,0.0,129817000000,12473000000,70026000000,-90963000000,0.0,92891000000,129817000000,1975000000,101965000000,97318000000,http://www.cbr.ru/eng/search/?text=ALRS&category=Any&time=Any&dateFrom=&dateTo=,http://www.cbr.ru/eng/search/?text=ALRS&category=Any&time=Any&dateFrom=&dateTo=
