,date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
0,2019-12-31,IBG.TO,2019-12-31,2019-12-31,FY,460458000,83605000,376853000,0.818430779788819,0.0,272723000,0.0,1152000.0,45390000,421416000,12426000,19698000,59020000,0.12817672838782257,39042000,0.049411672725851216,-2992000.0,22752000,0.049411672725851216,5903000.0,14028000,0.030465319312510588,0.45,0.45,31229000,37769000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=IBI Group Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=IBI Group Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2018-12-31,IBG.TO,2018-12-31,2018-12-31,FY,454614000,86314000,368300000,0.8101378312150528,0.0,284715000,0.0,9017000.0,41739000,418778000,10939000,6010000.0,49730000,0.10938950406278733,35836000,0.06201744776887645,4430000.0,28194000,0.06201744776887645,7703000.0,17059000,0.03752414135948299,0.55,0.54,31218000,38003000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=IBI Group Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=IBI Group Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2017-12-31,IBG.TO,2017-12-31,2017-12-31,FY,361408000,0.0,0.0,0.0,0.0,281617000,0.0,-3922000.0,39688000,325765000,10326000,4460000.0,34367000,0.09509197361430849,35643000,0.05226779706038605,-4961000.0,18890000,0.05226779706038605,7518000.0,9465000.0,0.026189237648308838,0.3,0.3,31190000,37857000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=IBI Group Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=IBI Group Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2016-12-31,IBG.TO,2016-12-31,2016-12-31,FY,354140000,0.0,0.0,0.0,0.0,271609000,0.0,1819000.0,41781000,318715000,25553000,5325000.0,40895000,0.11547693002767268,35425000,0.002826565764951714,-7229000.0,1001000.0,0.002826565764951714,-2493000.0,2814000.0,0.007946010052521602,0.11,0.11,26020000,32495000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=IBI Group Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=IBI Group Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2015-12-31,IBG.TO,2015-12-31,2015-12-31,FY,327092000,0.0,327092000,1.0,0.0,253366000,0.0,0.0,37136000,295310000,21792000,4808000.0,34897000,0.10668863805901703,31782000,0.047417851858192805,6428000.0,15510000,0.047417851858192805,4174000.0,7381000.0,0.022565516735352745,0.41,0.41,17985000,23059000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=IBI Group Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=IBI Group Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2014-12-31,IBG.TO,2014-12-31,2014-12-31,FY,298274000,0.0,298274000,1.0,0.0,239028000,0.0,0.0,38837000,281353000,18693000,3488000.0,16213000,0.05435606187599321,16921000,0.02937232209310902,14648000,8761000.0,0.02937232209310902,2842000.0,-2458000.0,-0.008240745086732334,-0.132364,-0.132364,18659802,23975762,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=IBI Group Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=IBI Group Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2013-12-31,IBG.TO,2013-12-31,2013-12-31,FY,287965000,0.0,287965000,1.0,0.0,263761000,0.0,0.0,40028000,312965000,14728000,9176000.0,-16450000,-0.057124997829597346,-25000000,-0.8211379855190735,-196105000,-236459000,-0.8211379855190735,-12991000,-172819000,-0.6001389057697984,-9.501821,-9.501821,18193360,18193360,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=IBI Group Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=IBI Group Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2012-12-31,IBG.TO,2012-12-31,2012-12-31,FY,337727000,0.0,337727000,1.0,0.0,265562000,0.0,0.0,39848000,318889000,13578000,13479000,31816000,0.0942062671921404,18838000,-0.04709721165319918,-20665000,-15906000,-0.04709721165319918,-1494000.0,-10884000,-0.032227213104075184,-0.661818,-0.661818,16446052,16446052,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=IBI Group Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=IBI Group Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2011-12-31,IBG.TO,2011-12-31,2011-12-31,FY,332307000,0.0,332307000,1.0,0.0,243172000,0.0,-1502000.0,38517000,293152000,15250000,11463000,49116000,0.147803085700873,39155000,0.0574589160023713,-4811000.0,19094000,0.0574589160023713,6439000.0,9124000.0,0.027456538682603737,0.665033,0.665033,13719322,13719322,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=IBI Group Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=IBI Group Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2010-12-31,IBG.TO,2010-12-31,2010-12-31,FY,290398000,0.0,290398000,1.0,0.0,211793000,0.0,0.0,35952000,258870000,10488000,11125000,42653000,0.14687773331772258,31528000,0.07245228961631967,10488000,21040000,0.07245228961631967,1208000.0,14260000,0.049105021384444794,1.049266,1.049266,13590456,13590456,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=IBI Group Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=IBI Group Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
