,date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
0,2020-09-30,ANH,2020-11-05,2020-11-05 13:36:17,Q3,37730000,0.0,0.0,6995000.0,0.0,0.0,37730000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2438772000,5227000.0,0.0,0.0,0.0,0.0,0.0,346553000,0.0,0.0,0.0,0.0,0.0,2019383000,991000.0,-741930000,0.0,0.0,419389000,2019383000,0.0,449127000,410545000,https://www.sec.gov/Archives/edgar/data/1047884/000155837020012787/0001558370-20-012787-index.htm,https://www.sec.gov/Archives/edgar/data/1047884/000155837020012787/anh-20200930x10q.htm
0,2020-06-30,ANH,2020-08-05,2020-08-05 15:11:40,Q2,29508000,0.0,0.0,7856000.0,0.0,0.0,29508000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2678134000,0.0,2715498000,5187000.0,0.0,0.0,0.0,0.0,2277871000,396234000,0.0,0.0,0.0,37380000,0.0,2315251000,990000.0,-756545000,0.0,0.0,400247000,2315251000,0.0,501841000,471346000,https://www.sec.gov/Archives/edgar/data/1047884/000155837020009364/0001558370-20-009364-index.htm,https://www.sec.gov/Archives/edgar/data/1047884/000155837020009364/anh-20200630x10q.htm
0,2020-03-31,ANH,2020-05-11 00:00:00,2020-05-11 14:47:21,Q1,55561000,0.0,0.0,78107000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3551011000,11942000,0.0,0.0,0.0,0.0,3129582000,444623000,0.0,0.0,0.0,37380000,0.0,3166962000,989000.0,-781187000,0.0,0.0,384049000,3166962000,0.0,561965000,505283000,https://www.sec.gov/Archives/edgar/data/1047884/000155837020006195/0001558370-20-006195-index.html,https://www.sec.gov/Archives/edgar/data/1047884/000155837020006195/anh-20200331x10q.htm
0,2019-12-31,ANH,2020-03-05 00:00:00,2020-03-05 17:19:27,Q4,8236000.0,0.0,0.0,16398000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,760336000,0.0,4938631000,16757000,0.0,0.0,0.0,0.0,4329299000,486367000,0.0,0.0,0.0,37380000,0.0,4366679000,988000.0,-593039000,0.0,0.0,571952000,4366679000,0.0,621434000,611942000,https://www.sec.gov/Archives/edgar/data/1047884/000155837020002082/0001558370-20-002082-index.html,https://www.sec.gov/Archives/edgar/data/1047884/000155837020002082/anh-20191231x10k.htm
0,2019-09-30,ANH,2019-11-06 00:00:00,2019-11-06 16:07:18,Q3,13867000,0.0,0.0,23890000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759841000,0.0,4581761000,14722000,0.0,0.0,0.0,0.0,3990289000,511665000,0.0,0.0,0.0,37380000,0.0,4027669000,988000.0,-611588000,0.0,0.0,554092000,4027669000,0.0,629162000,613904000,https://www.sec.gov/Archives/edgar/data/1047884/000155837019010159/0001558370-19-010159-index.html,https://www.sec.gov/Archives/edgar/data/1047884/000155837019010159/anh-20190930x10q.htm
0,2019-06-30,ANH,2019-08-06 00:00:00,2019-08-06 14:49:42,Q2,17028000,0.0,0.0,17330000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781895000,0.0,4480683000,21246000,0.0,0.0,0.0,0.0,3878236000,542765000,0.0,0.0,0.0,37380000,0.0,3915616000,987000.0,-581922000,0.0,0.0,565067000,3915616000,0.0,636801000,618248000,https://www.sec.gov/Archives/edgar/data/1047884/000155837019007201/0001558370-19-007201-index.html,https://www.sec.gov/Archives/edgar/data/1047884/000155837019007201/anh-20190630x10q.htm
0,2019-03-31,ANH,2019-05-07 00:00:00,2019-05-07 16:03:32,Q1,21997000,0.0,0.0,17539000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,788505000,0.0,5341729000,16084000,0.0,0.0,0.0,0.0,4717499000,563092000,0.0,0.0,0.0,37380000,0.0,4754879000,986000.0,-521070000,0.0,0.0,586850000,4754879000,0.0,580194000,556537000,https://www.sec.gov/Archives/edgar/data/1047884/000155837019004240/0001558370-19-004240-index.html,https://www.sec.gov/Archives/edgar/data/1047884/000155837019004240/anh-20190331x10q.htm
0,2018-12-31,ANH,2019-02-28 00:00:00,2019-02-28 17:22:48,Q4,3165000.0,0.0,0.0,16872000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673947000,0.0,5037906000,24828000,0.0,0.0,0.0,0.0,4421215000,577031000,0.0,0.0,0.0,37380000,0.0,4456801000,985000.0,-485988000,0.0,0.0,581105000,4456801000,0.0,577031000,573866000,https://www.sec.gov/Archives/edgar/data/1047884/000155837019001355/0001558370-19-001355-index.html,https://www.sec.gov/Archives/edgar/data/1047884/000155837019001355/anh-20181231x10k.htm
0,2018-09-30,ANH,2018-11-06 00:00:00,2018-11-06 15:51:32,Q3,6896000.0,0.0,0.0,17530000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660267000,0.0,5293564000,16267000,0.0,0.0,0.0,0.0,4634811000,590498000,0.0,0.0,0.0,37380000,0.0,4672191000,984000.0,-434950000,0.0,0.0,621373000,4672191000,0.0,590498000,583602000,https://www.sec.gov/Archives/edgar/data/1047884/000155837018008617/0001558370-18-008617-index.html,https://www.sec.gov/Archives/edgar/data/1047884/000155837018008617/anh-20180930x10q.htm
0,2018-06-30,ANH,2018-08-06 00:00:00,2018-08-06 15:40:31,Q2,12593000,0.0,0.0,17272000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674746000,0.0,5318950000,21881000,0.0,0.0,0.0,0.0,4640200000,613033000,0.0,0.0,0.0,37400000,0.0,4677649000,983000.0,-436245000,0.0,0.0,641301000,4677649000,0.0,613033000,600440000,https://www.sec.gov/Archives/edgar/data/1047884/000155837018006435/0001558370-18-006435-index.html,https://www.sec.gov/Archives/edgar/data/1047884/000155837018006435/anh-20180630x10q.htm
