,date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
0,2020-09-30,MAC,2020-11-06,2020-11-06 14:10:52,Q3,528431000,0,528431000,0,0,0,528431000,0,0,0,0,0,0,0,0,8654857000,9183288000,71939000,4373710000,0,0,0,4445649000,0,0,0,0,0,0,6534751000,1496000,0,-10889000,2473721000,2464328000,9183288000,0,4373710000,3845279000,https://www.sec.gov/Archives/edgar/data/912242/000091224220000016/0000912242-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000091224220000016/mac-20200930.htm
0,2020-06-30,MAC,2020-08-10,2020-08-10 16:11:21,Q2,497581000,0,497581000,247868000,0,0,497581000,6639198000,0,111948000,111948000,1568878000,0,42191000,8730767000,42191000,9228348000,58672000,4377787000,0,0,0,676920000,6049031000,0,0,141334000,6049031000,141334000,6725951000,1496000,-2082082000,-27402000,-13701000,2502397000,9228348000,1568878000,6049031000,5551450000,https://www.sec.gov/Archives/edgar/data/912242/000091224220000013/0000912242-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000091224220000013/mac-20200630.htm
0,2020-03-31,MAC,2020-05-11,2020-05-11 16:21:07,Q1,652354000,0,652354000,143355000,0,0,652354000,6701712000,0,120383000,120383000,1540826000,0,41542000,0,41542000,9299648000,66991000,4384680000,0,0,0,677455000,6088202000,0,0,141966000,6088202000,141966000,6765657000,1416000,-2042688000,-30892000,-15446000,2533991000,9299648000,1540826000,6088202000,5435848000,https://www.sec.gov/Archives/edgar/data/912242/000091224220000007/0000912242-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000091224220000007/mac-20200331.htm
0,2019-12-31,MAC,2020-02-25,2020-02-25 13:13:31,Q4,100005000,0,100005000,150192000,0,0,100005000,6791600000,0,131285000,131285000,1519697000,0,44968000,8753566000,44968000,8853571000,51027000,4392599000,0,0,0,737433000,5483876000,0,30757000,144965000,5483876000,144965000,6221309000,1414000,-1944012000,-18102000,-9051000,2632262000,8853571000,1519697000,5483876000,5383871000,https://www.sec.gov/Archives/edgar/data/912242/000091224220000004/0000912242-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000091224220000004/mac-20191231.htm
0,2019-09-30,MAC,2019-11-05,2019-11-05 12:09:30,Q3,98309000,0,98309000,139356000,0,0,98309000,6814762000,0,143495000,143495000,1436788000,0,39602000,8677664000,39602000,8775973000,61348000,4294633000,0,0,0,744797000,5323965000,0,30643000,149909000,5323965000,149909000,6068762000,1413000,-1864807000,-21892000,-10946000,2707211000,8775973000,1436788000,5323965000,5225656000,https://www.sec.gov/Archives/edgar/data/912242/000091224219000017/0000912242-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000091224219000017/mac-20190930.htm
0,2019-06-30,MAC,2019-08-05,2019-08-05 14:48:49,Q2,104880000,0,104880000,135056000,0,0,104880000,6842701000,0,154207000,154207000,1517771000,0,74547000,8839219000,74547000,8944099000,52894000,4305028000,0,0,0,746552000,5433403000,0,30999000,157028000,5433403000,157028000,6179955000,1413000,-1805097000,-21584000,-10792000,2764144000,8944099000,1517771000,5433403000,5328523000,https://www.sec.gov/Archives/edgar/data/912242/000091224219000013/0000912242-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000091224219000013/mac-6302019x10q.htm
0,2019-03-31,MAC,2019-05-07,2019-05-07 13:53:33,Q1,111022000,0,111022000,119641000,0,0,111022000,6893458000,0,166277000,166277000,1528080000,0,74904000,8891899000,74904000,9002921000,59024000,4162072000,0,0,0,772968000,5375240000,0,31851000,163959000,5375240000,163959000,6148208000,1413000,-1714789000,-13022000,-6511000,2854713000,9002921000,1528080000,5375240000,5264218000,https://www.sec.gov/Archives/edgar/data/912242/000091224219000007/0000912242-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000091224219000007/mac-3312019x10q.htm
0,2018-12-31,MAC,2019-02-25,2019-02-25 12:19:25,Q4,102711000,0,102711000,208673000,0,0,102711000,6785776000,0,236852000,236852000,1492655000,0,124644000,8924097000,124644000,9026808000,59392000,908544000,0,0,0,715631000,5360945000,0,32197000,166973000,5360945000,166973000,6076576000,1412000,-1614357000,-8932000,-4466000,2950232000,9026808000,1492655000,5360945000,5258234000,https://www.sec.gov/Archives/edgar/data/912242/000091224219000004/0000912242-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000091224219000004/mac-2018x1231x10k.htm
0,2018-09-30,MAC,2018-11-05,2018-11-05 13:04:02,Q3,93000000,0,93000000,193000000,0,0,93479000,6821000000,0,246000000,246000000,1465000000,0,132000000,8917251000,132000000,9011000000,61308000,788122000,0,0,0,709000000,5257000000,0,30366000,170000000,5257000000,170000000,5966000000,1000000,-1520000000,-2032000000,3042894000,3044000000,9011000000,1465000000,5257000000,5164000000,https://www.sec.gov/Archives/edgar/data/912242/000091224218000015/0000912242-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000091224218000015/mac-9302018x10q.htm
0,2018-06-30,MAC,2018-08-03,2018-08-03 14:31:58,Q2,92000000,0,92000000,175000000,0,0,92452000,6869000000,0,251000000,251000000,1381000000,0,279000000,9022765000,279000000,9115000000,57880000,732801000,0,0,0,688000000,5357000000,0,30834000,150000000,5357000000,150000000,6045000000,1000000,-1490000000,-1992000000,3069131000,3071000000,9115000000,1381000000,5357000000,5265000000,https://www.sec.gov/Archives/edgar/data/912242/000091224218000012/0000912242-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000091224218000012/mac-6302018x10q.htm
