,date,symbol,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2020-06-30,SITC,,,Q2,-4403000.0,40873000,0.0,2748000.0,-10912000,-24737000,0.0,0.0,1913000.0,1031000.0,36015000,-17181000,0.0,0.0,0.0,0.0,0.0,-394000.0,0.0,0.0,-44047000,-29000.0,0.0,0.0,0.0,128684000,514364000,36015000,0.0,36015000,,
0,2020-03-31,SITC,2020-04-30 00:00:00,2020-04-30 07:46:41,Q1,34628000,42993000,0.0,18000.0,-28404000,4177000.0,0.0,0.0,-13953000,-1506000.0,35850000,-21962000,0.0,0.0,0.0,7500000.0,0.0,-257004000,0.0,-7500000.0,-44036000,-278000.0,0.0,0.0,0.0,514364000,19133000,35850000,0.0,35850000,https://www.sec.gov/Archives/edgar/data/894315/000156459020019957/0001564590-20-019957-index.html,https://www.sec.gov/Archives/edgar/data/894315/000156459020019957/sitc-10q_20200331.htm
0,2019-12-31,SITC,2020-02-27 00:00:00,2020-02-27 11:39:13,Q4,24292000,41687000,0.0,308000.0,11979000,128000.0,0.0,0.0,8356000.0,921000.0,80734000,-102382000,0.0,0.0,0.0,55967000,0.0,4297000.0,0.0,-200031000,-46159000,-297000.0,0.0,0.0,0.0,19133000,26023000,80734000,0.0,80734000,https://www.sec.gov/Archives/edgar/data/894315/000156459020007127/0001564590-20-007127-index.html,https://www.sec.gov/Archives/edgar/data/894315/000156459020007127/sitc-10k_20191231.htm
0,2019-09-30,SITC,2019-11-04 00:00:00,2019-11-04 12:02:00,Q3,23901000,40732000,0.0,3790000.0,4409000.0,3400000.0,0.0,0.0,869000.0,1182000.0,69211000,107000.0,0.0,0.0,0.0,3352000.0,0.0,-75576000,0.0,0.0,-44641000,-5311000.0,0.0,0.0,0.0,26023000,11165000,69211000,0.0,69211000,https://www.sec.gov/Archives/edgar/data/894315/000156459019039608/0001564590-19-039608-index.html,https://www.sec.gov/Archives/edgar/data/894315/000156459019039608/sitc-10q_20190930.htm
0,2019-06-30,SITC,2019-08-05,2019-08-05 13:32:07,Q2,17537000,40060000,0.0,2875000.0,11734000,-3185000.0,0.0,0.0,3111000.0,936000.0,77946000,-25088000,0.0,0.0,0.0,1379000.0,0.0,34433000,0.0,0.0,-44636000,-167000.0,0.0,0.0,0.0,11165000,11673000,77946000,0.0,77946000,https://www.sec.gov/Archives/edgar/data/894315/000156459019028661/sitc-10q_20190630.htm,https://www.sec.gov/Archives/edgar/data/894315/000156459019028661/sitc-10q_20190630.htm
0,2019-03-31,SITC,2019-05-03 00:00:00,2019-05-03 12:31:38,Q1,36095000,42608000,0.0,2917000.0,-26929000,4018000.0,0.0,0.0,-12081000,937000.0,42263000,51885000,0.0,0.0,0.0,12687000,0.0,-60526000,0.0,-14069000,-45262000,-213000.0,0.0,0.0,0.0,11673000,13650000,42263000,0.0,42263000,https://www.sec.gov/Archives/edgar/data/894315/000156459019015575/0001564590-19-015575-index.html,https://www.sec.gov/Archives/edgar/data/894315/000156459019015575/sitc-10q_20190331.htm
0,2018-12-31,SITC,2019-02-27 00:00:00,2019-02-27 12:32:55,Q4,181327000,45587000,0.0,2124000.0,2452000.0,610000.0,0.0,0.0,5381000.0,-3393000.0,67338000,571954000,0.0,0.0,0.0,9005000.0,0.0,-510700000,0.0,0.0,-45406000,-213000.0,0.0,0.0,0.0,13650000,13273000,67338000,0.0,67338000,https://www.sec.gov/Archives/edgar/data/894315/000156459019004779/0001564590-19-004779-index.html,https://www.sec.gov/Archives/edgar/data/894315/000156459019004779/sitc-10k_20181231.htm
0,2018-09-30,SITC,2018-11-02 00:00:00,2018-11-02 11:01:48,Q3,-8692000.0,49629000,0.0,622000.0,-6845000.0,-1161000.0,0.0,0.0,-7187000.0,-26229000,35714000,-27315000,0.0,0.0,0.0,21746000,0.0,36704000,0.0,0.0,-78690000,-53049000,0.0,0.0,0.0,13273000,106797000,35714000,0.0,35714000,https://www.sec.gov/Archives/edgar/data/894315/000156459018026400/0001564590-18-026400-index.html,https://www.sec.gov/Archives/edgar/data/894315/000156459018026400/sitc-10q_20180930.htm
0,2018-06-30,SITC,2018-08-03 00:00:00,2018-08-03 11:27:01,Q2,-2633000.0,72462000,0.0,2994000.0,43396000,-6930000.0,0.0,0.0,14442000,1982000.0,103994000,132675000,0.0,0.0,0.0,30521000,0.0,-35216000,0.0,0.0,-78687000,-638000.0,0.0,0.0,0.0,106797000,65817000,103994000,0.0,103994000,https://www.sec.gov/Archives/edgar/data/894315/000156459018019068/0001564590-18-019068-index.html,https://www.sec.gov/Archives/edgar/data/894315/000156459018019068/ddr-10q_20180630.htm
0,2018-03-31,SITC,2018-05-04 00:00:00,2018-05-04 11:41:32,Q1,-53897000,74424000,0.0,1728000.0,-35764000,5183000.0,0.0,0.0,-19836000,10103000,57761000,100762000,0.0,0.0,0.0,36072000,0.0,-1603472000,0.0,0.0,-78549000,-33329000,0.0,0.0,0.0,65817000,94724000,57761000,0.0,57761000,https://www.sec.gov/Archives/edgar/data/894315/000156459018010890/0001564590-18-010890-index.html,https://www.sec.gov/Archives/edgar/data/894315/000156459018010890/ddr-10q_20180331.htm
