,date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
0,2020-03-31,CAPLI.PA,2020-03-31,2020-03-31,FY,94123000,0.0,94123000,0.0,247970000,0.0,550343000,21366000,232000.0,719000.0,951000.0,1211000.0,6239000.0,112000.0,34795000,0.0,585138000,139532000,0.0,0.0,0.0,12221000,383179000,102392000,0.0,11861000,2000.0,129750000,12221000,512929000,15139000,67000.0,-4457000.0,0.0,71053000,512929000,0.0,303013000,191138000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.A.P.L.I#phrase=C.A.P.L.I,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.A.P.L.I#phrase=C.A.P.L.I
0,2019-03-31,CAPLI.PA,2019-03-31,2019-03-31,FY,92964000,0.0,92964000,0.0,170367000,0.0,419893000,7433000.0,232000.0,251000.0,483000.0,842000.0,2889000.0,0.0,16686000,0.0,436579000,107793000,0.0,0.0,0.0,803000.0,247965000,108518000,0.0,9441000.0,0.0,118241000,803000.0,366206000,15139000,7233000.0,-2054000.0,0.0,68422000,366206000,0.0,207765000,114801000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.A.P.L.I#phrase=C.A.P.L.I,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.A.P.L.I#phrase=C.A.P.L.I
0,2018-03-31,CAPLI.PA,2018-03-31,2018-03-31,FY,62885000,0.0,62885000,0.0,116884000,0.0,307401000,9927000.0,232000.0,175000.0,407000.0,594000.0,1893000.0,10297000,24320000,0.0,331721000,69725000,0.0,0.0,0.0,547000.0,189761000,69998000,0.0,7821000.0,0.0,83569000,547000.0,273330000,15139000,25528000,-1548000.0,0.0,54684000,273330000,0.0,162926000,100041000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.A.P.L.I#phrase=C.A.P.L.I,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.A.P.L.I#phrase=C.A.P.L.I
0,2017-03-31,CAPLI.PA,2017-03-31,2017-03-31,FY,35372000,0.0,35372000,0.0,101302000,0.0,220227000,3519000.0,232000.0,220000.0,452000.0,568000.0,1292000.0,0.0,6839000.0,0.0,227066000,68631000,0.0,0.0,0.0,1764000.0,137079000,41745000,0.0,4473000.0,0.0,47294000,1764000.0,184373000,15139000,22805000,-1882000.0,0.0,39533000,184373000,0.0,93535000,58163000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.A.P.L.I#phrase=C.A.P.L.I,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.A.P.L.I#phrase=C.A.P.L.I
0,2016-03-31,CAPLI.PA,2016-03-31,2016-03-31,FY,16627000,0.0,16627000,0.0,95123000,0.0,170940000,3843000.0,232000.0,36000.0,268000.0,524000.0,698000.0,1000.0,6637000.0,0.0,177577000,38648000,0.0,0.0,0.0,736000.0,103717000,27635000,0.0,3664000.0,0.0,34810000,736000.0,138527000,15139000,19908000,-1659000.0,0.0,36598000,138527000,0.0,83717000,67090000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.A.P.L.I#phrase=C.A.P.L.I,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.A.P.L.I#phrase=C.A.P.L.I
0,2015-03-31,CAPLI.PA,2015-03-31,2015-03-31,FY,16598000,0.0,16598000,0.0,67322000,0.0,126606000,3910000.0,232000.0,35000.0,267000.0,130000.0,477000.0,0.0,6051000.0,0.0,132657000,34383000,0.0,0.0,0.0,4826000.0,72110000,20849000,0.0,2975000.0,0.0,23913000,4826000.0,96023000,15139000,19232000,-1358000.0,0.0,34913000,96023000,0.0,51100000,34502000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.A.P.L.I#phrase=C.A.P.L.I,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.A.P.L.I#phrase=C.A.P.L.I
0,2014-03-31,CAPLI.PA,2014-03-31,2014-03-31,FY,15310000,0.0,15310000,0.0,57740000,0.0,109799000,5269000.0,232000.0,26000.0,258000.0,118000.0,580000.0,0.0,7548000.0,0.0,117346000,33612000,0.0,0.0,0.0,1046000.0,63235000,16537000,0.0,2189000.0,-2000.0,18783000,1046000.0,82018000,15139000,17977000,-1231000.0,0.0,33708000,82018000,0.0,39746000,24436000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.A.P.L.I#phrase=C.A.P.L.I,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.A.P.L.I#phrase=C.A.P.L.I
0,2013-03-31,CAPLI.PA,2013-03-31,2013-03-31,FY,26645000,0.0,26645000,0.0,40820000,0.0,100630000,800000.0,232000.0,6000.0,238000.0,100000.0,140000.0,0.0,2647000.0,0.0,103277000,27740000,0.0,0.0,0.0,50000.0,51662000,14166000,0.0,2629000.0,0.0,16844000,50000.0,68506000,15139000,17106000,-1040000.0,0.0,32844000,68506000,0.0,32694000,6049000.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.A.P.L.I#phrase=C.A.P.L.I,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.A.P.L.I#phrase=C.A.P.L.I
0,2012-03-31,CAPLI.PA,2012-03-31,2012-03-31,FY,20084000,0.0,20084000,0.0,32287000,0.0,84715000,778000.0,232000.0,14000.0,246000.0,0.0,60000.0,0.0,2634000.0,0.0,87349000,26473000,0.0,0.0,0.0,1417000.0,51310000,0.0,0.0,1736000.0,0.0,3400000.0,1417000.0,54710000,15139000,2386000.0,-871000.0,0.0,30960000,54710000,0.0,0.0,0.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.A.P.L.I#phrase=C.A.P.L.I,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.A.P.L.I#phrase=C.A.P.L.I
0,2011-03-31,CAPLI.PA,2011-03-31,2011-03-31,FY,17939000,0.0,17939000,0.0,29631000,1024000.0,79634000,2053000.0,232000.0,47000.0,279000.0,0.0,30000.0,0.0,2509000.0,1024000.0,82143000,20545000,0.0,0.0,0.0,25717000,49282000,0.0,0.0,627000.0,1767000.0,2660000.0,25717000,51942000,15139000,2403000.0,-1563000.0,0.0,28592000,51942000,0.0,0.0,0.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.A.P.L.I#phrase=C.A.P.L.I,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.A.P.L.I#phrase=C.A.P.L.I
