,date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
0,2019-12-31,EQC,2020-02-13 00:00:00,2020-02-13 16:23:06,FY,127850000,46418000,81432000,0.636934,0.0,38442000,0.0,7976000.0,72937999.99999999,119355999.99999999,8908000.0,23940000,526812000,4.120548,8494000.0,0.066437,0.0,494150000,3.865076,1284000.0,492680000,3.853578,3.90211,3.90211,126260000,126260000,https://www.sec.gov/Archives/edgar/data/803649/000080364920000038/0000803649-20-000038-index.html,https://www.sec.gov/Archives/edgar/data/803649/000080364920000038/eqc-20191231.htm
0,2018-12-31,EQC,2019-02-14 00:00:00,2019-02-14 16:17:54,FY,197022000,79916000,117106000,0.59438,0.0,44439000,0.0,79916000,112689000,192605000,26585000,42573000,345127000,1.751718,4417000.0,0.022419,0.0,276064000,1.401184,3156000.0,272813000,1.384683,2.21107,2.21107,123385000,123385000,https://www.sec.gov/Archives/edgar/data/803649/000080364919000033/0000803649-19-000033-index.html,https://www.sec.gov/Archives/edgar/data/803649/000080364919000033/eqc12311810-k.htm
0,2017-12-31,EQC,2018-02-15 00:00:00,2018-02-15 16:27:38,FY,340571000,141425000,199146000,0.584742,0.0,47760000,0.0,93665000,158675000,300100000,52183000,82163000,164502000,0.483018,40471000,0.118833,0.0,30166000,0.088575,500000.0,29656000,0.087077,0.237,0.237,125129000,125129000,https://www.sec.gov/Archives/edgar/data/803649/000080364918000007/0000803649-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/803649/000080364918000007/eqc12311710-k.htm
0,2016-12-31,EQC,2017-02-16 00:00:00,2017-02-16 17:09:52,FY,500680000,200706000,299974000,0.599133,0.0,50256000,0.0,0.0,243218000,443924000,84329000,123824000,441792000,0.882384,56756000,0.113358,0.0,233639000,0.466643,745000.0,232894000,0.465155,1.83717,1.83717,126768000,126768000,https://www.sec.gov/Archives/edgar/data/803649/000080364917000006/0000803649-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/803649/000080364917000006/eqc12311610-k.htm
0,2015-12-31,EQC,2016-02-18 00:00:00,2016-02-18 16:26:48,FY,714891000,324948000,389943000,0.545458,0.0,57457000,0.0,267491000,261959000.00000006,586907000.0000001,107316000,180165000.00000003,389702000,0.545121,127984000,0.179026,0.0,102221000,0.142988,2364000.0,99857000,0.139681,0.77147,0.77147,129437000,129437000,https://www.sec.gov/Archives/edgar/data/803649/000080364916000024/0000803649-16-000024-index.html,https://www.sec.gov/Archives/edgar/data/803649/000080364916000024/eqc12311510-k.htm
0,2014-12-31,EQC,2015-02-19,2015-02-19 16:34:22,FY,861900000,388000000,473900000,0.549832,0.0,113200000,0.0,274827000,349299999.99999994,737300000,143230000,217200000,387621000,0.449729,124600000,0.144564,0.0,-100000.0,-0.000116,3191000.0,24000000,0.027845,0.19169,0.19169,125200000,125200000,https://www.sec.gov/Archives/edgar/data/803649/000162828015000849/eqc12311410-k.htm,https://www.sec.gov/Archives/edgar/data/803649/000162828015000849/eqc12311410-k.htm
0,2013-12-31,EQC,2014-02-28,2014-02-28 16:47:05,FY,885500000,370900000,514700000,0.581254,0.0,77200000,0.0,293660000,290100000,661000000,173011000,237700000,236245000,0.266793,224500000,0.253529,0.0,80100000,0.090457,2634000.0,-177100000,-0.2,-1.57562,-1.57562,112400000,112400000,https://www.sec.gov/Archives/edgar/data/803649/000104746914001585/a2218525z10-k.htm,https://www.sec.gov/Archives/edgar/data/803649/000104746914001585/a2218525z10-k.htm
0,2012-12-31,EQC,2013-02-25 00:00:00,2013-02-25 06:42:57,FY,1013100000,419700000,593400000,0.585727,0.0,51700000,0.0,367984000,305000000.00000006,724700000.0000001,204244000,188100000,300151000,0.29627,288400000,0.284671,0.0,104300000,0.102951,3207000.0,-95400000,-0.094166,-1.13842,-1.13842,83800000,83800000,https://www.sec.gov/Archives/edgar/data/803649/000104746913001551/0001047469-13-001551-index.html,https://www.sec.gov/Archives/edgar/data/803649/000104746913001551/a2213090z10-k.htm
0,2011-12-31,EQC,2012-02-27 00:00:00,2012-02-27 17:31:34,FY,911900000,392100000,519800000,0.570019,0.0,46800000,0.0,345373000,285900000,678000000,195024000,166400000,472771000,0.518446,233900000,0.256497,0.0,63200000,0.069306,1347000.0,110000000,0.120627,1.2987,1.2987,84700000,84700000,https://www.sec.gov/Archives/edgar/data/803649/000104746912001632/0001047469-12-001632-index.html,https://www.sec.gov/Archives/edgar/data/803649/000104746912001632/a2207400z10-k.htm
0,2010-12-31,EQC,2011-02-25,2011-02-25 15:53:16,FY,793400000,333900000,459500000,0.579153,0.0,39600000,0.0,294243000,300700000.00000006,634600000,179642000,180600000,496192000,0.6254,158800000,0.200151,0.0,80300000,0.10121,550000.0,135400000,0.170658,1.88056,1.88056,72000000,72000000,https://www.sec.gov/Archives/edgar/data/803649/000104746911001393/a2202190z10-k.htm,https://www.sec.gov/Archives/edgar/data/803649/000104746911001393/a2202190z10-k.htm
0,2009-12-31,EQC,2010-02-23 00:00:00,2010-02-23 17:25:29,FY,849700000,356000000,493700000,0.581029,0.0,39400000,0.0,316574000,250600000.00000003,606600000,173458000,155300000,492723000,0.579879,243100000,0.286101,0.0,77400000,0.091091,-735000.0,164700000,0.193833,2.93583,2.93583,56100000,56100000,https://www.sec.gov/Archives/edgar/data/803649/000104746910001165/0001047469-10-001165-index.html,https://www.sec.gov/Archives/edgar/data/803649/000104746910001165/a2196601z10-k.htm
0,2008-12-31,EQC,2009-03-02 00:00:00,2009-03-02 14:56:20,FY,835500000,348000000,487600000,0.583603,0.0,36800000,0.0,311146000,224700000.00000006,572700000,180193000,155000000,579020000,0.693022,262800000,0.314542,0.0,84100000,0.100658,-773000.0,244600000,0.292759,4.32155,4.32155,56600000,56600000,https://www.sec.gov/Archives/edgar/data/803649/000104746909002103/0001047469-09-002103-index.html,https://www.sec.gov/Archives/edgar/data/803649/000104746909002103/a2190977z10-k.htm
0,2007-12-31,EQC,2008-02-29,2008-02-28 21:57:43,FY,840000000,329100000,510900000,0.608214,0.0,35700000,0.0,293388000,219399999.99999997,548500000,171571000,147600000,443076000,0.527471,291500000,0.347024,0.0,122200000,0.145476,-395000.0,124300000,0.147976,2.04105,2.04105,60900000,60900000,https://www.sec.gov/Archives/edgar/data/803649/000110465908013945/a08-2559_110k.htm,https://www.sec.gov/Archives/edgar/data/803649/000110465908013945/a08-2559_110k.htm
0,2006-12-31,EQC,2007-03-01,2007-03-01 12:07:59,FY,795800000,310700000,485100000,0.609575,0.0,32100000,0.0,278579000,193600000.00000003,504300000,165894000,128800000,545294000,0.685215,291500000,0.366298,0.0,247800000,0.311385,0.0,250600000,0.314903,4.63216,4.63216,54100000,54100000,https://www.sec.gov/Archives/edgar/data/803649/000110465907015333/a07-5534_110k.htm,https://www.sec.gov/Archives/edgar/data/803649/000110465907015333/a07-5534_110k.htm
0,2005-12-31,EQC,2006-03-10,2006-03-10 16:55:13,FY,710800000,270300000,440500000,0.619724,0.0,30400000,0.0,239862000,166899999.99999997,437200000,143663000,112000000,420663000,0.591816,273500000,0.384778,0.0,157500000,0.221581,0.0,165000000,0.232133,3.33333,3.33333,49500000,49500000,https://www.sec.gov/Archives/edgar/data/803649/000110465906015845/a06-1982_110k.htm,https://www.sec.gov/Archives/edgar/data/803649/000110465906015845/a06-1982_110k.htm
0,2004-12-31,EQC,2005-03-14,2005-03-11 21:25:08,FY,603200000,227900000,375400000,0.622347,0.0,25200000,0.0,202683000,140400000,368300000,118212000,96000000,377012000,0.62502,235000000,0.389589,0.0,162800000,0.269894,0.0,162800000,0.269894,3.7,3.7,44000000,44000000,https://www.sec.gov/Archives/edgar/data/803649/000110465905010698/a05-1828_110k.htm,https://www.sec.gov/Archives/edgar/data/803649/000110465905010698/a05-1828_110k.htm
0,2003-12-31,EQC,2004-03-15,2004-03-15 14:26:02,FY,500700000,192800000,307500000,0.61414,0.0,19300000,0.0,173475000,217000000,409800000,23500000,79700000,217600000,0.434592,90900000,0.181546,0.0,114400000,0.22848,0.0,114400000,0.22848,3.35484,3.35484,34100000,34100000,https://www.sec.gov/Archives/edgar/data/803649/000110465904007410/a04-3254_110k.htm,https://www.sec.gov/Archives/edgar/data/803649/000110465904007410/a04-3254_110k.htm
0,2002-12-31,EQC,,,FY,417000000,152600000,261200000,0.626379,0.0,16800000,0.0,0.0,171900000,324500000,17800000,65500000,190100000,0.455875,92400000,0.221583,0.0,110300000,0.264508,0.0,106800000,0.256115,3.31677,3.31677,32200000,32200000,,
0,2001-12-31,EQC,,,FY,394200000,140600000,247000000,0.626585,0.0,15600000,0.0,0.0,163900000,304500000,-4700000.0,59500000,137600000,0.349061,89700000,0.227549,0.0,85000000,0.215627,0.0,82800000,0.210046,2.53988,2.53988,32600000,32600000,,
0,2000-12-31,EQC,,,FY,405000000,138900000,262000000,0.646914,0.0,17300000,0.0,0.0,181200000.00000003,320100000,33900000,59400000,235600000,0.581728,84900000,0.20963,0.0,143400000,0.354074,0.0,142300000,0.351358,4.31212,4.31212,33000000,33000000,,
0,1999-12-31,EQC,,,FY,427500000,116400000,299800000,0.701287,0.0,18700000,0.0,0.0,203299999.99999997,319700000,-2300000.0,70100000,181700000,0.425029,107900000,0.252398,0.0,113900000,0.266433,0.0,113900000,0.266433,3.45152,3.45152,33000000,33000000,,
0,1998-12-31,EQC,,,FY,356600000,77500000,263300000,0.738362,0.0,17200000,0.0,0.0,142300000,219800000,9900000.0,58800000,213200000,0.597869,136800000,0.383623,0.0,146700000,0.411385,0.0,144500000,0.405216,4.81667,4.81667,30000000,30000000,,
0,1997-12-31,EQC,,,FY,208900000,26800000,161200000,0.771661,0.0,11700000,0.0,0.0,87700000,114500000,17900000,37600000,169500000,0.811393,94300000,0.451412,0.0,115100000,0.550981,0.0,114000000,0.545716,4.95652,4.95652,23000000,23000000,,
0,1996-12-31,EQC,,,FY,120100000,3800000.0,94300000,0.785179,0.0,7100000.0,0.0,0.0,51700000,55500000,12500000,21300000,107100000,0.891757,64700000,0.538718,0.0,77200000,0.642798,0.0,73300000,0.610325,4.41566,4.41566,16600000,16600000,,
0,1995-12-31,EQC,1996-03-29 00:00:00,1996-03-29 00:00:00,FY,112700000,0.0,0.0,0.0,0.0,6900000.0,0.0,0.0,54000000,54000000,3100000.0,22800000,90100000,0.799468,58600000,0.519965,0.0,64200000,0.569654,0.0,64200000,0.569654,4.33784,4.33784,14800000,14800000,https://www.sec.gov/Archives/edgar/data/803649/000090873796000067/0000908737-96-000067-index.html,https://www.sec.gov/Archives/edgar/data/803649/0000908737-96-000067.txt
0,1994-12-31,EQC,1995-03-31 00:00:00,1995-03-31 00:00:00,FY,86700000,0.0,63900000,0.737024,0.0,5100000.0,0.0,0.0,28800000,28800000,0.0,14700000,64600000,0.745098,57900000,0.66782,0.0,51900000,0.598616,0.0,49900000,0.575548,3.7803,3.7803,13200000,13200000,https://www.sec.gov/Archives/edgar/data/803649/000090873795000026/0000908737-95-000026-index.html,https://www.sec.gov/Archives/edgar/data/803649/0000908737-95-000026.txt
