,date,symbol,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2020-07-31,DSGX,2020-09-10 00:00:00,2020-09-10 12:27:14,Q2,10541999.999999998,15489999.999999998,8375000.0,0.0,-1860000.0,3677000.0,-174000.0,1333000.0,0.0,1539000.0,34086000,0.0,0.0,0.0,0.0,0.0,-6300000.000000001,0.0,0.0,5690000.0,0.0,0.0,-4374999.999999999,2475000.0,25886000.000000004,81862000,55976000,34086000,-1063000.0,33023000,https://www.sec.gov/Archives/edgar/data/1050140/000092963820000919/0000929638-20-000919-index.htm,https://www.sec.gov/Archives/edgar/data/1050140/000092963820000919/form6k.htm
0,2020-04-30,DSGX,2020-05-01 00:00:00,2020-05-01 12:05:08,Q1,11047000,15293000,564000.0,0.0,-617000.0,-1541000.0,241000.0,-1184000.0,0.0,1246000.0,27533000,0.0,0.0,0.0,0.0,0.0,-25159000,0.0,0.0,16000.0,0.0,0.0,10174000,-975000.0,11573000,55976000,44403000,27533000,-1022000.0,26511000,https://www.sec.gov/Archives/edgar/data/1050140/000092963820000577/0000929638-20-000577-index.html,https://www.sec.gov/Archives/edgar/data/1050140/000092963820000577/form6k.htm
0,2020-01-31,DSGX,2020-02-25 00:00:00,2020-02-25 11:34:41,Q4,11437999.999999998,16974999.999999993,2253000.0,0.0,-5946000.0,1113000.0,-218000.0,287000.0,0.0,1647000.0000000002,26366999.99999999,0.0,0.0,0.0,0.0,0.0,-1020999.9999999582,0.0,0.0,-376999.99999998114,0.0,0.0,-9935000.000000002,144000.00000000003,15555000,44403000,28848000,26366999.99999999,-1021000.0000000003,25345999.99999999,https://www.sec.gov/Archives/edgar/data/1050140/000092963820000347/0000929638-20-000347-index.html,https://www.sec.gov/Archives/edgar/data/1050140/000092963820000347/form6k.htm
0,2019-10-31,DSGX,2019-12-05 00:00:00,2019-12-05 13:55:14,Q3,9666000.0,15701000.000000002,1186000.0000000005,0.0,-348000.0000000001,-3349000.0,-40000.0,-3462000.0,0.0,1324000.0000000002,27529000.000000004,0.0,0.0,0.0,0.0,0.0,-13201999.999999998,0.0,0.0,546999.999999997,0.0,0.0,-13037999.999999981,196999.99999999994,1486000.0,28848000,27362000,27529000.000000004,-1484000.0,26045000.000000004,https://www.sec.gov/Archives/edgar/data/1050140/000092963819001041/0000929638-19-001041-index.html,https://www.sec.gov/Archives/edgar/data/1050140/000092963819001041/form6k.htm
0,2019-07-31,DSGX,,,Q2,8573000.0,15177000.000000004,1477999.9999999998,0.0,186000.00000000006,1031000.0,-54000.0,802000.0,0.0,1507000.0,26921000.000000004,0.0,0.0,0.0,0.0,0.0,-41469000.00000002,0.0,0.0,237071000,0.0,0.0,12518000,-157999.9999999999,-2187999.9999999995,27362000,29550000,26921000.000000004,-997000.0000000001,25924000.000000004,,
0,2019-04-30,DSGX,2019-05-03 00:00:00,2019-05-03 15:21:17,Q1,7320000.0,13668999.999999998,826000.0,0.0,852000.0,-2420000.0,-4000.0,-147000.0,0.0,768000.0,23435000,0.0,0.0,0.0,0.0,0.0,-241261000,0.0,0.0,732000.0,0.0,0.0,220624000,-546000.0,2252000.0,29550000,27298000,23435000,-1398000.0,22037000,https://www.sec.gov/Archives/edgar/data/1050140/000092963819000515/0000929638-19-000515-index.html,https://www.sec.gov/Archives/edgar/data/1050140/000092963819000515/form6k.htm
0,2019-01-31,DSGX,2019-02-11 00:00:00,2019-02-11 16:58:27,Q4,7891999.999999999,11795000.000000002,1053000.0,0.0,-362000.0000000001,-532000.0,6000.0,5296000.0,0.0,1384000.0000000002,21762000,0.0,0.0,0.0,0.0,0.0,-2165999.999999997,0.0,0.0,6999.999999999951,0.0,0.0,-25159000,100999.99999999999,-5462000.000000001,27298000,32760000,21762000,-2166000.0,19596000,https://www.sec.gov/Archives/edgar/data/1050140/000092963819000176/0000929638-19-000176-index.html,https://www.sec.gov/Archives/edgar/data/1050140/000092963819000176/form6k.htm
0,2018-10-31,DSGX,2018-11-29 00:00:00,2018-11-29 13:16:10,Q3,7905000.000000001,11448000,669000.0,0.0,-1537000.0,-261000.0,-1000.0,157000.0,0.0,736999.9999999999,19221999.999999993,0.0,0.0,0.0,0.0,0.0,-10570000.000000007,0.0,0.0,-31999.99999999997,0.0,0.0,-9558000.0,-389000.0,-1304999.9999999998,32795000,34100000,19221999.999999993,-1128000.0,18093999.999999993,https://www.sec.gov/Archives/edgar/data/1050140/000092963818000957/0000929638-18-000957-index.html,https://www.sec.gov/Archives/edgar/data/1050140/000092963818000957/form6k.htm
0,2018-07-31,DSGX,,,Q2,8490000.0,11019999.999999998,99999.99999999999,0.0,-2330000.0,-400000.0,0.0,1500000.0,0.0,960000.0,18240000.000000004,0.0,0.0,0.0,0.0,0.0,-27089999.999999996,0.0,0.0,-80000.00000000001,0.0,0.0,7329999.999999998,-630000.0000000001,-2150000.0000000005,34050000,36200000,18240000.000000004,-980000.0,17260000.000000004,,
0,2018-04-30,DSGX,,,Q1,6990000.0,10460000,320000.0,0.0,380000.0,-1500000.0,0.0,-4200000.0,0.0,700000.0,18850000,0.0,0.0,0.0,0.0,0.0,-33350000,0.0,0.0,450000.0,0.0,0.0,16010000,-450000.0,1070000.0,36170000,35100000,18850000,-970000.0,17880000,,
