,date,symbol,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2020-09-30,FEYE,2020-10-30,2020-10-30 16:44:17,Q3,-39118000,23500000,-63000.0,40369000,0.0,-14172000,1591000.0,-4321000.0,0.0,0.0,-90096000,-4642000.0,0.0,-198549000,0.0,0.0,-125139000,0.0,0.0,0.0,0.0,0.0,1776000.0,0.0,0.0,314250000,404346000,-90096000,4642000.0,-94738000,https://www.sec.gov/Archives/edgar/data/1370880/000137088020000034/0001370880-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1370880/000137088020000034/a10-qxfeyex20200930.htm
0,2020-06-30,FEYE,2020-07-31,2020-07-31 16:52:38,Q2,-53275999.99999999,23497000,11000.00000000001,37046000,0.0,20064000,920000.0,-14688000,0.0,0.0,401131000,-5876000.0,0.0,-3500000.0,0.0,0.0,188138999.99999997,-727000.0,0.0,0.0,0.0,0.0,-82349000,0.0,0.0,404346000,283866000,401131000,5876000.0,395255000,https://www.sec.gov/Archives/edgar/data/1370880/000137088020000027/0001370880-20-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1370880/000137088020000027/a10-qxfeyex20200630.htm
0,2020-03-31,FEYE,2020-05-01 00:00:00,2020-05-01 16:08:41,Q1,-76306000,24241000,143000.0,36178000,-56522000,30256000,-935000.0,1717000.0,407265000,54810000,-24456000,-11680000,-12948000,-1000000.0,0.0,5398000.0,-20230000,727000.0,0.0,-6051000.0,0.0,277815000,-6051000.0,0.0,-50737000,283866000,334603000,-24456000,-11680000,-36136000,https://www.sec.gov/Archives/edgar/data/1370880/000137088020000015/0001370880-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1370880/000137088020000015/a10-qxfeyex20200331.htm
0,2019-12-31,FEYE,2020-02-21 00:00:00,2020-02-21 16:17:11,Q4,-49215999.99999998,27067000.000000007,404000.0,36355000,29417000,-18038000,22000.0,2580000.0,463787000,49051999.99999999,39515000.00000001,-6990000.0,0.0,-124156000,0.0,-5881000.0,-12871000.00000001,0.0,0.0,10799000,0.0,48242000,10799000,0.0,37443000,334603000,297160000,39515000.00000001,-6989999.999999995,32525000.000000015,https://www.sec.gov/Archives/edgar/data/1370880/000137088020000008/0001370880-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1370880/000137088020000008/a10-kxfeyex20191231.htm
0,2019-09-30,FEYE,2019-11-01 00:00:00,2019-11-01 16:12:09,Q3,-65495000,28136000.000000004,-643000.0,36688000,-1656000.0,-26931000,272000.0,-2288000.0,434370000,48581999.99999999,18497999.999999996,-10375000,0.0,-234934000,0.0,-44528000,-54902999.99999999,0.0,0.0,1663999.9999999998,0.0,-33077000,1663999.9999999998,0.0,-34741000,297160000,331901000,18497999.999999996,-10375000.000000004,8122999.999999994,https://www.sec.gov/Archives/edgar/data/1370880/000137088019000036/0001370880-19-000036-index.html,https://www.sec.gov/Archives/edgar/data/1370880/000137088019000036/a10-qxfeyex20190930.htm
0,2019-06-30,FEYE,2019-08-02,2019-08-02 16:13:46,Q2,-67323000.00000001,24269000,-493000.0,40151000,-237930000,-13619000,152000.0,-2387000.0,436026000,51609000.00000001,-14929000,-14737000,-127249000,-101571000,0.0,69792000,-72194000,-1399000.0,0.0,12967000,0.0,-61189000,12967000,0.0,-74155999.99999999,331901000,406057000,-14929000,-14736999.999999998,-29665999.999999996,https://www.sec.gov/Archives/edgar/data/1370880/000137088019000029/a10-qxfeyex20190630.htm,https://www.sec.gov/Archives/edgar/data/1370880/000137088019000029/a10-qxfeyex20190630.htm
0,2019-03-31,FEYE,2019-05-03 00:00:00,2019-05-03 16:03:38,Q1,-75375000,23833000,475000.0,40323000,-29844000,46479000,-395000.0,6802000.0,673956000,53202000,24453000,-13503000,0.0,-156533000,0.0,-15565000,-29068000,1399000.0,0.0,843000.0,0.0,406900000,843000.0,0.0,-3772000.0,406028000,409800000,24453000,-13503000,10950000,https://www.sec.gov/Archives/edgar/data/1370880/000137088019000015/0001370880-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/1370880/000137088019000015/a10-qxfeyex20190331.htm
0,2018-12-31,FEYE,2019-02-25 00:00:00,2019-02-22 19:05:05,Q4,-48390000.000000015,19820000.000000007,-800000.0,35309000,35300000,-27574000,-1070000.0,-1590000.0,703800000,47900000.00000001,30580000,-13811000,705000.0,-133274000,0.0,-16225000,-29330000.000000004,0.0,0.0,11280000.000000002,0.0,23813000,11280000.000000002,0.0,12530000.000000002,409830000,397300000,30580000,-13809999.999999994,16770000.000000006,https://www.sec.gov/Archives/edgar/data/1370880/000137088019000006/0001370880-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1370880/000137088019000006/a10-kxfeyex20181231spr.htm
0,2018-09-30,FEYE,2018-11-02 00:00:00,2018-11-02 16:28:19,Q3,-50039999.99999999,22089999.999999996,-70000.0,37326000,9700000.0,-8923000.0,-1880000.0,-2463000.0,668500000,50210000.00000001,21900000.000000004,-10375000,0.0,-127746000,0.0,33550000,23169999.999999996,0.0,0.0,859999.9999999994,0.0,46780000,849999.9999999943,0.0,45930000.00000001,397330000,351400000,21900000.000000004,-10370000.000000006,11529999.999999996,https://www.sec.gov/Archives/edgar/data/1370880/000137088018000044/0001370880-18-000044-index.html,https://www.sec.gov/Archives/edgar/data/1370880/000137088018000044/a10-qxfeyex20180930.htm
0,2018-06-30,FEYE,2018-08-03 00:00:00,2018-08-03 16:19:31,Q2,-72860000,22210000,0.0,38892000,201800000,-18094000,-893000.0,1202000.0,658800000,61139999.99999999,-44290000,-12158000,32000.0,-109373000,0.0,-4897000.0,-17020000,-286817000,0.0,12460000,0.0,715167000,244829999.99999997,0.0,183519999.99999997,351420000,167900000,-44290000,-12159999.999999998,-56450000,https://www.sec.gov/Archives/edgar/data/1370880/000137088018000036/0001370880-18-000036-index.html,https://www.sec.gov/Archives/edgar/data/1370880/000137088018000036/a10-qxfeyex20180630.htm
