,date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
0,2020-09-30,ENPH,2020-10-27,2020-10-27 16:18:45,Q3,178503000,83522000,94981000,0.5320974997619088,15052000,13525000,14645000,-1031000,43222000,126744000,5993000,4765000,56524000,0.31665574248051853,51759000,0.28996151325187813,271000,44845000,0.25122827067332204,-5483000,39362000,0.22051170008347198,0.49,0.44,125084000,140207000,https://www.sec.gov/Archives/edgar/data/1463101/000146310120000127/0001463101-20-000127-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310120000127/a2020q310-qdoc.htm
0,2020-06-30,ENPH,2020-08-04,2020-08-04 16:27:10,Q2,125538000,77151000,48387000,0.38543707881278977,13192000,24341000,12371000,653000,37533000,114684000,5952000,4141000,-43762000,-0.348596,10854000,0.08646,653000,-53855000,-0.428994,-6561000,-47294000,-0.376731,-0.37654,-0.37654,125603000,125603000,https://www.sec.gov/Archives/edgar/data/1463101/000146310120000107/0001463101-20-000107-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310120000107/a2020q210-qdoc.htm
0,2020-03-31,ENPH,2020-05-05,2020-05-05 16:22:02,Q1,205545000,124870000,80675000,0.3924931280254932,11876000,24087000,11772000,-924000,35962999.99999999,160833000,3155000,3844000,64067000,0.311693,44712000,0.217529,-924000,57068000,0.277642,-11868000,68936000,0.335382,0.49916,0.49916,138104000,138104000,https://www.sec.gov/Archives/edgar/data/1463101/000146310120000068/0001463101-20-000068-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310120000021/a2019q410-kdoc.htm
0,2019-12-31,ENPH,2020-02-21,2020-02-21 17:26:14,Q4,210032000,132151000,77881000,0.3708054010817399,11168000,21140000,10690000,1131000,33438999.99999999,165590000,2303000,2567999.9999999995,49292000,0.234688,44442000,0.211596,1467000,44421000,0.211496,-72245000,116666000,0.555468,0.87565,0.87565,133234000,133234000,https://www.sec.gov/Archives/edgar/data/1463101/000146310120000021/0001463101-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310120000021/a2019q410-kdoc.htm
0,2019-09-30,ENPH,2019-10-29,2019-10-29 19:41:49,Q3,180057000,115351000,64706000,0.3593639791843694,11085000,19446000,9551000,469000,31000000,146351000,2286000,3857000,37514000,0.208345,33706000,0.187196,-943000,31371000,0.174228,272000,31099000,0.172718,0.23276,0.23276,133611000,133611000,https://www.sec.gov/Archives/edgar/data/1463101/000146310119000157/0001463101-19-000157-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310119000157/a2019q310-qdoc.htm
0,2019-06-30,ENPH,2019-07-30,2019-07-30 16:16:49,Q2,134094000,88775000,45319000,0.3379644130236998,9604000,17637000,9054000,631000,27872000,116647000,1562000,4122000,16893000,0.125979,17447000,0.13011,-5480000,11209000,0.083591,591000,10618000,0.079183,0.08122,0.08122,130737000,130737000,https://www.sec.gov/Archives/edgar/data/1463101/000146310119000129/0001463101-19-000129-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310119000129/a2019q210-qdoc.htm
0,2019-03-31,ENPH,2019-04-30,2019-04-30 16:18:00,Q1,100150000,66811000,33339000,0.33289066400399403,8524000,17313000,7433000,368000,26205000,93016000,3540000,3572000,10225000,0.102097,7134000,0.071233,-481000,3113000,0.031083,348000,2765000,0.027609,0.02556,0.02556,108195000,108195000,https://www.sec.gov/Archives/edgar/data/1463101/000146310119000089/0001463101-19-000089-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310119000033/a2018form10-k.htm
0,2018-12-31,ENPH,2019-03-15,2019-03-15 13:07:20,Q4,92289000,64125000,28164000,0.305171797288951,7340000,14280000,6617000,1541000,23161000,87286000,2604000,2716999.9999999995,6607000,0.07159,5003000,0.05421,-1113000,1286000,0.013934,577000,709000,0.007682,0.00664,0.00664,106705000,106705000,https://www.sec.gov/Archives/edgar/data/1463101/000146310119000033/0001463101-19-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310119000033/a2018form10-k.htm
0,2018-09-30,ENPH,2018-11-06,2018-11-06 16:34:50,Q3,78002000,52738000,25264000,0.32388913104792183,8165000,14885000,7375000,2588000,25638000.000000004,78376000,2469000,2480000.0000000005,1727000.0000000005,0.02214,-374000,-0.004795,-379000,-3222000,-0.041307,248000,-3470000,-0.044486,-0.03376,-0.03376,102798000,102798000,https://www.sec.gov/Archives/edgar/data/1463101/000146310118000116/0001463101-18-000116-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310118000116/a2018q3form10-q.htm
0,2018-06-30,ENPH,2018-08-06,2018-08-06 13:28:19,Q2,75896000,53194000,22702000,0.2991198482133446,9462000,6970000,6828000,-572000,23260000,76454000,2270000,2789000,2231000,0.0293954885633,-558000,-0.007352166122061769,-572000,-3400000,-0.04479814482976705,338000,-3738000,-0.04925160746284389,-0.03975,-0.03975,108195000,94026000,https://www.sec.gov/Archives/edgar/data/1463101/000146310118000075/0001463101-18-000075-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310118000075/a2018q2form10-q.htm
