,date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
0,2020-09-27,TESS,2020-11-06,2020-11-06 17:25:38,Q2,119655400,96983200,22672200,0.18947912087544733,0.0,22812200,0.0,0.0,22812200,119795400,-105900.0,1028500.0,888500.0,0.0074254901993558164,-140000.0,-0.0011700265930329932,0.0,-245900.0,-0.0020550681373343784,21000.0,-266900.0,-0.0022305721262893276,-0.030970781405927267,-0.030970781405927267,8617800.0,8617800.0,https://www.sec.gov/Archives/edgar/data/927355/000155837020013196/0001558370-20-013196-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000155837020013196/tmb-20200927x10q.htm
0,2020-06-28,TESS,2020-08-06,2020-08-06 16:44:14,Q1,119813500,100987800,18825700,0.15712503182028736,0.0,23234400,0.0,0.0,23734400.000000007,124722200.00000001,-110700.0,1228000.0,-3902100.0,-0.032568,-4908700.0,-0.04097,0.0,-5019400.0,-0.041893,-388000.0,-4631400.0,-0.038655,-0.53742,-0.53742,8617800.0,8617800.0,https://www.sec.gov/Archives/edgar/data/927355/000155837020009694/0001558370-20-009694-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000155837020009694/tmb-20200628x10q.htm
0,2020-03-29,TESS,2020-06-05,2020-06-05 16:50:14,Q4,128179900,111014000,17165900,0.1339203728509696,0.0,27493900,0.0,0.0,36602500.00000001,147616500,-204600.0,1155899.9999999995,-18689900,-0.14581,-19436600,-0.151635,0.0,-19641200,-0.153232,-5564500.0,-14076700,-0.10982,-1.64556,-1.64556,8554350.0,8554350.0,https://www.sec.gov/Archives/edgar/data/927355/000155837020007316/0001558370-20-007316-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000155837020007316/tess-20200329x10k.htm
0,2019-12-29,TESS,2020-02-07,2020-02-07 16:41:22,Q3,139578200,116503900,23074300,0.16531449753614819,0.0,26479100,0.0,0.0,29048199.999999993,145552100,-367900.0,795599.9999999999,-5914100.0,-0.042371,-5973900.0,-0.0428,0.0,-6341800.0,-0.045435,-1320400.0,-5021400.0,-0.035976,-0.58792,-0.58792,8541020.0,8541020.0,https://www.sec.gov/Archives/edgar/data/927355/000155837020000612/0001558370-20-000612-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000155837020000612/tess-20191229x10q.htm
0,2019-09-29,TESS,2019-11-08,2019-11-08 16:43:05,Q2,141810900,115491600,26319300,0.185594337247701,0.0,25745200,0.0,0.0,25745199.99999998,141236799.99999997,-335100.0,1113800.0000000002,1017700.0000000003,0.007176,574100.0,0.004048,0.0,239000.0,0.001685,217000.0,22000.0,0.000155,0.00254,0.00254,8650320.0,8650320.0,https://www.sec.gov/Archives/edgar/data/927355/000155837019010614/0001558370-19-010614-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000155837019010614/tess-20190929x10q.htm
0,2019-06-30,TESS,2019-08-02,2019-08-02 16:41:15,Q1,130729300,105465800,25263500,0.1932504801907453,0.0,28096500,0.0,0.0,28584499.99999999,134050299.99999999,-208700.0,960800.0,-2777600.0,-0.021247,-3321000.0,-0.025404,0.0,-3529700.0,-0.027,-1036900.0,-2492800.0,-0.019068,-0.29347,-0.29347,8494170.0,8494170.0,https://www.sec.gov/Archives/edgar/data/927355/000155837019006959/0001558370-19-006959-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000155837019005621/tess-20190331x10k.htm
0,2019-03-31,TESS,2019-06-11,2019-06-11 16:36:52,Q4,144963800,116696600,28267200,0.1949948883790298,0.0,27280300,0.0,0.0,27280299.999999996,143976900,-186700.0,912100.0000000001,1525600.0,0.010524,986900.0,0.006808,0.0,800200.0,0.00552,308200.0,492000.0,0.003394,0.05729,0.05729,8587630.0,8587630.0,https://www.sec.gov/Archives/edgar/data/927355/000155837019005621/0001558370-19-005621-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000155837019005621/tess-20190331x10k.htm
0,2018-12-30,TESS,2019-02-08,2019-02-08 16:36:19,Q3,152294500,121295800,30998700,0.20354444842065866,0.0,27494800,0.0,0.0,27494800.00000001,148790600,-247900.0,866799.9999999998,3874900.0,0.025443,3503900.0,0.023007,0.0,3256000.0,0.02138,551400.0,2704600.0,0.017759,0.31897,0.31897,8479250.0,8479250.0,https://www.sec.gov/Archives/edgar/data/927355/000155837019000511/0001558370-19-000511-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000155837019000511/tess-20181230x10q.htm
0,2018-09-30,TESS,2018-11-09,2018-11-09 16:36:20,Q2,158600000,127200000,31400000,0.19798234552332913,0.0,29500000,0.0,0.0,29499999.999999985,156700000,-200000.0,900000.0000000001,2400000.0,0.015132,1900000.0,0.01198,0.0,1700000.0,0.010719,500000.0,1200000.0,0.007566,0.13953,0.13953,8600000.0,8600000.0,https://www.sec.gov/Archives/edgar/data/927355/000155837018009183/0001558370-18-009183-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000155837018009183/tess-20180930x10q.htm
0,2018-07-01,TESS,2018-07-27,2018-07-27 16:36:23,Q1,150900000,120200000,30700000,0.20344599072233266,0.0,29000000,0.0,0.0,28999999.999999985,149200000,-200000.0,940000.0,2340000.0,0.015507,1700000.0,0.011266,0.0,1600000.0,0.010603,400000.0,1200000.0,0.007952,0.13953,0.13953,8600000.0,8600000.0,https://www.sec.gov/Archives/edgar/data/927355/000155837018005829/0001558370-18-005829-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000155837018005102/tess-20180401x10k.htm
