,date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
0,2019-12-31,CAJ,2020-03-27,2020-03-27 06:19:24,FY,412814000,1767000.0,414581000,0.0,584756000,846628000,1845965000,1089671000,898661000,347921000,1246582000,0.0,0.0,0.0,2336253000,586133000,4768351000,0.0,42034000,0.0,0.0,918464000,960498000,42034000,0.0,0.0,106400000,148434000,0.0,1876433000,0.0,3462182000,-308442000,0.0,2692595000,4768351000,1767000.0,399374000,-13440000,https://www.sec.gov/Archives/edgar/data/16988/000119312520087524/0001193125-20-087524-index.htm,https://www.sec.gov/Archives/edgar/data/16988/000119312520087524/d768238d20f.htm
0,2018-12-31,CAJ,2019-03-28,2019-03-28 06:11:50,FY,520645000,956000.0,521601000,0.0,611281000,917299000,2050181000,1090992000,908511000,391021000,1299532000,0.0,0.0,0.0,2390524000,458760000,4899465000,0.0,38527000,0.0,0.0,991127000,1029654000,38527000,0.0,0.0,107147000,145674000,0.0,1881552000,0.0,3508908000,-269071000,0.0,2827602000,4899465000,956000.0,400489000,-120156000,https://www.sec.gov/Archives/edgar/data/16988/000119312519089175/0001193125-19-089175-index.htm,https://www.sec.gov/Archives/edgar/data/16988/000119312519089175/d634705d20f.htm
0,2017-12-31,CAJ,2018-03-29,2018-03-29 06:10:32,FY,721814000,1965000.0,723779000,0.0,570033000,938837000,2232649000,1126620000,936722000,420972000,1357694000,0.0,0.0,0.0,2484314000,481328000,5198291000,0.0,39328000,0.0,0.0,1070152000,1109480000,39328000,0.0,0.0,133816000,173144000,0.0,2102116000,0.0,3429312000,-143228000,0.0,2870630000,5198291000,1965000.0,532566000,-189248000,https://www.sec.gov/Archives/edgar/data/16988/000119312518100398/0001193125-18-100398-index.htm,https://www.sec.gov/Archives/edgar/data/16988/000119312518100398/d502856d20f.htm
0,2016-12-31,CAJ,2017-03-30,2017-03-30 06:12:37,FY,630193000,3206000.0,633399000,0.0,560736000,905613000,2099748000,1194976000,936424000,446268000,1382692000,0.0,0.0,0.0,2577668000,461113000,5138529000,0.0,1850000.0,0.0,0.0,981519000,983369000,1850000.0,0.0,0.0,142049000,143899000,0.0,2143907000,0.0,3350728000,-199881000,0.0,2783129000,5138529000,3206000.0,613139000,-17054000,https://www.sec.gov/Archives/edgar/data/16988/000119312517102636/0001193125-17-102636-index.htm,https://www.sec.gov/Archives/edgar/data/16988/000119312517102636/d292430d20f.htm
0,2015-12-31,CAJ,2016-03-30,2016-03-30 06:14:14,FY,633613000,20651000,654264000,0.0,501895000,901020000,2057179000,1219652000,478943000,241208000,720151000,0.0,0.0,0.0,1939803000,430791000,4427773000,0.0,688000.0,0.0,0.0,814641000,815329000,688000.0,0.0,0.0,130838000,131526000,0.0,1243310000,0.0,3365158000,-29742000,0.0,2966415000,4427773000,20651000,1569000.0,-632044000,https://www.sec.gov/Archives/edgar/data/16988/000119312516522273/0001193125-16-522273-index.htm,https://www.sec.gov/Archives/edgar/data/16988/000119312516522273/d31086d20f.htm
0,2014-12-31,CAJ,2015-03-27,2015-03-27 06:13:31,FY,844580000,71863000,916443000,0.0,528167000,947323000,2391933000,1269529000,0.0,177288000,177288000,0.0,0.0,0.0,1446817000,621868000,4460618000,0.0,1018000.0,0.0,0.0,920361000,921379000,1018000.0,0.0,0.0,116405000,117423000,0.0,1319860000,0.0,3320392000,28286000,0.0,2978184000,4460618000,71863000,2166000.0,-842414000,https://www.sec.gov/Archives/edgar/data/16988/000119312515107781/0001193125-15-107781-index.htm,https://www.sec.gov/Archives/edgar/data/16988/000119312515107781/d810632d20f.htm
0,2013-12-31,CAJ,2014-03-28,2014-03-28 06:28:19,FY,788909000,47914000,836823000,0.0,553773000,895346000,2285942000,1278730000,0.0,145075000,145075000,0.0,0.0,0.0,1423805000,532963000,4242710000,0.0,1299000.0,0.0,0.0,847008000,848307000,1299000.0,0.0,0.0,96514000,97813000,0.0,1175933000,0.0,3212692000,-80646000,0.0,2910262000,4242710000,47914000,2747000.0,-786162000,https://www.sec.gov/Archives/edgar/data/16988/000119312514119655/0001193125-14-119655-index.htm,https://www.sec.gov/Archives/edgar/data/16988/000119312514119655/d619942d20f.htm
0,2012-12-31,CAJ,2013-03-28,2013-03-28 06:22:54,FY,666678000,28322000,695000000,0.0,551623000,835633000,2082256000,1260364000,0.0,135736000,135736000,0.0,0.0,0.0,1396100000,477147000,3955503000,0.0,1866000.0,0.0,0.0,842569000,844435000,1866000.0,0.0,0.0,82518000,84384000,0.0,3955503000,0.0,3138976000,-367249000,0.0,2598026000,3955503000,28322000,3983000.0,-662695000,https://www.sec.gov/Archives/edgar/data/16988/000119312513130515/0001193125-13-130515-index.htm,https://www.sec.gov/Archives/edgar/data/16988/000119312513130515/d473536d20f.htm
0,2011-12-31,CAJ,2012-03-29,2012-03-29 11:03:32,FY,773227000,125517000,898744000,0.0,476704000,777857000,2153305000,1190836000,0.0,138030000,138030000,0.0,0.0,0.0,1328866000,448556000,3930727000,0.0,8343000.0,0.0,0.0,885505000,893848000,8343000.0,0.0,0.0,70240000,78583000,0.0,1217060000,0.0,3059298000,-481773000,0.0,2551132000,3930727000,125517000,11711000,-761516000,https://www.sec.gov/Archives/edgar/data/16988/000119312512138708/0001193125-12-138708-index.htm,https://www.sec.gov/Archives/edgar/data/16988/000119312512138708/d264846d20f.htm
0,2010-12-31,CAJ,2011-03-30,2011-03-30 06:36:02,FY,840579000,96815000,937394000,0.0,384777000,808258000,2130429000,0.0,0.0,153021000,153021000,0.0,0.0,0.0,153021000,1700370000,3983820000,0.0,7200000.0,0.0,0.0,889741000,896941000,7200000.0,0.0,0.0,75502000,82702000,0.0,1174183000,0.0,2965237000,-390459000,71004000,2645782000,3983820000,96815000,11331000,-829248000,https://www.sec.gov/Archives/edgar/data/16988/000095012311030452/0000950123-11-030452-index.htm,https://www.sec.gov/Archives/edgar/data/16988/000095012311030452/k02486e20vf.htm
0,2009-12-31,CAJ,2010-03-30,2010-03-30 06:53:24,FY,795034000,19089000,814123000,0.0,373241000,0.0,1187364000,1269785000,0.0,117396000,117396000,0.0,0.0,0.0,1387181000,1273012000,3847557000,0.0,4869000.0,0.0,0.0,778821000,783690000,4869000.0,0.0,0.0,63651000,68520000,0.0,968157000,0.0,2871437000,-260818000,77490000,2688109000,3847557000,19089000,9781000.0,-785253000,https://www.sec.gov/Archives/edgar/data/16988/000095012310029721/0000950123-10-029721-index.htm,https://www.sec.gov/Archives/edgar/data/16988/000095012310029721/k02199e20vf.htm
0,2008-12-31,CAJ,2009-03-27,2009-03-27 06:33:59,FY,679196000,7651000.0,686847000,0.0,506919000,871082000,2064848000,1357186000,0.0,119140000,119140000,0.0,0.0,0.0,1476326000,428760000,3969934000,0.0,5540000.0,0.0,0.0,938460000,944000000,5540000.0,0.0,0.0,55745000,61285000,0.0,1118952000,0.0,2876576000,-292820000,76036000,2659792000,3969934000,7651000.0,13963000,-665233000,https://www.sec.gov/Archives/edgar/data/16988/000114554909000526/0001145549-09-000526-index.htm,https://www.sec.gov/Archives/edgar/data/16988/000114554909000526/k02057e20vf.htm
0,2007-12-31,CAJ,2008-03-28,2008-03-28 06:38:13,FY,944463000,10166000,954629000,0.0,563474000,1090684000,2608787000,1364702000,0.0,0.0,0.0,10166000,0.0,0.0,1374868000,528970000,4512625000,0.0,18317000,0.0,0.0,1238388000,1256705000,18317000,0.0,0.0,57324000,75641000,0.0,1367419000,0.0,0.0,34670000,2887666000,2922336000,4512625000,20332000,26997000,-917466000,https://www.sec.gov/Archives/edgar/data/16988/000114554908000570/0001145549-08-000570-index.htm,https://www.sec.gov/Archives/edgar/data/16988/000114554908000570/k01543e20vf.htm
