,date,symbol,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2019-12-31,CTEK,2020-03-30,2020-03-30 14:47:23,FY,14890700,2072300.0,309760.0,142943000,-1766580.0,1818683000,0.0,1841565000,6013410.0,-21742180,-1630350.0,-194073000,0.0,0.0,0.0,0.0,20344250,-22000000,123482000,123480.0,0.0,0.0,-19956550,0.0,-1242660.0,5328720.0,6571380.0,-1630350.0,-194070.0,-1824420.0,https://www.sec.gov/Archives/edgar/data/1011432/000144586620000277/0001445866-20-000277-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586620000277/ctek_10k.htm
0,2018-12-31,CTEK,2019-03-27,2019-03-27 16:55:31,FY,1893590.0,2159570.0,974290.0,36777000,8814010.0,2457912000,0.0,655183000,7779990.0,799290.0,6290620.0,-156487000,0.0,0.0,0.0,0.0,-156490.0,-115137000,0.0,0.0,0.0,0.0,-3814810.0,0.0,2319320.0,6571380.0,4252060.0,6290620.0,-156490.0,6134130.0,https://www.sec.gov/Archives/edgar/data/1011432/000144586619000298/0001445866-19-000298-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586619000298/ctek_10k.htm
0,2017-12-31,CTEK,2018-03-28,2018-03-28 17:23:41,FY,-442350.0,2464170.0,2162220.0,78652000,-6864080.0,-2032647000,0.0,-2513776000,-1034020.0,2017790.0,1433710.0,-286189000,0.0,-13448522000,0.0,0.0,-13734710,-172571000,0.0,66450.0,0.0,0.0,10462210,0.0,-1838780.0,4252060.0,6090840.0,1433710.0,-286190.0,1147520.0,https://www.sec.gov/Archives/edgar/data/1011432/000144586618000299/0001445866-18-000299-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586618000299/ctek_10k.htm
0,2016-12-31,CTEK,2017-03-29,2017-03-28 20:01:05,FY,5009800.0,753320.0,-5282530.0,226970.0,2586410.0,-2216529.0,0.0,-570653.0,5830060.0,2860670.0,417630.0,-205121.0,0.0,0.0,0.0,0.0,-205120.0,-118543000,0.0,60150.0,0.0,5532451.0,-558390.0,0.0,-345890.0,6090840.0,6436730.0,417630.0,-205120.0,212510.0,https://www.sec.gov/Archives/edgar/data/1011432/000144586617000307/0001445866-17-000307-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586617000307/aux_10k.htm
0,2015-12-31,CTEK,2016-03-30,2016-03-30 16:04:59,FY,1316660.0,638930.0,0.0,379548.0,453640.0,-431365.0,0.0,43302.0,3243650.0,435250.0,2445590.0,-214478.0,0.0,0.0,0.0,-1876966.0,-2091440.0,-105888.0,0.0,0.0,0.0,7881815.0,1339200.0,0.0,1693340.0,6436740.0,4743400.0,2445590.0,-214480.0,2231110.0,https://www.sec.gov/Archives/edgar/data/1011432/000144586616001814/0001445866-16-001814-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586616001814/auxo10k12312015.htm
0,2014-12-31,CTEK,2015-03-30,2015-03-30 13:48:24,FY,1336920.0,212619.99999999997,0.0,310695.0,2530010.0,-2579359.0,0.0,2266006.0,2790010.0,453640.0,1480510.0,-94165.0,-995257.0,0.0,0.0,0.0,-1089420.0,-100000.0,0.0,65300.0,0.0,4527078.0,-316320.0,0.0,74770.0,4744770.0,4670000.0,1480510.0,-94170.0,1386340.0,https://www.sec.gov/Archives/edgar/data/1011432/000144586615000309/0001445866-15-000309-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586615000309/aux10k12312014.htm
0,2013-12-31,CTEK,2014-03-31,2014-03-31 13:34:27,FY,1350000.0,120000.0,0.0,576195.0,920000.0,836869.0,0.0,-522381.0,260000.0,1020000.0,2580000.0,-11841.0,0.0,0.0,0.0,0.0,-10000.0,-95101000,0.0,130000.0,0.0,4579313.0,-90000.0,0.0,2480000.0,4670000.0,2190000.0,2580000.0,-10000.0,2570000.0,https://www.sec.gov/Archives/edgar/data/1011432/000144586614000206/0001445866-14-000206-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586614000206/aux10k03272014.htm
0,2012-12-31,CTEK,2013-03-28,2013-03-28 16:47:32,FY,-2380000.0,120000.0,0.0,102065.0,-1030000.0,2660922.0,0.0,2822050.0,-660000.0,1420000.0,-30000.0,-29841.0,0.0,0.0,0.0,0.0,-30000.0,-85323000,0.0,0.0,0.0,2609271.0,420000.0,0.0,360000.0,2190000.0,1830000.0,-30000.0,-30000.0,-60000.0,https://www.sec.gov/Archives/edgar/data/1011432/000144586613000278/0001445866-13-000278-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586613000278/aux10k03272013.htm
0,2011-12-31,CTEK,2012-04-10,2012-04-10 13:33:13,FY,-2590000.0,130000.0,0.0,303979000,-450000.0,872487.0,0.0,218842.0,370000.0,420000.0,-2020000.0,24669.0,0.0,0.0,0.0,-49338.0,-20000.0,-48451000,0.0,0.0,0.0,3462044.0,1630000.0,0.0,-420000.0,1830000.0,2250000.0,-2020000.0,-20000.0,-2040000.0,https://www.sec.gov/Archives/edgar/data/1011432/000144586612000197/0001445866-12-000197-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586612000197/auxilio10k-04032012.htm
0,2010-12-31,CTEK,2011-03-30,2011-03-30 06:02:46,FY,-1570000.0,250000.0,0.0,363248000,-840000.0,237347000,0.0,1291948000,820000.0,450000.0,410000.0,-88240000,0.0,0.0,0.0,0.0,-90000.0,-19355000,161450000,160000.0,0.0,0.0,140000.0,0.0,470000.0,2250000.0,1780000.0,410000.0,-90000.0,320000.0,https://www.sec.gov/Archives/edgar/data/1011432/000082357911000086/0000823579-11-000086-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000082357911000086/auxilio10k03292011.htm
