,date,symbol,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2020-06-30,KLAC,2020-08-07,2020-08-07 18:36:10,FY,1215025000,348049000,-93110000,111381000,477170000,-118362000,-74817000,61144000,3023759000,417769000,1778850000,-152675000,-90143000,-1627577000,775912000,835609000,-258874000,-1171033000,75634000,-753450000,-522421000,1147269000,-1299635000,-1926000.0,218415000,1234409000,1015994000,1778850000,-152675000,1626175000,https://www.sec.gov/Archives/edgar/data/319201/000031920120000047/0000319201-20-000047-index.htm,https://www.sec.gov/Archives/edgar/data/319201/000031920120000047/klac-20200630.htm
0,2019-06-30,KLAC,2019-08-16,2019-08-16 16:58:19,FY,1175017000,233224000,-27511000,94194000,-788141000,-146151000,-59561000,-21627000,2546589000,98245000,1152632000,-130498000,-1818283000,-1176735000,930984000,1013517000,-1180982000,-902474000,64828000,-1030374000,-472263000,2045106000,-360005000,-33000.0,-388388000,1015994000,1404382000,1152632000,-130498000,1022134000,https://www.sec.gov/Archives/edgar/data/319201/000031920119000031/klac10k2019.htm,https://www.sec.gov/Archives/edgar/data/319201/000031920119000031/klac10k2019.htm
0,2018-06-30,KLAC,2018-08-06 00:00:00,2018-08-06 16:48:30,FY,802265000,62684000,98760000,62784000,235826000,-76497000,-182883000,21778000,3334730000,72670000,1229120000,-66961000,-17403000,-284468000,690338000,-29888000,291618000,-946250000,61444000,-141725000,-402065000,219937000,-1270103000,696000.0,251331000,1404382000,1153051000,1229120000,-66947000,1162173000,https://www.sec.gov/Archives/edgar/data/319201/000031920118000045/0000319201-18-000045-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920118000045/klac10k2018.htm
0,2017-06-30,KLAC,2017-08-04 00:00:00,2017-08-04 17:12:04,FY,926076000,57836000,4007000.0,50943000,233295000,39898000,-46433000,40100000,3098904000,50094000,1079665000,-38594000,-28560000,-125957000,796386000,-1164161000,-560886000,-130000000,45359000,20357000,-343993000,-19169000,-472805000,-1411000.0,44563000,1153051000,1108488000,1079665000,-38594000,1041071000,https://www.sec.gov/Archives/edgar/data/319201/000031920117000034/0000319201-17-000034-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920117000034/klac10k2017.htm
0,2016-06-30,KLAC,2016-08-05 00:00:00,2016-08-05 17:00:53,FY,704422000,66932000,19804000,45050000,-37204000,-8292000.0,-67579000,3109000.0,2865609000,28623000,759696000,-31741000,0.0,-250089000,675633000,-249116000,144687000,-135000000,38298000,-143413000,-346283000,-12006000,-636702000,2782000.0,270463000,1108488000,838025000,759696000,-31741000,727955000,https://www.sec.gov/Archives/edgar/data/319201/000031920116000090/0000319201-16-000090-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920116000090/klac10k2016.htm
0,2015-06-30,KLAC,2015-08-07 00:00:00,2015-08-07 16:31:43,FY,366158000,80536000,-24245000,55302000,-787687000,-118520000,27500000,848000.0,2902813000,171575000,605906000,-45791000,0.0,-663696000,762975000,864733000,918221000,-916117000,47008000,-555880000,-3041055000,3210080000,-1302972000,-13991000,207164000,838064000,630900000,605906000,-45791000,560115000,https://www.sec.gov/Archives/edgar/data/319201/000031920115000053/0000319201-15-000053-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920115000053/klac10k2015.htm
0,2014-06-30,KLAC,2014-08-08 00:00:00,2014-08-08 16:20:32,FY,582800000,83100000,17200000,60940000,200500000,32591000,-26173000,-12333000,3690500000,35800000,778900000,-67502000,-18000000,-240843000,317666000,-665849000,-676100000,-51948000,112221000,-128600000,-298900000,-31394000,-458900000,1600000.0,-354500000,630900000,985400000,778900000,-67500000,711400000,https://www.sec.gov/Archives/edgar/data/319201/000031920114000038/0000319201-14-000038-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920114000038/klac10k2014.htm
0,2013-06-30,KLAC,2013-08-08 00:00:00,2013-08-08 16:10:34,FY,543100000,87500000,4500000.0,70084000,188900000,159245000,14787000,-22812000,3490000000,53800000,913200000,-74573000,0.0,-314104000,342720000,-195490000,-241400000,-29682000,126121000,-147100000,-265900000,-15484000,-428500000,-9100000.0,234100000,985400000,751300000,913200000,-74600000,838600000,https://www.sec.gov/Archives/edgar/data/319201/000031920113000033/0000319201-13-000033-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920113000033/klac10k2013.htm
0,2012-06-30,KLAC,2012-08-06 00:00:00,2012-08-06 17:18:59,FY,756000000,92100000,193400000,78835000,504000000,-113922000,-93145000,-3732000.0,3301100000,81100000,941600000,-57596000,0.0,-319770000,58142000,-209667000,-528900000,-30247000,163569000,-100300000,-233600000,-30247000,-364100000,-8700000.0,40000000,751300000,711300000,941600000,-57600000,884000000,https://www.sec.gov/Archives/edgar/data/319201/000031920112000008/0000319201-12-000008-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920112000008/klac10k2012.htm
0,2011-06-30,KLAC,2011-08-05 00:00:00,2011-08-05 17:09:55,FY,794500000,86000000,64700000,81430000,733400000,-128219000,-170141000,34259000,2797100000,88100000,823200000,-51151000,0.0,-297849000,83190000,-93700000,-359500000,-22557000,124573000,-110300000,-167400000,-22486000,-300200000,17900000,181400000,711300000,529900000,823200000,-51200000,772000000,https://www.sec.gov/Archives/edgar/data/319201/000144530511002394/0001445305-11-002394-index.html,https://www.sec.gov/Archives/edgar/data/319201/000144530511002394/klac10k2011.htm
